month,trades,net_r
2022-01,1,-1.0401253439315188
2022-02,12,3.1105243055211957
2022-03,23,6.137275423695967
2022-04,8,-0.32538316742258644
2022-05,10,4.341148715256808
2022-06,3,2.860835788110786
2022-07,3,-0.39688513011635795
2022-08,6,-0.21569261402868722
2022-09,10,0.5337588308556573
2022-10,6,3.760261730709829
2022-11,6,0.048641069203392145
2022-12,2,-0.08661229540535942
2023-01,14,-1.9244689892426496
2023-02,12,1.435829592998265
2023-03,17,9.48289889048875
2023-04,12,7.020795618534207
2023-05,10,-0.07426601083364104
2023-06,8,-3.1129029987045684
2023-07,5,-1.0468067559221936
2023-08,4,0.25817557124671314
2023-09,2,0.16700886891023484
2023-10,11,-1.92710911173722
2023-11,6,-2.195668702052722
2023-12,5,-2.0022042650494836
2024-01,1,0.9537821599137266
2024-02,1,0.955093661791122
2024-03,8,-1.073182040690549
2024-04,26,7.977808738841683
2024-05,14,3.5030959908790553
2024-06,14,1.4394396519177
2024-07,17,4.320858689513261
2024-08,22,12.211286787262459
2024-09,12,1.5376563703422976
2024-10,11,5.551553907302466
2024-11,22,5.104907551651836
2024-12,9,-3.317753988560386
2025-01,16,5.803456649652742
2025-02,15,3.1806042417053257
2025-03,22,2.523330905094105
2025-04,41,25.444974729984192
2025-05,25,5.405837675129702
2025-06,32,6.314073866288449
2025-07,25,16.02030274395272
2025-08,22,-0.0867000870325011
2025-09,29,5.10251224024549
2025-10,42,12.837750672760547
2025-11,31,1.3522532403477079
2025-12,36,4.880873081330701
2026-01,35,11.283789855196346
2026-02,33,11.821467512688866
2026-03,38,20.579156095050987
2026-04,40,20.349161517166515
2026-05,43,13.50941779508012
2026-06,29,6.651749492836098
