year,trades,net_r,wr,pf
2022,125,31.754257377629283,0.688,1.889207038493817
2023,106,6.925341154853111,0.5849056603773585,1.1738290143979417
2024,197,47.50034016726798,0.6751269035532995,1.79753145983005
2025,336,89.52123337629858,0.6577380952380952,1.820770317606987
2026,218,84.38363797605501,0.7110091743119266,2.3743357392421185
