label,n,net_R,wins,WR_pct,PF,MAR,pos_years,dollar_pnl,return_pct_total,symbol,base_tf,ptp_mode,cap_hours,cost_usd
XAU/M5/baseline/72h,4740,918.0,1499,31.62,1.276,0.376,17/21,68854.0,1377.1,XAU,M5_72h_REF,baseline,72,0.3
XAU/M5/PTP+1R/72h,4740,2203.7,2547,53.73,1.979,3.263,20/21,165278.0,3305.6,XAU,M5_72h_REF,PTP+1R,72,0.3
XAU/M5/PTP+2R/72h,4740,2565.9,1921,40.53,1.889,2.248,20/21,192445.0,3848.9,XAU,M5_72h_REF,PTP+2R,72,0.3
EUR/M5/baseline/72h,4801,407.2,1694,35.28,1.14,0.18,17/22,30537.0,610.7,EUR,M5_72h_REF,baseline,72,3e-05
EUR/M5/PTP+1R/72h,4801,1594.5,2537,52.84,1.747,1.687,21/22,119589.0,2391.8,EUR,M5_72h_REF,PTP+1R,72,3e-05
EUR/M5/PTP+2R/72h,4801,1667.4,1994,41.53,1.634,1.179,21/22,125054.0,2501.1,EUR,M5_72h_REF,PTP+2R,72,3e-05
