zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,entry_atr,entry_ema8,entry_close,entry_close_location,orb30_state,orb15_state,orb30_width,entry_ny_hour,entry_weekday,entry_session,entry_ema8_distance_atr,orb30_width_atr,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,closed_m15_timestamp,closed_m15_close,closed_m15_ema8,closed_m15_atr,closed_m15_ema8_distance_atr,closed_m15_ema8_aligned,m15_boundary_entry,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,intraday_stack_24h,xau_sdr_002_clean,orb_continuation,orb_reversal,orb_inside,trade_key
39,15min,m15_2c_1atr,supply,1338.4,1336.55,2019-06-12 13:15:00+00:00,2019-06-12 11:00:00+00:00,2019-06-12 12:00:00+00:00,2019-06-12 13:00:00+00:00,2,1.3546762589928576,0.9316546762590783,0.13513513513512518,2019-06-12 19:00:00+00:00,2019-06-12 20:00:00+00:00,1332.54,1338.9228571428573,6.382857142857347,5.75,True,273,274,0,1332.56,0.6315789473684525,0.11750223813786553,1.0199194270366714,-7.893017009847571,-1.0,stop,2019,2019-06,2019-06-12,0.04700089525514621,-1.0470008952551462,0.03-0.05R,2.614285714285724,1333.833120631518,1333.16,0.8303030303030562,missing,below,,16,Wednesday,ny_main,-0.49463630713808826,,False,True,False,True,False,False,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,2019-06-12 19:00:00+00:00,1332.56,1334.0254408119517,2.609999999999997,-0.561471575460458,True,True,1,1,1,True,True,False,False,False,2019-06-12 20:00:00+00:00|supply|1332.54
51,15min,m15_2c_1atr,demand,1341.66,1340.57,2019-06-18 08:15:00+00:00,2019-06-18 06:00:00+00:00,2019-06-18 07:00:00+00:00,2019-06-18 08:00:00+00:00,2,2.6625434866640934,0.5898724391187412,0.26605504587149076,2019-06-18 16:00:00+00:00,2019-06-18 20:00:00+00:00,1347.94,1339.6691428571428,8.270857142857267,7.75,True,365,366,3,1347.96,0.5798045602605895,11.014577863755523,0.7943553958822795,8.077760121597219,1.0,tp1,2019,2019-06,2019-06-18,0.03627193588503469,0.9637280641149653,0.03-0.05R,4.50428571428571,1346.5128536732545,1346.23,0.24629080118693,missing,inside,,16,Tuesday,ny_main,0.316841873999956,,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,2019-06-18 19:00:00+00:00,1347.96,1346.59366900847,4.341428571428586,0.31471921489668675,True,True,5,4,2,True,True,False,False,False,2019-06-18 20:00:00+00:00|demand|1347.94
59,15min,m15_2c_1atr,demand,1384.98,1381.45,2019-06-20 19:15:00+00:00,2019-06-20 16:00:00+00:00,2019-06-20 17:00:00+00:00,2019-06-20 19:00:00+00:00,3,1.2723178381856064,0.7949171626186309,0.27762039660057386,2019-06-21 10:00:00+00:00,2019-06-21 14:00:00+00:00,1394.75,1380.1101428571428,14.639857142857181,14.75,True,428,429,3,1394.76,0.46208530805687015,3.025302744952614,0.8832053396305605,-0.09631241522653955,1.0,tp1,2019,2019-06,2019-06-21,0.020492003239688077,0.979507996760312,<=0.03R,6.699285714285695,1393.3915610723454,1395.17,0.3595505617977798,missing,inside,,10,Friday,london_ny_overlap,0.2027736964192761,,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,True,2019-06-21 13:00:00+00:00,1394.76,1392.8834356644443,6.612857142857122,0.28377512095247426,True,True,3,3,2,True,True,False,False,False,2019-06-21 14:00:00+00:00|demand|1394.75
62,15min,m15_2c_1atr,demand,1389.56,1386.2,2019-06-21 15:15:00+00:00,2019-06-21 12:00:00+00:00,2019-06-21 13:00:00+00:00,2019-06-21 15:00:00+00:00,3,1.1573604060913762,0.4873096446700375,0.16369047619046753,2019-06-21 17:00:00+00:00,2019-06-21 19:00:00+00:00,1398.45,1384.847142857143,13.602857142857147,1.75,True,433,434,1,1398.43,0.6589327146171851,2.9839319470699364,1.1703423650493643,-0.20657424910732633,1.0,tp1,2019,2019-06,2019-06-21,0.022054190296156264,0.9779458097038437,<=0.03R,6.764285714285685,1395.1423791587142,1394.25,0.16306483300588223,missing,inside,,15,Friday,ny_main,0.4889830177191315,,True,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,2019-06-21 18:00:00+00:00,1398.43,1395.3973446326324,7.027142857142833,0.4315630732175939,True,True,5,4,2,True,True,False,False,False,2019-06-21 19:00:00+00:00|demand|1398.45
76,15min,m15_2c_1atr,supply,1407.81,1406.07,2019-06-27 10:15:00+00:00,2019-06-27 08:00:00+00:00,2019-06-27 09:00:00+00:00,2019-06-27 10:00:00+00:00,2,1.3585726718885462,0.5300261096605794,0.1666666666666449,2019-06-27 13:00:00+00:00,2019-06-27 16:00:00+00:00,1401.08,1408.5421428571428,7.462142857142908,2.75,True,522,523,2,1401.07,0.47716894977169727,0.13803005647553862,1.1310424045180432,-1.644299798985341,-1.0,stop,2019,2019-06,2019-06-27,0.040202929070546296,-1.0402029290705463,0.03-0.05R,3.6607142857142696,1403.9742163014023,1402.98,0.5907258064516214,missing,below,,12,Thursday,ny_main,-0.7906151847733328,,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,True,2019-06-27 15:00:00+00:00,1401.07,1404.258278101803,3.6228571428571286,-0.8800452173746506,True,True,5,2,2,True,True,False,False,False,2019-06-27 16:00:00+00:00|supply|1401.08
177,15min,m15_2c_1atr,supply,1522.17,1520.18,2019-08-15 09:15:00+00:00,2019-08-15 07:00:00+00:00,2019-08-15 08:00:00+00:00,2019-08-15 09:00:00+00:00,2,1.2325581395348613,0.35599284436493905,0.1306532663316531,2019-08-15 12:00:00+00:00,2019-08-15 15:00:00+00:00,1515.09,1523.2554285714286,8.16542857142872,2.75,True,1322,1323,2,1515.08,0.4986175115207386,0.7507260575947092,1.458588474054359,-1.4096014556142356,-1.0,stop,2019,2019-08,2019-08-15,0.03674026383008436,-1.0367402638300844,0.03-0.05R,5.427142857142842,1515.8589059301223,1511.53,0.40729001584785396,missing,below,,11,Thursday,london_ny_overlap,-0.14167784971984257,,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,True,2019-08-15 14:00:00+00:00,1515.08,1517.0957361958715,5.275714285714279,-0.3820783474438396,True,True,3,3,2,True,True,False,False,False,2019-08-15 15:00:00+00:00|supply|1515.09
178,15min,m15_2c_1atr,demand,1515.22,1510.21,2019-08-15 12:15:00+00:00,2019-08-15 10:00:00+00:00,2019-08-15 11:00:00+00:00,2019-08-15 12:00:00+00:00,2,1.1767540751240426,0.9941885187810083,0.2954091816367307,2019-08-15 14:00:00+00:00,2019-08-15 18:00:00+00:00,1518.68,1509.047142857143,9.63285714285712,1.75,True,1325,1326,3,1518.77,0.513888888888892,0.9695981017351266,1.2768797271244237,1.4139107222304532,-1.0,stop,2019,2019-08,2019-08-15,0.031143407978644594,-1.0311434079786446,0.03-0.05R,5.814285714285704,1517.0113919534047,1519.24,0.7338308457711589,missing,inside,,14,Thursday,ny_main,0.2869841849181298,,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,True,2019-08-15 17:00:00+00:00,1518.77,1516.3746467972346,6.062857142857134,0.39508653203010297,True,True,9,4,2,True,True,False,False,False,2019-08-15 18:00:00+00:00|demand|1518.68
199,15min,m15_2c_1atr,demand,1495.9,1494.49,2019-08-23 12:15:00+00:00,2019-08-23 08:00:00+00:00,2019-08-23 09:00:00+00:00,2019-08-23 12:00:00+00:00,4,1.0396624472573666,0.832911392405102,0.1702127659574434,2019-08-23 13:00:00+00:00,2019-08-23 16:00:00+00:00,1502.38,1493.954,8.426000000000158,0.75,True,1461,1462,2,1502.3,0.698154180238875,6.488250652741375,1.1037265606456215,-1.117968193686197,1.0,tp1,2019,2019-08,2019-08-23,0.035604082601470965,0.964395917398529,0.03-0.05R,2.6800000000000312,1499.0873360854823,1505.43,0.6264855687606098,missing,above,,12,Friday,ny_main,1.228605938252892,,True,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,True,False,True,True,True,2019-08-23 15:00:00+00:00,1502.3,1497.2751463956201,2.3514285714285927,2.136936526771469,True,True,5,2,2,True,True,False,False,False,2019-08-23 16:00:00+00:00|demand|1502.38
237,15min,m15_2c_1atr,demand,1490.75,1487.76,2019-09-10 10:15:00+00:00,2019-09-10 08:00:00+00:00,2019-09-10 09:00:00+00:00,2019-09-10 10:00:00+00:00,2,1.4437593025727857,0.8900701679778811,0.33110367892976794,2019-09-10 15:00:00+00:00,2019-09-10 16:00:00+00:00,1495.62,1486.8895714285713,8.730428571428547,4.75,True,1733,1734,0,1495.63,0.4546568627450979,0.6116538216091686,1.0022417488914006,1.161455009572446,-1.0,stop,2019,2019-09,2019-09-10,0.03436257424770517,-1.0343625742477052,0.03-0.05R,4.352142857142861,1494.7348735396881,1498.05,0.6795154185021911,missing,above,,12,Tuesday,ny_main,0.20337716140431195,,True,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,2019-09-10 15:00:00+00:00,1495.63,1493.7876945510275,3.9642857142857144,0.46472569883994475,True,True,3,3,2,True,True,False,False,False,2019-09-10 16:00:00+00:00|demand|1495.62
241,15min,m15_2c_1atr,demand,1487.93,1486.36,2019-09-11 04:15:00+00:00,2019-09-11 02:00:00+00:00,2019-09-11 03:00:00+00:00,2019-09-11 04:00:00+00:00,2,1.1399107280283125,0.33830998922583166,0.34394904458592823,2019-09-11 16:00:00+00:00,2019-09-11 18:00:00+00:00,1494.54,1485.700857142857,8.83914285714286,11.75,True,1758,1759,1,1494.55,0.5977528089887252,3.355528978246121,1.255777871157503,0.04412192520284286,1.0,tp1,2019,2019-09,2019-09-11,0.03393994246371657,0.9660600575362834,0.03-0.05R,3.2957142857142765,1492.9537304505207,1494.45,0.16623376623378633,missing,above,,14,Wednesday,ny_main,0.4813128238558826,,True,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,2019-09-11 17:00:00+00:00,1494.55,1492.526224864955,3.3342857142857025,0.606959123620992,True,True,1,1,1,True,True,False,False,False,2019-09-11 18:00:00+00:00|demand|1494.54
