risk_pct,entry_timestamp,year,month,direction,entry_price,stop_price,risk_units,net_r,equity_before,risk_usd,lot,pnl_usd,equity_after
0.04,2019-06-12 20:00:00+00:00,2019,2019-06,supply,1332.54,1338.9228571428573,6.382857142857347,-1.0470008952551462,5000.0,200.0,0.3133393017009748,-209.40017905102923,4790.599820948971
0.04,2019-06-18 20:00:00+00:00,2019,2019-06,demand,1347.94,1339.6691428571428,8.270857142857267,0.9637280641149653,4790.599820948971,191.62399283795884,0.23168577274175967,184.67341965570603,4975.273240604677
0.04,2019-06-21 14:00:00+00:00,2019,2019-06,demand,1394.75,1380.1101428571428,14.63985714285718,0.979507996760312,4975.273240604677,199.0109296241871,0.1359377538197393,194.93279700959494,5170.206037614272
0.04,2019-06-21 19:00:00+00:00,2019,2019-06,demand,1398.45,1384.847142857143,13.602857142857149,0.9779458097038436,5170.206037614272,206.80824150457087,0.1520329437651749,202.24725319161558,5372.453290805887
0.04,2019-06-27 16:00:00+00:00,2019,2019-06,supply,1401.08,1408.5421428571428,7.462142857142908,-1.0402029290705463,5372.453290805887,214.8981316322355,0.2879844781134562,-223.5376659756392,5148.915624830248
0.04,2019-08-15 15:00:00+00:00,2019,2019-08,supply,1515.09,1523.2554285714286,8.16542857142872,-1.0367402638300844,5000.0,200.0,0.2449350922005624,-207.34805276601688,4792.651947233983
0.04,2019-08-15 18:00:00+00:00,2019,2019-08,demand,1518.68,1509.047142857143,9.63285714285712,-1.0311434079786446,4792.651947233983,191.70607788935934,0.19901268652313786,-197.67645848505347,4594.97548874893
0.04,2019-08-23 16:00:00+00:00,2019,2019-08,demand,1502.38,1493.954,8.426000000000158,0.964395917398529,4594.97548874893,183.7990195499572,0.21813318247086844,177.25502407583113,4772.230512824761
0.04,2019-09-10 16:00:00+00:00,2019,2019-09,demand,1495.62,1486.8895714285711,8.730428571428547,-1.0343625742477052,5000.0,200.0,0.22908382831803445,-206.87251484954103,4793.127485150459
0.04,2019-09-11 18:00:00+00:00,2019,2019-09,demand,1494.54,1485.700857142857,8.83914285714286,0.9660600575362834,4793.127485150459,191.72509940601836,0.21690462808968677,185.21796056332775,4978.345445713786
0.04,2019-09-13 17:00:00+00:00,2019,2019-09,demand,1503.95,1495.7412857142858,8.208714285714223,-1.03654652720976,4978.345445713786,199.13381782855143,0.2425883163884845,-206.411467320206,4771.93397839358
0.04,2019-09-20 18:00:00+00:00,2019,2019-09,demand,1504.36,1497.807285714286,6.552714285714046,0.954217445333448,4771.93397839358,190.8773591357432,0.2912951043079752,182.13850600650397,4954.072484400084
0.04,2019-10-01 17:05:00+00:00,2019,2019-10,demand,1474.32,1459.2795714285714,15.040428571428492,0.9800537598662652,5000.0,200.0,0.1329749342248993,196.01075197325304,5196.010751973253
0.04,2019-10-02 17:25:00+00:00,2019,2019-10,demand,1493.24,1483.631,9.609000000000153,0.9687792694349052,5196.010751973253,207.84043007893013,0.21629766893425623,201.35150001090244,5397.362251984156
0.04,2019-10-11 18:30:00+00:00,2019,2019-10,supply,1479.24,1485.424,6.183999999999969,-1.0485122897800778,5397.362251984156,215.89449007936622,0.34911786882174534,-226.3680261440186,5170.994225840137
0.04,2020-01-10 15:35:00+00:00,2020,2020-01,demand,1555.92,1545.957,9.963000000000193,-0.5159088627923363,5000.0,200.0,0.20074274816821855,-103.18177255846726,4896.818227441533
0.04,2020-02-05 16:35:00+00:00,2020,2020-02,demand,1556.5,1549.4425714285717,7.057428571428545,0.9574915995303832,5000.0,200.0,0.2833893364641118,191.49831990607663,5191.498319906077
0.04,2020-03-02 18:20:00+00:00,2020,2020-03,supply,1593.87,1602.1525714285713,8.282571428571373,0.9637793645865672,5000.0,200.0,0.2414709027562195,192.75587291731344,5192.755872917313
0.04,2020-03-06 16:05:00+00:00,2020,2020-03,demand,1676.02,1667.8775714285714,8.142428571428582,0.9631559555766094,5192.755872917313,207.71023491669254,0.2550961707487843,200.05734979422903,5392.813222711542
0.04,2020-03-06 16:40:00+00:00,2020,2020-03,supply,1678.2,1689.297142857143,11.0971428571429,0.9729660144181258,5392.813222711542,215.71252890846168,0.1943856465446995,209.8809595121207,5602.694182223663
0.04,2020-03-11 16:10:00+00:00,2020,2020-03,supply,1658.34,1666.2949999999998,7.954999999999927,0.9622878692646132,5602.694182223663,224.10776728894652,0.2817193806272138,215.65618587013012,5818.350368093793
0.04,2020-03-17 15:50:00+00:00,2020,2020-03,demand,1492.47,1479.760857142857,12.70914285714298,0.9763949462704016,5818.350368093793,232.73401472375173,0.1831232974086424,227.24031580149241,6045.590683895285
0.04,2020-03-18 13:20:00+00:00,2020,2020-03,demand,1501.69,1488.7064285714284,12.983571428571622,0.9768938768773728,6045.590683895285,241.8236273558114,0.1862535502547895,236.2360208481677,6281.826704743453
0.04,2020-03-20 14:20:00+00:00,2020,2020-03,supply,1501.12,1512.1581428571428,11.03814285714293,0.9728215150064066,6281.826704743453,251.27306818973813,0.2276407104362995,244.44384687664916,6526.270551620102
0.04,2020-03-20 16:40:00+00:00,2020,2020-03,supply,1496.4,1508.5872857142858,12.187285714285736,0.9753841825790344,6526.270551620102,261.0508220648041,0.21419931245133986,254.6248426912639,6780.8953943113665
0.04,2020-04-01 19:05:00+00:00,2020,2020-04,demand,1591.28,1584.7547142857145,6.525285714285474,-1.0459749983580375,5000.0,200.0,0.3064999890535831,-209.19499967160752,4790.805000328392
0.04,2020-04-07 18:20:00+00:00,2020,2020-04,demand,1654.06,1641.6014285714286,12.458571428571304,-1.0240798073615414,4790.805000328392,191.6322000131357,0.15381554868615563,-196.24666647372038,4594.558333854672
0.04,2020-04-20 13:35:00+00:00,2020,2020-04,demand,1679.61,1673.1808571428571,6.429142857142779,0.9533374811127894,4594.558333854672,183.78233335418687,0.2858582200425126,175.20658675291148,4769.764920607584
