year,trades,pnl_usd,avg_lot,max_lot
2019,15,46.21284789523051,0.23075490402805035,0.34911786882174534
2020,40,2833.197822775664,0.25412471704886064,0.3556199037716201
2021,21,326.3958289896873,0.26445496587527717,0.34069045003356146
2022,35,463.87689719642924,0.2568914151192553,0.35345219771745284
2023,25,118.48766152434257,0.253514850119754,0.3435469027983286
2024,39,471.30390111582153,0.23485365817168033,0.3328470578906128
2025,66,5374.176854903465,0.2084374627766901,0.38999255622350376
2026,55,1495.073053415918,0.11044337191402141,0.27299494959342097
