trades,net,wr,pf,dd,years_pos,years,months_pos,months,mar,rule
211,0.5673736924452708,50.23696682464455,1.0055484759626292,-16.699444110131836,3,8,27,57,0.004246950442657516,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p03 + base_body_high
322,36.17012876245384,56.2111801242236,1.2639763204357077,-13.687865799631808,5,8,39,67,0.33031198299944964,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p03 + dir_demand
237,15.821582195082076,54.008438818565395,1.1469270917549683,-13.485519360948453,7,8,26,54,0.14665343776913056,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p03 + dir_supply
559,51.99171095753593,55.27728085867621,1.2124681320121482,-12.447641107603594,7,8,38,72,0.5221040527688514,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + risk_ge_10
279,25.82452132381854,55.19713261648745,1.210561845585491,-12.353778415989368,6,8,20,36,0.261301850881449,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + risk_ge_15
654,48.947722739713434,55.198776758409785,1.1662637615315685,-18.800000875654515,4,8,46,83,0.3254502690150097,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + fast_confirm_1
857,69.49689289432712,55.65927654609102,1.18092348035573,-15.229323582263689,4,8,49,83,0.5704200560757693,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + fast_confirm_2
1004,80.4774783859847,55.37848605577689,1.1792633008918185,-15.547312130088994,4,8,48,85,0.6470369099221593,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + fast_confirm_3
979,108.51681173476067,56.894790602655775,1.2575543669643157,-14.168443177613362,7,8,47,85,0.9573812236673702,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + body_ge_45
739,72.7728161535729,56.156968876860624,1.2253758602011455,-14.083723012612634,7,8,48,85,0.6458946978047054,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + body_ge_60
559,60.86647113027908,56.529516994633276,1.2523696337203705,-10.896814094097145,7,8,44,83,0.6982140674866006,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + body_ge_70
398,39.18120296944237,56.78391959798995,1.2224191106427482,-15.43541819437894,5,8,41,76,0.3172994932501314,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + tight_zone
161,26.60971266538747,57.7639751552795,1.438938930684369,-5.558139482433607,6,8,39,75,0.5984401963437351,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + wide_zone
517,56.41003015631636,56.86653771760155,1.2548769438894232,-11.090081532600903,8,8,46,84,0.6358162245075801,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + impulse_ge_1p5
211,35.65295086212896,60.18957345971564,1.4320461802288293,-9.451498642208872,7,8,39,78,0.4715251016239454,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + impulse_ge_2
391,72.30464716664778,61.125319693094625,1.4699224093818388,-7.241049089834,7,8,47,76,1.2481728522625124,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + base_body_low
444,28.13808750390988,54.27927927927928,1.1389406784997709,-16.699444110131818,6,8,44,81,0.21062143834205577,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + base_body_high
732,91.65468706381904,57.513661202185794,1.2966477455338823,-15.569075971220105,4,8,48,84,0.7358712812600875,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + dir_demand
575,41.57748843032998,55.130434782608695,1.159346872070838,-10.337050899264838,6,8,39,83,0.5027726093678098,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + cost_le_0p05 + dir_supply
