trades,net_r,wr,pf,max_dd_r,mar,positive_years,years,positive_months,months,extra_cost_r
296,51.68666751137116,60.810810810810814,1.4391798971803302,-7.638104240876551,0.8458687175732952,8,8,41,74,0.0
296,44.28666751137117,60.810810810810814,1.367252792102538,-8.063104240876553,0.6865635459426463,7,8,40,74,0.025
296,36.88666751137115,60.810810810810814,1.2987039395029751,-8.488104240876556,0.5432112174962214,6,8,40,74,0.05
296,29.486667511371174,60.810810810810814,1.2333007971229077,-9.34227245793865,0.39453285648818115,3,8,40,74,0.075
296,22.086667511371154,60.810810810810814,1.1708316867294104,-10.717272457938645,0.2576059766845203,3,8,38,74,0.1
296,7.286667511371171,60.13513513513513,1.0539130019996272,-17.016041497531322,0.05352792769420194,2,8,37,74,0.15
296,-7.513332488628837,59.797297297297305,0.9467388923868723,-23.816041497531337,-0.03943420073297883,2,8,35,74,0.2
