month,trades,pnl_usd,avg_lot,max_lot
2019-06,5,180.34195616396016,0.2810780380959068,0.39167412712621846
2019-08,3,-286.7929682942266,0.27302020138905647,0.306168865250703
2019-09,4,-62.31742106036273,0.3042306207803627,0.3596089477550175
2019-10,3,210.78399215030572,0.29458730142585127,0.44462131746393496
2020-01,1,-128.97721569808408,0.2509284352102732,0.2509284352102732
2020-02,1,239.3728998825958,0.3542366705801398,0.3542366705801398
2020-03,8,2304.5528532329054,0.28765687559137754,0.3620728298672776
2020-04,5,-319.43848791762525,0.30643575788390154,0.3831249863169789
2020-05,3,198.7390051411802,0.4313409823817573,0.4527047964261105
2020-06,2,-509.65126127375976,0.3787528292414565,0.3826056538183946
2020-07,1,241.9526663498826,0.2682444550039123,0.2682444550039123
2020-08,8,1601.4984851776949,0.2984120074490805,0.39475091401034146
2020-09,1,240.51233396584465,0.31625553447184523,0.31625553447184523
2020-10,3,-292.06439002379534,0.3519106485606853,0.38016601881420853
2020-11,4,-534.2743146147586,0.3179604165665081,0.36640090905751393
2020-12,3,611.2167208663343,0.34724239743684987,0.3569228929822172
2021-01,2,-508.65438229995345,0.36136312111002356,0.37112293112143857
2021-02,5,173.54481504111072,0.35084203942109704,0.4337817718111899
2021-03,1,242.34827726928233,0.25505742435725504,0.25505742435725504
2021-04,2,-184.82269617738814,0.30866819553771274,0.35001797665551077
2021-06,3,-741.3413393696162,0.32848158177164866,0.38811047124197673
2021-08,2,-31.85398531733668,0.3321489521816503,0.38330120904152454
2021-09,2,488.78776966147745,0.38661783171406655,0.4297953729757681
2021-10,1,239.49663892445568,0.35011203585147777,0.35011203585147777
2021-11,1,245.7796070613203,0.1406797646226575,0.1406797646226575
2021-12,2,490.91383642576216,0.3496954791596929,0.40295654977087486
2022-02,4,-65.30696209627078,0.33748336222473646,0.3666930421686205
2022-03,6,-93.78709929745725,0.31030914925245107,0.41611185086551
2022-04,4,-534.1908706760282,0.29493709123006817,0.34337586342221244
2022-05,4,665.2612796929769,0.33185289983272126,0.4486411732786101
2022-06,1,237.5474383301705,0.4150853889943178,0.4150853889943178
2022-07,1,242.24897760323626,0.258367413225459,0.258367413225459
2022-08,3,209.3767620510131,0.2998413223195709,0.3838055969821914
2022-09,6,-351.31480538721587,0.31488748120928817,0.3713682513578042
2022-10,3,755.0835807122063,0.34698506099700904,0.40813885312712894
2022-11,2,-229.93346023953754,0.3092381631911185,0.3426132581541866
2022-12,1,-261.39496017190106,0.37983200573003445,0.37983200573003445
2023-01,1,-261.4483841423525,0.3816128047450831,0.3816128047450831
2023-02,4,456.46975478821645,0.35305414138041163,0.43743156295962715
2023-03,5,720.0128444730962,0.32645439308691315,0.39298864541441414
2023-04,3,212.72606524518656,0.2634556385167636,0.3065711643061011
2023-06,1,239.09294885112377,0.3635683716292086,0.3635683716292086
2023-07,3,-8.407404582604272,0.325672270959613,0.38060308067721954
2023-10,3,-437.5525919535529,0.2899136485713805,0.3900323003142915
2023-11,3,-738.9212500381029,0.29939328502364543,0.3612098222471034
2023-12,2,-30.476218051386212,0.3062393594176615,0.34704970971973176
2024-03,4,602.2230878140471,0.23525221545144753,0.4092680788000008
2024-04,4,-58.61743886946422,0.2666026534396272,0.3182570425736751
2024-05,6,-84.99866103642597,0.2737855448662904,0.4099455634947168
2024-06,2,-34.31323302671427,0.35343055268201223,0.4049332438623595
2024-07,3,-283.58084488783265,0.2462760314082382,0.29306689072205283
2024-08,4,1034.6899905812293,0.3314059885463365,0.3961091205678679
2024-09,3,207.51727141227613,0.3216903253057439,0.34420361118761245
2024-10,2,490.10684048240694,0.3646067814922801,0.3847118109470676
2024-11,6,-99.89141341009488,0.34010863862484325,0.4198972176479443
2024-12,5,-1165.208083776167,0.25423046902557284,0.3749281142135637
2025-01,2,-33.532004467215046,0.35948756251471076,0.3608089359176746
2025-02,3,212.08381492450474,0.28001624508088047,0.3521086873871794
2025-03,3,-292.44407666058305,0.33536574473782976,0.37140795449719155
2025-04,13,3384.6512572084343,0.30807077762116675,0.5203138357321531
2025-05,2,495.7221874018818,0.26986414898377054,0.3906424393946178
2025-06,8,973.5144807411732,0.2805285680124627,0.43023519232091295
2025-07,4,452.7708824856315,0.385418403825054,0.4675106918875716
2025-08,6,-572.5778289254691,0.34657995111992673,0.4162405156625573
2025-09,4,1042.0715628698708,0.27926941050568654,0.381877863915425
2025-10,8,1642.163098028684,0.15544865531121585,0.2373409986608652
2025-11,6,-61.427895157340345,0.1286037886510905,0.16294723156555757
2025-12,7,-326.80769536929796,0.19528118129148925,0.3125793014487722
2026-01,9,159.37518639953774,0.12624938035193403,0.2798291968271193
2026-02,8,444.5763584036015,0.10731578856839845,0.18995633313254415
2026-03,6,1045.2775544991116,0.08869908448275006,0.12263215661080912
2026-04,14,356.3702604647671,0.17705258632202064,0.29519225051017317
2026-05,9,148.68795058789436,0.17280615889017986,0.34124368699177615
2026-06,9,-326.97116831803305,0.118159037068066,0.1853829249228228
