name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,entry_session
asia_late,160,116.89498658106382,7,16.699283797294832,0.88125,6.9611698231120585,0.7305936661316489,-3.095599853648622,7,0,41,7,2.79270751621659,52.04676718909855,-3.0955998536486216,8.782516843503876,asia_late
london_ny_overlap,272,22.389777229815316,8,2.7987221537269145,0.5588235294117647,1.182553376693349,0.0823153574625563,-12.553345208056523,5,3,32,32,-5.08250016975593,11.552204788189613,-3.341991558254315,8.74363959996105,london_ny_overlap
ny_main,499,46.72394634973649,8,5.840493293717061,0.5591182364729459,1.2144487583499228,0.09363516302552402,-12.725693792449153,5,3,36,42,-4.494393704625702,25.47020540698286,-4.262080235372117,9.461398955952484,ny_main
post_close,101,70.09796481309954,7,10.013994973299933,0.8613861386138614,5.860713455649151,0.6940392555752429,-2.0829292366425847,7,0,35,2,0.9552324713807596,27.706899013457907,-1.0436908353271614,5.92172673865178,post_close
