name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,year
2019,12,1.5916729139630699,1,1.5916729139630699,0.5833333333333334,1.3067132147676424,0.1326394094969225,-2.212749090924104,1,0,1,3,1.5916729139630694,1.5916729139630694,-1.1076958275653805,2.905854845845724,2019
2020,132,27.11167659712747,1,27.11167659712747,0.6212121212121212,1.5283412308984403,0.2053914893721778,-5.521388970922148,1,0,9,3,27.111676597127474,27.111676597127474,-2.6034085529281628,9.389592167658845,2020
2021,70,10.437676790439417,1,10.437676790439417,0.5857142857142857,1.3866675037205576,0.14910966843484882,-6.713689252413733,1,0,6,5,10.437676790439417,10.437676790439417,-2.214922544272749,5.674636495926018,2021
2022,90,18.727747312449125,1,18.727747312449125,0.6222222222222222,1.5690352281880655,0.20808608124943473,-3.2747862551233204,1,0,7,5,18.727747312449125,18.727747312449125,-1.0401253439315188,6.137275423695967,2022
2023,75,1.0362336998100452,1,1.0362336998100452,0.5333333333333333,1.029078781907572,0.013816449330800602,-12.69492611683841,1,0,3,8,1.0362336998100448,1.0362336998100448,-2.2528096877259065,6.480448753271379,2023
2024,157,39.16454748016467,1,39.16454748016467,0.6369426751592356,1.695838831387529,0.2494557164341699,-5.375690107531241,1,0,10,2,39.16454748016467,39.16454748016467,-3.317753988560386,12.211286787262459,2024
2025,295,82.34868128048608,1,82.34868128048608,0.6542372881355932,1.7850063104935945,0.2791480721372409,-5.305986034022624,1,0,11,1,82.34868128048608,82.34868128048608,-0.6922631015068405,22.035946084435466,2025
2026,201,75.68843889927527,1,75.68843889927527,0.6965174129353234,2.2341755308731517,0.37655939750883216,-5.201331928203892,1,0,6,0,75.68843889927527,75.68843889927527,6.497283874479908,20.272278792009963,2026
