name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,month
2019-06,3,-1.1076958275653805,1,-1.1076958275653805,0.3333333333333333,0.46929197107846377,-0.36923194252179353,-1.0402029290705463,0,1,0,1,-1.1076958275653805,-1.1076958275653805,-1.1076958275653805,-1.1076958275653805,2019-06
2019-08,4,-0.13818358760585236,1,-0.13818358760585236,0.5,0.9331763244278697,-0.03454589690146309,-2.067883671808729,0,1,0,1,-0.13818358760585236,-0.13818358760585236,-0.13818358760585236,-0.13818358760585236,2019-08
2019-09,2,-0.06830251671142173,1,-0.06830251671142173,0.5,0.9339665621978847,-0.03415125835571087,0.0,0,1,0,1,-0.06830251671142173,-0.06830251671142173,-0.06830251671142173,-0.06830251671142173,2019-09
2019-10,3,2.905854845845724,1,2.905854845845724,1.0,inf,0.9686182819485746,0.0,1,0,1,0,2.905854845845724,2.905854845845724,2.905854845845724,2.905854845845724,2019-10
2020-01,3,-2.6034085529281628,1,-2.6034085529281628,0.0,0.0,-0.8678028509760543,-1.55885189170731,0,1,0,1,-2.6034085529281628,-2.6034085529281628,-2.6034085529281628,-2.6034085529281628,2020-01
2020-02,4,-0.17589638763515547,1,-0.17589638763515547,0.5,0.9156398280694802,-0.04397409690878887,-1.1333879871655386,0,1,0,1,-0.17589638763515547,-0.17589638763515547,-0.17589638763515547,-0.17589638763515547,2020-02
2020-03,26,-0.8340473107146605,1,-0.8340473107146605,0.5,0.9378077640943658,-0.032078742719794634,-5.521388970922148,0,1,0,1,-0.8340473107146608,-0.8340473107146608,-0.8340473107146608,-0.8340473107146608,2020-03
2020-04,16,3.340563925933729,1,3.340563925933729,0.625,1.535524318824024,0.20878524537085807,-3.193110699767064,1,0,1,0,3.3405639259337288,3.3405639259337288,3.3405639259337288,3.3405639259337288,2020-04
2020-05,10,5.559247832991469,1,5.559247832991469,0.8,3.659451195442493,0.5559247832991469,-2.090374075116837,1,0,1,0,5.559247832991469,5.559247832991469,5.559247832991469,5.559247832991469,2020-05
2020-06,9,0.6341408809796782,1,0.6341408809796782,0.5555555555555556,1.1524163361937918,0.07046009788663092,-2.1752913015713773,1,0,1,0,0.634140880979678,0.634140880979678,0.634140880979678,0.634140880979678,2020-06
2020-07,6,5.7748104512511045,1,5.7748104512511045,1.0,inf,0.9624684085418508,0.0,1,0,1,0,5.7748104512511045,5.7748104512511045,5.7748104512511045,5.7748104512511045,2020-07
2020-08,20,9.389592167658847,1,9.389592167658847,0.75,2.8255487650899274,0.46947960838294234,-2.038207033744045,1,0,1,0,9.389592167658845,9.389592167658845,9.389592167658845,9.389592167658845,2020-08
2020-09,13,0.5396553034171085,1,0.5396553034171085,0.5384615384615384,1.0866142016096978,0.041511946416700654,-4.1644896547184445,1,0,1,0,0.5396553034171079,0.5396553034171079,0.5396553034171079,0.5396553034171079,2020-09
2020-10,7,2.7164557006066,1,2.7164557006066,0.7142857142857143,2.308656450004492,0.3880651000866572,-1.1061482055762903,1,0,1,0,2.7164557006066,2.7164557006066,2.7164557006066,2.7164557006066,2020-10
2020-11,9,0.6331098174326802,1,0.6331098174326802,0.5555555555555556,1.1521441713308282,0.0703455352702978,-2.17196987374626,1,0,1,0,0.6331098174326805,0.6331098174326805,0.6331098174326805,0.6331098174326805,2020-11
2020-12,9,2.1374527681342386,1,2.1374527681342386,0.6666666666666666,1.6860606183400233,0.2374947520149154,-2.0732276764471043,1,0,1,0,2.1374527681342386,2.1374527681342386,2.1374527681342386,2.1374527681342386,2020-12
2021-01,10,0.3397201995430057,1,0.3397201995430057,0.5,1.0759034624742312,0.03397201995430057,-3.4375814827247178,1,0,1,0,0.3397201995430057,0.3397201995430057,0.3397201995430057,0.3397201995430057,2021-01
2021-02,13,-0.22133016695604146,1,-0.22133016695604146,0.5384615384615384,0.9644387276586525,-0.017025397458157034,-4.135982845055031,0,1,0,1,-0.22133016695604146,-0.22133016695604146,-0.22133016695604146,-0.22133016695604146,2021-02
2021-03,8,-0.31380745047941083,1,-0.31380745047941083,0.5,0.9246319548941677,-0.039225931309926354,-3.1942739999577445,0,1,0,1,-0.31380745047941083,-0.31380745047941083,-0.31380745047941083,-0.31380745047941083,2021-03
2021-04,6,-0.5751194713759831,1,-0.5751194713759831,0.5,0.7384774515076772,-0.09585324522933052,-2.0747016853878373,0,1,0,1,-0.5751194713759831,-0.5751194713759831,-0.5751194713759831,-0.5751194713759831,2021-04
2021-05,6,0.5261430587694407,1,0.5261430587694407,0.5,1.2234635168329133,0.08769050979490678,-2.0946897981740653,1,0,1,0,0.5261430587694405,0.5261430587694405,0.5261430587694405,0.5261430587694405,2021-05
2021-06,6,-2.214922544272749,1,-2.214922544272749,0.3333333333333333,0.46613478919394163,-0.3691537573787915,-3.1253294390290107,0,1,0,1,-2.214922544272749,-2.214922544272749,-2.214922544272749,-2.214922544272749,2021-06
2021-08,7,3.4448328250674813,1,3.4448328250674813,0.7142857142857143,3.5228150935133065,0.4921189750096402,-1.0321844012935062,1,0,1,0,3.4448328250674813,3.4448328250674813,3.4448328250674813,3.4448328250674813,2021-08
2021-09,8,5.674636495926018,1,5.674636495926018,0.875,6.535379985286751,0.7093295619907523,-1.025157534082469,1,0,1,0,5.674636495926018,5.674636495926018,5.674636495926018,5.674636495926018,2021-09
2021-10,2,-0.07959800957403906,1,-0.07959800957403906,0.5,0.923285279833376,-0.03979900478701953,0.0,0,1,0,1,-0.07959800957403906,-0.07959800957403906,-0.07959800957403906,-0.07959800957403906,2021-10
2021-11,2,1.9394330462062144,1,1.9394330462062144,1.0,inf,0.9697165231031072,0.0,1,0,1,0,1.9394330462062144,1.9394330462062144,1.9394330462062144,1.9394330462062144,2021-11
2021-12,2,1.9176888075854794,1,1.9176888075854794,1.0,inf,0.9588444037927397,0.0,1,0,1,0,1.9176888075854794,1.9176888075854794,1.9176888075854794,1.9176888075854794,2021-12
