zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,trade_key,month_period,side,net_r
23415,15min,m15_2c_1atr,demand,4745.31,4736.02,2026-04-22 04:45:00+00:00,2026-04-22 04:00:00+00:00,2026-04-22 04:15:00+00:00,2026-04-22 04:30:00+00:00,2,1.5494451536874407,1.2772267504664483,0.1797631862217523,2026-04-22 15:45:00+00:00,2026-04-22 16:25:00+00:00,4747.15,4734.780000000001,12.36999999999898,11.0,True,466974,466975,7,4747.25,0.4371327849588906,1.1172190784156637,1.124494745351738,-1.276475343573263,1.0,tp1,2026,2026-04,2026-04-22,0.0242522231204547,0.9757477768795452,<=0.03R,3,3,2,1.0,5,3,2,1.0,2,2,0.8740581270183888,9,4,1.0,True,True,True,True,True,7,7,23,7,True,12,Wednesday,ny_main,bear,0.56,mid,inside,inside,1.4333766796705014,0.996353026987587,0.1464334096510732,-0.2655922743954094,True,value_low_half,hvn,False,True,-1.1790622473727026,0.7886178861788617,True,True,0.3891625615763494,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,2026-04-22 16:25:00+00:00|demand|4747.15,2026-04,1,0.9757477768795452
23424,15min,m15_2c_1atr,demand,4750.89,4739.23,2026-04-22 16:45:00+00:00,2026-04-22 16:00:00+00:00,2026-04-22 16:15:00+00:00,2026-04-22 16:30:00+00:00,2,1.516271186440744,1.3833898305085546,0.1672384219553765,2026-04-22 16:50:00+00:00,2026-04-22 16:55:00+00:00,4755.11,4737.8631428571425,17.246857142857152,0.0833333333333333,True,466980,466981,0,4755.13,0.2334682860998107,0.1368365250812079,1.2680571201378237,-1.236747067788743,-1.0,stop,2026,2026-04,2026-04-22,0.0173944735272678,-1.017394473527268,<=0.03R,6,4,2,0.6732418524871226,8,4,2,1.0,2,2,1.0,9,4,1.0,True,True,True,True,True,10,7,26,7,False,12,Wednesday,ny_main,bear,0.624,mid,inside,inside,1.372457873329387,0.2083333333332807,0.2384758047809912,0.0402674397650269,True,value_high_half,hvn,True,True,0.0469650785235937,0.759493670886076,True,True,0.3443508660416331,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,True,2026-04-22 16:55:00+00:00|demand|4755.11,2026-04,1,-1.017394473527268
23426,15min,m15_2c_1atr,supply,4740.22,4734.33,2026-04-22 18:45:00+00:00,2026-04-22 18:00:00+00:00,2026-04-22 18:15:00+00:00,2026-04-22 18:30:00+00:00,2,1.0133684283438091,0.5711712959756432,0.2937181663836107,2026-04-22 19:05:00+00:00,2026-04-22 19:15:00+00:00,4730.25,4741.169285714286,10.91928571428616,0.3333333333333333,True,467008,467009,1,4730.26,0.815270935960568,0.5806240596585229,1.7565251520899658,1.9460979917576229,-1.0,stop,2026,2026-04,2026-04-22,0.0274743245895193,-1.0274743245895197,<=0.03R,3,3,2,1.0,3,3,2,1.0,2,2,0.6366723259761955,2,2,0.6366723259761955,True,True,True,True,True,7,7,7,7,False,15,Wednesday,ny_main,bear,0.702,high,below,below,1.188043400158013,0.4545454545454948,-0.5527203553544889,-1.3107977063248086,True,value_low_half,mid_volume,False,True,-1.64616994832207,0.6078431372549019,False,False,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,2026-04-22 19:15:00+00:00|supply|4730.25,2026-04,-1,-1.0274743245895197
23438,15min,m15_2c_1atr,supply,4741.05,4729.9,2026-04-23 19:00:00+00:00,2026-04-23 18:15:00+00:00,2026-04-23 18:30:00+00:00,2026-04-23 18:45:00+00:00,2,1.2212825464473782,1.0394885796098132,0.243946188340818,2026-04-23 19:35:00+00:00,2026-04-23 20:05:00+00:00,4725.47,4742.217428571429,16.747428571428827,0.5833333333333334,True,467294,467295,5,4725.41,0.6638655462185535,4.035246349119628,0.8932714617169258,0.1683840589600452,1.0,tp1,2026,2026-04,2026-04-23,0.017913197761703,0.982086802238297,<=0.03R,6,3,2,0.8565022421524408,10,4,2,1.0,5,2,1.0,5,2,1.0,True,True,True,True,True,16,7,20,7,True,16,Thursday,ny_main,bear,0.77,high,above,above,1.5592395826665348,0.3557187827911864,-0.8719358793658054,-0.7701593485700822,True,value_low_half,hvn,True,True,-0.0164204312815393,0.8560606060606061,False,False,,True,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,2026-04-23 20:05:00+00:00|supply|4725.47,2026-04,-1,0.982086802238297
23442,15min,m15_2c_1atr,supply,4716.81,4710.78,2026-04-23 22:15:00+00:00,2026-04-23 21:15:00+00:00,2026-04-23 21:30:00+00:00,2026-04-23 22:00:00+00:00,3,1.249230769230778,0.3658504875406681,0.4825870646765404,2026-04-24 04:15:00+00:00,2026-04-24 04:30:00+00:00,4698.36,4718.065857142858,19.705857142857894,6.0,True,467383,467384,2,4698.26,1.0,2.0537041198772275,1.664479741338634,-0.3674034551003901,1.0,tp1,2026,2026-04,2026-04-24,0.0152239000732191,0.9847760999267808,<=0.03R,7,4,2,1.0,8,4,2,1.0,4,2,1.0,5,2,1.0,True,True,True,True,True,15,7,18,7,True,0,Friday,post_close,bear,0.502,mid,above,above,0.7208639308855449,0.0294860994102323,-0.9665020984109806,-1.0416552898949163,True,value_high_half,hvn,False,True,0.6112395879397517,0.903448275862069,True,False,0.2958384837247647,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,2026-04-24 04:30:00+00:00|supply|4698.36,2026-04,-1,0.9847760999267808
23449,15min,m15_2c_1atr,demand,4670.81,4659.51,2026-04-24 08:00:00+00:00,2026-04-24 07:15:00+00:00,2026-04-24 07:30:00+00:00,2026-04-24 07:45:00+00:00,2,1.534503271862043,1.1763831052944744,0.9318584070796084,2026-04-24 08:05:00+00:00,2026-04-24 08:15:00+00:00,4673.64,4658.644142857143,14.995857142856948,0.0833333333333333,True,467428,467429,1,4673.47,0.6438679245284465,4.453896790542205,0.4594602318735928,2.580712768288406,1.0,tp1,2026,2026-04,2026-04-24,0.0200055253355691,0.9799944746644308,<=0.03R,0,0,0,0.0,3,3,2,0.204424778761094,0,0,0.0,14,4,1.0,False,True,False,False,True,0,0,31,7,True,4,Friday,asia_late,bear,0.58,mid,below,below,0.6631696073756168,0.685358255451649,0.3284802435314386,-0.3821315500696769,True,below_value,lvn,False,False,-2.2066094445132847,0.0778443113772455,True,False,0.1130820399113113,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,2026-04-24 08:15:00+00:00|demand|4673.64,2026-04,1,0.9799944746644308
23452,15min,m15_2c_1atr,demand,4676.39,4666.75,2026-04-24 10:30:00+00:00,2026-04-24 09:45:00+00:00,2026-04-24 10:00:00+00:00,2026-04-24 10:15:00+00:00,2,1.4569086844937051,1.1173110356817917,0.1732365145228232,2026-04-24 13:30:00+00:00,2026-04-24 14:05:00+00:00,4689.64,4665.698,23.942000000000007,3.0,True,467498,467499,6,4689.52,0.8850837138508847,2.1213766602622983,0.7263386517417226,0.687912455099797,1.0,tp1,2026,2026-04,2026-04-24,0.012530281513658,0.987469718486342,<=0.03R,10,4,2,1.0,13,4,2,1.0,0,0,0.0,13,4,1.0,True,True,True,False,True,10,3,39,7,True,10,Friday,london_ny_overlap,bear,0.552,mid,above,above,0.6794234997150189,0.7592012529365484,1.3385443190343154,1.4531224467289607,True,value_low_half,mid_volume,False,True,-1.114359702614664,0.3233532934131736,True,False,0.1130820399113113,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,2026-04-24 14:05:00+00:00|demand|4689.64,2026-04,1,0.987469718486342
23462,15min,m15_2c_1atr,supply,4711.88,4705.43,2026-04-27 12:15:00+00:00,2026-04-27 11:30:00+00:00,2026-04-27 11:45:00+00:00,2026-04-27 12:00:00+00:00,2,1.175252588249878,1.1263564924534906,0.1767441860465674,2026-04-27 12:15:00+00:00,2026-04-27 12:30:00+00:00,4702.47,4712.600571428571,10.130571428570876,0.0,True,467755,467756,2,4702.49,0.6852589641435923,0.2911977888710248,1.0029049270948314,8.87215500465402,-1.0,stop,2026,2026-04,2026-04-27,0.0296133344614619,-1.029613334461462,<=0.03R,4,4,2,1.0,12,4,2,1.0,2,1,1.0,6,2,1.0,True,True,True,True,True,8,7,24,7,False,8,Monday,london_ny_overlap,bear,0.064,low,inside,inside,1.2930104153594524,0.8652849740931503,-0.5118368844406807,-1.017315246051009,True,value_low_half,mid_volume,True,True,-0.2561553430915814,0.5132743362831859,False,False,,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,2026-04-27 12:30:00+00:00|supply|4702.47,2026-04,-1,-1.029613334461462
23464,15min,m15_2c_1atr,demand,4708.55,4700.16,2026-04-27 15:15:00+00:00,2026-04-27 14:30:00+00:00,2026-04-27 14:45:00+00:00,2026-04-27 15:00:00+00:00,2,1.0486954430685271,1.4122880846460062,0.3134684147795001,2026-04-27 15:15:00+00:00,2026-04-27 15:20:00+00:00,4710.95,4699.37,11.579999999999927,0.0,True,467789,467790,0,4710.94,0.4604966139955414,0.1450777202072799,1.2003454231433268,-11.633851468048457,-1.0,stop,2026,2026-04,2026-04-27,0.0259067357512954,-1.0259067357512954,<=0.03R,3,2,1,0.7687723480333214,18,4,2,1.0,3,2,1.0,8,4,1.0,True,True,True,True,True,9,7,34,7,False,11,Monday,london_ny_overlap,bear,0.146,low,above,above,1.2145214521451977,0.4851851851851568,0.1340716662683291,-0.0521604799371942,True,value_low_half,hvn,False,True,-0.595423143350646,0.9557522123893806,False,False,,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,2026-04-27 15:20:00+00:00|demand|4710.95,2026-04,1,-1.0259067357512954
23470,15min,m15_2c_1atr,supply,4701.33,4691.84,2026-04-28 03:45:00+00:00,2026-04-28 03:00:00+00:00,2026-04-28 03:15:00+00:00,2026-04-28 03:30:00+00:00,2,1.0165823005759496,2.319078373188913,0.6448893572181277,2026-04-28 03:45:00+00:00,2026-04-28 04:00:00+00:00,4690.63,4702.025428571428,11.395428571428056,0.0,True,467929,467930,2,4690.68,0.7993630573245373,11.918814562230985,0.0719586801724779,8.615735633337092,1.0,tp1,2026,2026-04,2026-04-28,0.0263263464045744,0.9736736535954256,<=0.03R,4,4,2,1.0,12,4,2,1.0,5,4,1.0,10,4,1.0,True,True,True,True,True,14,7,32,7,True,0,Tuesday,post_close,bear,0.03,low,above,above,2.6537802026499846,0.5635528330781676,-0.689998608897593,-0.1774920558287739,True,value_high_half,mid_volume,True,True,0.2926612175308559,0.4471544715447154,False,False,,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,2026-04-28 04:00:00+00:00|supply|4690.63,2026-04,-1,0.9736736535954256
