,net_r,pf,max_dd_r
0.01,105.15636181028816,1.342761948918835,-17.724539625295982
0.05,122.5776018294965,1.4101963124198846,-14.717227734273806
0.5,164.44297978622976,1.5943483849082645,-9.308431151753332
0.95,208.13221596046503,1.8211973143929678,-6.45646591692642
0.99,224.2468668229321,1.919643123118742,-5.583860288069612
