segment,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
full_rule,2936,382.5612103817253,54.34869003964417,59.67302452316077,1.3078494977854362,0.130300139775792,-18.00845741951471,3.0179536633020927,5.228654170913805,9,-9.869879846164237,13,8,8,63,85
m15_boundary_only,736,164.63296160660326,23.388638361264814,64.40217391304348,1.5952361927851766,0.2236860891394066,-10.427482550700443,2.242980340417231,2.486000044098678,7,-7.54895309518019,13,8,8,62,85
inside_m15,2200,217.92824877512209,32.40972836527416,58.09090909090909,1.2255741232943016,0.09905829489778277,-21.445424993182392,1.5112653806384055,7.385132273872333,10,-10.536721634549167,14,7,8,51,82
