net_r,pf,max_dd_r
181.26407332800682,1.6779065290177835,-6.975901360083146
157.76469454043132,1.560771075929547,-7.9508490499195545
179.08754873117206,1.669677596134509,-8.387890241273212
161.18378696235226,1.5789766303554813,-9.481465539125665
130.10674156644905,1.44331345773309,-12.30710625493534
195.03092747944459,1.7568547423461647,-12.893981995503054
107.85057749029582,1.3504863259997821,-13.838036222937902
176.48024444932594,1.650335352609756,-10.892678824788462
180.16459973170868,1.6759813131957852,-7.675900125177776
112.97126056578344,1.3698953094351636,-18.50472716932755
159.98021265574585,1.5742159725034106,-8.190616938269454
161.60922523937984,1.5798512160052633,-13.239530497863612
156.27031726052078,1.5545682812613701,-8.258514464974311
157.58222587353723,1.5599251215138275,-6.7323277352443185
177.43038055127823,1.6562724241320765,-10.45996930493942
183.2795784698318,1.6854374831474308,-10.070887650723884
161.05979332809278,1.5816070447984973,-9.340807209950796
152.81363354404868,1.5404950324160875,-10.913451596031024
133.22718406770565,1.4546001212080781,-9.259775714983832
190.32229193682915,1.7252561226320826,-7.875069169423909
196.22308147285477,1.7561133742830852,-10.138012210997069
173.32287789609578,1.6366212032658676,-9.593505224458113
193.5493368959776,1.7458180334366893,-14.825240927390894
129.0778007390507,1.4411997476881075,-13.183539642613557
159.08133623589674,1.5677752278716102,-8.768162539270401
138.50699791197837,1.4781491833216869,-7.701130985778988
155.56093054377936,1.5532698249464527,-9.607509790072921
152.38743790084618,1.5389637838033594,-8.953854545787657
190.12314060280295,1.721578129810769,-6.671055250593213
152.4469872519602,1.5383058397723148,-10.148553251666414
136.04881969414515,1.4673642039108785,-12.302700897803303
156.35573222905077,1.5534275912817812,-7.759964966363974
143.5769381257603,1.4971138547035812,-17.777097568636833
126.32126642690261,1.424087249519138,-18.7411308716854
191.43693880839368,1.7225682050154512,-11.113513864370347
193.08239144687798,1.7450097363971084,-7.883199047072637
159.02545787675624,1.5692729357424167,-13.716962853032463
165.9842808148773,1.605799285864773,-6.434113116371179
175.9732741551435,1.6478466905197913,-7.87420388378159
163.36568267743866,1.5915025839901895,-7.428515542765442
126.48331055335392,1.4254609154845588,-10.191294225281482
186.33067947738067,1.7005470877704951,-8.900517415926792
178.2471428920551,1.660225755363344,-10.862206342529088
148.92456530083393,1.524334742053498,-9.16122562152681
200.97860494156618,1.7820702784098088,-7.203163008279148
176.15769223791682,1.6505922255103673,-9.67697607920445
233.2042885364638,1.970138801952716,-9.348765091684498
190.90127071513456,1.7294514349127934,-9.089475194867997
184.1567297885788,1.6926016730659414,-11.224280913641962
176.17660368623166,1.64838295019804,-7.376071311436652
187.52996674043322,1.7076184132235956,-9.059061357520193
190.64057688587275,1.7233193730033132,-8.583703278097001
164.96613180334825,1.5936726805419665,-10.838880491441813
142.36281178106776,1.4926098367810878,-11.030622453819177
191.58516445060926,1.7269351947765572,-11.769955559546531
160.43838548974742,1.576519913608845,-9.935457719922695
143.0616323254504,1.4957189055575049,-7.426217387803362
172.56024027031475,1.6335924005032214,-5.84031078796292
151.03860989114338,1.532840730033418,-10.800774874251893
172.54832886189965,1.6334909028181803,-9.683901782406181
180.86248074906706,1.6749902936489607,-9.788652058154092
161.50361107809897,1.5801445063164383,-9.593212747428
119.96853320618575,1.398934627980396,-8.70895673093267
193.83273376673048,1.744011022013447,-10.28271635761503
167.3417861942434,1.6078090840345856,-7.583352129459584
110.66274519316414,1.3622540405554693,-13.295205170408831
154.53237923519853,1.5482706400308501,-7.6535184104139375
186.40401073254813,1.70391924632415,-6.8507471822233015
149.898712112169,1.5295022749007794,-8.471269139588841
168.3068281498014,1.6193834993258542,-10.999167436729948
152.6534617733799,1.5412983128648687,-11.121840411639852
157.97074544600193,1.5626319806120719,-10.109087914640071
168.2640796557766,1.6142248580568235,-12.711191599871114
173.2952879596332,1.6327983329256712,-10.521811146638306
157.3855717457566,1.5614224531632144,-7.293164130044839
153.87983763532114,1.5430219549595594,-11.376339995601256
165.1301458594153,1.5958368329798456,-12.921003765922734
129.54015420790296,1.4406841659706515,-11.116154928541562
220.0017251327884,1.8918406715002085,-5.642583454527681
182.10562936336768,1.6803665959195893,-12.158992857985652
133.21329701171894,1.4543844572873812,-10.27723069196972
158.93016189525585,1.5714732445585806,-7.803191776207655
190.54880227769956,1.7243787963889063,-6.147842204851415
200.35089579740378,1.774072290788461,-7.756200379917061
154.86739147622418,1.5497236203601716,-8.301790219713823
199.08701222909008,1.7739405982687593,-8.055486879909623
146.48807252673504,1.5132067598582464,-10.086422606010196
132.83672595286802,1.4543911218829895,-10.421559971416823
151.1940049971335,1.5332365090923563,-13.956199185546822
169.31947424736248,1.613305952607716,-6.805571031280465
170.60433036751616,1.6249501528135828,-9.45545545192283
179.3074367067527,1.6699849755940104,-11.207091196935153
141.54961103906962,1.4907051623248126,-11.215759735103035
178.0901093883757,1.66117484472924,-8.105023436236495
172.94303249867795,1.637969391292979,-8.907726347296077
195.15635091377663,1.7476745937533609,-5.6959518743230575
171.89626229884323,1.6317518225246428,-8.459792818796302
108.9955382330858,1.3542463629760428,-12.518905121838173
192.44695542337854,1.7335920219108583,-7.0599429708606465
135.2911728617009,1.4608293234262046,-11.877160686584151
140.67008079971032,1.4871760168862065,-8.819555949156275
187.61333428649692,1.712020551023761,-6.502856346871589
194.86206867594558,1.7485267150722759,-9.207678315358464
160.13368292141985,1.574745412290541,-10.966752695683951
190.61264521666388,1.7279401624310808,-7.231105212901269
159.54017373659184,1.5701947866472057,-15.49273029088529
138.13740651711598,1.4759403716664716,-10.645441227945206
201.2069542814787,1.783733989574206,-10.126462501416057
141.02639678105112,1.4895703653005437,-8.62153910794147
189.43791769119633,1.718348813285656,-9.913640140923349
194.57854793481704,1.7490699673650718,-7.62967256973738
160.9067270897466,1.58083398689802,-11.778546696404618
131.9771341683242,1.4499424169779258,-8.623236094829167
212.76419493604425,1.848919215876368,-8.572623499954702
140.81492102648934,1.4865102813789237,-18.995881514236984
176.34473269685037,1.655437917968334,-12.203251600769207
171.6245754002926,1.6288305595062855,-14.419596716507158
171.45021037473816,1.6271498694781465,-7.2619815336585845
206.20700729819993,1.8131445649257776,-7.739482516172933
140.33128764461458,1.4840517575285206,-12.13439953188967
175.84440936014244,1.653912777757571,-8.685271363932316
111.88070931291396,1.3669657179670043,-12.021012901845747
166.63888462497405,1.605929069347073,-11.699104022235915
138.1648058187788,1.4751438632762162,-11.542066873903352
139.27737667060984,1.4820317216825818,-13.977912109998233
126.2706292665664,1.4275935297862028,-12.263401950403477
174.39981908609633,1.6403715533734913,-6.699787715171482
163.7471358576901,1.5893516338501896,-8.072409075205982
175.07034126774272,1.6517849632390484,-6.542637161177794
190.8239177087354,1.7249267486610296,-6.6284659873795135
196.96706885443427,1.75771531620291,-12.346273318823137
180.8008186640334,1.6788045988237876,-9.955120439861844
89.34020750294223,1.2835003046526436,-12.815674524218196
196.5832667994182,1.754324791051304,-10.473833244620039
187.507119982005,1.7094293527527222,-6.618100409050982
187.19123130966878,1.705296658310767,-10.601130516126346
172.5193297885342,1.6310363043331921,-7.811585849315662
127.96293056585176,1.4310080013994433,-12.141528727823527
185.03032415335593,1.6932262241746883,-14.056910533469903
186.08403955156592,1.7034229487509993,-6.638692871422663
178.1114185110984,1.6658205206508725,-6.9916972191960625
108.19448070511336,1.3543455658967454,-11.118443247824326
198.04756008861503,1.7601507506602798,-10.368070112678595
192.10150634754672,1.7351779992699397,-9.233740150661774
176.3279256168844,1.651308965581122,-12.882643969705079
196.05090476253935,1.7527808926639263,-9.132844398622865
223.96730558342506,1.9132273347394444,-5.52320090867885
177.90517576003552,1.6609165400660035,-7.7723338099234525
140.5067242402344,1.487303321217074,-9.259464888993051
201.18780589572083,1.7842777046848282,-6.902352380712671
146.19948702343416,1.5092623252486985,-8.721744890444745
116.01499769548107,1.3856161229650428,-11.946479019512754
130.43936475164628,1.4421074565782483,-8.812404264186483
162.45298185400262,1.5855002235304674,-10.81554332024163
134.63086994474892,1.460339827352332,-11.848259616488605
183.83939268233453,1.6872403771687028,-8.005122469646864
161.1445278837296,1.5776042143167814,-13.579177213992068
191.26131553135207,1.7309669652309194,-12.033026439407223
186.64888227140816,1.7005967192574956,-7.482396847691533
197.28349360933373,1.7620722260487225,-6.379900805755028
169.7972009878962,1.623378743489755,-9.19247936207617
154.55707590587997,1.5477105501149313,-9.659686416810246
146.1480332809574,1.509402354102588,-12.507597636917634
174.90433697428514,1.6442526124716177,-6.959921691533339
185.63955140838618,1.700943722781365,-9.033017412291258
175.01174040378575,1.6439329405773342,-8.424685641505448
169.52034098087486,1.6186486537154547,-9.629990987308886
179.35776282715648,1.6698497275152073,-6.816654191572567
150.30492586527117,1.5291996105868475,-8.928989354295965
176.64736419572628,1.6517364472365779,-9.069069865744154
