year,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2019,74,16.142952387998434,27.944139145575488,64.86486486486487,1.5812553494650419,0.2181480052432221,-5.202559389172016,5.3712292460774345,2.07398091659902,5,-5.202559389172018,6,1,1,4,7
2020,110,26.98187794719427,27.14912099232151,65.45454545454545,1.6698715635132608,0.24528979951994792,-10.427482550700443,2.603612219950234,4.115044852788752,7,-7.54895309518019,13,1,1,8,12
2021,73,21.41520074025323,22.412326849219177,68.4931506849315,1.8646450783337234,0.29335891425004423,-3.202919398870488,6.997468265084318,1.0628668821762417,3,-3.202919398870488,7,1,1,11,12
2022,108,26.020864627108516,26.622187128995474,65.74074074074075,1.6772751302250695,0.24093393173248626,-3.38016171463196,7.876009900281993,1.3117121038076602,3,-3.3282441727289838,7,1,1,9,12
2023,104,26.73963030649362,27.05443204832907,67.3076923076923,1.723049512332564,0.257111829870131,-4.315691994353173,6.268851457362617,1.1551531822583991,4,-4.31569199435317,7,1,1,11,12
2024,104,21.482951063438023,21.979405814904027,63.46153846153846,1.530763796263324,0.20656683714844254,-6.470096678191622,3.3970753310362007,1.8103036803583328,6,-6.326878358958464,10,1,1,9,12
2025,112,19.679189385407735,19.910869592853672,60.71428571428571,1.4324251226799833,0.17570704808399765,-8.372900187314574,2.378013489641234,3.655154668965504,5,-5.16262005371725,13,1,1,7,12
2026,51,6.170295148709413,13.414882756345913,56.86274509803921,1.2757207459756523,0.12098617938645909,-3.1457313674373757,4.26447181574635,1.2737101062530445,3,-3.0777595954207935,4,1,1,3,6
