year,events,unique_days,winners,losers,net_r,avg_r,expectancy_r,win_rate,profit_factor,max_dd_r
2019,11,10,6,5,0.6346510974185162,0.0576955543107742,0.0576955543107742,0.5454545454545454,1.122296406904592,-2.212749090924104
2020,61,54,37,24,10.830148328574705,0.17754341522253614,0.17754341522253614,0.6065573770491803,1.4446515352431213,-4.664106050775076
2021,34,31,24,10,10.69028600921885,0.3144201767417309,0.3144201767417309,0.7058823529411765,2.02849708758281,-3.203509985407499
2022,46,43,28,18,8.811846296855892,0.19156187601860636,0.19156187601860636,0.6086956521739131,1.538800763562761,-2.2364181228159175
2023,39,36,21,18,0.4766667799348152,0.012222225126533722,0.012222225126533722,0.5384615384615384,1.026543719894145,-6.004223720850926
2024,78,66,51,27,20.45735228061538,0.26227374718737667,0.26227374718737667,0.6538461538461539,1.7555780414999838,-6.214192732870469
2025,105,86,71,34,33.83966530125023,0.3222825266785736,0.3222825266785736,0.6761904761904762,1.9653250275907497,-4.347928317939029
2026,83,55,55,28,25.62332542175064,0.30871476411747756,0.30871476411747756,0.6626506024096386,1.9003177716481394,-4.099305742684195
