year,events,unique_days,winners,losers,net_r,avg_r,expectancy_r,win_rate,profit_factor,max_dd_r
2019,1,1,0,1,-1.0474533375514086,-1.0474533375514086,-1.0474533375514086,0.0,0.0,0.0
2020,29,29,18,11,5.925305796239419,0.2043208895254972,0.2043208895254972,0.6206896551724138,1.5191906097916514,-4.236969619712973
2021,9,9,6,3,4.065862534824902,0.4517625038694335,0.4517625038694335,0.6666666666666666,3.419415372750018,-1.3666456017859259
2022,19,17,12,7,4.937142742850454,0.2598496180447607,0.2598496180447607,0.631578947368421,1.7538865778671868,-1.3709598373325855
2023,11,11,7,4,2.564941746779316,0.23317652243448325,0.23317652243448325,0.6363636363636364,1.614080906452994,-2.094664506616056
2024,21,21,14,7,6.209413818571453,0.2956863723129263,0.2956863723129263,0.6666666666666666,1.8543805412468644,-2.155057559410611
2025,52,50,39,13,24.552173885224438,0.47215719010046997,0.47215719010046997,0.75,2.828778429334128,-2.1806084960598646
2026,46,35,36,10,25.170936495074205,0.5471942716320479,0.5471942716320479,0.782608695652174,3.476658624162636,-3.0439739391987732
