quantile,run,net_r,max_dd_r
0.01,29.990000000000002,65.70610908893497,-15.020842023260979
0.05,149.95000000000002,78.51010061526061,-12.319095621912183
0.5,1499.5,111.37039372024304,-7.6558371112675445
0.95,2849.0499999999997,143.99684315893492,-5.267278073022025
0.99,2969.0099999999998,156.89425014043317,-4.372539522949732
