mutation,rule,events,unique_days,winners,losers,net_r,avg_r,expectancy_r,win_rate,profit_factor,max_dd_r,positive_years,max_year_profit_share
drop_cost_le_0p05,body_ge_45+ema8_aligned+fast_confirm_1+orb_reversal,754,619,523,231,223.93027504154549,0.29698975469700994,0.29698975469700994,0.6936339522546419,1.8916898192706115,-7.498974069920578,7,0.19671781403453234
drop_fast_confirm_1,body_ge_45+cost_le_0p05+ema8_aligned+orb_reversal,462,355,338,124,205.98387357043453,0.4458525401957457,0.4458525401957457,0.7316017316017316,2.691048788732195,-7.60864412890262,7,0.42399430602667965
drop_body_ge_45,cost_le_0p05+ema8_aligned+fast_confirm_1+orb_reversal,292,242,203,89,107.36133805017587,0.36767581524032833,0.36767581524032833,0.6952054794520548,2.1975918464517665,-5.397970618094394,7,0.38532048322666873
base,body_ge_45+cost_le_0p05+ema8_aligned+fast_confirm_1+orb_reversal,188,173,132,56,72.37832368201278,0.3849910834149616,0.3849910834149616,0.7021276595744681,2.2988995695100667,-5.2799126486279455,7,0.34776898958948405
drop_orb_reversal,body_ge_45+cost_le_0p05+ema8_aligned+fast_confirm_1,815,595,443,372,46.17988127214696,0.056662431008769276,0.056662431008769276,0.5435582822085889,1.122509579658011,-12.55780209183924,5,0.46294886767333443
drop_ema8_aligned,body_ge_45+cost_le_0p05+fast_confirm_1+orb_reversal,291,249,169,122,40.190090054097226,0.13811027509999046,0.13811027509999046,0.5807560137457045,1.3247201456832756,-13.66457032283924,6,0.41533908577996304
