mutation,rule,events,unique_days,winners,losers,net_r,avg_r,expectancy_r,win_rate,profit_factor,max_dd_r,positive_years,max_year_profit_share
drop_base_body_low,cost_le_0p05+ema8_aligned+ny_main_or_overlap,1505,912,879,626,210.19033337478342,0.13966135107959032,0.13966135107959032,0.5840531561461794,1.3355215982452282,-17.255073759903794,8,0.3613261317679455
drop_cost_le_0p05,base_body_low+ema8_aligned+ny_main_or_overlap,1154,867,713,441,191.69194265807846,0.1661108688544874,0.1661108688544874,0.6178509532062392,1.4111327095761834,-14.123669380223504,8,0.26952064792862224
base,base_body_low+cost_le_0p05+ema8_aligned+ny_main_or_overlap,457,381,293,164,111.36394151561902,0.2436847735571532,0.2436847735571532,0.6411378555798687,1.675575837942837,-8.652863002236522,8,0.30386554966271684
drop_ny_main_or_overlap,base_body_low+cost_le_0p05+ema8_aligned,790,531,462,328,107.7729024054476,0.13642139544993367,0.13642139544993367,0.5848101265822785,1.3241769612734018,-18.51005358890659,6,0.4110640832863163
drop_ema8_aligned,base_body_low+cost_le_0p05+ny_main_or_overlap,742,540,392,350,16.598615600862434,0.02237010188795476,0.02237010188795476,0.5283018867924528,1.0466901617763367,-28.00522412444454,6,0.4902198884147327
