month,events,unique_days,winners,losers,net_r,avg_r,expectancy_r,win_rate,profit_factor,max_dd_r
2019-10,1,1,0,1,-1.0474533375514086,-1.0474533375514086,-1.0474533375514086,0.0,0.0,0.0
2020-01,1,1,0,1,-1.0429430289149737,-1.0429430289149737,-1.0429430289149737,0.0,0.0,0.0
2020-02,2,2,0,2,-2.075011592112677,-1.0375057960563385,-1.0375057960563385,0.0,0.0,-1.0265396135326748
2020-03,5,5,2,3,-1.1908057664870473,-0.23816115329740944,-0.23816115329740944,0.4,0.6178944575642953,-2.073408457305914
2020-04,8,8,6,2,3.715650868925612,0.4644563586157015,0.4644563586157015,0.75,2.8085029577044995,-1.0821403576811808
2020-05,1,1,0,1,-1.0498055212977888,-1.0498055212977888,-1.0498055212977888,0.0,0.0,0.0
2020-06,3,3,3,0,2.8669793731038222,0.9556597910346074,0.9556597910346074,1.0,inf,0.0
2020-07,1,1,1,0,0.9668293607543956,0.9668293607543956,0.9668293607543956,1.0,inf,0.0
2020-08,4,4,4,0,3.8691459266714268,0.9672864816678567,0.9672864816678567,1.0,inf,0.0
2020-09,2,2,1,1,-0.07251315930315139,-0.03625657965157569,-0.03625657965157569,0.5,0.9304105899919471,0.0
2020-10,2,2,1,1,-0.062220665100198635,-0.031110332550099318,-0.031110332550099318,0.5,0.9396988230404527,0.0
2021-01,2,2,1,1,0.6562931129361939,0.32814655646809693,0.32814655646809693,0.5,3.090978705863666,-0.3138688648984189
2021-02,1,1,1,0,0.9517418880411797,0.9517418880411797,0.9517418880411797,1.0,inf,0.0
2021-04,1,1,0,1,-1.0333582196241646,-1.0333582196241646,-1.0333582196241646,0.0,0.0,0.0
2021-08,1,1,0,1,-0.3332873821617613,-0.3332873821617613,-0.3332873821617613,0.0,0.0,0.0
2021-09,2,2,2,0,1.9086408646175679,0.9543204323087839,0.9543204323087839,1.0,inf,0.0
2021-10,1,1,1,0,0.9579865556978228,0.9579865556978228,0.9579865556978228,1.0,inf,0.0
2021-11,1,1,1,0,0.9578457153180632,0.9578457153180632,0.9578457153180632,1.0,inf,0.0
2022-02,3,3,2,1,0.8712840593661327,0.2904280197887109,0.2904280197887109,0.6666666666666666,1.839848675384192,0.0
2022-03,5,3,4,1,2.798167940013409,0.5596335880026818,0.5596335880026818,0.8,3.6777574428099116,-1.0449669171966318
2022-04,1,1,0,1,-1.0472451573713688,-1.0472451573713688,-1.0472451573713688,0.0,0.0,0.0
2022-05,1,1,1,0,0.9606844647470708,0.9606844647470708,0.9606844647470708,1.0,inf,0.0
2022-06,3,3,2,1,0.8857216340244491,0.29524054467481636,0.29524054467481636,0.6666666666666666,1.8648209403580782,0.0
2022-07,1,1,0,1,-0.3407605218504029,-0.3407605218504029,-0.3407605218504029,0.0,0.0,0.0
2022-09,1,1,0,1,-1.0301993154821825,-1.0301993154821825,-1.0301993154821825,0.0,0.0,0.0
2022-10,2,2,2,0,1.904672516753498,0.952336258376749,0.952336258376749,1.0,inf,0.0
2022-11,1,1,0,1,-1.024150422632396,-1.024150422632396,-1.024150422632396,0.0,0.0,0.0
2022-12,1,1,1,0,0.9589675452822448,0.9589675452822448,0.9589675452822448,1.0,inf,0.0
2023-01,1,1,0,1,-1.0395681419931035,-1.0395681419931035,-1.0395681419931035,0.0,0.0,0.0
2023-02,1,1,1,0,0.954624027657736,0.954624027657736,0.954624027657736,1.0,inf,0.0
2023-03,2,2,2,0,1.9114267764133333,0.9557133882066666,0.9557133882066666,1.0,inf,0.0
2023-04,1,1,1,0,0.9711292584343808,0.9711292584343808,0.9711292584343808,1.0,inf,0.0
2023-05,1,1,1,0,0.9702013537099308,0.9702013537099308,0.9702013537099308,1.0,inf,0.0
2023-07,1,1,0,1,-1.0458375169162264,-1.0458375169162264,-1.0458375169162264,0.0,0.0,0.0
2023-10,2,2,1,1,-0.07843781880304446,-0.03921890940152223,-0.03921890940152223,0.5,0.925213767786913,0.0
2023-11,1,1,1,0,0.964050329538646,0.964050329538646,0.964050329538646,1.0,inf,0.0
2023-12,1,1,0,1,-1.0426465212623364,-1.0426465212623364,-1.0426465212623364,0.0,0.0,0.0
2024-03,3,3,0,3,-3.1123024674984587,-1.0374341558328195,-1.0374341558328195,0.0,0.0,-2.073402052560697
2024-04,4,4,4,0,3.841419546544475,0.9603548866361188,0.9603548866361188,1.0,inf,0.0
2024-05,1,1,1,0,0.9607491308736116,0.9607491308736116,0.9607491308736116,1.0,inf,0.0
2024-06,3,3,2,1,0.8737643861273259,0.2912547953757753,0.2912547953757753,0.6666666666666666,1.8399481053572069,-1.0402599643411754
2024-07,1,1,0,1,-1.0496031746031729,-1.0496031746031729,-1.0496031746031729,0.0,0.0,0.0
2024-08,5,5,4,1,2.818210406372021,0.5636420812744042,0.5636420812744042,0.8,3.732288109977163,-1.031447011785143
2024-10,2,2,2,0,1.9447316874993092,0.9723658437496546,0.9723658437496546,1.0,inf,0.0
2024-11,2,2,1,1,-0.06755569674365924,-0.03377784837182962,-0.03377784837182962,0.5,0.9346735839245215,-1.0341252559394196
2025-02,5,4,4,1,2.829793051011526,0.5659586102023052,0.5659586102023052,0.8,3.779048734593142,0.0
2025-03,2,2,1,1,-0.08072986710963226,-0.04036493355481613,-0.04036493355481613,0.5,0.9229149788674113,-1.047283453043027
2025-04,9,9,8,1,6.8223523082744375,0.7580391453638264,0.7580391453638264,0.8888888888888888,7.613425603584964,-1.0315912988536864
2025-05,7,7,5,2,2.8338390676058087,0.4048341525151155,0.4048341525151155,0.7142857142857143,2.3765134232461116,-1.0329603063738952
2025-06,4,4,3,1,1.8532545204814042,0.46331363012035104,0.46331363012035104,0.75,2.7670489985523066,-1.0487850206755576
2025-07,2,2,0,2,-2.096447904742659,-1.0482239523713295,-1.0482239523713295,0.0,0.0,-1.0491814796599443
2025-08,2,2,2,0,1.9259543246610464,0.9629771623305232,0.9629771623305232,1.0,inf,0.0
2025-09,5,5,3,2,0.8513890691819164,0.17027781383638327,0.17027781383638327,0.6,1.4178703673457167,-1.022667415051164
2025-10,5,5,5,0,4.8982020858269015,0.9796404171653803,0.9796404171653803,1.0,inf,0.0
2025-11,4,4,3,1,1.9275282568327106,0.48188206420817764,0.48188206420817764,0.75,2.904436184613253,-1.0121254113978868
2025-12,7,6,5,2,2.787038973200979,0.398148424742997,0.398148424742997,0.7142857142857143,2.343279574465663,-1.1067852996616456
2026-01,9,7,7,2,4.8451269319211665,0.5383474368801296,0.5383474368801296,0.7777777777777778,3.3997102318154924,-2.019046661419451
2026-02,12,7,9,3,5.814043920679759,0.4845036600566466,0.4845036600566466,0.75,2.9100176403645936,-3.0439739391987732
2026-03,4,4,4,0,3.9426340460571003,0.9856585115142751,0.9856585115142751,1.0,inf,0.0
2026-04,7,6,5,2,2.882220711550418,0.411745815935774,0.411745815935774,0.7142857142857143,2.425839805195398,-1.0096450617283952
2026-05,11,8,8,3,4.752204311987224,0.4320185738170204,0.4320185738170204,0.7272727272727273,2.543512769515648,-2.057623541785361
2026-06,3,3,3,0,2.9347065728785324,0.9782355242928441,0.9782355242928441,1.0,inf,0.0
