cfg_id,lb,hold_h,ext,sl_buf,session,regime,direction,ptp,n,net_R,PF,MAR,WR_pct,pos_years,dollar_pnl,error
lb3_h2_ext1.0_sl0.02_london_any_long_ptp1.0,3,2,1.0,0.02,london,any,long,1.0,5153,1533.5,1.72,3.09,53.83,21/21,115009.0,
lb3_h2_ext1.0_sl0.02_london_any_long_ptp2.0,3,2,1.0,0.02,london,any,long,2.0,5153,1402.8,1.556,2.048,46.23,21/21,105208.0,
lb3_h2_ext1.0_sl0.02_london_any_short_ptpnone,3,2,1.0,0.02,london,any,short,,5166,274.7,1.102,0.097,42.12,14/21,20604.0,
lb3_h2_ext1.0_sl0.02_london_any_short_ptp1.0,3,2,1.0,0.02,london,any,short,1.0,5166,1606.8,1.769,2.661,54.1,21/21,120513.0,
lb3_h2_ext1.0_sl0.02_london_any_short_ptp2.0,3,2,1.0,0.02,london,any,short,2.0,5166,1576.9,1.634,2.252,45.97,21/21,118270.0,
lb3_h2_ext1.0_sl0.02_london_bull_long_ptpnone,3,2,1.0,0.02,london,bull,long,,3426,173.4,1.096,0.095,43.17,14/21,13002.0,
lb3_h2_ext1.0_sl0.02_london_bull_long_ptp1.0,3,2,1.0,0.02,london,bull,long,1.0,3426,1057.0,1.752,2.62,54.9,20/21,79276.0,
lb3_h2_ext1.0_sl0.02_london_bull_long_ptp2.0,3,2,1.0,0.02,london,bull,long,2.0,3426,961.0,1.576,1.499,47.14,20/21,72078.0,
lb3_h2_ext1.0_sl0.02_london_bull_short_ptpnone,3,2,1.0,0.02,london,bull,short,,3527,177.6,1.095,0.086,41.05,15/21,13321.0,
lb3_h2_ext1.0_sl0.02_london_bull_short_ptp1.0,3,2,1.0,0.02,london,bull,short,1.0,3527,1094.1,1.754,1.818,53.33,20/21,82058.0,
lb3_h2_ext1.0_sl0.02_london_bull_short_ptp2.0,3,2,1.0,0.02,london,bull,short,2.0,3527,1080.4,1.625,1.548,44.74,20/21,81033.0,
lb3_h2_ext1.0_sl0.02_london_bear_long_ptpnone,3,2,1.0,0.02,london,bear,long,,1727,45.2,1.049,0.02,40.82,11/18,3389.0,
lb3_h2_ext1.0_sl0.02_london_bear_long_ptp1.0,3,2,1.0,0.02,london,bear,long,1.0,1727,476.4,1.659,0.928,51.71,16/18,35733.0,
lb3_h2_ext1.0_sl0.02_london_bear_long_ptp2.0,3,2,1.0,0.02,london,bear,long,2.0,1727,441.7,1.518,0.71,44.41,16/18,33130.0,
lb3_h2_ext1.0_sl0.02_london_bear_short_ptpnone,3,2,1.0,0.02,london,bear,short,,1639,97.1,1.118,0.072,44.42,10/18,7283.0,
lb3_h2_ext1.0_sl0.02_london_bear_short_ptp1.0,3,2,1.0,0.02,london,bear,short,1.0,1639,512.7,1.804,1.168,55.77,14/18,38455.0,
lb3_h2_ext1.0_sl0.02_london_bear_short_ptp2.0,3,2,1.0,0.02,london,bear,short,2.0,1639,496.5,1.656,0.852,48.63,14/18,37236.0,
lb3_h2_ext1.0_sl0.02_london_bull_strong_long_ptpnone,3,2,1.0,0.02,london,bull_strong,long,,3157,152.5,1.091,0.072,42.83,11/20,11439.0,
lb3_h2_ext1.0_sl0.02_london_bull_strong_long_ptp1.0,3,2,1.0,0.02,london,bull_strong,long,1.0,3157,975.7,1.75,2.227,54.89,19/20,73176.0,
lb3_h2_ext1.0_sl0.02_london_bull_strong_long_ptp2.0,3,2,1.0,0.02,london,bull_strong,long,2.0,3157,879.5,1.568,1.372,46.94,19/20,65962.0,
lb3_h2_ext1.0_sl0.02_london_bull_strong_short_ptpnone,3,2,1.0,0.02,london,bull_strong,short,,3259,169.0,1.098,0.101,40.96,14/21,12678.0,
lb3_h2_ext1.0_sl0.02_london_bull_strong_short_ptp1.0,3,2,1.0,0.02,london,bull_strong,short,1.0,3259,1016.8,1.757,1.69,53.21,21/21,76263.0,
lb3_h2_ext1.0_sl0.02_london_bull_strong_short_ptp2.0,3,2,1.0,0.02,london,bull_strong,short,2.0,3259,1003.9,1.628,1.439,44.68,20/21,75293.0,
lb3_h2_ext1.0_sl0.02_london_bear_strong_long_ptpnone,3,2,1.0,0.02,london,bear_strong,long,,1399,40.7,1.055,0.021,41.03,10/14,3053.0,
lb3_h2_ext1.0_sl0.02_london_bear_strong_long_ptp1.0,3,2,1.0,0.02,london,bear_strong,long,1.0,1399,394.0,1.676,0.845,51.89,12/14,29548.0,
lb3_h2_ext1.0_sl0.02_london_bear_strong_long_ptp2.0,3,2,1.0,0.02,london,bear_strong,long,2.0,1399,360.4,1.523,0.653,44.89,12/14,27030.0,
lb3_h2_ext1.0_sl0.02_london_bear_strong_short_ptpnone,3,2,1.0,0.02,london,bear_strong,short,,1299,85.4,1.134,0.066,44.73,8/14,6406.0,
lb3_h2_ext1.0_sl0.02_london_bear_strong_short_ptp1.0,3,2,1.0,0.02,london,bear_strong,short,1.0,1299,407.9,1.821,0.827,56.2,12/14,30591.0,
lb3_h2_ext1.0_sl0.02_london_bear_strong_short_ptp2.0,3,2,1.0,0.02,london,bear_strong,short,2.0,1299,399.0,1.682,0.521,48.88,12/14,29922.0,
lb3_h2_ext1.0_sl0.02_ny_any_long_ptpnone,3,2,1.0,0.02,ny,any,long,,5178,74.1,1.034,0.025,44.59,10/21,5559.0,
lb3_h2_ext1.0_sl0.02_ny_any_long_ptp1.0,3,2,1.0,0.02,ny,any,long,1.0,5178,1126.2,1.629,2.662,52.74,21/21,84463.0,
lb3_h2_ext1.0_sl0.02_ny_any_long_ptp2.0,3,2,1.0,0.02,ny,any,long,2.0,5178,866.3,1.418,1.309,46.81,20/21,64970.0,
lb3_h2_ext1.0_sl0.02_ny_any_short_ptpnone,3,2,1.0,0.02,ny,any,short,,5395,-276.0,0.888,-0.045,40.19,4/21,-20700.0,
lb3_h2_ext1.0_sl0.02_ny_any_short_ptp1.0,3,2,1.0,0.02,ny,any,short,1.0,5395,777.0,1.38,1.555,48.6,21/21,58275.0,
lb3_h2_ext1.0_sl0.02_ny_any_short_ptp2.0,3,2,1.0,0.02,ny,any,short,2.0,5395,582.7,1.249,0.831,42.65,20/21,43703.0,
lb3_h2_ext1.0_sl0.02_ny_bull_long_ptpnone,3,2,1.0,0.02,ny,bull,long,,3391,126.5,1.089,0.074,46.03,11/21,9484.0,
lb3_h2_ext1.0_sl0.02_ny_bull_long_ptp1.0,3,2,1.0,0.02,ny,bull,long,1.0,3391,809.0,1.702,1.698,54.35,19/21,60678.0,
lb3_h2_ext1.0_sl0.02_ny_bull_long_ptp2.0,3,2,1.0,0.02,ny,bull,long,2.0,3391,647.3,1.484,1.118,48.22,17/21,48550.0,
lb3_h2_ext1.0_sl0.02_ny_bull_short_ptpnone,3,2,1.0,0.02,ny,bull,short,,3689,-252.3,0.853,-0.046,38.74,3/21,-18925.0,
lb3_h2_ext1.0_sl0.02_ny_bull_short_ptp1.0,3,2,1.0,0.02,ny,bull,short,1.0,3689,482.1,1.34,0.968,47.9,20/21,36159.0,
lb3_h2_ext1.0_sl0.02_ny_bull_short_ptp2.0,3,2,1.0,0.02,ny,bull,short,2.0,3689,345.6,1.213,0.495,41.42,19/21,25918.0,
lb3_h2_ext1.0_sl0.02_ny_bear_long_ptpnone,3,2,1.0,0.02,ny,bear,long,,1785,-51.1,0.935,-0.026,41.9,10/18,-3830.0,
lb3_h2_ext1.0_sl0.02_ny_bear_long_ptp1.0,3,2,1.0,0.02,ny,bear,long,1.0,1785,317.9,1.499,0.752,49.69,16/18,23843.0,
lb3_h2_ext1.0_sl0.02_ny_bear_long_ptp2.0,3,2,1.0,0.02,ny,bear,long,2.0,1785,219.2,1.297,0.331,44.15,14/18,16440.0,
lb3_h2_ext1.0_sl0.02_ny_bear_short_ptpnone,3,2,1.0,0.02,ny,bear,short,,1706,-23.7,0.968,-0.015,43.32,6/18,-1775.0,
lb3_h2_ext1.0_sl0.02_ny_bear_short_ptp1.0,3,2,1.0,0.02,ny,bear,short,1.0,1706,294.9,1.47,0.907,50.12,14/18,22116.0,
lb3_h2_ext1.0_sl0.02_ny_bear_short_ptp2.0,3,2,1.0,0.02,ny,bear,short,2.0,1706,237.1,1.333,0.373,45.31,11/18,17785.0,
lb3_h2_ext1.0_sl0.02_ny_bull_strong_long_ptpnone,3,2,1.0,0.02,ny,bull_strong,long,,3148,139.5,1.107,0.088,46.35,12/20,10459.0,
lb3_h2_ext1.0_sl0.02_ny_bull_strong_long_ptp1.0,3,2,1.0,0.02,ny,bull_strong,long,1.0,3148,771.8,1.725,1.339,54.54,17/20,57882.0,
lb3_h2_ext1.0_sl0.02_ny_bull_strong_long_ptp2.0,3,2,1.0,0.02,ny,bull_strong,long,2.0,3148,624.1,1.507,0.93,48.57,16/20,46810.0,
lb3_h2_ext1.0_sl0.02_ny_bull_strong_short_ptpnone,3,2,1.0,0.02,ny,bull_strong,short,,3417,-233.3,0.854,-0.046,38.72,4/21,-17499.0,
lb3_h2_ext1.0_sl0.02_ny_bull_strong_short_ptp1.0,3,2,1.0,0.02,ny,bull_strong,short,1.0,3417,446.2,1.338,0.896,47.88,20/21,33466.0,
lb3_h2_ext1.0_sl0.02_ny_bull_strong_short_ptp2.0,3,2,1.0,0.02,ny,bull_strong,short,2.0,3417,320.7,1.212,0.459,41.44,18/21,24050.0,
lb3_h2_ext1.0_sl0.02_ny_bear_strong_long_ptpnone,3,2,1.0,0.02,ny,bear_strong,long,,1419,-49.9,0.919,-0.028,41.86,6/14,-3743.0,
lb3_h2_ext1.0_sl0.02_ny_bear_strong_long_ptp1.0,3,2,1.0,0.02,ny,bear_strong,long,1.0,1419,251.3,1.505,0.594,49.75,12/14,18847.0,
lb3_h2_ext1.0_sl0.02_ny_bear_strong_long_ptp2.0,3,2,1.0,0.02,ny,bear_strong,long,2.0,1419,163.8,1.282,0.248,44.26,11/14,12282.0,
lb3_h2_ext1.0_sl0.02_ny_bear_strong_short_ptpnone,3,2,1.0,0.02,ny,bear_strong,short,,1358,-8.5,0.986,-0.007,43.52,5/14,-634.0,
lb3_h2_ext1.0_sl0.02_ny_bear_strong_short_ptp1.0,3,2,1.0,0.02,ny,bear_strong,short,1.0,1358,251.5,1.512,0.778,50.29,11/14,18863.0,
lb3_h2_ext1.0_sl0.02_ny_bear_strong_short_ptp2.0,3,2,1.0,0.02,ny,bear_strong,short,2.0,1358,204.4,1.367,0.31,45.43,10/14,15332.0,
lb3_h2_ext1.0_sl0.02_london_ny_any_long_ptpnone,3,2,1.0,0.02,london_ny,any,long,,8100,117.6,1.031,0.025,43.4,13/21,8821.0,
lb3_h2_ext1.0_sl0.02_london_ny_any_long_ptp1.0,3,2,1.0,0.02,london_ny,any,long,1.0,8100,1914.7,1.62,4.307,52.7,21/21,143599.0,
lb3_h2_ext1.0_sl0.02_london_ny_any_long_ptp2.0,3,2,1.0,0.02,london_ny,any,long,2.0,8100,1611.5,1.447,2.128,46.23,21/21,120863.0,
lb3_h2_ext1.0_sl0.02_london_ny_any_short_ptpnone,3,2,1.0,0.02,london_ny,any,short,,8217,-163.7,0.959,-0.025,40.76,10/21,-12276.0,
lb3_h2_ext1.0_sl0.02_london_ny_any_short_ptp1.0,3,2,1.0,0.02,london_ny,any,short,1.0,8217,1656.3,1.509,2.247,50.53,21/21,124224.0,
lb3_h2_ext1.0_sl0.02_london_ny_any_short_ptp2.0,3,2,1.0,0.02,london_ny,any,short,2.0,8217,1440.0,1.38,1.584,43.68,21/21,107998.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_long_ptpnone,3,2,1.0,0.02,london_ny,bull,long,,5356,133.0,1.053,0.047,44.21,13/21,9972.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_long_ptp1.0,3,2,1.0,0.02,london_ny,bull,long,1.0,5356,1315.1,1.648,2.308,53.77,20/21,98634.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_long_ptp2.0,3,2,1.0,0.02,london_ny,bull,long,2.0,5356,1113.8,1.47,1.203,47.07,20/21,83539.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_short_ptpnone,3,2,1.0,0.02,london_ny,bull,short,,5621,-127.2,0.954,-0.03,39.94,9/21,-9540.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_short_ptp1.0,3,2,1.0,0.02,london_ny,bull,short,1.0,5621,1124.7,1.498,1.531,49.99,21/21,84354.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_short_ptp2.0,3,2,1.0,0.02,london_ny,bull,short,2.0,5621,991.1,1.377,1.094,42.84,20/21,74332.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_long_ptpnone,3,2,1.0,0.02,london_ny,bear,long,,2742,-14.1,0.989,-0.005,41.83,10/18,-1056.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_long_ptp1.0,3,2,1.0,0.02,london_ny,bear,long,1.0,2742,600.3,1.567,1.36,50.62,17/18,45023.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_long_ptp2.0,3,2,1.0,0.02,london_ny,bear,long,2.0,2742,497.9,1.405,0.805,44.6,16/18,37344.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_short_ptpnone,3,2,1.0,0.02,london_ny,bear,short,,2596,-36.5,0.971,-0.014,42.53,7/18,-2736.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_short_ptp1.0,3,2,1.0,0.02,london_ny,bear,short,1.0,2596,531.6,1.533,1.098,51.69,15/18,39870.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_short_ptp2.0,3,2,1.0,0.02,london_ny,bear,short,2.0,2596,448.9,1.385,0.584,45.49,13/18,33666.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_strong_long_ptpnone,3,2,1.0,0.02,london_ny,bull_strong,long,,4947,140.9,1.06,0.047,44.23,12/20,10569.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_strong_long_ptp1.0,3,2,1.0,0.02,london_ny,bull_strong,long,1.0,4947,1235.7,1.659,2.169,53.85,18/20,92680.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_strong_long_ptp2.0,3,2,1.0,0.02,london_ny,bull_strong,long,2.0,4947,1048.1,1.479,1.132,47.18,18/20,78608.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_strong_short_ptpnone,3,2,1.0,0.02,london_ny,bull_strong,short,,5198,-117.9,0.954,-0.033,39.82,9/21,-8843.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_strong_short_ptp1.0,3,2,1.0,0.02,london_ny,bull_strong,short,1.0,5198,1035.0,1.493,1.409,49.81,21/21,77623.0,
lb3_h2_ext1.0_sl0.02_london_ny_bull_strong_short_ptp2.0,3,2,1.0,0.02,london_ny,bull_strong,short,2.0,5198,912.4,1.374,1.007,42.73,20/21,68432.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_strong_long_ptpnone,3,2,1.0,0.02,london_ny,bear_strong,long,,2204,-10.0,0.991,-0.004,41.83,10/14,-753.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_strong_long_ptp1.0,3,2,1.0,0.02,london_ny,bear_strong,long,1.0,2204,492.3,1.584,1.269,50.68,13/14,36923.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_strong_long_ptp2.0,3,2,1.0,0.02,london_ny,bear_strong,long,2.0,2204,402.8,1.409,0.651,44.83,12/14,30210.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_strong_short_ptpnone,3,2,1.0,0.02,london_ny,bear_strong,short,,2066,-20.4,0.979,-0.01,42.59,6/14,-1528.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_strong_short_ptp1.0,3,2,1.0,0.02,london_ny,bear_strong,short,1.0,2066,435.5,1.554,0.814,51.98,12/14,32660.0,
lb3_h2_ext1.0_sl0.02_london_ny_bear_strong_short_ptp2.0,3,2,1.0,0.02,london_ny,bear_strong,short,2.0,2066,365.0,1.399,0.368,45.55,11/14,27373.0,
lb3_h2_ext1.0_sl0.1_all_any_long_ptpnone,3,2,1.0,0.1,all,any,long,,13001,-395.0,0.933,-0.035,43.8,6/21,-29628.0,
lb3_h2_ext1.0_sl0.1_all_any_long_ptp1.0,3,2,1.0,0.1,all,any,long,1.0,13001,2267.0,1.46,2.483,51.7,21/21,170028.0,
lb3_h2_ext1.0_sl0.1_all_any_long_ptp2.0,3,2,1.0,0.1,all,any,long,2.0,13001,1722.1,1.307,1.108,45.97,20/21,129160.0,
lb3_h2_ext1.0_sl0.1_all_any_short_ptpnone,3,2,1.0,0.1,all,any,short,,13056,-803.2,0.868,-0.046,41.06,4/21,-60239.0,
lb3_h2_ext1.0_sl0.1_all_any_short_ptp1.0,3,2,1.0,0.1,all,any,short,1.0,13056,1830.3,1.358,2.946,48.82,21/21,137274.0,
lb3_h2_ext1.0_sl0.1_all_any_short_ptp2.0,3,2,1.0,0.1,all,any,short,2.0,13056,1311.7,1.226,1.587,43.08,21/21,98375.0,
lb3_h2_ext1.0_sl0.1_all_bull_long_ptpnone,3,2,1.0,0.1,all,bull,long,,8597,-194.8,0.95,-0.025,44.43,9/21,-14609.0,
lb3_h2_ext1.0_sl0.1_all_bull_long_ptp1.0,3,2,1.0,0.1,all,bull,long,1.0,8597,1569.8,1.486,1.629,52.4,20/21,117736.0,
lb3_h2_ext1.0_sl0.1_all_bull_long_ptp2.0,3,2,1.0,0.1,all,bull,long,2.0,8597,1196.5,1.325,0.742,46.71,19/21,89734.0,
lb3_h2_ext1.0_sl0.1_all_bull_short_ptpnone,3,2,1.0,0.1,all,bull,short,,8834,-507.9,0.876,-0.045,40.51,6/21,-38089.0,
lb3_h2_ext1.0_sl0.1_all_bull_short_ptp1.0,3,2,1.0,0.1,all,bull,short,1.0,8834,1286.0,1.373,2.417,48.45,21/21,96449.0,
lb3_h2_ext1.0_sl0.1_all_bull_short_ptp2.0,3,2,1.0,0.1,all,bull,short,2.0,8834,933.4,1.238,1.314,42.52,21/21,70004.0,
lb3_h2_ext1.0_sl0.1_all_bear_long_ptpnone,3,2,1.0,0.1,all,bear,long,,4407,-200.0,0.902,-0.036,42.59,5/18,-15004.0,
lb3_h2_ext1.0_sl0.1_all_bear_long_ptp1.0,3,2,1.0,0.1,all,bear,long,1.0,4407,697.0,1.409,0.875,50.35,15/18,52277.0,
lb3_h2_ext1.0_sl0.1_all_bear_long_ptp2.0,3,2,1.0,0.1,all,bear,long,2.0,4407,524.9,1.27,0.651,44.54,16/18,39366.0,
lb3_h2_ext1.0_sl0.1_all_bear_short_ptpnone,3,2,1.0,0.1,all,bear,short,,4227,-301.0,0.849,-0.046,42.16,2/18,-22579.0,
lb3_h2_ext1.0_sl0.1_all_bear_short_ptp1.0,3,2,1.0,0.1,all,bear,short,1.0,4227,538.6,1.323,0.889,49.54,15/18,40397.0,
lb3_h2_ext1.0_sl0.1_all_bear_short_ptp2.0,3,2,1.0,0.1,all,bear,short,2.0,4227,372.6,1.196,0.392,44.22,12/18,27942.0,
lb3_h2_ext1.0_sl0.1_all_bull_strong_long_ptpnone,3,2,1.0,0.1,all,bull_strong,long,,7927,-168.0,0.953,-0.022,44.51,8/21,-12597.0,
lb3_h2_ext1.0_sl0.1_all_bull_strong_long_ptp1.0,3,2,1.0,0.1,all,bull_strong,long,1.0,7927,1475.9,1.495,1.532,52.55,18/21,110695.0,
lb3_h2_ext1.0_sl0.1_all_bull_strong_long_ptp2.0,3,2,1.0,0.1,all,bull_strong,long,2.0,7927,1106.6,1.326,0.686,46.8,17/21,82994.0,
lb3_h2_ext1.0_sl0.1_all_bull_strong_short_ptpnone,3,2,1.0,0.1,all,bull_strong,short,,8164,-448.3,0.881,-0.045,40.52,7/21,-33621.0,
lb3_h2_ext1.0_sl0.1_all_bull_strong_short_ptp1.0,3,2,1.0,0.1,all,bull_strong,short,1.0,8164,1204.2,1.378,2.263,48.48,21/21,90316.0,
lb3_h2_ext1.0_sl0.1_all_bull_strong_short_ptp2.0,3,2,1.0,0.1,all,bull_strong,short,2.0,8164,894.1,1.247,1.22,42.56,21/21,67060.0,
