rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.05,2R,0,"(1,)",7074,1054,0.308,-5086.3,-0.15,0.355,-5083.5,0/8,1.13,False
15min,2,0.05,2R,0,"(-1,)",7550,1125,0.314,-5217.4,-0.15,0.358,-5230.3,0/8,1.15,False
15min,2,0.05,2R,0,"(1, -1)",14624,2178,0.311,-10303.8,-0.15,0.357,-10304.9,0/8,1.14,False
15min,2,0.05,2R,1,"(1,)",3943,588,0.319,-2752.8,-0.15,0.362,-2760.2,0/8,1.13,False
15min,2,0.05,2R,1,"(-1,)",2843,423,0.315,-1960.3,-0.15,0.361,-1962.9,0/8,1.15,False
15min,2,0.05,2R,1,"(1, -1)",6786,1011,0.317,-4713.1,-0.15,0.362,-4715.0,0/8,1.14,False
15min,2,0.05,3R,0,"(1,)",7074,1054,0.496,-3775.4,-0.14,0.365,-3878.2,1/8,1.79,False
15min,2,0.05,3R,0,"(-1,)",7550,1125,0.507,-3830.9,-0.15,0.364,-3924.8,1/8,1.82,False
15min,2,0.05,3R,0,"(1, -1)",14624,2178,0.502,-7606.3,-0.15,0.364,-7776.7,1/8,1.81,False
15min,2,0.05,3R,1,"(1,)",3943,588,0.524,-1957.2,-0.14,0.376,-2046.7,1/8,1.79,False
15min,2,0.05,3R,1,"(-1,)",2843,423,0.516,-1407.8,-0.14,0.367,-1450.0,1/8,1.81,False
15min,2,0.05,3R,1,"(1, -1)",6786,1011,0.52,-3365.1,-0.14,0.373,-3486.0,1/8,1.8,False
15min,2,0.1,2R,0,"(1,)",7124,1061,0.323,-4937.3,-0.15,0.359,-4938.0,0/8,1.15,False
15min,2,0.1,2R,0,"(-1,)",7628,1136,0.327,-5105.0,-0.15,0.361,-5121.3,0/8,1.17,False
15min,2,0.1,2R,0,"(1, -1)",14752,2197,0.325,-10042.4,-0.15,0.36,-10052.2,0/8,1.16,False
15min,2,0.1,2R,1,"(1,)",3967,591,0.335,-2659.4,-0.15,0.367,-2670.5,0/8,1.15,False
15min,2,0.1,2R,1,"(-1,)",2873,428,0.327,-1919.9,-0.15,0.363,-1926.1,0/8,1.17,False
15min,2,0.1,2R,1,"(1, -1)",6840,1019,0.331,-4579.3,-0.15,0.365,-4583.3,0/8,1.16,False
15min,2,0.1,3R,0,"(1,)",7124,1061,0.51,-3653.5,-0.14,0.364,-3756.8,1/8,1.82,False
15min,2,0.1,3R,0,"(-1,)",7628,1136,0.524,-3696.6,-0.14,0.367,-3802.1,1/8,1.85,False
15min,2,0.1,3R,0,"(1, -1)",14752,2197,0.517,-7350.1,-0.15,0.366,-7535.1,1/8,1.84,False
15min,2,0.1,3R,1,"(1,)",3967,591,0.539,-1886.2,-0.14,0.376,-1977.3,1/8,1.81,False
15min,2,0.1,3R,1,"(-1,)",2873,428,0.532,-1357.5,-0.14,0.371,-1403.2,1/8,1.84,False
15min,2,0.1,3R,1,"(1, -1)",6840,1019,0.536,-3243.7,-0.14,0.374,-3367.7,1/8,1.83,False
15min,2,0.25,2R,0,"(1,)",7270,1083,0.361,-4577.9,-0.15,0.367,-4579.7,1/8,1.21,False
15min,2,0.25,2R,0,"(-1,)",7816,1164,0.368,-4723.6,-0.15,0.373,-4738.1,0/8,1.23,False
15min,2,0.25,2R,0,"(1, -1)",15086,2247,0.365,-9301.5,-0.15,0.37,-9310.5,0/8,1.22,False
15min,2,0.25,2R,1,"(1,)",4040,602,0.376,-2447.6,-0.15,0.377,-2465.7,1/8,1.2,False
15min,2,0.25,2R,1,"(-1,)",2962,441,0.371,-1772.5,-0.15,0.374,-1777.4,0/8,1.22,False
15min,2,0.25,2R,1,"(1, -1)",7002,1043,0.374,-4220.1,-0.15,0.376,-4227.6,0/8,1.21,False
15min,2,0.25,3R,0,"(1,)",7270,1083,0.549,-3345.0,-0.14,0.367,-3436.5,1/8,1.9,False
15min,2,0.25,3R,0,"(-1,)",7816,1164,0.562,-3407.0,-0.15,0.368,-3487.1,1/8,1.93,False
15min,2,0.25,3R,0,"(1, -1)",15086,2247,0.555,-6752.0,-0.15,0.368,-6902.6,1/8,1.91,False
15min,2,0.25,3R,1,"(1,)",4040,602,0.577,-1716.2,-0.14,0.379,-1798.4,1/8,1.89,False
15min,2,0.25,3R,1,"(-1,)",2962,441,0.575,-1241.7,-0.14,0.374,-1291.1,1/8,1.92,False
15min,2,0.25,3R,1,"(1, -1)",7002,1043,0.576,-2958.0,-0.14,0.377,-3076.5,1/8,1.91,False
15min,2,0.5,2R,0,"(1,)",7517,1120,0.41,-4182.6,-0.15,0.378,-4186.9,1/8,1.28,False
15min,2,0.5,2R,0,"(-1,)",8078,1203,0.424,-4251.7,-0.15,0.38,-4269.2,1/8,1.3,False
15min,2,0.5,2R,0,"(1, -1)",15595,2323,0.417,-8434.3,-0.15,0.379,-8446.9,1/8,1.29,False
15min,2,0.5,2R,1,"(1,)",4175,622,0.428,-2222.9,-0.15,0.387,-2240.9,1/8,1.28,False
15min,2,0.5,2R,1,"(-1,)",3061,456,0.431,-1578.7,-0.15,0.382,-1584.5,0/8,1.3,False
15min,2,0.5,2R,1,"(1, -1)",7236,1078,0.429,-3801.5,-0.15,0.385,-3805.9,0/8,1.29,False
15min,2,0.5,3R,0,"(1,)",7517,1120,0.594,-3019.2,-0.15,0.363,-3098.2,1/8,2.0,False
15min,2,0.5,3R,0,"(-1,)",8078,1203,0.619,-2964.0,-0.14,0.364,-3049.6,1/8,2.04,False
15min,2,0.5,3R,0,"(1, -1)",15595,2323,0.607,-5983.2,-0.15,0.363,-6141.2,1/8,2.02,False
15min,2,0.5,3R,1,"(1,)",4175,622,0.612,-1594.0,-0.14,0.371,-1656.1,1/8,2.0,False
15min,2,0.5,3R,1,"(-1,)",3061,456,0.636,-1057.5,-0.14,0.372,-1104.1,2/8,2.03,False
15min,2,0.5,3R,1,"(1, -1)",7236,1078,0.622,-2651.4,-0.14,0.372,-2750.7,1/8,2.01,False
15min,3,0.05,2R,0,"(1,)",7074,1054,0.308,-5086.3,-0.15,0.355,-5083.5,0/8,1.13,False
15min,3,0.05,2R,0,"(-1,)",7550,1125,0.314,-5217.4,-0.15,0.358,-5230.3,0/8,1.15,False
15min,3,0.05,2R,0,"(1, -1)",14624,2178,0.311,-10303.8,-0.15,0.357,-10304.9,0/8,1.14,False
15min,3,0.05,2R,1,"(1,)",3943,588,0.319,-2752.8,-0.15,0.362,-2760.2,0/8,1.13,False
15min,3,0.05,2R,1,"(-1,)",2843,423,0.315,-1960.3,-0.15,0.361,-1962.9,0/8,1.15,False
15min,3,0.05,2R,1,"(1, -1)",6786,1011,0.317,-4713.1,-0.15,0.362,-4715.0,0/8,1.14,False
15min,3,0.05,3R,0,"(1,)",7074,1054,0.496,-3775.4,-0.14,0.365,-3878.2,1/8,1.79,False
15min,3,0.05,3R,0,"(-1,)",7550,1125,0.507,-3830.9,-0.15,0.364,-3924.8,1/8,1.82,False
15min,3,0.05,3R,0,"(1, -1)",14624,2178,0.502,-7606.3,-0.15,0.364,-7776.7,1/8,1.81,False
15min,3,0.05,3R,1,"(1,)",3943,588,0.524,-1957.2,-0.14,0.376,-2046.7,1/8,1.79,False
15min,3,0.05,3R,1,"(-1,)",2843,423,0.516,-1407.8,-0.14,0.367,-1450.0,1/8,1.81,False
