rule,k,entry_off,sl_buf,tp_r,session,ctx,n,per_yr,pf,mar,wr,pos_years,gate_pass
15min,2,0.0,0.25,2.0,all,off,1691,252,0.841,-0.13,0.451,0/8,False
15min,2,0.0,0.25,2.0,all,down,638,96,0.915,-0.1,0.47,3/8,False
15min,2,0.0,0.25,2.0,kz,up,579,86,0.937,-0.08,0.47,4/8,False
15min,2,0.0,0.25,2.0,kz,off,925,138,0.964,-0.05,0.476,3/8,False
15min,2,0.0,0.25,2.0,kz,down,346,52,1.01,0.01,0.486,3/8,False
15min,2,0.0,0.25,3.0,all,up,1053,157,0.927,-0.07,0.354,4/8,False
15min,2,0.0,0.25,3.0,all,off,1691,252,0.978,-0.04,0.366,3/8,False
15min,2,0.0,0.25,3.0,all,down,638,96,1.067,0.18,0.386,6/8,False
15min,2,0.0,0.25,3.0,kz,up,579,86,1.105,0.19,0.389,5/8,False
15min,2,0.0,0.25,3.0,kz,off,925,138,1.136,0.48,0.395,7/8,False
15min,2,0.0,0.25,3.0,kz,down,346,52,1.191,0.45,0.405,7/8,False
15min,2,0.1,0.05,1.0,all,up,1032,154,0.285,-0.15,0.476,0/8,False
15min,2,0.1,0.05,1.0,all,off,1650,246,0.288,-0.15,0.476,0/8,False
15min,2,0.1,0.05,1.0,all,down,618,93,0.293,-0.15,0.477,0/8,False
15min,2,0.1,0.05,1.0,kz,up,561,84,0.352,-0.15,0.52,1/8,False
15min,2,0.1,0.05,1.0,kz,off,894,133,0.335,-0.15,0.507,0/8,False
15min,2,0.1,0.05,1.0,kz,down,333,50,0.309,-0.15,0.483,0/8,False
15min,2,0.1,0.05,1.5,all,up,1032,154,0.552,-0.15,0.528,0/8,False
15min,2,0.1,0.05,1.5,all,off,1650,246,0.565,-0.15,0.535,0/8,False
15min,2,0.1,0.05,1.5,all,down,618,93,0.588,-0.14,0.545,1/8,False
15min,2,0.1,0.05,1.5,kz,up,561,84,0.662,-0.14,0.567,1/8,False
15min,2,0.1,0.05,1.5,kz,off,894,133,0.642,-0.14,0.56,0/8,False
15min,2,0.1,0.05,1.5,kz,down,333,50,0.608,-0.15,0.55,0/8,False
15min,2,0.1,0.05,2.0,all,up,1032,154,0.705,-0.14,0.495,0/8,False
15min,2,0.1,0.05,2.0,all,off,1650,246,0.732,-0.14,0.503,0/8,False
15min,2,0.1,0.05,2.0,all,down,618,93,0.78,-0.13,0.516,1/8,False
15min,2,0.1,0.05,2.0,kz,up,561,84,0.868,-0.11,0.54,2/8,False
15min,2,0.1,0.05,2.0,kz,off,894,133,0.835,-0.12,0.53,3/8,False
15min,2,0.1,0.05,2.0,kz,down,333,50,0.783,-0.13,0.514,1/8,False
15min,2,0.1,0.05,3.0,all,up,1032,154,0.947,-0.09,0.431,3/8,False
15min,2,0.1,0.05,3.0,all,off,1650,246,0.981,-0.05,0.439,3/8,False
15min,2,0.1,0.05,3.0,all,down,618,93,1.04,0.11,0.453,5/8,False
15min,2,0.1,0.05,3.0,kz,up,561,84,1.166,0.54,0.478,8/8,False
15min,2,0.1,0.05,3.0,kz,off,894,133,1.105,0.39,0.463,6/8,False
15min,2,0.1,0.05,3.0,kz,down,333,50,1.009,0.01,0.438,3/8,False
15min,2,0.1,0.1,1.0,all,up,1085,162,0.43,-0.15,0.541,0/8,False
15min,2,0.1,0.1,1.0,all,off,1735,259,0.426,-0.15,0.54,0/8,False
15min,2,0.1,0.1,1.0,all,down,650,98,0.419,-0.15,0.538,0/8,False
15min,2,0.1,0.1,1.0,kz,up,589,88,0.535,-0.14,0.589,1/8,False
