rule,k,entry_off,sl_buf,tp_r,session,ctx,n,per_yr,pf,mar,wr,pos_years,gate_pass
15min,3,0.1,0.05,3.0,all,off,1148,172,0.974,-0.05,0.41,5/8,False
15min,3,0.1,0.05,3.0,all,down,426,64,1.037,0.06,0.427,4/8,False
15min,3,0.1,0.05,3.0,kz,up,393,59,1.097,0.19,0.43,6/8,False
15min,3,0.1,0.05,3.0,kz,off,630,94,1.146,0.3,0.444,6/8,False
15min,3,0.1,0.05,3.0,kz,down,237,36,1.23,0.3,0.468,5/8,False
15min,3,0.1,0.1,1.0,all,up,768,116,0.481,-0.15,0.544,0/8,False
15min,3,0.1,0.1,1.0,all,off,1214,181,0.475,-0.15,0.544,0/8,False
15min,3,0.1,0.1,1.0,all,down,446,67,0.464,-0.15,0.545,0/8,False
15min,3,0.1,0.1,1.0,kz,up,413,62,0.55,-0.14,0.571,1/8,False
15min,3,0.1,0.1,1.0,kz,off,661,99,0.574,-0.15,0.582,1/8,False
15min,3,0.1,0.1,1.0,kz,down,248,37,0.617,-0.14,0.601,1/8,False
15min,3,0.1,0.1,1.5,all,up,768,116,0.643,-0.14,0.487,1/8,False
15min,3,0.1,0.1,1.5,all,off,1214,181,0.661,-0.15,0.495,0/8,False
15min,3,0.1,0.1,1.5,all,down,446,67,0.694,-0.14,0.509,1/8,False
15min,3,0.1,0.1,1.5,kz,up,413,62,0.731,-0.13,0.508,3/8,False
15min,3,0.1,0.1,1.5,kz,off,661,99,0.78,-0.13,0.53,3/8,False
15min,3,0.1,0.1,1.5,kz,down,248,37,0.87,-0.1,0.565,5/8,False
15min,3,0.1,0.1,2.0,all,up,768,116,0.799,-0.12,0.443,2/8,False
15min,3,0.1,0.1,2.0,all,off,1214,181,0.799,-0.14,0.445,0/8,False
15min,3,0.1,0.1,2.0,all,down,446,67,0.799,-0.14,0.448,1/8,False
15min,3,0.1,0.1,2.0,kz,up,413,62,0.918,-0.06,0.47,4/8,False
15min,3,0.1,0.1,2.0,kz,off,661,99,0.945,-0.05,0.481,3/8,False
15min,3,0.1,0.1,2.0,kz,down,248,37,0.991,-0.01,0.5,5/8,False
15min,3,0.1,0.1,3.0,all,up,768,116,0.958,-0.06,0.366,4/8,False
15min,3,0.1,0.1,3.0,all,off,1214,181,0.975,-0.05,0.371,3/8,False
15min,3,0.1,0.1,3.0,all,down,446,67,1.005,0.01,0.379,4/8,False
15min,3,0.1,0.1,3.0,kz,up,413,62,1.152,0.34,0.402,6/8,False
15min,3,0.1,0.1,3.0,kz,off,661,99,1.2,0.45,0.415,6/8,False
15min,3,0.1,0.1,3.0,kz,down,248,37,1.281,0.52,0.435,6/8,False
15min,3,0.1,0.25,1.0,all,up,831,125,0.572,-0.15,0.507,0/8,False
15min,3,0.1,0.25,1.0,all,off,1322,198,0.58,-0.15,0.512,0/8,False
15min,3,0.1,0.25,1.0,all,down,491,74,0.592,-0.14,0.521,1/8,False
15min,3,0.1,0.25,1.0,kz,up,453,68,0.662,-0.14,0.536,1/8,False
15min,3,0.1,0.25,1.0,kz,off,730,109,0.681,-0.14,0.547,0/8,False
15min,3,0.1,0.25,1.0,kz,down,277,42,0.714,-0.13,0.563,3/8,False
15min,3,0.1,0.25,1.5,all,up,831,125,0.693,-0.14,0.426,1/8,False
15min,3,0.1,0.25,1.5,all,off,1322,198,0.724,-0.15,0.437,0/8,False
15min,3,0.1,0.25,1.5,all,down,491,74,0.78,-0.13,0.456,2/8,False
15min,3,0.1,0.25,1.5,kz,up,453,68,0.805,-0.13,0.457,1/8,False
15min,3,0.1,0.25,1.5,kz,off,730,109,0.852,-0.13,0.473,1/8,False
15min,3,0.1,0.25,1.5,kz,down,277,42,0.934,-0.07,0.498,4/8,False
15min,3,0.1,0.25,2.0,all,up,831,125,0.767,-0.14,0.367,1/8,False
15min,3,0.1,0.25,2.0,all,off,1322,198,0.8,-0.14,0.377,2/8,False
15min,3,0.1,0.25,2.0,all,down,491,74,0.859,-0.11,0.395,3/8,False
15min,3,0.1,0.25,2.0,kz,up,453,68,0.932,-0.07,0.408,4/8,False
15min,3,0.1,0.25,2.0,kz,off,730,109,0.974,-0.04,0.421,4/8,False
15min,3,0.1,0.25,2.0,kz,down,277,42,1.047,0.06,0.44,4/8,False
15min,3,0.1,0.25,3.0,all,up,831,125,0.826,-0.12,0.284,4/8,False
15min,3,0.1,0.25,3.0,all,off,1322,198,0.86,-0.13,0.292,2/8,False
15min,3,0.1,0.25,3.0,all,down,491,74,0.919,-0.09,0.305,2/8,False
15min,3,0.1,0.25,3.0,kz,up,453,68,0.895,-0.09,0.296,3/8,False
15min,3,0.1,0.25,3.0,kz,off,730,109,0.984,-0.03,0.316,4/8,False
15min,3,0.1,0.25,3.0,kz,down,277,42,1.139,0.27,0.35,4/8,False
15min,3,0.25,0.05,1.0,all,up,945,141,0.603,-0.15,0.54,0/8,False
15min,3,0.25,0.05,1.0,all,off,1485,222,0.596,-0.15,0.539,0/8,False
15min,3,0.25,0.05,1.0,all,down,540,81,0.585,-0.14,0.537,0/8,False
15min,3,0.25,0.05,1.0,kz,up,506,76,0.646,-0.15,0.545,0/8,False
15min,3,0.25,0.05,1.0,kz,off,808,121,0.655,-0.15,0.554,0/8,False
15min,3,0.25,0.05,1.0,kz,down,302,45,0.67,-0.14,0.57,2/8,False
15min,3,0.25,0.05,1.5,all,up,945,141,0.764,-0.14,0.463,0/8,False
15min,3,0.25,0.05,1.5,all,off,1485,222,0.756,-0.15,0.463,0/8,False
15min,3,0.25,0.05,1.5,all,down,540,81,0.744,-0.13,0.461,2/8,False
15min,3,0.25,0.05,1.5,kz,up,506,76,0.851,-0.12,0.484,3/8,False
15min,3,0.25,0.05,1.5,kz,off,808,121,0.835,-0.15,0.483,2/8,False
15min,3,0.25,0.05,1.5,kz,down,302,45,0.81,-0.12,0.48,2/8,False
15min,3,0.25,0.05,2.0,all,up,945,141,0.838,-0.13,0.4,1/8,False
15min,3,0.25,0.05,2.0,all,off,1485,222,0.837,-0.14,0.401,1/8,False
15min,3,0.25,0.05,2.0,all,down,540,81,0.835,-0.13,0.402,2/8,False
15min,3,0.25,0.05,2.0,kz,up,506,76,0.944,-0.07,0.423,3/8,False
15min,3,0.25,0.05,2.0,kz,off,808,121,0.94,-0.08,0.425,4/8,False
15min,3,0.25,0.05,2.0,kz,down,302,45,0.933,-0.08,0.427,5/8,False
15min,3,0.25,0.05,3.0,all,up,945,141,0.899,-0.11,0.311,3/8,False
15min,3,0.25,0.05,3.0,all,off,1485,222,0.902,-0.14,0.312,2/8,False
15min,3,0.25,0.05,3.0,all,down,540,81,0.908,-0.13,0.313,2/8,False
15min,3,0.25,0.05,3.0,kz,up,506,76,0.934,-0.08,0.314,3/8,False
15min,3,0.25,0.05,3.0,kz,off,808,121,0.989,-0.02,0.328,4/8,False
15min,3,0.25,0.05,3.0,kz,down,302,45,1.085,0.2,0.351,5/8,False
15min,3,0.25,0.1,1.0,all,up,961,143,0.639,-0.15,0.532,0/8,False
15min,3,0.25,0.1,1.0,all,off,1513,226,0.624,-0.15,0.528,0/8,False
15min,3,0.25,0.1,1.0,all,down,552,83,0.599,-0.14,0.522,0/8,False
15min,3,0.25,0.1,1.0,kz,up,512,76,0.703,-0.15,0.547,1/8,False
15min,3,0.25,0.1,1.0,kz,off,822,123,0.699,-0.15,0.55,1/8,False
15min,3,0.25,0.1,1.0,kz,down,310,46,0.692,-0.14,0.555,2/8,False
15min,3,0.25,0.1,1.5,all,up,961,143,0.774,-0.13,0.45,1/8,False
15min,3,0.25,0.1,1.5,all,off,1513,226,0.754,-0.15,0.444,0/8,False
15min,3,0.25,0.1,1.5,all,down,552,83,0.72,-0.14,0.435,2/8,False
15min,3,0.25,0.1,1.5,kz,up,512,76,0.872,-0.11,0.473,3/8,False
15min,3,0.25,0.1,1.5,kz,off,822,123,0.847,-0.13,0.468,3/8,False
15min,3,0.25,0.1,1.5,kz,down,310,46,0.808,-0.13,0.461,3/8,False
15min,3,0.25,0.1,2.0,all,up,961,143,0.845,-0.12,0.387,2/8,False
15min,3,0.25,0.1,2.0,all,off,1513,226,0.843,-0.14,0.387,1/8,False
15min,3,0.25,0.1,2.0,all,down,552,83,0.839,-0.14,0.388,2/8,False
15min,3,0.25,0.1,2.0,kz,up,512,76,0.907,-0.11,0.398,2/8,False
15min,3,0.25,0.1,2.0,kz,off,822,123,0.937,-0.1,0.409,3/8,False
15min,3,0.25,0.1,2.0,kz,down,310,46,0.989,-0.02,0.426,5/8,False
15min,3,0.25,0.1,3.0,all,up,961,143,0.944,-0.07,0.311,4/8,False
15min,3,0.25,0.1,3.0,all,off,1513,226,0.923,-0.13,0.306,2/8,False
15min,3,0.25,0.1,3.0,all,down,552,83,0.889,-0.13,0.297,2/8,False
15min,3,0.25,0.1,3.0,kz,up,512,76,0.988,-0.02,0.316,4/8,False
15min,3,0.25,0.1,3.0,kz,off,822,123,1.012,0.03,0.322,4/8,False
15min,3,0.25,0.1,3.0,kz,down,310,46,1.053,0.09,0.332,5/8,False
15min,3,0.25,0.25,1.0,all,up,995,148,0.665,-0.14,0.499,0/8,False
15min,3,0.25,0.25,1.0,all,off,1563,233,0.653,-0.15,0.496,0/8,False
15min,3,0.25,0.25,1.0,all,down,568,85,0.632,-0.14,0.489,0/8,False
15min,3,0.25,0.25,1.0,kz,up,535,80,0.748,-0.14,0.523,1/8,False
15min,3,0.25,0.25,1.0,kz,off,855,128,0.726,-0.15,0.518,0/8,False
15min,3,0.25,0.25,1.0,kz,down,320,48,0.691,-0.14,0.509,2/8,False
15min,3,0.25,0.25,1.5,all,up,995,148,0.751,-0.14,0.41,1/8,False
15min,3,0.25,0.25,1.5,all,off,1563,233,0.75,-0.14,0.41,0/8,False
15min,3,0.25,0.25,1.5,all,down,568,85,0.748,-0.14,0.41,1/8,False
15min,3,0.25,0.25,1.5,kz,up,535,80,0.797,-0.13,0.421,1/8,False
15min,3,0.25,0.25,1.5,kz,off,855,128,0.818,-0.13,0.428,0/8,False
15min,3,0.25,0.25,1.5,kz,down,320,48,0.853,-0.12,0.441,3/8,False
15min,3,0.25,0.25,2.0,all,up,995,148,0.797,-0.13,0.35,2/8,False
15min,3,0.25,0.25,2.0,all,off,1563,233,0.793,-0.14,0.348,1/8,False
15min,3,0.25,0.25,2.0,all,down,568,85,0.786,-0.14,0.345,1/8,False
15min,3,0.25,0.25,2.0,kz,up,535,80,0.818,-0.14,0.351,1/8,False
15min,3,0.25,0.25,2.0,kz,off,855,128,0.862,-0.13,0.364,2/8,False
15min,3,0.25,0.25,2.0,kz,down,320,48,0.937,-0.08,0.384,3/8,False
15min,3,0.25,0.25,3.0,all,up,995,148,0.859,-0.12,0.275,2/8,False
15min,3,0.25,0.25,3.0,all,off,1563,233,0.877,-0.13,0.278,1/8,False
15min,3,0.25,0.25,3.0,all,down,568,85,0.909,-0.1,0.282,3/8,False
15min,3,0.25,0.25,3.0,kz,up,535,80,0.853,-0.13,0.269,1/8,False
15min,3,0.25,0.25,3.0,kz,off,855,128,0.927,-0.1,0.285,2/8,False
15min,3,0.25,0.25,3.0,kz,down,320,48,1.058,0.09,0.312,5/8,False
15min,4,0.0,0.05,1.0,all,up,394,60,0.027,-0.15,0.147,0/8,False
15min,4,0.0,0.05,1.0,all,off,630,95,0.027,-0.15,0.141,0/8,False
15min,4,0.0,0.05,1.0,all,down,236,36,0.029,-0.15,0.131,0/8,False
15min,4,0.0,0.05,1.0,kz,up,227,35,0.036,-0.15,0.181,1/8,False
15min,4,0.0,0.05,1.0,kz,off,370,56,0.034,-0.15,0.154,0/8,False
15min,4,0.0,0.05,1.0,kz,down,143,22,0.029,-0.15,0.112,1/8,False
15min,4,0.0,0.05,1.5,all,up,394,60,0.136,-0.15,0.317,1/8,False
15min,4,0.0,0.05,1.5,all,off,630,95,0.134,-0.15,0.31,1/8,False
15min,4,0.0,0.05,1.5,all,down,236,36,0.13,-0.15,0.297,1/8,False
15min,4,0.0,0.05,1.5,kz,up,227,35,0.164,-0.15,0.339,1/8,False
15min,4,0.0,0.05,1.5,kz,off,370,56,0.16,-0.15,0.335,1/8,False
15min,4,0.0,0.05,1.5,kz,down,143,22,0.152,-0.15,0.329,1/8,False
15min,4,0.0,0.05,2.0,all,up,394,60,0.305,-0.14,0.424,1/8,False
15min,4,0.0,0.05,2.0,all,off,630,95,0.327,-0.14,0.44,1/8,False
15min,4,0.0,0.05,2.0,all,down,236,36,0.372,-0.14,0.466,2/8,False
15min,4,0.0,0.05,2.0,kz,up,227,35,0.356,-0.14,0.458,1/8,False
15min,4,0.0,0.05,2.0,kz,off,370,56,0.387,-0.14,0.478,1/8,False
15min,4,0.0,0.05,2.0,kz,down,143,22,0.455,-0.13,0.51,1/8,False
15min,4,0.0,0.05,3.0,all,up,394,60,0.626,-0.13,0.525,1/8,False
15min,4,0.0,0.05,3.0,all,off,630,95,0.714,-0.12,0.554,1/8,False
15min,4,0.0,0.05,3.0,all,down,236,36,0.897,-0.06,0.602,3/8,False
15min,4,0.0,0.05,3.0,kz,up,227,35,0.707,-0.11,0.537,1/8,False
15min,4,0.0,0.05,3.0,kz,off,370,56,0.852,-0.09,0.592,3/8,False
15min,4,0.0,0.05,3.0,kz,down,143,22,1.176,0.15,0.678,6/8,False
15min,4,0.0,0.1,1.0,all,up,459,69,0.231,-0.15,0.425,1/8,False
15min,4,0.0,0.1,1.0,all,off,723,108,0.235,-0.15,0.434,1/8,False
15min,4,0.0,0.1,1.0,all,down,264,40,0.245,-0.15,0.451,1/8,False
15min,4,0.0,0.1,1.0,kz,up,261,40,0.258,-0.15,0.452,1/8,False
15min,4,0.0,0.1,1.0,kz,off,418,63,0.273,-0.15,0.471,1/8,False
15min,4,0.0,0.1,1.0,kz,down,157,24,0.304,-0.14,0.503,1/8,False
15min,4,0.0,0.1,1.5,all,up,459,69,0.476,-0.14,0.527,1/8,False
15min,4,0.0,0.1,1.5,all,off,723,108,0.511,-0.14,0.546,1/8,False
15min,4,0.0,0.1,1.5,all,down,264,40,0.579,-0.13,0.58,2/8,False
15min,4,0.0,0.1,1.5,kz,up,261,40,0.51,-0.14,0.533,1/8,False
15min,4,0.0,0.1,1.5,kz,off,418,63,0.594,-0.14,0.581,1/8,False
15min,4,0.0,0.1,1.5,kz,down,157,24,0.777,-0.1,0.662,3/8,False
15min,4,0.0,0.1,2.0,all,up,459,69,0.685,-0.14,0.51,1/8,False
15min,4,0.0,0.1,2.0,all,off,723,108,0.741,-0.13,0.533,1/8,False
15min,4,0.0,0.1,2.0,all,down,264,40,0.85,-0.09,0.572,2/8,False
15min,4,0.0,0.1,2.0,kz,up,261,40,0.751,-0.11,0.521,1/8,False
15min,4,0.0,0.1,2.0,kz,off,418,63,0.862,-0.09,0.557,3/8,False
15min,4,0.0,0.1,2.0,kz,down,157,24,1.094,0.08,0.618,5/8,False
15min,4,0.0,0.1,3.0,all,up,459,69,0.881,-0.09,0.442,3/8,False
15min,4,0.0,0.1,3.0,all,off,723,108,0.982,-0.02,0.47,4/8,False
15min,4,0.0,0.1,3.0,all,down,264,40,1.178,0.33,0.519,7/8,False
15min,4,0.0,0.1,3.0,kz,up,261,40,0.892,-0.06,0.429,2/8,False
15min,4,0.0,0.1,3.0,kz,off,418,63,1.069,0.07,0.478,4/8,False
15min,4,0.0,0.1,3.0,kz,down,157,24,1.433,0.46,0.561,8/8,False
15min,4,0.0,0.25,1.0,all,up,548,83,0.499,-0.15,0.502,1/8,False
15min,4,0.0,0.25,1.0,all,off,869,130,0.544,-0.15,0.526,0/8,False
15min,4,0.0,0.25,1.0,all,down,321,48,0.632,-0.14,0.567,3/8,False
15min,4,0.0,0.25,1.0,kz,up,307,46,0.556,-0.14,0.515,1/8,False
15min,4,0.0,0.25,1.0,kz,off,501,75,0.621,-0.14,0.545,0/8,False
15min,4,0.0,0.25,1.0,kz,down,194,29,0.742,-0.12,0.593,2/8,False
15min,4,0.0,0.25,1.5,all,up,548,83,0.643,-0.14,0.438,1/8,False
15min,4,0.0,0.25,1.5,all,off,869,130,0.712,-0.14,0.464,1/8,False
15min,4,0.0,0.25,1.5,all,down,321,48,0.846,-0.11,0.508,3/8,False
15min,4,0.0,0.25,1.5,kz,up,307,46,0.713,-0.13,0.453,2/8,False
15min,4,0.0,0.25,1.5,kz,off,501,75,0.793,-0.13,0.481,2/8,False
15min,4,0.0,0.25,1.5,kz,down,194,29,0.936,-0.07,0.526,4/8,False
15min,4,0.0,0.25,2.0,all,up,548,83,0.684,-0.14,0.365,1/8,False
15min,4,0.0,0.25,2.0,all,off,869,130,0.802,-0.13,0.403,2/8,False
15min,4,0.0,0.25,2.0,all,down,321,48,1.038,0.06,0.467,4/8,False
15min,4,0.0,0.25,2.0,kz,up,307,46,0.791,-0.11,0.391,2/8,False
15min,4,0.0,0.25,2.0,kz,off,501,75,0.921,-0.08,0.429,3/8,False
15min,4,0.0,0.25,2.0,kz,down,194,29,1.161,0.23,0.49,5/8,False
15min,4,0.0,0.25,3.0,all,up,548,83,0.792,-0.12,0.292,2/8,False
15min,4,0.0,0.25,3.0,all,off,869,130,0.917,-0.1,0.323,3/8,False
15min,4,0.0,0.25,3.0,all,down,321,48,1.155,0.35,0.377,5/8,False
15min,4,0.0,0.25,3.0,kz,up,307,46,0.93,-0.05,0.319,3/8,False
15min,4,0.0,0.25,3.0,kz,off,501,75,1.076,0.14,0.353,5/8,False
15min,4,0.0,0.25,3.0,kz,down,194,29,1.338,0.43,0.407,7/8,False
15min,4,0.1,0.05,1.0,all,up,554,84,0.414,-0.15,0.551,1/8,False
15min,4,0.1,0.05,1.0,all,off,876,131,0.41,-0.15,0.551,0/8,False
15min,4,0.1,0.05,1.0,all,down,322,48,0.404,-0.15,0.553,0/8,False
15min,4,0.1,0.05,1.0,kz,up,303,46,0.514,-0.14,0.594,1/8,False
15min,4,0.1,0.05,1.0,kz,off,490,73,0.516,-0.15,0.602,1/8,False
15min,4,0.1,0.05,1.0,kz,down,187,28,0.518,-0.15,0.615,0/8,False
15min,4,0.1,0.05,1.5,all,up,554,84,0.651,-0.14,0.518,1/8,False
15min,4,0.1,0.05,1.5,all,off,876,131,0.66,-0.14,0.526,1/8,False
15min,4,0.1,0.05,1.5,all,down,322,48,0.676,-0.14,0.54,0/8,False
15min,4,0.1,0.05,1.5,kz,up,303,46,0.779,-0.12,0.548,2/8,False
15min,4,0.1,0.05,1.5,kz,off,490,73,0.78,-0.13,0.553,1/8,False
15min,4,0.1,0.05,1.5,kz,down,187,28,0.782,-0.12,0.561,3/8,False
15min,4,0.1,0.05,2.0,all,up,554,84,0.801,-0.12,0.473,3/8,False
15min,4,0.1,0.05,2.0,all,off,876,131,0.817,-0.12,0.479,2/8,False
15min,4,0.1,0.05,2.0,all,down,322,48,0.843,-0.1,0.491,3/8,False
15min,4,0.1,0.05,2.0,kz,up,303,46,0.918,-0.06,0.492,3/8,False
15min,4,0.1,0.05,2.0,kz,off,490,73,0.947,-0.05,0.504,3/8,False
15min,4,0.1,0.05,2.0,kz,down,187,28,0.996,-0.0,0.524,3/8,False
15min,4,0.1,0.05,3.0,all,up,554,84,0.947,-0.06,0.384,4/8,False
15min,4,0.1,0.05,3.0,all,off,876,131,0.978,-0.03,0.395,4/8,False
15min,4,0.1,0.05,3.0,all,down,322,48,1.033,0.04,0.413,5/8,False
15min,4,0.1,0.05,3.0,kz,up,303,46,1.125,0.17,0.416,6/8,False
15min,4,0.1,0.05,3.0,kz,off,490,73,1.174,0.37,0.431,7/8,False
15min,4,0.1,0.05,3.0,kz,down,187,28,1.257,0.44,0.455,7/8,False
15min,4,0.1,0.1,1.0,all,up,586,89,0.505,-0.15,0.539,1/8,False
15min,4,0.1,0.1,1.0,all,off,921,138,0.51,-0.15,0.545,0/8,False
15min,4,0.1,0.1,1.0,all,down,335,50,0.52,-0.15,0.555,0/8,False
15min,4,0.1,0.1,1.0,kz,up,318,48,0.586,-0.14,0.566,1/8,False
15min,4,0.1,0.1,1.0,kz,off,513,77,0.606,-0.15,0.577,1/8,False
15min,4,0.1,0.1,1.0,kz,down,195,29,0.64,-0.15,0.595,1/8,False
15min,4,0.1,0.1,1.5,all,up,586,89,0.703,-0.13,0.49,2/8,False
15min,4,0.1,0.1,1.5,all,off,921,138,0.713,-0.14,0.495,1/8,False
15min,4,0.1,0.1,1.5,all,down,335,50,0.731,-0.13,0.504,1/8,False
15min,4,0.1,0.1,1.5,kz,up,318,48,0.799,-0.11,0.506,3/8,False
15min,4,0.1,0.1,1.5,kz,off,513,77,0.823,-0.11,0.519,4/8,False
15min,4,0.1,0.1,1.5,kz,down,195,29,0.863,-0.07,0.538,2/8,False
15min,4,0.1,0.1,2.0,all,up,586,89,0.794,-0.12,0.425,2/8,False
15min,4,0.1,0.1,2.0,all,off,921,138,0.819,-0.13,0.435,2/8,False
15min,4,0.1,0.1,2.0,all,down,335,50,0.863,-0.1,0.454,3/8,False
15min,4,0.1,0.1,2.0,kz,up,318,48,0.93,-0.07,0.453,2/8,False
15min,4,0.1,0.1,2.0,kz,off,513,77,0.961,-0.04,0.466,5/8,False
15min,4,0.1,0.1,2.0,kz,down,195,29,1.013,0.01,0.487,4/8,False
15min,4,0.1,0.1,3.0,all,up,586,89,0.928,-0.08,0.345,2/8,False
15min,4,0.1,0.1,3.0,all,off,921,138,0.949,-0.08,0.352,4/8,False
15min,4,0.1,0.1,3.0,all,down,335,50,0.985,-0.02,0.364,3/8,False
15min,4,0.1,0.1,3.0,kz,up,318,48,1.097,0.15,0.374,6/8,False
15min,4,0.1,0.1,3.0,kz,off,513,77,1.134,0.24,0.386,7/8,False
15min,4,0.1,0.1,3.0,kz,down,195,29,1.197,0.2,0.405,5/8,False
15min,4,0.1,0.25,1.0,all,up,636,96,0.594,-0.15,0.502,1/8,False
15min,4,0.1,0.25,1.0,all,off,999,149,0.618,-0.15,0.514,0/8,False
15min,4,0.1,0.25,1.0,all,down,363,55,0.663,-0.14,0.534,1/8,False
15min,4,0.1,0.25,1.0,kz,up,348,53,0.68,-0.14,0.526,1/8,False
15min,4,0.1,0.25,1.0,kz,off,566,85,0.697,-0.14,0.535,0/8,False
15min,4,0.1,0.25,1.0,kz,down,218,33,0.725,-0.13,0.55,1/8,False
15min,4,0.1,0.25,1.5,all,up,636,96,0.697,-0.14,0.414,1/8,False
15min,4,0.1,0.25,1.5,all,off,999,149,0.748,-0.15,0.432,0/8,False
15min,4,0.1,0.25,1.5,all,down,363,55,0.845,-0.11,0.466,2/8,False
15min,4,0.1,0.25,1.5,kz,up,348,53,0.808,-0.12,0.443,1/8,False
15min,4,0.1,0.25,1.5,kz,off,566,85,0.855,-0.14,0.459,2/8,False
15min,4,0.1,0.25,1.5,kz,down,218,33,0.935,-0.06,0.486,2/8,False
15min,4,0.1,0.25,2.0,all,up,636,96,0.723,-0.14,0.343,1/8,False
15min,4,0.1,0.25,2.0,all,off,999,149,0.789,-0.14,0.364,1/8,False
15min,4,0.1,0.25,2.0,all,down,363,55,0.916,-0.06,0.402,4/8,False
15min,4,0.1,0.25,2.0,kz,up,348,53,0.808,-0.12,0.362,1/8,False
15min,4,0.1,0.25,2.0,kz,off,566,85,0.896,-0.11,0.389,3/8,False
15min,4,0.1,0.25,2.0,kz,down,218,33,1.051,0.07,0.431,5/8,False
15min,4,0.1,0.25,3.0,all,up,636,96,0.752,-0.14,0.258,2/8,False
15min,4,0.1,0.25,3.0,all,off,999,149,0.832,-0.13,0.278,1/8,False
15min,4,0.1,0.25,3.0,all,down,363,55,0.982,-0.01,0.314,4/8,False
15min,4,0.1,0.25,3.0,kz,up,348,53,0.779,-0.13,0.259,2/8,False
15min,4,0.1,0.25,3.0,kz,off,566,85,0.894,-0.11,0.288,4/8,False
15min,4,0.1,0.25,3.0,kz,down,218,33,1.098,0.12,0.335,5/8,False
15min,4,0.25,0.05,1.0,all,up,715,107,0.641,-0.15,0.533,0/8,False
15min,4,0.25,0.05,1.0,all,off,1124,168,0.619,-0.15,0.528,0/8,False
15min,4,0.25,0.05,1.0,all,down,409,61,0.582,-0.15,0.518,0/8,False
15min,4,0.25,0.05,1.0,kz,up,397,59,0.746,-0.15,0.557,1/8,False
15min,4,0.25,0.05,1.0,kz,off,633,94,0.714,-0.15,0.551,0/8,False
15min,4,0.25,0.05,1.0,kz,down,236,35,0.663,-0.14,0.542,1/8,False
15min,4,0.25,0.05,1.5,all,up,715,107,0.773,-0.14,0.452,1/8,False
15min,4,0.25,0.05,1.5,all,off,1124,168,0.747,-0.15,0.446,0/8,False
15min,4,0.25,0.05,1.5,all,down,409,61,0.704,-0.14,0.435,0/8,False
15min,4,0.25,0.05,1.5,kz,up,397,59,0.889,-0.1,0.479,4/8,False
15min,4,0.25,0.05,1.5,kz,off,633,94,0.841,-0.12,0.468,2/8,False
15min,4,0.25,0.05,1.5,kz,down,236,35,0.765,-0.13,0.449,1/8,False
15min,4,0.25,0.05,2.0,all,up,715,107,0.84,-0.13,0.387,1/8,False
15min,4,0.25,0.05,2.0,all,off,1124,168,0.828,-0.14,0.386,1/8,False
15min,4,0.25,0.05,2.0,all,down,409,61,0.807,-0.13,0.384,2/8,False
15min,4,0.25,0.05,2.0,kz,up,397,59,0.942,-0.09,0.408,2/8,False
15min,4,0.25,0.05,2.0,kz,off,633,94,0.942,-0.09,0.411,3/8,False
15min,4,0.25,0.05,2.0,kz,down,236,35,0.941,-0.06,0.415,3/8,False
15min,4,0.25,0.05,3.0,all,up,715,107,0.919,-0.09,0.306,2/8,False
15min,4,0.25,0.05,3.0,all,off,1124,168,0.919,-0.1,0.307,3/8,False
15min,4,0.25,0.05,3.0,all,down,409,61,0.917,-0.1,0.308,3/8,False
15min,4,0.25,0.05,3.0,kz,up,397,59,0.927,-0.08,0.302,2/8,False
15min,4,0.25,0.05,3.0,kz,off,633,94,0.982,-0.03,0.316,3/8,False
15min,4,0.25,0.05,3.0,kz,down,236,35,1.077,0.12,0.339,6/8,False
15min,4,0.25,0.1,1.0,all,up,729,109,0.649,-0.15,0.52,0/8,False
15min,4,0.25,0.1,1.0,all,off,1145,171,0.628,-0.15,0.514,0/8,False
15min,4,0.25,0.1,1.0,all,down,416,63,0.593,-0.15,0.505,0/8,False
15min,4,0.25,0.1,1.0,kz,up,402,60,0.763,-0.15,0.55,1/8,False
15min,4,0.25,0.1,1.0,kz,off,643,96,0.725,-0.15,0.541,1/8,False
15min,4,0.25,0.1,1.0,kz,down,241,36,0.665,-0.13,0.527,1/8,False
15min,4,0.25,0.1,1.5,all,up,729,109,0.739,-0.15,0.425,0/8,False
15min,4,0.25,0.1,1.5,all,off,1145,171,0.728,-0.15,0.424,0/8,False
15min,4,0.25,0.1,1.5,all,down,416,63,0.709,-0.14,0.421,0/8,False
15min,4,0.25,0.1,1.5,kz,up,402,60,0.82,-0.14,0.443,0/8,False
15min,4,0.25,0.1,1.5,kz,off,643,96,0.811,-0.14,0.443,1/8,False
15min,4,0.25,0.1,1.5,kz,down,241,36,0.796,-0.12,0.444,2/8,False
15min,4,0.25,0.1,2.0,all,up,729,109,0.801,-0.14,0.364,0/8,False
15min,4,0.25,0.1,2.0,all,off,1145,171,0.803,-0.14,0.366,0/8,False
15min,4,0.25,0.1,2.0,all,down,416,63,0.805,-0.13,0.37,2/8,False
15min,4,0.25,0.1,2.0,kz,up,402,60,0.867,-0.13,0.376,1/8,False
15min,4,0.25,0.1,2.0,kz,off,643,96,0.894,-0.13,0.386,3/8,False
15min,4,0.25,0.1,2.0,kz,down,241,36,0.941,-0.07,0.402,3/8,False
15min,4,0.25,0.1,3.0,all,up,729,109,0.899,-0.1,0.294,2/8,False
15min,4,0.25,0.1,3.0,all,off,1145,171,0.906,-0.12,0.295,2/8,False
