rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,4,0.1,2R,0,"(1,)",58,9,1.559,16.8,0.41,0.603,-6.5,4/8,1.66,False
1h,4,0.1,2R,0,"(-1,)",67,11,1.335,12.5,0.18,0.582,-11.3,5/7,1.63,False
1h,4,0.1,2R,0,"(1, -1)",125,19,1.435,29.4,0.32,0.592,-14.0,4/8,1.64,False
1h,4,0.1,2R,1,"(1, -1)",57,9,2.028,25.2,0.8,0.667,-4.9,6/8,1.64,False
1h,4,0.1,3R,0,"(1,)",58,9,1.469,19.1,0.37,0.466,-8.2,4/8,2.54,False
1h,4,0.1,3R,0,"(-1,)",67,11,1.765,32.4,0.46,0.522,-11.3,7/7,2.51,False
1h,4,0.1,3R,0,"(1, -1)",125,19,1.62,51.5,0.53,0.496,-15.1,5/8,2.52,False
1h,4,0.1,3R,1,"(1, -1)",57,9,2.478,44.4,1.07,0.596,-6.4,6/8,2.52,False
1h,4,0.25,2R,0,"(1,)",76,12,1.285,13.2,0.22,0.461,-9.5,4/8,1.85,False
1h,4,0.25,2R,0,"(-1,)",75,12,1.285,13.0,0.18,0.467,-11.8,4/7,1.84,False
1h,4,0.25,2R,0,"(1, -1)",151,23,1.285,26.2,0.25,0.464,-16.3,5/8,1.84,False
1h,4,0.25,2R,1,"(1,)",42,7,2.04,20.9,1.16,0.571,-2.9,7/8,1.84,False
1h,4,0.25,2R,1,"(1, -1)",68,11,1.497,19.1,0.52,0.5,-5.7,7/8,1.84,False
1h,4,0.25,3R,0,"(1,)",76,12,1.286,15.9,0.15,0.355,-16.8,4/8,2.8,False
1h,4,0.25,3R,0,"(-1,)",75,12,1.363,19.5,0.27,0.373,-11.8,6/7,2.78,False
1h,4,0.25,3R,0,"(1, -1)",151,23,1.324,35.4,0.27,0.364,-20.6,6/8,2.79,False
1h,4,0.25,3R,1,"(1,)",42,7,1.767,20.7,0.39,0.429,-8.5,7/8,2.79,False
1h,4,0.25,3R,1,"(1, -1)",68,11,1.527,24.6,0.44,0.397,-8.6,6/8,2.79,False
1h,4,0.5,2R,0,"(1,)",82,13,1.208,10.5,0.14,0.415,-11.8,6/8,1.91,False
1h,4,0.5,2R,0,"(-1,)",82,12,0.786,-12.7,-0.1,0.329,-19.8,2/8,1.91,False
1h,4,0.5,2R,0,"(1, -1)",164,25,0.979,-2.3,-0.02,0.372,-20.8,5/8,1.91,False
1h,4,0.5,2R,1,"(1,)",43,7,1.536,12.6,0.54,0.465,-3.7,6/8,1.92,False
1h,4,0.5,2R,1,"(1, -1)",72,11,1.211,9.3,0.2,0.417,-7.1,6/8,1.92,False
1h,4,0.5,3R,0,"(1,)",82,13,1.282,15.9,0.19,0.354,-12.8,6/8,2.89,False
1h,4,0.5,3R,0,"(-1,)",82,12,0.855,-9.3,-0.09,0.28,-16.0,3/8,2.88,False
1h,4,0.5,3R,0,"(1, -1)",164,25,1.055,6.6,0.06,0.317,-17.6,4/8,2.88,False
1h,4,0.5,3R,1,"(1,)",43,7,1.592,15.8,0.44,0.395,-5.7,6/8,2.89,False
1h,4,0.5,3R,1,"(1, -1)",72,11,1.302,14.6,0.25,0.361,-8.7,6/8,2.89,False
1h,4,1.0,2R,0,"(1,)",85,13,1.29,12.7,0.29,0.482,-6.8,7/8,1.96,False
1h,4,1.0,2R,0,"(-1,)",85,13,0.883,-5.9,-0.07,0.4,-12.1,2/8,1.95,False
1h,4,1.0,2R,0,"(1, -1)",170,26,1.072,6.8,0.08,0.441,-12.7,5/8,1.95,False
1h,4,1.0,2R,1,"(1,)",44,7,1.753,14.4,0.49,0.545,-4.7,6/8,1.96,False
1h,4,1.0,2R,1,"(1, -1)",74,11,1.4,14.4,0.31,0.5,-7.1,6/8,1.96,False
1h,4,1.0,3R,0,"(1,)",85,13,1.444,19.5,0.53,0.482,-5.6,6/8,2.94,False
1h,4,1.0,3R,0,"(-1,)",85,13,0.914,-4.5,-0.06,0.388,-11.8,3/8,2.94,False
1h,4,1.0,3R,0,"(1, -1)",170,26,1.157,15.0,0.18,0.435,-12.4,6/8,2.94,False
1h,4,1.0,3R,1,"(1,)",44,7,2.0,19.1,0.65,0.545,-4.7,6/8,2.95,False
1h,4,1.0,3R,1,"(1, -1)",74,11,1.501,18.1,0.45,0.5,-6.2,6/8,2.94,False
