rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,1.0,3R,1,"(1, -1)",1776,265,1.07,92.3,0.23,0.314,-59.3,4/8,2.89,False
15min,3,0.1,2R,0,"(1,)",888,132,0.881,-64.4,-0.05,0.593,-176.6,3/8,1.41,False
15min,3,0.1,2R,0,"(-1,)",957,143,0.667,-216.3,-0.13,0.532,-242.8,1/8,1.42,False
15min,3,0.1,2R,0,"(1, -1)",1845,275,0.764,-280.7,-0.11,0.562,-366.5,3/8,1.41,False
15min,3,0.1,2R,1,"(1,)",488,73,0.907,-27.7,-0.04,0.598,-99.7,3/8,1.42,False
15min,3,0.1,2R,1,"(-1,)",362,54,0.704,-71.6,-0.12,0.55,-92.6,1/8,1.42,False
15min,3,0.1,2R,1,"(1, -1)",850,127,0.816,-99.3,-0.08,0.578,-176.3,3/8,1.42,False
15min,3,0.1,3R,0,"(1,)",888,132,1.195,128.6,0.17,0.535,-113.4,4/8,2.22,False
15min,3,0.1,3R,0,"(-1,)",957,143,0.953,-36.4,-0.04,0.487,-129.2,3/8,2.22,False
15min,3,0.1,3R,0,"(1, -1)",1845,275,1.065,92.3,0.06,0.51,-214.2,4/8,2.22,False
15min,3,0.1,3R,1,"(1,)",488,73,1.222,80.0,0.17,0.537,-71.7,5/8,2.23,False
15min,3,0.1,3R,1,"(-1,)",362,54,1.019,5.4,0.02,0.503,-35.4,4/8,2.23,False
15min,3,0.1,3R,1,"(1, -1)",850,127,1.133,85.4,0.14,0.522,-90.1,5/8,2.23,False
15min,3,0.25,2R,0,"(1,)",1098,164,0.938,-47.7,-0.05,0.454,-155.3,3/8,1.73,False
15min,3,0.25,2R,0,"(-1,)",1154,172,0.79,-180.8,-0.13,0.414,-204.3,1/8,1.73,False
15min,3,0.25,2R,0,"(1, -1)",2252,336,0.86,-228.5,-0.1,0.433,-329.4,2/8,1.73,False
15min,3,0.25,2R,1,"(1,)",597,89,0.944,-23.4,-0.04,0.449,-93.1,3/8,1.74,False
15min,3,0.25,2R,1,"(-1,)",438,66,0.88,-37.7,-0.1,0.441,-54.9,4/8,1.74,False
15min,3,0.25,2R,1,"(1, -1)",1035,154,0.917,-61.1,-0.07,0.445,-137.1,4/8,1.74,False
15min,3,0.25,3R,0,"(1,)",1098,164,1.135,117.2,0.19,0.383,-93.9,5/8,2.64,False
15min,3,0.25,3R,0,"(-1,)",1154,172,0.922,-76.3,-0.08,0.336,-145.6,2/8,2.64,False
15min,3,0.25,3R,0,"(1, -1)",2252,336,1.022,40.9,0.04,0.359,-171.6,5/8,2.64,False
15min,3,0.25,3R,1,"(1,)",597,89,1.196,90.7,0.32,0.39,-41.8,7/8,2.65,False
15min,3,0.25,3R,1,"(-1,)",438,66,1.037,13.2,0.06,0.363,-35.1,3/8,2.65,False
15min,3,0.25,3R,1,"(1, -1)",1035,154,1.127,103.9,0.31,0.379,-49.8,4/8,2.65,False
15min,3,0.5,2R,0,"(1,)",1225,183,1.007,6.2,0.01,0.406,-89.9,4/8,1.85,False
15min,3,0.5,2R,0,"(-1,)",1288,192,0.759,-234.8,-0.14,0.34,-253.9,0/8,1.86,False
15min,3,0.5,2R,0,"(1, -1)",2513,375,0.874,-228.6,-0.12,0.372,-282.5,1/8,1.86,False
15min,3,0.5,2R,1,"(1,)",672,100,1.072,32.4,0.09,0.418,-53.2,4/8,1.86,False
15min,3,0.5,2R,1,"(-1,)",492,74,0.821,-64.8,-0.13,0.358,-74.9,1/8,1.86,False
15min,3,0.5,2R,1,"(1, -1)",1164,174,0.96,-32.4,-0.05,0.393,-96.8,3/8,1.86,False
15min,3,0.5,3R,0,"(1,)",1225,183,1.054,52.0,0.08,0.318,-96.9,5/8,2.81,False
15min,3,0.5,3R,0,"(-1,)",1288,192,0.81,-206.5,-0.14,0.262,-227.7,1/8,2.81,False
15min,3,0.5,3R,0,"(1, -1)",2513,375,0.925,-154.6,-0.1,0.29,-222.9,1/8,2.81,False
15min,3,0.5,3R,1,"(1,)",672,100,1.117,60.7,0.2,0.33,-45.8,5/8,2.81,False
15min,3,0.5,3R,1,"(-1,)",492,74,0.867,-54.5,-0.13,0.274,-63.0,1/8,2.81,False
15min,3,0.5,3R,1,"(1, -1)",1164,174,1.007,6.2,0.01,0.307,-97.0,4/8,2.81,False
15min,3,1.0,2R,0,"(1,)",1286,192,0.992,-6.8,-0.02,0.378,-54.1,5/8,1.92,False
15min,3,1.0,2R,0,"(-1,)",1354,202,0.822,-172.4,-0.13,0.329,-194.7,1/8,1.93,False
15min,3,1.0,2R,0,"(1, -1)",2640,394,0.902,-179.2,-0.13,0.353,-200.1,1/8,1.93,False
15min,3,1.0,2R,1,"(1,)",704,105,1.011,5.3,0.02,0.382,-50.6,4/8,1.93,False
15min,3,1.0,2R,1,"(-1,)",513,77,0.902,-34.9,-0.11,0.349,-46.8,4/8,1.93,False
15min,3,1.0,2R,1,"(1, -1)",1217,182,0.964,-29.6,-0.05,0.368,-91.4,4/8,1.93,False
15min,3,1.0,3R,0,"(1,)",1286,192,1.124,114.1,0.44,0.332,-38.7,6/8,2.9,False
15min,3,1.0,3R,0,"(-1,)",1354,202,0.86,-148.1,-0.13,0.266,-168.7,2/8,2.9,False
15min,3,1.0,3R,0,"(1, -1)",2640,394,0.983,-34.0,-0.05,0.298,-97.0,4/8,2.9,False
