rule,k,tp_mode,sl_buf,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,2,2R,0.05,1,"(-1,)",869,130,0.647,-238.8,-0.13,0.429,-268.7,1/8,1.44,False
1h,2,2R,0.05,1,"(1, -1)",2215,330,0.688,-527.8,-0.13,0.447,-611.7,2/8,1.44,False
1h,2,2R,0.1,0,"(1,)",2131,317,0.708,-469.8,-0.12,0.457,-567.3,2/8,1.44,False
1h,2,2R,0.1,0,"(-1,)",1872,279,0.556,-690.9,-0.14,0.395,-712.6,1/8,1.45,False
1h,2,2R,0.1,0,"(1, -1)",4003,596,0.633,-1160.7,-0.14,0.428,-1248.9,1/8,1.45,False
1h,2,2R,0.1,1,"(1,)",1354,202,0.739,-263.8,-0.12,0.459,-341.2,2/8,1.45,False
1h,2,2R,0.1,1,"(-1,)",872,130,0.656,-233.2,-0.13,0.428,-261.0,1/8,1.46,False
1h,2,2R,0.1,1,"(1, -1)",2226,332,0.706,-497.0,-0.13,0.447,-583.9,2/8,1.45,False
1h,2,2R,0.25,0,"(1,)",2174,324,0.735,-430.4,-0.12,0.455,-532.0,2/8,1.48,False
1h,2,2R,0.25,0,"(-1,)",1908,284,0.601,-616.7,-0.14,0.397,-646.3,1/8,1.49,False
1h,2,2R,0.25,0,"(1, -1)",4082,608,0.67,-1047.1,-0.14,0.428,-1150.5,1/8,1.49,False
1h,2,2R,0.25,1,"(1,)",1381,206,0.755,-251.3,-0.11,0.45,-329.4,2/8,1.49,False
1h,2,2R,0.25,1,"(-1,)",889,133,0.694,-207.6,-0.13,0.427,-238.2,1/8,1.5,False
1h,2,2R,0.25,1,"(1, -1)",2270,338,0.731,-458.9,-0.12,0.441,-553.6,2/8,1.49,False
1h,2,2R,0.5,0,"(1,)",2242,334,0.805,-315.8,-0.11,0.457,-413.8,2/8,1.54,False
1h,2,2R,0.5,0,"(-1,)",1951,291,0.635,-561.6,-0.14,0.39,-583.5,1/8,1.55,False
1h,2,2R,0.5,0,"(1, -1)",4193,625,0.722,-877.4,-0.14,0.426,-962.5,2/8,1.54,False
1h,2,2R,0.5,1,"(1,)",1432,213,0.817,-188.9,-0.1,0.453,-272.8,2/8,1.55,False
1h,2,2R,0.5,1,"(-1,)",911,136,0.716,-195.5,-0.13,0.417,-218.4,1/8,1.55,False
1h,2,2R,0.5,1,"(1, -1)",2343,349,0.776,-384.4,-0.12,0.439,-472.2,2/8,1.55,False
1h,2,3R,0.05,0,"(1,)",2121,316,0.921,-138.8,-0.06,0.421,-325.6,3/8,2.21,False
1h,2,3R,0.05,0,"(-1,)",1859,277,0.711,-485.1,-0.14,0.351,-514.4,1/8,2.23,False
1h,2,3R,0.05,0,"(1, -1)",3980,593,0.819,-623.9,-0.12,0.388,-777.9,2/8,2.22,False
1h,2,3R,0.05,1,"(1,)",1346,201,0.937,-69.7,-0.05,0.416,-214.1,3/8,2.23,False
1h,2,3R,0.05,1,"(-1,)",869,130,0.812,-140.9,-0.12,0.375,-175.5,1/8,2.23,False
1h,2,3R,0.05,1,"(1, -1)",2215,330,0.887,-210.5,-0.09,0.4,-358.6,2/8,2.23,False
1h,2,3R,0.1,0,"(1,)",2131,317,0.935,-113.9,-0.06,0.42,-306.1,4/8,2.24,False
1h,2,3R,0.1,0,"(-1,)",1872,279,0.708,-493.1,-0.14,0.345,-523.2,1/8,2.25,False
1h,2,3R,0.1,0,"(1, -1)",4003,596,0.824,-607.0,-0.12,0.384,-765.1,2/8,2.24,False
1h,2,3R,0.1,1,"(1,)",1354,202,0.944,-62.6,-0.04,0.413,-211.5,3/8,2.25,False
1h,2,3R,0.1,1,"(-1,)",872,130,0.797,-153.9,-0.12,0.366,-187.9,1/8,2.25,False
1h,2,3R,0.1,1,"(1, -1)",2226,332,0.884,-216.5,-0.09,0.394,-366.6,2/8,2.25,False
1h,2,3R,0.25,0,"(1,)",2174,324,0.942,-103.8,-0.05,0.406,-283.4,4/8,2.3,False
1h,2,3R,0.25,0,"(-1,)",1908,284,0.73,-457.7,-0.13,0.343,-510.0,1/8,2.31,False
1h,2,3R,0.25,0,"(1, -1)",4082,608,0.839,-561.5,-0.12,0.377,-720.3,2/8,2.3,False
1h,2,3R,0.25,1,"(1,)",1381,206,0.961,-44.6,-0.03,0.402,-190.7,3/8,2.31,False
1h,2,3R,0.25,1,"(-1,)",889,133,0.827,-131.8,-0.11,0.364,-173.6,1/8,2.31,False
1h,2,3R,0.25,1,"(1, -1)",2270,338,0.907,-176.4,-0.08,0.387,-331.6,3/8,2.31,False
1h,2,3R,0.5,0,"(1,)",2242,334,1.004,7.3,0.01,0.403,-198.7,4/8,2.37,False
1h,2,3R,0.5,0,"(-1,)",1951,291,0.771,-388.4,-0.13,0.342,-432.2,1/8,2.39,False
1h,2,3R,0.5,0,"(1, -1)",4193,625,0.891,-381.1,-0.1,0.374,-545.5,2/8,2.38,False
1h,2,3R,0.5,1,"(1,)",1432,213,1.006,6.4,0.01,0.395,-177.2,4/8,2.39,False
1h,2,3R,0.5,1,"(-1,)",911,136,0.869,-100.4,-0.11,0.368,-139.5,2/8,2.39,False
1h,2,3R,0.5,1,"(1, -1)",2343,349,0.951,-94.0,-0.05,0.385,-262.9,3/8,2.39,False
1h,2,swing,0.05,0,"(1,)",2121,316,0.296,-5933.5,-0.15,0.201,-5978.4,0/8,13.35,False
1h,2,swing,0.05,0,"(-1,)",1859,277,0.393,-3076.7,-0.15,0.181,-3081.0,0/8,12.86,False
1h,2,swing,0.05,0,"(1, -1)",3980,593,0.333,-9010.1,-0.15,0.191,-9016.6,0/8,13.12,False
1h,2,swing,0.05,1,"(1,)",1346,201,0.249,-4932.7,-0.15,0.193,-4895.9,0/8,11.63,False
1h,2,swing,0.05,1,"(-1,)",869,130,0.235,-2544.2,-0.15,0.183,-2541.4,0/8,10.58,False
1h,2,swing,0.05,1,"(1, -1)",2215,330,0.244,-7476.9,-0.15,0.189,-7440.1,0/8,11.22,False
1h,2,swing,0.1,0,"(1,)",2131,317,0.295,-5823.7,-0.15,0.203,-5868.7,0/8,12.96,False
1h,2,swing,0.1,0,"(-1,)",1872,279,0.393,-3011.7,-0.15,0.183,-3015.8,0/8,12.46,False
1h,2,swing,0.1,0,"(1, -1)",4003,596,0.332,-8835.4,-0.15,0.194,-8841.5,0/8,12.73,False
1h,2,swing,0.1,1,"(1,)",1354,202,0.246,-4852.0,-0.15,0.195,-4816.0,0/8,11.29,False
1h,2,swing,0.1,1,"(-1,)",872,130,0.238,-2468.2,-0.15,0.188,-2465.4,0/8,10.29,False
1h,2,swing,0.1,1,"(1, -1)",2226,332,0.243,-7320.2,-0.15,0.192,-7284.1,0/8,10.9,False
1h,2,swing,0.25,0,"(1,)",2174,324,0.291,-5540.4,-0.15,0.206,-5585.7,0/8,11.82,False
1h,2,swing,0.25,0,"(-1,)",1908,284,0.392,-2862.1,-0.15,0.189,-2860.9,0/8,11.47,False
1h,2,swing,0.25,0,"(1, -1)",4082,608,0.329,-8402.5,-0.15,0.198,-8408.0,0/8,11.66,False
1h,2,swing,0.25,1,"(1,)",1381,206,0.242,-4603.1,-0.15,0.198,-4569.2,0/8,10.31,False
1h,2,swing,0.25,1,"(-1,)",889,133,0.237,-2325.9,-0.15,0.191,-2323.3,0/8,9.45,False
1h,2,swing,0.25,1,"(1, -1)",2270,338,0.24,-6929.0,-0.15,0.195,-6895.1,0/8,9.97,False
1h,2,swing,0.5,0,"(1,)",2242,334,0.298,-5106.5,-0.15,0.215,-5151.1,0/8,10.44,False
1h,2,swing,0.5,0,"(-1,)",1951,291,0.387,-2666.2,-0.15,0.199,-2665.0,0/8,10.14,False
1h,2,swing,0.5,0,"(1, -1)",4193,625,0.332,-7772.7,-0.15,0.207,-7777.3,0/8,10.3,False
1h,2,swing,0.5,1,"(1,)",1432,213,0.251,-4204.1,-0.15,0.208,-4173.3,0/8,9.17,False
1h,2,swing,0.5,1,"(-1,)",911,136,0.239,-2125.3,-0.15,0.204,-2122.9,0/8,8.31,False
1h,2,swing,0.5,1,"(1, -1)",2343,349,0.247,-6329.4,-0.15,0.207,-6298.6,0/8,8.84,False
1h,3,2R,0.05,0,"(1,)",2120,316,0.685,-510.9,-0.13,0.453,-602.5,2/8,1.42,False
1h,3,2R,0.05,0,"(-1,)",1859,277,0.55,-695.8,-0.14,0.396,-717.5,1/8,1.44,False
1h,3,2R,0.05,0,"(1, -1)",3979,593,0.619,-1206.7,-0.14,0.426,-1291.5,1/8,1.43,False
1h,3,2R,0.05,1,"(1,)",1346,201,0.716,-289.1,-0.12,0.458,-355.4,2/8,1.43,False
1h,3,2R,0.05,1,"(-1,)",869,130,0.647,-238.8,-0.13,0.429,-268.7,1/8,1.44,False
1h,3,2R,0.05,1,"(1, -1)",2215,330,0.688,-527.8,-0.13,0.447,-611.7,2/8,1.44,False
1h,3,2R,0.1,0,"(1,)",2130,317,0.707,-471.4,-0.12,0.456,-567.0,2/8,1.44,False
1h,3,2R,0.1,0,"(-1,)",1872,279,0.556,-690.9,-0.14,0.395,-712.6,1/8,1.45,False
1h,3,2R,0.1,0,"(1, -1)",4002,596,0.633,-1162.3,-0.14,0.428,-1248.0,1/8,1.45,False
1h,3,2R,0.1,1,"(1,)",1354,202,0.739,-263.8,-0.12,0.459,-341.2,2/8,1.45,False
1h,3,2R,0.1,1,"(-1,)",872,130,0.656,-233.2,-0.13,0.428,-261.0,1/8,1.46,False
1h,3,2R,0.1,1,"(1, -1)",2226,332,0.706,-497.0,-0.13,0.447,-583.9,2/8,1.45,False
1h,3,2R,0.25,0,"(1,)",2173,324,0.734,-432.0,-0.12,0.455,-532.0,2/8,1.48,False
1h,3,2R,0.25,0,"(-1,)",1908,284,0.601,-616.7,-0.14,0.397,-646.3,1/8,1.49,False
1h,3,2R,0.25,0,"(1, -1)",4081,608,0.669,-1048.8,-0.14,0.428,-1150.5,1/8,1.49,False
1h,3,2R,0.25,1,"(1,)",1381,206,0.755,-251.3,-0.11,0.45,-329.4,2/8,1.49,False
1h,3,2R,0.25,1,"(-1,)",889,133,0.694,-207.6,-0.13,0.427,-238.2,1/8,1.5,False
1h,3,2R,0.25,1,"(1, -1)",2270,338,0.731,-458.9,-0.12,0.441,-553.6,2/8,1.49,False
1h,3,2R,0.5,0,"(1,)",2241,334,0.804,-317.5,-0.11,0.456,-413.8,2/8,1.54,False
1h,3,2R,0.5,0,"(-1,)",1951,291,0.635,-561.6,-0.14,0.39,-583.5,1/8,1.55,False
1h,3,2R,0.5,0,"(1, -1)",4192,625,0.722,-879.1,-0.14,0.426,-961.7,2/8,1.54,False
1h,3,2R,0.5,1,"(1,)",1432,213,0.817,-188.9,-0.1,0.453,-272.8,2/8,1.55,False
1h,3,2R,0.5,1,"(-1,)",911,136,0.716,-195.5,-0.13,0.417,-218.4,1/8,1.55,False
1h,3,2R,0.5,1,"(1, -1)",2343,349,0.776,-384.4,-0.12,0.439,-472.2,2/8,1.55,False
1h,3,3R,0.05,0,"(1,)",2120,316,0.92,-141.3,-0.06,0.42,-325.6,3/8,2.21,False
1h,3,3R,0.05,0,"(-1,)",1859,277,0.711,-485.1,-0.14,0.351,-514.4,1/8,2.23,False
1h,3,3R,0.05,0,"(1, -1)",3979,593,0.818,-626.4,-0.12,0.388,-777.4,2/8,2.22,False
1h,3,3R,0.05,1,"(1,)",1346,201,0.937,-69.7,-0.05,0.416,-214.1,3/8,2.23,False
1h,3,3R,0.05,1,"(-1,)",869,130,0.812,-140.9,-0.12,0.375,-175.5,1/8,2.23,False
1h,3,3R,0.05,1,"(1, -1)",2215,330,0.887,-210.5,-0.09,0.4,-358.6,2/8,2.23,False
1h,3,3R,0.1,0,"(1,)",2130,317,0.934,-116.4,-0.06,0.419,-306.1,4/8,2.24,False
1h,3,3R,0.1,0,"(-1,)",1872,279,0.708,-493.1,-0.14,0.345,-523.2,1/8,2.25,False
1h,3,3R,0.1,0,"(1, -1)",4002,596,0.823,-609.5,-0.12,0.384,-764.7,2/8,2.24,False
1h,3,3R,0.1,1,"(1,)",1354,202,0.944,-62.6,-0.04,0.413,-211.5,3/8,2.25,False
1h,3,3R,0.1,1,"(-1,)",872,130,0.797,-153.9,-0.12,0.366,-187.9,1/8,2.25,False
1h,3,3R,0.1,1,"(1, -1)",2226,332,0.884,-216.5,-0.09,0.394,-366.6,2/8,2.25,False
1h,3,3R,0.25,0,"(1,)",2173,324,0.941,-106.4,-0.06,0.406,-283.4,4/8,2.3,False
1h,3,3R,0.25,0,"(-1,)",1908,284,0.73,-457.7,-0.13,0.343,-510.0,1/8,2.31,False
1h,3,3R,0.25,0,"(1, -1)",4081,608,0.838,-564.1,-0.12,0.376,-720.3,2/8,2.3,False
1h,3,3R,0.25,1,"(1,)",1381,206,0.961,-44.6,-0.03,0.402,-190.7,3/8,2.31,False
1h,3,3R,0.25,1,"(-1,)",889,133,0.827,-131.8,-0.11,0.364,-173.6,1/8,2.31,False
1h,3,3R,0.25,1,"(1, -1)",2270,338,0.907,-176.4,-0.08,0.387,-331.6,3/8,2.31,False
1h,3,3R,0.5,0,"(1,)",2241,334,1.003,4.7,0.0,0.402,-198.7,4/8,2.37,False
1h,3,3R,0.5,0,"(-1,)",1951,291,0.771,-388.4,-0.13,0.342,-432.2,1/8,2.39,False
1h,3,3R,0.5,0,"(1, -1)",4192,625,0.89,-383.7,-0.1,0.374,-545.5,2/8,2.38,False
1h,3,3R,0.5,1,"(1,)",1432,213,1.006,6.4,0.01,0.395,-177.2,4/8,2.39,False
1h,3,3R,0.5,1,"(-1,)",911,136,0.869,-100.4,-0.11,0.368,-139.5,2/8,2.39,False
1h,3,3R,0.5,1,"(1, -1)",2343,349,0.951,-94.0,-0.05,0.385,-262.9,3/8,2.39,False
1h,3,swing,0.05,0,"(1,)",2120,316,0.323,-5893.9,-0.15,0.183,-5854.4,0/8,17.24,False
1h,3,swing,0.05,0,"(-1,)",1859,277,0.413,-3105.7,-0.15,0.166,-3122.4,0/8,16.96,False
1h,3,swing,0.05,0,"(1, -1)",3979,593,0.357,-8999.5,-0.15,0.175,-8998.2,0/8,17.11,False
1h,3,swing,0.05,1,"(1,)",1346,201,0.267,-5086.6,-0.15,0.181,-5047.2,0/8,13.6,False
1h,3,swing,0.05,1,"(-1,)",869,130,0.243,-2690.1,-0.15,0.165,-2687.3,0/8,13.34,False
1h,3,swing,0.05,1,"(1, -1)",2215,330,0.259,-7776.7,-0.15,0.175,-7737.2,0/8,13.5,False
1h,3,swing,0.1,0,"(1,)",2130,317,0.321,-5800.7,-0.15,0.184,-5762.1,0/8,16.72,False
1h,3,swing,0.1,0,"(-1,)",1872,279,0.41,-3060.4,-0.15,0.167,-3076.4,0/8,16.45,False
1h,3,swing,0.1,0,"(1, -1)",4002,596,0.355,-8861.1,-0.15,0.176,-8859.8,0/8,16.6,False
1h,3,swing,0.1,1,"(1,)",1354,202,0.264,-5013.9,-0.15,0.182,-4975.3,0/8,13.19,False
1h,3,swing,0.1,1,"(-1,)",872,130,0.244,-2624.5,-0.15,0.167,-2621.8,0/8,12.97,False
1h,3,swing,0.1,1,"(1, -1)",2226,332,0.257,-7638.4,-0.15,0.176,-7599.8,0/8,13.11,False
1h,3,swing,0.25,0,"(1,)",2173,324,0.32,-5493.6,-0.15,0.189,-5457.4,0/8,15.27,False
1h,3,swing,0.25,0,"(-1,)",1908,284,0.417,-2877.1,-0.15,0.175,-2889.2,0/8,15.12,False
1h,3,swing,0.25,0,"(1, -1)",4081,608,0.356,-8370.7,-0.15,0.182,-8369.4,0/8,15.2,False
1h,3,swing,0.25,1,"(1,)",1381,206,0.262,-4732.4,-0.15,0.186,-4696.2,0/8,12.04,False
1h,3,swing,0.25,1,"(-1,)",889,133,0.25,-2453.4,-0.15,0.172,-2450.8,0/8,11.93,False
1h,3,swing,0.25,1,"(1, -1)",2270,338,0.258,-7185.8,-0.15,0.181,-7149.6,0/8,12.0,False
1h,3,swing,0.5,0,"(1,)",2241,334,0.327,-5062.9,-0.15,0.2,-5030.1,0/8,13.48,False
1h,3,swing,0.5,0,"(-1,)",1951,291,0.41,-2706.7,-0.15,0.184,-2716.5,0/8,13.35,False
1h,3,swing,0.5,0,"(1, -1)",4192,625,0.359,-7769.7,-0.15,0.193,-7768.5,0/8,13.42,False
1h,3,swing,0.5,1,"(1,)",1432,213,0.269,-4345.5,-0.15,0.196,-4312.6,0/8,10.68,False
1h,3,swing,0.5,1,"(-1,)",911,136,0.25,-2258.7,-0.15,0.182,-2256.4,0/8,10.46,False
1h,3,swing,0.5,1,"(1, -1)",2343,349,0.262,-6604.2,-0.15,0.191,-6571.4,0/8,10.6,False
1h,4,2R,0.05,0,"(1,)",2120,316,0.685,-510.9,-0.13,0.453,-602.5,2/8,1.42,False
1h,4,2R,0.05,0,"(-1,)",1859,277,0.55,-695.8,-0.14,0.396,-717.5,1/8,1.44,False
1h,4,2R,0.05,0,"(1, -1)",3979,593,0.619,-1206.7,-0.14,0.426,-1291.5,1/8,1.43,False
1h,4,2R,0.05,1,"(1,)",1346,201,0.716,-289.1,-0.12,0.458,-355.4,2/8,1.43,False
1h,4,2R,0.05,1,"(-1,)",869,130,0.647,-238.8,-0.13,0.429,-268.7,1/8,1.44,False
1h,4,2R,0.05,1,"(1, -1)",2215,330,0.688,-527.8,-0.13,0.447,-611.7,2/8,1.44,False
1h,4,2R,0.1,0,"(1,)",2130,317,0.707,-471.4,-0.12,0.456,-567.0,2/8,1.44,False
1h,4,2R,0.1,0,"(-1,)",1872,279,0.556,-690.9,-0.14,0.395,-712.6,1/8,1.45,False
1h,4,2R,0.1,0,"(1, -1)",4002,596,0.633,-1162.3,-0.14,0.428,-1248.0,1/8,1.45,False
1h,4,2R,0.1,1,"(1,)",1354,202,0.739,-263.8,-0.12,0.459,-341.2,2/8,1.45,False
1h,4,2R,0.1,1,"(-1,)",872,130,0.656,-233.2,-0.13,0.428,-261.0,1/8,1.46,False
1h,4,2R,0.1,1,"(1, -1)",2226,332,0.706,-497.0,-0.13,0.447,-583.9,2/8,1.45,False
1h,4,2R,0.25,0,"(1,)",2173,324,0.734,-432.0,-0.12,0.455,-532.0,2/8,1.48,False
1h,4,2R,0.25,0,"(-1,)",1908,284,0.601,-616.7,-0.14,0.397,-646.3,1/8,1.49,False
1h,4,2R,0.25,0,"(1, -1)",4081,608,0.669,-1048.8,-0.14,0.428,-1150.5,1/8,1.49,False
1h,4,2R,0.25,1,"(1,)",1381,206,0.755,-251.3,-0.11,0.45,-329.4,2/8,1.49,False
1h,4,2R,0.25,1,"(-1,)",889,133,0.694,-207.6,-0.13,0.427,-238.2,1/8,1.5,False
1h,4,2R,0.25,1,"(1, -1)",2270,338,0.731,-458.9,-0.12,0.441,-553.6,2/8,1.49,False
1h,4,2R,0.5,0,"(1,)",2241,334,0.804,-317.5,-0.11,0.456,-413.8,2/8,1.54,False
1h,4,2R,0.5,0,"(-1,)",1951,291,0.635,-561.6,-0.14,0.39,-583.5,1/8,1.55,False
1h,4,2R,0.5,0,"(1, -1)",4192,625,0.722,-879.1,-0.14,0.426,-961.7,2/8,1.54,False
1h,4,2R,0.5,1,"(1,)",1432,213,0.817,-188.9,-0.1,0.453,-272.8,2/8,1.55,False
1h,4,2R,0.5,1,"(-1,)",911,136,0.716,-195.5,-0.13,0.417,-218.4,1/8,1.55,False
1h,4,2R,0.5,1,"(1, -1)",2343,349,0.776,-384.4,-0.12,0.439,-472.2,2/8,1.55,False
1h,4,3R,0.05,0,"(1,)",2120,316,0.92,-141.3,-0.06,0.42,-325.6,3/8,2.21,False
1h,4,3R,0.05,0,"(-1,)",1859,277,0.711,-485.1,-0.14,0.351,-514.4,1/8,2.23,False
1h,4,3R,0.05,0,"(1, -1)",3979,593,0.818,-626.4,-0.12,0.388,-777.4,2/8,2.22,False
1h,4,3R,0.05,1,"(1,)",1346,201,0.937,-69.7,-0.05,0.416,-214.1,3/8,2.23,False
1h,4,3R,0.05,1,"(-1,)",869,130,0.812,-140.9,-0.12,0.375,-175.5,1/8,2.23,False
1h,4,3R,0.05,1,"(1, -1)",2215,330,0.887,-210.5,-0.09,0.4,-358.6,2/8,2.23,False
1h,4,3R,0.1,0,"(1,)",2130,317,0.934,-116.4,-0.06,0.419,-306.1,4/8,2.24,False
1h,4,3R,0.1,0,"(-1,)",1872,279,0.708,-493.1,-0.14,0.345,-523.2,1/8,2.25,False
1h,4,3R,0.1,0,"(1, -1)",4002,596,0.823,-609.5,-0.12,0.384,-764.7,2/8,2.24,False
1h,4,3R,0.1,1,"(1,)",1354,202,0.944,-62.6,-0.04,0.413,-211.5,3/8,2.25,False
1h,4,3R,0.1,1,"(-1,)",872,130,0.797,-153.9,-0.12,0.366,-187.9,1/8,2.25,False
1h,4,3R,0.1,1,"(1, -1)",2226,332,0.884,-216.5,-0.09,0.394,-366.6,2/8,2.25,False
1h,4,3R,0.25,0,"(1,)",2173,324,0.941,-106.4,-0.06,0.406,-283.4,4/8,2.3,False
1h,4,3R,0.25,0,"(-1,)",1908,284,0.73,-457.7,-0.13,0.343,-510.0,1/8,2.31,False
1h,4,3R,0.25,0,"(1, -1)",4081,608,0.838,-564.1,-0.12,0.376,-720.3,2/8,2.3,False
1h,4,3R,0.25,1,"(1,)",1381,206,0.961,-44.6,-0.03,0.402,-190.7,3/8,2.31,False
1h,4,3R,0.25,1,"(-1,)",889,133,0.827,-131.8,-0.11,0.364,-173.6,1/8,2.31,False
1h,4,3R,0.25,1,"(1, -1)",2270,338,0.907,-176.4,-0.08,0.387,-331.6,3/8,2.31,False
1h,4,3R,0.5,0,"(1,)",2241,334,1.003,4.7,0.0,0.402,-198.7,4/8,2.37,False
1h,4,3R,0.5,0,"(-1,)",1951,291,0.771,-388.4,-0.13,0.342,-432.2,1/8,2.39,False
1h,4,3R,0.5,0,"(1, -1)",4192,625,0.89,-383.7,-0.1,0.374,-545.5,2/8,2.38,False
1h,4,3R,0.5,1,"(1,)",1432,213,1.006,6.4,0.01,0.395,-177.2,4/8,2.39,False
1h,4,3R,0.5,1,"(-1,)",911,136,0.869,-100.4,-0.11,0.368,-139.5,2/8,2.39,False
1h,4,3R,0.5,1,"(1, -1)",2343,349,0.951,-94.0,-0.05,0.385,-262.9,3/8,2.39,False
1h,4,swing,0.05,0,"(1,)",2120,316,0.319,-6877.4,-0.15,0.175,-6922.3,0/8,20.22,False
1h,4,swing,0.05,0,"(-1,)",1859,277,0.413,-3430.1,-0.15,0.152,-3447.3,0/8,19.99,False
1h,4,swing,0.05,0,"(1, -1)",3979,593,0.353,-10307.5,-0.15,0.164,-10320.5,0/8,20.11,False
1h,4,swing,0.05,1,"(1,)",1346,201,0.251,-6230.3,-0.15,0.181,-6231.4,0/8,16.07,False
1h,4,swing,0.05,1,"(-1,)",869,130,0.222,-3172.6,-0.15,0.148,-3169.8,0/8,15.57,False
1h,4,swing,0.05,1,"(1, -1)",2215,330,0.241,-9402.9,-0.15,0.168,-9401.2,0/8,15.87,False
1h,4,swing,0.1,0,"(1,)",2130,317,0.316,-6773.7,-0.15,0.175,-6820.9,0/8,19.6,False
1h,4,swing,0.1,0,"(-1,)",1872,279,0.41,-3374.4,-0.15,0.154,-3390.8,0/8,19.38,False
1h,4,swing,0.1,0,"(1, -1)",4002,596,0.351,-10148.2,-0.15,0.165,-10160.4,0/8,19.5,False
1h,4,swing,0.1,1,"(1,)",1354,202,0.247,-6142.6,-0.15,0.18,-6143.3,0/8,15.57,False
1h,4,swing,0.1,1,"(-1,)",872,130,0.223,-3092.1,-0.15,0.151,-3089.4,0/8,15.13,False
1h,4,swing,0.1,1,"(1, -1)",2226,332,0.239,-9234.7,-0.15,0.169,-9232.7,0/8,15.4,False
1h,4,swing,0.25,0,"(1,)",2173,324,0.314,-6431.1,-0.15,0.179,-6484.2,0/8,17.92,False
1h,4,swing,0.25,0,"(-1,)",1908,284,0.417,-3155.7,-0.15,0.162,-3168.2,0/8,17.82,False
1h,4,swing,0.25,0,"(1, -1)",4081,608,0.352,-9586.8,-0.15,0.171,-9594.9,0/8,17.87,False
1h,4,swing,0.25,1,"(1,)",1381,206,0.244,-5825.1,-0.15,0.183,-5824.9,0/8,14.25,False
1h,4,swing,0.25,1,"(-1,)",889,133,0.23,-2877.1,-0.15,0.157,-2874.5,0/8,13.97,False
1h,4,swing,0.25,1,"(1, -1)",2270,338,0.239,-8702.2,-0.15,0.173,-8699.4,0/8,14.14,False
1h,4,swing,0.5,0,"(1,)",2241,334,0.324,-5858.9,-0.15,0.191,-5918.8,0/8,15.76,False
1h,4,swing,0.5,0,"(-1,)",1951,291,0.414,-2928.1,-0.15,0.171,-2938.2,0/8,15.73,False
1h,4,swing,0.5,0,"(1, -1)",4192,625,0.357,-8787.0,-0.15,0.181,-8792.5,0/8,15.75,False
1h,4,swing,0.5,1,"(1,)",1432,213,0.251,-5292.4,-0.15,0.193,-5291.1,0/8,12.56,False
1h,4,swing,0.5,1,"(-1,)",911,136,0.232,-2619.7,-0.15,0.168,-2617.3,0/8,12.26,False
1h,4,swing,0.5,1,"(1, -1)",2343,349,0.245,-7912.1,-0.15,0.184,-7908.4,0/8,12.44,False
