rule,k,ob_level,os_level,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,70,25,0.5,2R,"(-1,)",496,74,0.763,-75.3,-0.12,0.335,-93.3,2/8,1.95,False
15min,3,70,25,0.5,2R,"(1, -1)",627,93,0.792,-80.4,-0.13,0.356,-93.3,1/8,1.95,False
15min,3,70,25,0.5,3R,"(1,)",131,20,1.055,4.0,0.03,0.412,-19.3,5/8,2.94,False
15min,3,70,25,0.5,3R,"(-1,)",496,74,0.762,-78.4,-0.11,0.306,-105.3,2/8,2.94,False
15min,3,70,25,0.5,3R,"(1, -1)",627,93,0.815,-74.4,-0.11,0.329,-105.3,2/8,2.94,False
15min,3,70,30,0.1,2R,"(1,)",316,47,0.954,-8.8,-0.05,0.392,-25.9,4/8,1.94,False
15min,3,70,30,0.1,2R,"(-1,)",496,74,0.721,-95.9,-0.15,0.31,-98.5,2/8,1.94,False
15min,3,70,30,0.1,2R,"(1, -1)",812,121,0.804,-104.6,-0.14,0.342,-112.0,1/8,1.94,False
15min,3,70,30,0.1,3R,"(1,)",316,47,0.886,-23.4,-0.08,0.332,-42.0,4/8,2.92,False
15min,3,70,30,0.1,3R,"(-1,)",496,74,0.777,-80.5,-0.14,0.274,-85.7,2/8,2.92,False
15min,3,70,30,0.1,3R,"(1, -1)",812,121,0.817,-103.9,-0.15,0.297,-104.6,0/8,2.92,False
15min,3,70,30,0.25,2R,"(1,)",316,47,0.877,-23.1,-0.09,0.383,-38.0,4/8,1.95,False
15min,3,70,30,0.25,2R,"(-1,)",496,74,0.747,-84.6,-0.13,0.323,-98.1,2/8,1.94,False
15min,3,70,30,0.25,2R,"(1, -1)",812,121,0.794,-107.7,-0.14,0.346,-112.7,1/8,1.95,False
15min,3,70,30,0.25,3R,"(1,)",316,47,0.882,-23.5,-0.1,0.342,-33.9,4/8,2.93,False
15min,3,70,30,0.25,3R,"(-1,)",496,74,0.779,-77.7,-0.11,0.284,-105.3,2/8,2.93,False
15min,3,70,30,0.25,3R,"(1, -1)",812,121,0.816,-101.2,-0.14,0.307,-105.3,1/8,2.93,False
15min,3,70,30,0.5,2R,"(1,)",316,47,0.947,-9.2,-0.04,0.411,-31.5,4/8,1.96,False
15min,3,70,30,0.5,2R,"(-1,)",496,74,0.763,-75.3,-0.12,0.335,-93.3,2/8,1.95,False
15min,3,70,30,0.5,2R,"(1, -1)",812,121,0.827,-84.5,-0.13,0.365,-95.3,0/8,1.96,False
15min,3,70,30,0.5,3R,"(1,)",316,47,0.984,-2.8,-0.01,0.38,-36.6,4/8,2.94,False
15min,3,70,30,0.5,3R,"(-1,)",496,74,0.762,-78.4,-0.11,0.306,-105.3,2/8,2.94,False
15min,3,70,30,0.5,3R,"(1, -1)",812,121,0.841,-81.2,-0.11,0.335,-105.3,0/8,2.94,False
15min,3,70,35,0.1,2R,"(1,)",578,86,0.859,-51.1,-0.12,0.377,-64.4,1/8,1.94,False
15min,3,70,35,0.1,2R,"(-1,)",496,74,0.721,-95.9,-0.15,0.31,-98.5,2/8,1.94,False
15min,3,70,35,0.1,2R,"(1, -1)",1074,160,0.792,-147.0,-0.14,0.346,-151.9,0/8,1.94,False
15min,3,70,35,0.1,3R,"(1,)",578,86,0.809,-74.8,-0.13,0.324,-87.6,3/8,2.92,False
15min,3,70,35,0.1,3R,"(-1,)",496,74,0.777,-80.5,-0.14,0.274,-85.7,2/8,2.92,False
15min,3,70,35,0.1,3R,"(1, -1)",1074,160,0.794,-155.2,-0.15,0.301,-156.5,0/8,2.92,False
15min,3,70,35,0.25,2R,"(1,)",578,86,0.807,-69.4,-0.13,0.369,-78.8,1/8,1.95,False
15min,3,70,35,0.25,2R,"(-1,)",496,74,0.747,-84.6,-0.13,0.323,-98.1,2/8,1.94,False
15min,3,70,35,0.25,2R,"(1, -1)",1074,160,0.778,-154.0,-0.15,0.347,-155.2,0/8,1.95,False
15min,3,70,35,0.25,3R,"(1,)",578,86,0.797,-77.6,-0.13,0.329,-86.3,1/8,2.93,False
15min,3,70,35,0.25,3R,"(-1,)",496,74,0.779,-77.7,-0.11,0.284,-105.3,2/8,2.93,False
15min,3,70,35,0.25,3R,"(1, -1)",1074,160,0.788,-155.3,-0.15,0.308,-154.9,0/8,2.93,False
15min,3,70,35,0.5,2R,"(1,)",579,87,0.877,-40.2,-0.1,0.406,-59.9,4/8,1.96,False
15min,3,70,35,0.5,2R,"(-1,)",496,74,0.763,-75.3,-0.12,0.335,-93.3,2/8,1.95,False
15min,3,70,35,0.5,2R,"(1, -1)",1075,160,0.821,-115.5,-0.14,0.373,-127.4,0/8,1.96,False
15min,3,70,35,0.5,3R,"(1,)",579,87,0.869,-45.5,-0.1,0.368,-66.1,5/8,2.94,False
15min,3,70,35,0.5,3R,"(-1,)",496,74,0.762,-78.4,-0.11,0.306,-105.3,2/8,2.94,False
15min,3,70,35,0.5,3R,"(1, -1)",1075,160,0.817,-123.9,-0.15,0.34,-124.1,0/8,2.94,False
15min,3,75,25,0.1,2R,"(1,)",131,20,0.918,-6.2,-0.04,0.412,-20.8,3/8,1.94,False
15min,3,75,25,0.1,2R,"(-1,)",217,32,0.609,-60.8,-0.14,0.286,-64.2,3/8,1.94,False
15min,3,75,25,0.1,2R,"(1, -1)",348,52,0.71,-67.0,-0.13,0.333,-76.4,1/8,1.94,False
15min,3,75,25,0.1,3R,"(1,)",131,20,0.932,-5.5,-0.03,0.366,-24.8,3/8,2.92,False
15min,3,75,25,0.1,3R,"(-1,)",217,32,0.689,-49.8,-0.14,0.258,-54.3,3/8,2.92,False
15min,3,75,25,0.1,3R,"(1, -1)",348,52,0.77,-55.3,-0.12,0.299,-67.4,1/8,2.92,False
15min,3,75,25,0.25,2R,"(1,)",131,20,0.883,-8.7,-0.05,0.412,-24.0,3/8,1.95,False
15min,3,75,25,0.25,2R,"(-1,)",217,32,0.646,-53.5,-0.14,0.3,-57.1,2/8,1.94,False
15min,3,75,25,0.25,2R,"(1, -1)",348,52,0.724,-62.3,-0.13,0.342,-72.4,2/8,1.95,False
15min,3,75,25,0.25,3R,"(1,)",131,20,0.982,-1.4,-0.01,0.382,-22.7,3/8,2.93,False
15min,3,75,25,0.25,3R,"(-1,)",217,32,0.692,-48.0,-0.12,0.267,-58.4,2/8,2.93,False
15min,3,75,25,0.25,3R,"(1, -1)",348,52,0.788,-49.4,-0.12,0.31,-63.6,2/8,2.93,False
15min,3,75,25,0.5,2R,"(1,)",131,20,0.927,-5.1,-0.04,0.435,-20.8,4/8,1.96,False
15min,3,75,25,0.5,2R,"(-1,)",217,32,0.64,-52.9,-0.13,0.3,-61.3,1/8,1.95,False
15min,3,75,25,0.5,2R,"(1, -1)",348,52,0.733,-58.0,-0.12,0.351,-70.6,1/8,1.96,False
15min,3,75,25,0.5,3R,"(1,)",131,20,1.055,4.0,0.03,0.412,-19.3,5/8,2.94,False
15min,3,75,25,0.5,3R,"(-1,)",217,32,0.638,-54.9,-0.13,0.272,-64.1,2/8,2.94,False
15min,3,75,25,0.5,3R,"(1, -1)",348,52,0.772,-50.9,-0.11,0.325,-67.2,2/8,2.94,False
15min,3,75,30,0.1,2R,"(1,)",316,47,0.954,-8.8,-0.05,0.392,-25.9,4/8,1.94,False
15min,3,75,30,0.1,2R,"(-1,)",217,32,0.609,-60.8,-0.14,0.286,-64.2,3/8,1.94,False
15min,3,75,30,0.1,2R,"(1, -1)",533,79,0.798,-69.6,-0.13,0.349,-76.9,1/8,1.94,False
15min,3,75,30,0.1,3R,"(1,)",316,47,0.886,-23.4,-0.08,0.332,-42.0,4/8,2.92,False
15min,3,75,30,0.1,3R,"(-1,)",217,32,0.689,-49.8,-0.14,0.258,-54.3,3/8,2.92,False
15min,3,75,30,0.1,3R,"(1, -1)",533,79,0.8,-73.2,-0.15,0.302,-73.3,1/8,2.92,False
15min,3,75,30,0.25,2R,"(1,)",316,47,0.877,-23.1,-0.09,0.383,-38.0,4/8,1.95,False
15min,3,75,30,0.25,2R,"(-1,)",217,32,0.646,-53.5,-0.14,0.3,-57.1,2/8,1.94,False
15min,3,75,30,0.25,2R,"(1, -1)",533,79,0.774,-76.7,-0.14,0.349,-81.6,1/8,1.95,False
15min,3,75,30,0.25,3R,"(1,)",316,47,0.882,-23.5,-0.1,0.342,-33.9,4/8,2.93,False
15min,3,75,30,0.25,3R,"(-1,)",217,32,0.692,-48.0,-0.12,0.267,-58.4,2/8,2.93,False
15min,3,75,30,0.25,3R,"(1, -1)",533,79,0.799,-71.5,-0.15,0.311,-70.9,1/8,2.93,False
15min,3,75,30,0.5,2R,"(1,)",316,47,0.947,-9.2,-0.04,0.411,-31.5,4/8,1.96,False
15min,3,75,30,0.5,2R,"(-1,)",217,32,0.64,-52.9,-0.13,0.3,-61.3,1/8,1.95,False
15min,3,75,30,0.5,2R,"(1, -1)",533,79,0.806,-62.1,-0.12,0.366,-74.3,2/8,1.96,False
15min,3,75,30,0.5,3R,"(1,)",316,47,0.984,-2.8,-0.01,0.38,-36.6,4/8,2.94,False
15min,3,75,30,0.5,3R,"(-1,)",217,32,0.638,-54.9,-0.13,0.272,-64.1,2/8,2.94,False
15min,3,75,30,0.5,3R,"(1, -1)",533,79,0.827,-57.7,-0.12,0.336,-71.4,1/8,2.94,False
15min,3,75,35,0.1,2R,"(1,)",578,86,0.859,-51.1,-0.12,0.377,-64.4,1/8,1.94,False
15min,3,75,35,0.1,2R,"(-1,)",217,32,0.609,-60.8,-0.14,0.286,-64.2,3/8,1.94,False
15min,3,75,35,0.1,2R,"(1, -1)",795,119,0.784,-112.0,-0.14,0.352,-116.9,1/8,1.94,False
15min,3,75,35,0.1,3R,"(1,)",578,86,0.809,-74.8,-0.13,0.324,-87.6,3/8,2.92,False
15min,3,75,35,0.1,3R,"(-1,)",217,32,0.689,-49.8,-0.14,0.258,-54.3,3/8,2.92,False
15min,3,75,35,0.1,3R,"(1, -1)",795,119,0.775,-124.6,-0.15,0.306,-125.2,0/8,2.92,False
15min,3,75,35,0.25,2R,"(1,)",578,86,0.807,-69.4,-0.13,0.369,-78.8,1/8,1.95,False
15min,3,75,35,0.25,2R,"(-1,)",217,32,0.646,-53.5,-0.14,0.3,-57.1,2/8,1.94,False
15min,3,75,35,0.25,2R,"(1, -1)",795,119,0.759,-122.9,-0.15,0.35,-124.1,2/8,1.95,False
15min,3,75,35,0.25,3R,"(1,)",578,86,0.797,-77.6,-0.13,0.329,-86.3,1/8,2.93,False
15min,3,75,35,0.25,3R,"(-1,)",217,32,0.692,-48.0,-0.12,0.267,-58.4,2/8,2.93,False
15min,3,75,35,0.25,3R,"(1, -1)",795,119,0.766,-125.6,-0.15,0.312,-124.6,0/8,2.93,False
15min,3,75,35,0.5,2R,"(1,)",579,87,0.877,-40.2,-0.1,0.406,-59.9,4/8,1.96,False
15min,3,75,35,0.5,2R,"(-1,)",217,32,0.64,-52.9,-0.13,0.3,-61.3,1/8,1.95,False
15min,3,75,35,0.5,2R,"(1, -1)",796,119,0.803,-93.1,-0.13,0.377,-106.4,2/8,1.96,False
15min,3,75,35,0.5,3R,"(1,)",579,87,0.869,-45.5,-0.1,0.368,-66.1,5/8,2.94,False
15min,3,75,35,0.5,3R,"(-1,)",217,32,0.638,-54.9,-0.13,0.272,-64.1,2/8,2.94,False
15min,3,75,35,0.5,3R,"(1, -1)",796,119,0.799,-100.4,-0.15,0.342,-99.3,1/8,2.94,False
15min,4,65,25,0.1,2R,"(1,)",138,21,1.296,19.7,0.25,0.486,-11.8,5/8,1.95,False
15min,4,65,25,0.1,2R,"(-1,)",755,113,0.77,-115.5,-0.13,0.325,-128.9,3/8,1.95,False
15min,4,65,25,0.1,2R,"(1, -1)",893,133,0.831,-95.9,-0.11,0.349,-128.9,3/8,1.95,False
15min,4,65,25,0.1,3R,"(1,)",138,21,1.28,20.2,0.21,0.442,-14.3,5/8,2.94,False
15min,4,65,25,0.1,3R,"(-1,)",755,113,0.787,-112.6,-0.13,0.283,-133.3,3/8,2.93,False
15min,4,65,25,0.1,3R,"(1, -1)",893,133,0.846,-92.4,-0.1,0.308,-133.3,3/8,2.93,False
15min,4,65,25,0.25,2R,"(1,)",138,21,1.235,15.3,0.13,0.493,-17.3,5/8,1.96,False
15min,4,65,25,0.25,2R,"(-1,)",755,113,0.743,-126.6,-0.14,0.327,-138.6,2/8,1.95,False
15min,4,65,25,0.25,2R,"(1, -1)",893,133,0.8,-111.3,-0.12,0.353,-138.6,2/8,1.95,False
15min,4,65,25,0.25,3R,"(1,)",138,21,1.212,14.7,0.15,0.457,-14.2,5/8,2.95,False
15min,4,65,25,0.25,3R,"(-1,)",755,113,0.753,-128.3,-0.12,0.291,-154.9,2/8,2.94,False
15min,4,65,25,0.25,3R,"(1, -1)",893,133,0.807,-113.6,-0.11,0.317,-154.9,3/8,2.94,False
15min,4,65,25,0.5,2R,"(1,)",138,21,1.266,15.6,0.16,0.529,-14.9,5/8,1.97,False
15min,4,65,25,0.5,2R,"(-1,)",756,113,0.721,-131.6,-0.13,0.336,-150.5,2/8,1.96,False
15min,4,65,25,0.5,2R,"(1, -1)",894,133,0.781,-115.9,-0.11,0.366,-150.5,3/8,1.96,False
15min,4,65,25,0.5,3R,"(1,)",138,21,1.226,14.3,0.13,0.493,-16.3,5/8,2.95,False
15min,4,65,25,0.5,3R,"(-1,)",756,113,0.772,-110.7,-0.12,0.317,-137.3,2/8,2.95,False
15min,4,65,25,0.5,3R,"(1, -1)",894,133,0.825,-96.5,-0.1,0.345,-137.3,3/8,2.95,False
15min,4,65,30,0.1,2R,"(1,)",310,46,1.236,37.9,0.37,0.442,-15.1,5/8,1.95,False
15min,4,65,30,0.1,2R,"(-1,)",755,113,0.77,-115.5,-0.13,0.325,-128.9,3/8,1.95,False
15min,4,65,30,0.1,2R,"(1, -1)",1065,159,0.883,-77.6,-0.09,0.359,-128.9,3/8,1.95,False
15min,4,65,30,0.1,3R,"(1,)",310,46,1.15,26.4,0.22,0.39,-17.6,5/8,2.93,False
15min,4,65,30,0.1,3R,"(-1,)",755,113,0.787,-112.6,-0.13,0.283,-133.3,3/8,2.93,False
15min,4,65,30,0.1,3R,"(1, -1)",1065,159,0.878,-86.3,-0.1,0.315,-133.3,3/8,2.93,False
15min,4,65,30,0.25,2R,"(1,)",310,46,1.138,22.0,0.18,0.435,-18.0,4/8,1.96,False
15min,4,65,30,0.25,2R,"(-1,)",755,113,0.743,-126.6,-0.14,0.327,-138.6,2/8,1.95,False
15min,4,65,30,0.25,2R,"(1, -1)",1065,159,0.839,-104.6,-0.11,0.359,-138.6,2/8,1.95,False
15min,4,65,30,0.25,3R,"(1,)",310,46,1.08,13.5,0.09,0.403,-21.6,5/8,2.94,False
15min,4,65,30,0.25,3R,"(-1,)",755,113,0.753,-128.3,-0.12,0.291,-154.9,2/8,2.94,False
15min,4,65,30,0.25,3R,"(1, -1)",1065,159,0.833,-114.9,-0.11,0.324,-154.9,2/8,2.94,False
15min,4,65,30,0.5,2R,"(1,)",310,46,1.249,34.5,0.27,0.477,-19.4,5/8,1.96,False
15min,4,65,30,0.5,2R,"(-1,)",756,113,0.721,-131.6,-0.13,0.336,-150.5,2/8,1.96,False
15min,4,65,30,0.5,2R,"(1, -1)",1066,159,0.841,-97.1,-0.1,0.377,-150.5,2/8,1.96,False
15min,4,65,30,0.5,3R,"(1,)",310,46,1.14,20.9,0.15,0.442,-21.1,5/8,2.95,False
15min,4,65,30,0.5,3R,"(-1,)",756,113,0.772,-110.7,-0.12,0.317,-137.3,2/8,2.95,False
15min,4,65,30,0.5,3R,"(1, -1)",1066,159,0.859,-89.9,-0.1,0.354,-137.3,2/8,2.95,False
15min,4,65,35,0.1,2R,"(1,)",542,81,1.064,19.7,0.13,0.417,-22.5,5/8,1.95,False
15min,4,65,35,0.1,2R,"(-1,)",755,113,0.77,-115.5,-0.13,0.325,-128.9,3/8,1.95,False
15min,4,65,35,0.1,2R,"(1, -1)",1297,193,0.881,-95.9,-0.11,0.363,-128.9,2/8,1.95,False
15min,4,65,35,0.1,3R,"(1,)",542,81,0.996,-1.3,-0.0,0.371,-40.4,5/8,2.93,False
15min,4,65,35,0.1,3R,"(-1,)",755,113,0.787,-112.6,-0.13,0.283,-133.3,3/8,2.93,False
15min,4,65,35,0.1,3R,"(1, -1)",1297,193,0.867,-113.9,-0.13,0.32,-134.4,2/8,2.93,False
15min,4,65,35,0.25,2R,"(1,)",542,81,1.029,8.6,0.03,0.417,-38.6,5/8,1.96,False
15min,4,65,35,0.25,2R,"(-1,)",755,113,0.743,-126.6,-0.14,0.327,-138.6,2/8,1.95,False
15min,4,65,35,0.25,2R,"(1, -1)",1297,193,0.851,-118.0,-0.12,0.365,-150.8,1/8,1.95,False
15min,4,65,35,0.25,3R,"(1,)",542,81,0.951,-15.7,-0.05,0.382,-46.6,4/8,2.94,False
15min,4,65,35,0.25,3R,"(-1,)",755,113,0.753,-128.3,-0.12,0.291,-154.9,2/8,2.94,False
15min,4,65,35,0.25,3R,"(1, -1)",1297,193,0.828,-144.0,-0.14,0.329,-157.1,1/8,2.94,False
15min,4,65,35,0.5,2R,"(1,)",543,81,1.062,16.7,0.06,0.453,-44.6,6/8,1.96,False
15min,4,65,35,0.5,2R,"(-1,)",756,113,0.721,-131.6,-0.13,0.336,-150.5,2/8,1.96,False
15min,4,65,35,0.5,2R,"(1, -1)",1299,194,0.845,-114.9,-0.11,0.385,-150.5,1/8,1.96,False
15min,4,65,35,0.5,3R,"(1,)",543,81,0.993,-1.9,-0.01,0.424,-47.9,5/8,2.95,False
15min,4,65,35,0.5,3R,"(-1,)",756,113,0.772,-110.7,-0.12,0.317,-137.3,2/8,2.95,False
15min,4,65,35,0.5,3R,"(1, -1)",1299,194,0.854,-112.6,-0.12,0.362,-137.3,1/8,2.95,False
15min,4,70,25,0.1,2R,"(1,)",138,21,1.296,19.7,0.25,0.486,-11.8,5/8,1.95,False
15min,4,70,25,0.1,2R,"(-1,)",454,68,0.712,-87.3,-0.15,0.311,-89.5,2/8,1.95,False
15min,4,70,25,0.1,2R,"(1, -1)",592,88,0.817,-67.7,-0.11,0.351,-90.4,2/8,1.95,False
15min,4,70,25,0.1,3R,"(1,)",138,21,1.28,20.2,0.21,0.442,-14.3,5/8,2.94,False
15min,4,70,25,0.1,3R,"(-1,)",454,68,0.709,-93.2,-0.15,0.269,-95.1,2/8,2.93,False
15min,4,70,25,0.1,3R,"(1, -1)",592,88,0.814,-73.1,-0.11,0.309,-99.2,2/8,2.93,False
15min,4,70,25,0.25,2R,"(1,)",138,21,1.235,15.3,0.13,0.493,-17.3,5/8,1.96,False
15min,4,70,25,0.25,2R,"(-1,)",454,68,0.678,-96.1,-0.14,0.313,-104.0,1/8,1.95,False
15min,4,70,25,0.25,2R,"(1, -1)",592,88,0.778,-80.8,-0.11,0.355,-107.2,0/8,1.95,False
15min,4,70,25,0.25,3R,"(1,)",138,21,1.212,14.7,0.15,0.457,-14.2,5/8,2.95,False
15min,4,70,25,0.25,3R,"(-1,)",454,68,0.688,-98.0,-0.13,0.278,-114.6,1/8,2.94,False
15min,4,70,25,0.25,3R,"(1, -1)",592,88,0.783,-83.3,-0.11,0.319,-114.6,1/8,2.94,False
15min,4,70,25,0.5,2R,"(1,)",138,21,1.266,15.6,0.16,0.529,-14.9,5/8,1.97,False
15min,4,70,25,0.5,2R,"(-1,)",454,68,0.656,-98.5,-0.13,0.319,-113.1,2/8,1.96,False
15min,4,70,25,0.5,2R,"(1, -1)",592,88,0.76,-82.8,-0.11,0.368,-113.1,1/8,1.96,False
15min,4,70,25,0.5,3R,"(1,)",138,21,1.226,14.3,0.13,0.493,-16.3,5/8,2.95,False
15min,4,70,25,0.5,3R,"(-1,)",454,68,0.725,-80.7,-0.12,0.304,-101.3,2/8,2.95,False
15min,4,70,25,0.5,3R,"(1, -1)",592,88,0.814,-66.5,-0.1,0.348,-101.3,2/8,2.95,False
15min,4,70,30,0.1,2R,"(1,)",310,46,1.236,37.9,0.37,0.442,-15.1,5/8,1.95,False
15min,4,70,30,0.1,2R,"(-1,)",454,68,0.712,-87.3,-0.15,0.311,-89.5,2/8,1.95,False
15min,4,70,30,0.1,2R,"(1, -1)",764,114,0.893,-49.4,-0.08,0.364,-95.7,2/8,1.95,False
15min,4,70,30,0.1,3R,"(1,)",310,46,1.15,26.4,0.22,0.39,-17.6,5/8,2.93,False
15min,4,70,30,0.1,3R,"(-1,)",454,68,0.709,-93.2,-0.15,0.269,-95.1,2/8,2.93,False
15min,4,70,30,0.1,3R,"(1, -1)",764,114,0.865,-66.9,-0.1,0.318,-97.0,2/8,2.93,False
15min,4,70,30,0.25,2R,"(1,)",310,46,1.138,22.0,0.18,0.435,-18.0,4/8,1.96,False
15min,4,70,30,0.25,2R,"(-1,)",454,68,0.678,-96.1,-0.14,0.313,-104.0,1/8,1.95,False
15min,4,70,30,0.25,2R,"(1, -1)",764,114,0.838,-74.1,-0.11,0.363,-104.1,2/8,1.95,False
15min,4,70,30,0.25,3R,"(1,)",310,46,1.08,13.5,0.09,0.403,-21.6,5/8,2.94,False
15min,4,70,30,0.25,3R,"(-1,)",454,68,0.688,-98.0,-0.13,0.278,-114.6,1/8,2.94,False
15min,4,70,30,0.25,3R,"(1, -1)",764,114,0.825,-84.5,-0.11,0.329,-114.6,1/8,2.94,False
15min,4,70,30,0.5,2R,"(1,)",310,46,1.249,34.5,0.27,0.477,-19.4,5/8,1.96,False
15min,4,70,30,0.5,2R,"(-1,)",454,68,0.656,-98.5,-0.13,0.319,-113.1,2/8,1.96,False
15min,4,70,30,0.5,2R,"(1, -1)",764,114,0.849,-64.0,-0.08,0.384,-113.1,2/8,1.96,False
15min,4,70,30,0.5,3R,"(1,)",310,46,1.14,20.9,0.15,0.442,-21.1,5/8,2.95,False
15min,4,70,30,0.5,3R,"(-1,)",454,68,0.725,-80.7,-0.12,0.304,-101.3,2/8,2.95,False
15min,4,70,30,0.5,3R,"(1, -1)",764,114,0.865,-59.9,-0.09,0.36,-101.3,2/8,2.95,False
15min,4,70,35,0.1,2R,"(1,)",542,81,1.064,19.7,0.13,0.417,-22.5,5/8,1.95,False
15min,4,70,35,0.1,2R,"(-1,)",454,68,0.712,-87.3,-0.15,0.311,-89.5,2/8,1.95,False
15min,4,70,35,0.1,2R,"(1, -1)",996,148,0.889,-67.6,-0.1,0.368,-97.6,2/8,1.95,False
15min,4,70,35,0.1,3R,"(1,)",542,81,0.996,-1.3,-0.0,0.371,-40.4,5/8,2.93,False
15min,4,70,35,0.1,3R,"(-1,)",454,68,0.709,-93.2,-0.15,0.269,-95.1,2/8,2.93,False
15min,4,70,35,0.1,3R,"(1, -1)",996,148,0.855,-94.5,-0.12,0.324,-115.1,2/8,2.93,False
15min,4,70,35,0.25,2R,"(1,)",542,81,1.029,8.6,0.03,0.417,-38.6,5/8,1.96,False
15min,4,70,35,0.25,2R,"(-1,)",454,68,0.678,-96.1,-0.14,0.313,-104.0,1/8,1.95,False
15min,4,70,35,0.25,2R,"(1, -1)",996,148,0.854,-87.5,-0.11,0.369,-120.3,2/8,1.95,False
15min,4,70,35,0.25,3R,"(1,)",542,81,0.951,-15.7,-0.05,0.382,-46.6,4/8,2.94,False
15min,4,70,35,0.25,3R,"(-1,)",454,68,0.688,-98.0,-0.13,0.278,-114.6,1/8,2.94,False
15min,4,70,35,0.25,3R,"(1, -1)",996,148,0.82,-113.7,-0.13,0.334,-126.7,2/8,2.94,False
15min,4,70,35,0.5,2R,"(1,)",543,81,1.062,16.7,0.06,0.453,-44.6,6/8,1.96,False
15min,4,70,35,0.5,2R,"(-1,)",454,68,0.656,-98.5,-0.13,0.319,-113.1,2/8,1.96,False
15min,4,70,35,0.5,2R,"(1, -1)",997,149,0.853,-81.8,-0.11,0.392,-115.3,2/8,1.96,False
15min,4,70,35,0.5,3R,"(1,)",543,81,0.993,-1.9,-0.01,0.424,-47.9,5/8,2.95,False
15min,4,70,35,0.5,3R,"(-1,)",454,68,0.725,-80.7,-0.12,0.304,-101.3,2/8,2.95,False
15min,4,70,35,0.5,3R,"(1, -1)",997,149,0.857,-82.6,-0.12,0.369,-104.2,2/8,2.95,False
15min,4,75,25,0.1,2R,"(1,)",138,21,1.296,19.7,0.25,0.486,-11.8,5/8,1.95,False
15min,4,75,25,0.1,2R,"(-1,)",197,29,0.754,-31.2,-0.13,0.33,-34.7,3/8,1.95,False
15min,4,75,25,0.1,2R,"(1, -1)",335,50,0.94,-11.5,-0.05,0.394,-34.7,3/8,1.95,False
15min,4,75,25,0.1,3R,"(1,)",138,21,1.28,20.2,0.21,0.442,-14.3,5/8,2.94,False
15min,4,75,25,0.1,3R,"(-1,)",197,29,0.768,-31.2,-0.12,0.284,-39.6,3/8,2.93,False
15min,4,75,25,0.1,3R,"(1, -1)",335,50,0.946,-11.1,-0.04,0.349,-42.0,4/8,2.93,False
15min,4,75,25,0.25,2R,"(1,)",138,21,1.235,15.3,0.13,0.493,-17.3,5/8,1.96,False
15min,4,75,25,0.25,2R,"(-1,)",197,29,0.746,-31.4,-0.14,0.34,-33.0,2/8,1.95,False
15min,4,75,25,0.25,2R,"(1, -1)",335,50,0.914,-16.1,-0.06,0.403,-42.5,3/8,1.96,False
15min,4,75,25,0.25,3R,"(1,)",138,21,1.212,14.7,0.15,0.457,-14.2,5/8,2.95,False
15min,4,75,25,0.25,3R,"(-1,)",197,29,0.741,-34.1,-0.13,0.294,-38.8,1/8,2.94,False
15min,4,75,25,0.25,3R,"(1, -1)",335,50,0.904,-19.3,-0.07,0.361,-39.6,2/8,2.94,False
15min,4,75,25,0.5,2R,"(1,)",138,21,1.266,15.6,0.16,0.529,-14.9,5/8,1.97,False
15min,4,75,25,0.5,2R,"(-1,)",197,29,0.657,-41.9,-0.14,0.32,-44.7,1/8,1.96,False
15min,4,75,25,0.5,2R,"(1, -1)",335,50,0.855,-26.2,-0.09,0.406,-45.3,2/8,1.96,False
15min,4,75,25,0.5,3R,"(1,)",138,21,1.226,14.3,0.13,0.493,-16.3,5/8,2.95,False
15min,4,75,25,0.5,3R,"(-1,)",197,29,0.712,-36.4,-0.13,0.299,-43.2,2/8,2.95,False
15min,4,75,25,0.5,3R,"(1, -1)",335,50,0.883,-22.1,-0.08,0.379,-43.2,2/8,2.95,False
15min,4,75,30,0.1,2R,"(1,)",310,46,1.236,37.9,0.37,0.442,-15.1,5/8,1.95,False
15min,4,75,30,0.1,2R,"(-1,)",197,29,0.754,-31.2,-0.13,0.33,-34.7,3/8,1.95,False
15min,4,75,30,0.1,2R,"(1, -1)",507,76,1.023,6.7,0.03,0.398,-39.5,4/8,1.95,False
15min,4,75,30,0.1,3R,"(1,)",310,46,1.15,26.4,0.22,0.39,-17.6,5/8,2.93,False
15min,4,75,30,0.1,3R,"(-1,)",197,29,0.768,-31.2,-0.12,0.284,-39.6,3/8,2.93,False
15min,4,75,30,0.1,3R,"(1, -1)",507,76,0.984,-4.9,-0.02,0.349,-39.8,3/8,2.93,False
15min,4,75,30,0.25,2R,"(1,)",310,46,1.138,22.0,0.18,0.435,-18.0,4/8,1.96,False
15min,4,75,30,0.25,2R,"(-1,)",197,29,0.746,-31.4,-0.14,0.34,-33.0,2/8,1.95,False
15min,4,75,30,0.25,2R,"(1, -1)",507,76,0.967,-9.4,-0.04,0.398,-39.4,3/8,1.95,False
15min,4,75,30,0.25,3R,"(1,)",310,46,1.08,13.5,0.09,0.403,-21.6,5/8,2.94,False
15min,4,75,30,0.25,3R,"(-1,)",197,29,0.741,-34.1,-0.13,0.294,-38.8,1/8,2.94,False
15min,4,75,30,0.25,3R,"(1, -1)",507,76,0.931,-20.6,-0.08,0.361,-38.8,2/8,2.94,False
