k,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
2,0.1,2R,"(1,)",1295,193,1.008,6.2,0.01,0.41,-72.2,5/8,1.93,False
2,0.1,2R,"(-1,)",1254,187,0.827,-143.8,-0.13,0.352,-161.6,2/8,1.92,False
2,0.1,2R,"(1, -1)",2549,380,0.915,-137.6,-0.13,0.381,-156.9,3/8,1.93,False
2,0.1,3R,"(1,)",1295,193,1.137,114.0,0.4,0.376,-42.0,4/8,2.92,False
2,0.1,3R,"(-1,)",1254,187,0.855,-129.2,-0.12,0.307,-155.1,2/8,2.9,False
2,0.1,3R,"(1, -1)",2549,380,0.991,-15.2,-0.03,0.342,-74.6,3/8,2.91,False
2,0.25,2R,"(1,)",1300,194,1.017,12.7,0.03,0.413,-70.9,5/8,1.94,False
2,0.25,2R,"(-1,)",1255,187,0.831,-135.9,-0.14,0.361,-146.2,1/8,1.93,False
2,0.25,2R,"(1, -1)",2555,381,0.922,-123.2,-0.13,0.387,-136.3,2/8,1.94,False
2,0.25,3R,"(1,)",1300,194,1.137,110.1,0.38,0.383,-43.7,5/8,2.93,False
2,0.25,3R,"(-1,)",1255,187,0.86,-120.0,-0.12,0.32,-148.6,1/8,2.91,False
2,0.25,3R,"(1, -1)",2555,381,0.994,-9.9,-0.02,0.352,-78.5,4/8,2.92,False
2,0.5,2R,"(1,)",1309,195,0.956,-35.2,-0.04,0.426,-136.9,5/8,1.98,False
2,0.5,2R,"(-1,)",1259,188,0.761,-198.5,-0.14,0.367,-207.3,1/8,1.96,False
2,0.5,2R,"(1, -1)",2568,383,0.856,-233.7,-0.14,0.397,-247.5,1/8,1.97,False
2,0.5,3R,"(1,)",1309,195,1.104,82.3,0.14,0.4,-88.3,5/8,2.99,False
2,0.5,3R,"(-1,)",1259,188,0.819,-151.1,-0.14,0.335,-161.9,1/8,2.96,False
2,0.5,3R,"(1, -1)",2568,383,0.958,-68.8,-0.08,0.368,-129.3,3/8,2.98,False
3,0.1,2R,"(1,)",1006,150,0.991,-5.8,-0.01,0.406,-62.3,4/8,1.94,False
3,0.1,2R,"(-1,)",987,147,0.88,-75.5,-0.13,0.367,-84.3,1/8,1.93,False
3,0.1,2R,"(1, -1)",1993,297,0.935,-81.3,-0.12,0.386,-99.2,3/8,1.94,False
3,0.1,3R,"(1,)",1006,150,1.114,73.0,0.26,0.375,-41.3,4/8,2.93,False
3,0.1,3R,"(-1,)",987,147,0.922,-52.4,-0.08,0.324,-98.9,2/8,2.91,False
3,0.1,3R,"(1, -1)",1993,297,1.016,20.6,0.05,0.35,-64.2,3/8,2.92,False
3,0.25,2R,"(1,)",1007,150,1.01,6.0,0.01,0.415,-66.7,5/8,1.95,False
3,0.25,2R,"(-1,)",988,147,0.874,-77.3,-0.14,0.373,-85.4,2/8,1.94,False
3,0.25,2R,"(1, -1)",1995,297,0.941,-71.3,-0.12,0.394,-88.8,2/8,1.95,False
3,0.25,3R,"(1,)",1007,150,1.134,82.7,0.29,0.387,-42.9,5/8,2.94,False
3,0.25,3R,"(-1,)",988,147,0.931,-44.5,-0.07,0.339,-97.8,3/8,2.93,False
3,0.25,3R,"(1, -1)",1995,297,1.03,38.2,0.09,0.363,-63.9,4/8,2.93,False
3,0.5,2R,"(1,)",1010,151,0.883,-75.9,-0.07,0.428,-155.4,5/8,1.99,False
3,0.5,2R,"(-1,)",994,148,0.803,-125.2,-0.14,0.385,-133.8,2/8,1.98,False
3,0.5,2R,"(1, -1)",2004,299,0.843,-201.1,-0.14,0.407,-213.0,2/8,1.98,False
3,0.5,3R,"(1,)",1010,151,1.031,19.7,0.03,0.403,-94.6,5/8,3.01,False
3,0.5,3R,"(-1,)",994,148,0.891,-68.1,-0.1,0.36,-99.0,2/8,2.99,False
3,0.5,3R,"(1, -1)",2004,299,0.962,-48.4,-0.06,0.382,-114.1,3/8,3.0,False
4,0.1,2R,"(1,)",833,124,1.036,17.5,0.05,0.413,-55.9,4/8,1.95,False
4,0.1,2R,"(-1,)",825,123,0.844,-82.8,-0.14,0.358,-86.1,2/8,1.94,False
4,0.1,2R,"(1, -1)",1658,247,0.936,-65.3,-0.1,0.385,-99.5,2/8,1.94,False
4,0.1,3R,"(1,)",833,124,1.134,68.4,0.23,0.383,-44.2,5/8,2.93,False
4,0.1,3R,"(-1,)",825,123,0.884,-64.8,-0.12,0.321,-82.9,2/8,2.91,False
4,0.1,3R,"(1, -1)",1658,247,1.003,3.5,0.01,0.352,-76.7,3/8,2.92,False
4,0.25,2R,"(1,)",834,124,1.011,5.4,0.01,0.412,-58.7,4/8,1.95,False
4,0.25,2R,"(-1,)",826,124,0.853,-75.4,-0.14,0.368,-79.0,2/8,1.94,False
4,0.25,2R,"(1, -1)",1660,247,0.929,-70.0,-0.12,0.39,-90.6,3/8,1.95,False
4,0.25,3R,"(1,)",834,124,1.133,65.6,0.2,0.392,-48.0,6/8,2.94,False
4,0.25,3R,"(-1,)",826,124,0.887,-60.4,-0.1,0.338,-89.2,2/8,2.93,False
4,0.25,3R,"(1, -1)",1660,247,1.005,5.1,0.01,0.365,-69.4,3/8,2.93,False
4,0.5,2R,"(1,)",835,125,0.974,-12.0,-0.02,0.434,-82.1,4/8,1.97,False
4,0.5,2R,"(-1,)",831,124,0.855,-70.0,-0.14,0.387,-74.8,2/8,1.95,False
4,0.5,2R,"(1, -1)",1666,248,0.914,-82.1,-0.13,0.411,-91.0,3/8,1.96,False
4,0.5,3R,"(1,)",835,125,1.073,34.8,0.08,0.414,-63.3,4/8,2.97,False
4,0.5,3R,"(-1,)",831,124,0.888,-56.2,-0.1,0.365,-84.7,3/8,2.94,False
4,0.5,3R,"(1, -1)",1666,248,0.978,-21.3,-0.04,0.39,-72.4,3/8,2.96,False
