rule,k,fib,sl_buf,tp_mode,ema_confirm,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,0.618,0.25,2R,1,"(1, -1)",8792,1309,0.793,-1337.4,-0.15,0.337,-1368.9,0/8,1.88,False
15min,3,0.618,0.25,3R,0,"(1,)",8752,1304,0.919,-561.0,-0.1,0.284,-835.0,3/8,2.84,False
15min,3,0.618,0.25,3R,0,"(-1,)",8908,1327,0.786,-1574.5,-0.14,0.255,-1649.0,1/8,2.84,False
15min,3,0.618,0.25,3R,0,"(1, -1)",17660,2630,0.851,-2135.5,-0.14,0.27,-2225.3,0/8,2.84,False
15min,3,0.618,0.25,3R,1,"(1,)",4793,714,0.937,-238.2,-0.07,0.289,-482.4,4/8,2.84,False
15min,3,0.618,0.25,3R,1,"(-1,)",3999,596,0.792,-682.5,-0.14,0.256,-715.2,0/8,2.84,False
15min,3,0.618,0.25,3R,1,"(1, -1)",8792,1309,0.87,-920.7,-0.13,0.274,-1024.3,2/8,2.84,False
15min,3,0.705,0.05,2R,0,"(1,)",7853,1170,0.851,-854.7,-0.13,0.378,-956.2,2/8,1.82,False
15min,3,0.705,0.05,2R,0,"(-1,)",8064,1201,0.746,-1557.4,-0.15,0.349,-1559.8,0/8,1.81,False
15min,3,0.705,0.05,2R,0,"(1, -1)",15917,2371,0.796,-2412.0,-0.15,0.363,-2416.5,0/8,1.82,False
15min,3,0.705,0.05,2R,1,"(1,)",4283,638,0.856,-447.9,-0.13,0.381,-532.1,2/8,1.82,False
15min,3,0.705,0.05,2R,1,"(-1,)",3605,537,0.719,-777.1,-0.15,0.338,-779.5,0/8,1.82,False
15min,3,0.705,0.05,2R,1,"(1, -1)",7888,1175,0.792,-1224.9,-0.15,0.361,-1242.6,0/8,1.82,False
15min,3,0.705,0.05,3R,0,"(1,)",7853,1170,0.945,-353.7,-0.08,0.302,-699.7,4/8,2.76,False
15min,3,0.705,0.05,3R,0,"(-1,)",8064,1201,0.826,-1183.6,-0.15,0.276,-1191.1,0/8,2.75,False
15min,3,0.705,0.05,3R,0,"(1, -1)",15917,2371,0.884,-1537.4,-0.14,0.289,-1657.3,2/8,2.75,False
15min,3,0.705,0.05,3R,1,"(1,)",4283,638,0.946,-187.8,-0.07,0.304,-387.9,4/8,2.76,False
15min,3,0.705,0.05,3R,1,"(-1,)",3605,537,0.791,-641.2,-0.15,0.267,-656.2,0/8,2.76,False
15min,3,0.705,0.05,3R,1,"(1, -1)",7888,1175,0.874,-829.0,-0.13,0.287,-944.0,2/8,2.76,False
15min,3,0.705,0.1,2R,0,"(1,)",7904,1177,0.861,-795.2,-0.13,0.377,-889.7,2/8,1.82,False
15min,3,0.705,0.1,2R,0,"(-1,)",8125,1210,0.743,-1585.7,-0.15,0.345,-1588.2,0/8,1.82,False
15min,3,0.705,0.1,2R,0,"(1, -1)",16029,2387,0.8,-2380.9,-0.15,0.361,-2384.1,0/8,1.82,False
15min,3,0.705,0.1,2R,1,"(1,)",4318,644,0.87,-405.9,-0.12,0.381,-484.2,3/8,1.83,False
15min,3,0.705,0.1,2R,1,"(-1,)",3634,541,0.725,-765.6,-0.15,0.337,-771.2,0/8,1.83,False
15min,3,0.705,0.1,2R,1,"(1, -1)",7952,1184,0.802,-1171.5,-0.15,0.361,-1186.9,0/8,1.83,False
15min,3,0.705,0.1,3R,0,"(1,)",7904,1177,0.946,-348.5,-0.08,0.3,-651.3,4/8,2.77,False
15min,3,0.705,0.1,3R,0,"(-1,)",8125,1210,0.822,-1221.3,-0.15,0.273,-1235.4,0/8,2.76,False
15min,3,0.705,0.1,3R,0,"(1, -1)",16029,2387,0.882,-1569.8,-0.14,0.286,-1661.2,1/8,2.76,False
15min,3,0.705,0.1,3R,1,"(1,)",4318,644,0.948,-182.5,-0.08,0.302,-352.1,3/8,2.77,False
15min,3,0.705,0.1,3R,1,"(-1,)",3634,541,0.81,-585.2,-0.14,0.269,-603.5,0/8,2.77,False
15min,3,0.705,0.1,3R,1,"(1, -1)",7952,1184,0.884,-767.8,-0.13,0.287,-882.8,1/8,2.77,False
15min,3,0.705,0.25,2R,0,"(1,)",8090,1205,0.859,-827.8,-0.13,0.368,-948.3,3/8,1.84,False
15min,3,0.705,0.25,2R,0,"(-1,)",8320,1239,0.761,-1496.5,-0.15,0.342,-1511.6,0/8,1.84,False
15min,3,0.705,0.25,2R,0,"(1, -1)",16410,2444,0.808,-2324.3,-0.15,0.355,-2349.3,0/8,1.84,False
15min,3,0.705,0.25,2R,1,"(1,)",4428,660,0.868,-422.2,-0.12,0.372,-507.4,3/8,1.84,False
15min,3,0.705,0.25,2R,1,"(-1,)",3722,554,0.74,-731.4,-0.15,0.334,-743.5,0/8,1.84,False
15min,3,0.705,0.25,2R,1,"(1, -1)",8150,1214,0.808,-1153.6,-0.15,0.355,-1178.2,0/8,1.84,False
15min,3,0.705,0.25,3R,0,"(1,)",8090,1205,0.94,-395.6,-0.09,0.293,-685.2,3/8,2.79,False
15min,3,0.705,0.25,3R,0,"(-1,)",8320,1239,0.811,-1317.6,-0.14,0.266,-1371.4,1/8,2.79,False
15min,3,0.705,0.25,3R,0,"(1, -1)",16410,2444,0.873,-1713.2,-0.14,0.279,-1825.9,1/8,2.79,False
15min,3,0.705,0.25,3R,1,"(1,)",4428,660,0.963,-131.5,-0.05,0.299,-376.9,4/8,2.79,False
15min,3,0.705,0.25,3R,1,"(-1,)",3722,554,0.807,-600.7,-0.14,0.264,-620.8,0/8,2.79,False
15min,3,0.705,0.25,3R,1,"(1, -1)",8150,1214,0.89,-732.3,-0.13,0.283,-852.1,2/8,2.79,False
15min,3,0.786,0.05,2R,0,"(1,)",7236,1078,0.884,-601.7,-0.12,0.418,-743.9,3/8,1.75,False
15min,3,0.786,0.05,2R,0,"(-1,)",7417,1105,0.766,-1309.1,-0.15,0.386,-1338.5,1/8,1.75,False
15min,3,0.786,0.05,2R,0,"(1, -1)",14653,2182,0.823,-1910.8,-0.14,0.402,-1993.7,1/8,1.75,False
15min,3,0.786,0.05,2R,1,"(1,)",3959,590,0.893,-303.2,-0.11,0.422,-425.3,3/8,1.75,False
15min,3,0.786,0.05,2R,1,"(-1,)",3304,492,0.728,-689.5,-0.15,0.37,-703.0,0/8,1.75,False
15min,3,0.786,0.05,2R,1,"(1, -1)",7263,1082,0.815,-992.7,-0.14,0.398,-1062.0,1/8,1.75,False
15min,3,0.786,0.05,3R,0,"(1,)",7236,1078,0.994,-33.3,-0.01,0.336,-523.9,4/8,2.67,False
15min,3,0.786,0.05,3R,0,"(-1,)",7417,1105,0.845,-983.4,-0.15,0.302,-1006.2,1/8,2.67,False
15min,3,0.786,0.05,3R,0,"(1, -1)",14653,2182,0.917,-1016.7,-0.13,0.319,-1177.3,2/8,2.67,False
15min,3,0.786,0.05,3R,1,"(1,)",3959,590,0.994,-18.7,-0.01,0.337,-363.2,4/8,2.67,False
15min,3,0.786,0.05,3R,1,"(-1,)",3304,492,0.792,-597.5,-0.15,0.287,-610.8,0/8,2.67,False
15min,3,0.786,0.05,3R,1,"(1, -1)",7263,1082,0.899,-616.2,-0.12,0.314,-760.2,3/8,2.67,False
15min,3,0.786,0.1,2R,0,"(1,)",7289,1086,0.89,-572.9,-0.12,0.415,-720.7,3/8,1.76,False
15min,3,0.786,0.1,2R,0,"(-1,)",7467,1112,0.767,-1313.2,-0.15,0.381,-1338.9,0/8,1.76,False
15min,3,0.786,0.1,2R,0,"(1, -1)",14756,2198,0.826,-1886.2,-0.14,0.398,-1954.8,1/8,1.76,False
15min,3,0.786,0.1,2R,1,"(1,)",3995,595,0.899,-288.0,-0.11,0.418,-406.1,3/8,1.76,False
15min,3,0.786,0.1,2R,1,"(-1,)",3327,496,0.731,-685.3,-0.15,0.367,-696.0,0/8,1.76,False
15min,3,0.786,0.1,2R,1,"(1, -1)",7322,1091,0.82,-973.3,-0.14,0.395,-1038.3,1/8,1.76,False
15min,3,0.786,0.1,3R,0,"(1,)",7289,1086,0.989,-66.5,-0.02,0.331,-543.5,4/8,2.68,False
15min,3,0.786,0.1,3R,0,"(-1,)",7467,1112,0.841,-1016.5,-0.15,0.298,-1027.2,0/8,2.68,False
15min,3,0.786,0.1,3R,0,"(1, -1)",14756,2198,0.912,-1083.0,-0.13,0.314,-1213.2,2/8,2.68,False
15min,3,0.786,0.1,3R,1,"(1,)",3995,595,0.982,-58.9,-0.02,0.331,-375.3,4/8,2.69,False
15min,3,0.786,0.1,3R,1,"(-1,)",3327,496,0.791,-603.4,-0.15,0.283,-610.2,0/8,2.68,False
15min,3,0.786,0.1,3R,1,"(1, -1)",7322,1091,0.893,-662.3,-0.13,0.309,-785.1,3/8,2.68,False
15min,3,0.786,0.25,2R,0,"(1,)",7446,1109,0.892,-572.8,-0.12,0.403,-714.1,3/8,1.79,False
15min,3,0.786,0.25,2R,0,"(-1,)",7633,1137,0.766,-1344.8,-0.14,0.369,-1388.5,1/8,1.79,False
15min,3,0.786,0.25,2R,0,"(1, -1)",15079,2246,0.827,-1917.6,-0.14,0.386,-2021.3,1/8,1.79,False
15min,3,0.786,0.25,2R,1,"(1,)",4084,609,0.9,-291.1,-0.11,0.406,-392.9,3/8,1.79,False
15min,3,0.786,0.25,2R,1,"(-1,)",3405,507,0.723,-726.6,-0.15,0.352,-738.5,0/8,1.79,False
15min,3,0.786,0.25,2R,1,"(1, -1)",7489,1115,0.816,-1017.7,-0.14,0.382,-1082.2,1/8,1.79,False
15min,3,0.786,0.25,3R,0,"(1,)",7446,1109,0.986,-82.8,-0.02,0.321,-542.0,4/8,2.72,False
15min,3,0.786,0.25,3R,0,"(-1,)",7633,1137,0.86,-903.4,-0.14,0.293,-952.4,1/8,2.71,False
15min,3,0.786,0.25,3R,0,"(1, -1)",15079,2246,0.921,-986.2,-0.13,0.307,-1173.3,1/8,2.72,False
15min,3,0.786,0.25,3R,1,"(1,)",4084,609,0.985,-50.7,-0.02,0.322,-344.9,4/8,2.72,False
15min,3,0.786,0.25,3R,1,"(-1,)",3405,507,0.819,-525.5,-0.14,0.283,-540.4,0/8,2.72,False
15min,3,0.786,0.25,3R,1,"(1, -1)",7489,1115,0.908,-576.2,-0.12,0.304,-712.7,3/8,2.72,False
15min,4,0.5,0.05,2R,0,"(1,)",6947,1035,0.819,-897.9,-0.15,0.338,-919.0,1/8,1.9,False
15min,4,0.5,0.05,2R,0,"(-1,)",7022,1046,0.671,-1747.8,-0.15,0.296,-1750.0,0/8,1.9,False
15min,4,0.5,0.05,2R,0,"(1, -1)",13969,2081,0.743,-2645.7,-0.15,0.317,-2646.8,0/8,1.9,False
15min,4,0.5,0.05,2R,1,"(1,)",3818,569,0.819,-496.3,-0.14,0.338,-546.9,1/8,1.91,False
15min,4,0.5,0.05,2R,1,"(-1,)",3167,472,0.68,-757.2,-0.15,0.298,-764.2,0/8,1.91,False
15min,4,0.5,0.05,2R,1,"(1, -1)",6985,1041,0.754,-1253.5,-0.15,0.32,-1269.6,0/8,1.91,False
15min,4,0.5,0.05,3R,0,"(1,)",6947,1035,0.923,-407.5,-0.1,0.289,-635.0,3/8,2.87,False
15min,4,0.5,0.05,3R,0,"(-1,)",7022,1046,0.729,-1543.9,-0.15,0.244,-1556.8,0/8,2.87,False
15min,4,0.5,0.05,3R,0,"(1, -1)",13969,2081,0.823,-1951.4,-0.15,0.267,-1963.8,0/8,2.87,False
15min,4,0.5,0.05,3R,1,"(1,)",3818,569,0.925,-220.4,-0.08,0.289,-403.3,4/8,2.87,False
15min,4,0.5,0.05,3R,1,"(-1,)",3167,472,0.723,-708.0,-0.15,0.243,-718.2,0/8,2.87,False
15min,4,0.5,0.05,3R,1,"(1, -1)",6985,1041,0.831,-928.4,-0.14,0.268,-975.2,1/8,2.87,False
15min,4,0.5,0.1,2R,0,"(1,)",7013,1045,0.828,-857.8,-0.14,0.34,-882.7,1/8,1.91,False
15min,4,0.5,0.1,2R,0,"(-1,)",7090,1056,0.665,-1794.7,-0.15,0.294,-1797.4,0/8,1.91,False
15min,4,0.5,0.1,2R,0,"(1, -1)",14103,2101,0.743,-2652.5,-0.15,0.317,-2653.6,0/8,1.91,False
15min,4,0.5,0.1,2R,1,"(1,)",3852,574,0.833,-456.2,-0.13,0.342,-521.3,1/8,1.91,False
15min,4,0.5,0.1,2R,1,"(-1,)",3198,476,0.678,-768.0,-0.15,0.298,-771.6,0/8,1.91,False
15min,4,0.5,0.1,2R,1,"(1, -1)",7050,1050,0.761,-1224.2,-0.15,0.322,-1240.4,0/8,1.91,False
15min,4,0.5,0.1,3R,0,"(1,)",7013,1045,0.929,-380.4,-0.09,0.293,-618.1,3/8,2.88,False
15min,4,0.5,0.1,3R,0,"(-1,)",7090,1056,0.735,-1514.9,-0.15,0.247,-1530.0,0/8,2.88,False
15min,4,0.5,0.1,3R,0,"(1, -1)",14103,2101,0.828,-1895.3,-0.15,0.27,-1902.7,0/8,2.88,False
15min,4,0.5,0.1,3R,1,"(1,)",3852,574,0.945,-160.6,-0.06,0.295,-379.3,4/8,2.88,False
15min,4,0.5,0.1,3R,1,"(-1,)",3198,476,0.729,-692.1,-0.14,0.247,-711.3,0/8,2.88,False
15min,4,0.5,0.1,3R,1,"(1, -1)",7050,1050,0.844,-852.7,-0.14,0.273,-899.0,1/8,2.88,False
15min,4,0.5,0.25,2R,0,"(1,)",7183,1070,0.831,-847.4,-0.14,0.342,-875.9,2/8,1.92,False
15min,4,0.5,0.25,2R,0,"(-1,)",7299,1087,0.655,-1884.2,-0.15,0.292,-1891.5,0/8,1.92,False
15min,4,0.5,0.25,2R,0,"(1, -1)",14482,2157,0.74,-2731.6,-0.15,0.316,-2742.0,0/8,1.92,False
15min,4,0.5,0.25,2R,1,"(1,)",3939,587,0.843,-432.2,-0.13,0.346,-515.2,1/8,1.92,False
15min,4,0.5,0.25,2R,1,"(-1,)",3287,490,0.684,-762.0,-0.15,0.299,-773.2,0/8,1.92,False
15min,4,0.5,0.25,2R,1,"(1, -1)",7226,1076,0.768,-1194.2,-0.15,0.325,-1213.2,0/8,1.92,False
15min,4,0.5,0.25,3R,0,"(1,)",7183,1070,0.923,-414.2,-0.09,0.298,-658.4,3/8,2.89,False
15min,4,0.5,0.25,3R,0,"(-1,)",7299,1087,0.715,-1649.9,-0.15,0.248,-1690.7,1/8,2.89,False
15min,4,0.5,0.25,3R,0,"(1, -1)",14482,2157,0.815,-2064.1,-0.15,0.273,-2081.0,0/8,2.89,False
15min,4,0.5,0.25,3R,1,"(1,)",3939,587,0.942,-169.2,-0.06,0.301,-413.7,4/8,2.89,False
15min,4,0.5,0.25,3R,1,"(-1,)",3287,490,0.729,-696.9,-0.15,0.253,-715.4,1/8,2.89,False
15min,4,0.5,0.25,3R,1,"(1, -1)",7226,1076,0.842,-866.2,-0.14,0.279,-940.4,2/8,2.89,False
15min,4,0.618,0.05,2R,0,"(1,)",6315,941,0.852,-674.8,-0.14,0.354,-706.2,1/8,1.87,False
15min,4,0.618,0.05,2R,0,"(-1,)",6504,969,0.735,-1297.4,-0.15,0.322,-1302.6,0/8,1.87,False
15min,4,0.618,0.05,2R,0,"(1, -1)",12819,1909,0.791,-1972.2,-0.15,0.338,-1977.8,0/8,1.87,False
15min,4,0.618,0.05,2R,1,"(1,)",3480,519,0.856,-359.9,-0.13,0.356,-411.2,1/8,1.88,False
15min,4,0.618,0.05,2R,1,"(-1,)",2928,436,0.721,-616.2,-0.14,0.317,-635.7,0/8,1.88,False
15min,4,0.618,0.05,2R,1,"(1, -1)",6408,955,0.793,-976.1,-0.15,0.338,-1002.5,0/8,1.88,False
15min,4,0.618,0.05,3R,0,"(1,)",6315,941,0.939,-304.7,-0.09,0.287,-481.8,4/8,2.83,False
15min,4,0.618,0.05,3R,0,"(-1,)",6504,969,0.78,-1185.6,-0.15,0.255,-1215.2,1/8,2.83,False
15min,4,0.618,0.05,3R,0,"(1, -1)",12819,1909,0.857,-1490.3,-0.14,0.271,-1565.7,1/8,2.83,False
15min,4,0.618,0.05,3R,1,"(1,)",3480,519,0.946,-148.2,-0.07,0.29,-303.8,3/8,2.83,False
15min,4,0.618,0.05,3R,1,"(-1,)",2928,436,0.794,-494.8,-0.14,0.26,-522.2,1/8,2.84,False
15min,4,0.618,0.05,3R,1,"(1, -1)",6408,955,0.875,-643.0,-0.13,0.276,-729.5,2/8,2.84,False
15min,4,0.618,0.1,2R,0,"(1,)",6363,948,0.848,-699.3,-0.14,0.351,-725.3,1/8,1.88,False
15min,4,0.618,0.1,2R,0,"(-1,)",6562,978,0.73,-1337.8,-0.15,0.319,-1349.1,0/8,1.88,False
15min,4,0.618,0.1,2R,0,"(1, -1)",12925,1925,0.786,-2037.1,-0.15,0.335,-2043.2,0/8,1.88,False
15min,4,0.618,0.1,2R,1,"(1,)",3503,522,0.849,-381.6,-0.13,0.352,-429.6,1/8,1.88,False
15min,4,0.618,0.1,2R,1,"(-1,)",2949,439,0.721,-618.6,-0.15,0.316,-635.2,0/8,1.88,False
15min,4,0.618,0.1,2R,1,"(1, -1)",6452,961,0.789,-1000.1,-0.15,0.336,-1024.8,0/8,1.88,False
15min,4,0.618,0.1,3R,0,"(1,)",6363,948,0.931,-346.9,-0.1,0.286,-522.8,3/8,2.84,False
15min,4,0.618,0.1,3R,0,"(-1,)",6562,978,0.765,-1276.7,-0.15,0.251,-1288.2,0/8,2.84,False
15min,4,0.618,0.1,3R,0,"(1, -1)",12925,1925,0.845,-1623.5,-0.14,0.268,-1681.3,0/8,2.84,False
15min,4,0.618,0.1,3R,1,"(1,)",3503,522,0.939,-168.1,-0.08,0.288,-329.0,2/8,2.84,False
15min,4,0.618,0.1,3R,1,"(-1,)",2949,439,0.774,-545.2,-0.15,0.255,-550.5,0/8,2.84,False
15min,4,0.618,0.1,3R,1,"(1, -1)",6452,961,0.863,-713.3,-0.14,0.273,-786.6,2/8,2.84,False
15min,4,0.618,0.25,2R,0,"(1,)",6514,970,0.843,-736.3,-0.15,0.345,-755.6,1/8,1.89,False
15min,4,0.618,0.25,2R,0,"(-1,)",6729,1002,0.726,-1380.2,-0.15,0.314,-1411.6,1/8,1.89,False
15min,4,0.618,0.25,2R,0,"(1, -1)",13243,1973,0.782,-2116.5,-0.15,0.33,-2124.4,0/8,1.89,False
15min,4,0.618,0.25,2R,1,"(1,)",3581,534,0.854,-372.4,-0.13,0.349,-423.3,1/8,1.89,False
15min,4,0.618,0.25,2R,1,"(-1,)",3022,450,0.726,-616.5,-0.14,0.314,-645.0,1/8,1.89,False
15min,4,0.618,0.25,2R,1,"(1, -1)",6603,984,0.794,-988.9,-0.15,0.333,-1015.9,1/8,1.89,False
15min,4,0.618,0.25,3R,0,"(1,)",6514,970,0.939,-312.4,-0.09,0.288,-511.7,3/8,2.86,False
15min,4,0.618,0.25,3R,0,"(-1,)",6729,1002,0.761,-1317.3,-0.14,0.25,-1376.5,1/8,2.86,False
15min,4,0.618,0.25,3R,0,"(1, -1)",13243,1973,0.846,-1629.8,-0.14,0.269,-1706.2,1/8,2.86,False
15min,4,0.618,0.25,3R,1,"(1,)",3581,534,0.961,-107.4,-0.05,0.293,-305.9,4/8,2.86,False
15min,4,0.618,0.25,3R,1,"(-1,)",3022,450,0.779,-538.3,-0.14,0.256,-570.6,1/8,2.86,False
15min,4,0.618,0.25,3R,1,"(1, -1)",6603,984,0.876,-645.8,-0.13,0.276,-755.8,2/8,2.86,False
15min,4,0.705,0.05,2R,0,"(1,)",5830,868,0.857,-606.4,-0.14,0.37,-647.4,1/8,1.84,False
15min,4,0.705,0.05,2R,0,"(-1,)",6029,898,0.752,-1130.4,-0.15,0.341,-1131.4,0/8,1.84,False
15min,4,0.705,0.05,2R,0,"(1, -1)",11859,1766,0.803,-1736.7,-0.15,0.355,-1743.9,0/8,1.84,False
15min,4,0.705,0.05,2R,1,"(1,)",3212,479,0.861,-324.9,-0.13,0.373,-385.4,2/8,1.84,False
15min,4,0.705,0.05,2R,1,"(-1,)",2714,404,0.75,-512.7,-0.15,0.338,-526.3,0/8,1.84,False
15min,4,0.705,0.05,2R,1,"(1, -1)",5926,883,0.809,-837.6,-0.14,0.357,-862.1,0/8,1.84,False
15min,4,0.705,0.05,3R,0,"(1,)",5830,868,0.951,-231.8,-0.07,0.298,-475.8,3/8,2.78,False
15min,4,0.705,0.05,3R,0,"(-1,)",6029,898,0.831,-853.6,-0.14,0.271,-882.6,1/8,2.78,False
15min,4,0.705,0.05,3R,0,"(1, -1)",11859,1766,0.889,-1085.5,-0.14,0.284,-1181.0,1/8,2.78,False
15min,4,0.705,0.05,3R,1,"(1,)",3212,479,0.951,-126.3,-0.06,0.299,-305.2,3/8,2.79,False
15min,4,0.705,0.05,3R,1,"(-1,)",2714,404,0.829,-387.9,-0.14,0.269,-418.6,1/8,2.79,False
15min,4,0.705,0.05,3R,1,"(1, -1)",5926,883,0.894,-514.2,-0.12,0.286,-632.7,2/8,2.79,False
15min,4,0.705,0.1,2R,0,"(1,)",5877,875,0.86,-596.8,-0.14,0.368,-627.1,2/8,1.84,False
15min,4,0.705,0.1,2R,0,"(-1,)",6089,907,0.749,-1155.4,-0.15,0.337,-1156.5,0/8,1.84,False
15min,4,0.705,0.1,2R,0,"(1, -1)",11966,1782,0.802,-1752.2,-0.15,0.352,-1754.0,0/8,1.84,False
15min,4,0.705,0.1,2R,1,"(1,)",3236,482,0.861,-325.3,-0.13,0.37,-382.5,2/8,1.85,False
15min,4,0.705,0.1,2R,1,"(-1,)",2736,408,0.752,-511.4,-0.15,0.335,-524.2,0/8,1.85,False
15min,4,0.705,0.1,2R,1,"(1, -1)",5972,890,0.81,-836.7,-0.15,0.354,-858.9,0/8,1.85,False
15min,4,0.705,0.1,3R,0,"(1,)",5877,875,0.951,-232.8,-0.08,0.296,-459.1,2/8,2.79,False
15min,4,0.705,0.1,3R,0,"(-1,)",6089,907,0.819,-923.3,-0.14,0.266,-958.0,1/8,2.79,False
15min,4,0.705,0.1,3R,0,"(1, -1)",11966,1782,0.883,-1156.1,-0.14,0.281,-1227.6,1/8,2.79,False
15min,4,0.705,0.1,3R,1,"(1,)",3236,482,0.95,-131.1,-0.06,0.297,-301.8,3/8,2.79,False
15min,4,0.705,0.1,3R,1,"(-1,)",2736,408,0.838,-368.4,-0.14,0.27,-400.2,1/8,2.8,False
15min,4,0.705,0.1,3R,1,"(1, -1)",5972,890,0.898,-499.6,-0.12,0.284,-619.4,2/8,2.8,False
15min,4,0.705,0.25,2R,0,"(1,)",6006,895,0.859,-610.7,-0.14,0.361,-665.0,1/8,1.86,False
15min,4,0.705,0.25,2R,0,"(-1,)",6236,929,0.761,-1117.7,-0.14,0.334,-1149.5,1/8,1.86,False
15min,4,0.705,0.25,2R,0,"(1, -1)",12242,1823,0.808,-1728.4,-0.15,0.347,-1762.0,1/8,1.86,False
15min,4,0.705,0.25,2R,1,"(1,)",3302,492,0.866,-317.9,-0.12,0.364,-387.2,3/8,1.86,False
15min,4,0.705,0.25,2R,1,"(-1,)",2801,417,0.771,-478.1,-0.14,0.334,-500.0,1/8,1.86,False
15min,4,0.705,0.25,2R,1,"(1, -1)",6103,909,0.822,-796.0,-0.14,0.35,-819.9,1/8,1.86,False
15min,4,0.705,0.25,3R,0,"(1,)",6006,895,0.935,-314.1,-0.1,0.288,-492.1,2/8,2.82,False
15min,4,0.705,0.25,3R,0,"(-1,)",6236,929,0.799,-1048.2,-0.14,0.259,-1106.6,1/8,2.81,False
15min,4,0.705,0.25,3R,0,"(1, -1)",12242,1823,0.864,-1362.3,-0.14,0.273,-1429.3,1/8,2.82,False
15min,4,0.705,0.25,3R,1,"(1,)",3302,492,0.957,-113.8,-0.06,0.294,-289.5,3/8,2.82,False
15min,4,0.705,0.25,3R,1,"(-1,)",2801,417,0.83,-392.4,-0.14,0.265,-424.3,1/8,2.82,False
15min,4,0.705,0.25,3R,1,"(1, -1)",6103,909,0.898,-506.2,-0.12,0.281,-613.7,2/8,2.82,False
15min,4,0.786,0.05,2R,0,"(1,)",5314,792,0.887,-433.3,-0.12,0.406,-525.5,3/8,1.78,False
15min,4,0.786,0.05,2R,0,"(-1,)",5532,824,0.774,-940.9,-0.14,0.374,-983.3,1/8,1.78,False
15min,4,0.786,0.05,2R,0,"(1, -1)",10846,1615,0.828,-1374.2,-0.14,0.39,-1440.0,1/8,1.78,False
15min,4,0.786,0.05,2R,1,"(1,)",2932,437,0.899,-211.9,-0.1,0.411,-311.5,3/8,1.78,False
15min,4,0.786,0.05,2R,1,"(-1,)",2477,369,0.743,-487.4,-0.14,0.361,-507.4,1/8,1.78,False
15min,4,0.786,0.05,2R,1,"(1, -1)",5409,806,0.825,-699.4,-0.14,0.388,-752.2,2/8,1.78,False
15min,4,0.786,0.05,3R,0,"(1,)",5314,792,0.982,-78.4,-0.03,0.324,-353.7,4/8,2.71,False
15min,4,0.786,0.05,3R,0,"(-1,)",5532,824,0.842,-745.2,-0.14,0.291,-789.4,1/8,2.7,False
15min,4,0.786,0.05,3R,0,"(1, -1)",10846,1615,0.909,-823.6,-0.13,0.307,-927.9,2/8,2.71,False
15min,4,0.786,0.05,3R,1,"(1,)",2932,437,0.97,-72.2,-0.04,0.322,-267.6,4/8,2.71,False
15min,4,0.786,0.05,3R,1,"(-1,)",2477,369,0.816,-390.7,-0.14,0.282,-415.5,1/8,2.71,False
15min,4,0.786,0.05,3R,1,"(1, -1)",5409,806,0.898,-463.0,-0.13,0.304,-545.9,3/8,2.71,False
15min,4,0.786,0.1,2R,0,"(1,)",5358,798,0.891,-419.7,-0.12,0.403,-525.3,3/8,1.79,False
15min,4,0.786,0.1,2R,0,"(-1,)",5586,832,0.774,-951.7,-0.14,0.369,-981.8,1/8,1.79,False
15min,4,0.786,0.1,2R,0,"(1, -1)",10944,1630,0.83,-1371.4,-0.14,0.386,-1419.8,1/8,1.79,False
15min,4,0.786,0.1,2R,1,"(1,)",2959,441,0.903,-206.4,-0.1,0.407,-310.0,3/8,1.79,False
15min,4,0.786,0.1,2R,1,"(-1,)",2499,372,0.753,-471.0,-0.14,0.359,-488.5,1/8,1.79,False
15min,4,0.786,0.1,2R,1,"(1, -1)",5458,813,0.832,-677.4,-0.14,0.385,-723.6,2/8,1.79,False
15min,4,0.786,0.1,3R,0,"(1,)",5358,798,0.971,-128.1,-0.05,0.318,-379.6,4/8,2.72,False
15min,4,0.786,0.1,3R,0,"(-1,)",5586,832,0.839,-765.9,-0.14,0.287,-793.3,1/8,2.72,False
15min,4,0.786,0.1,3R,0,"(1, -1)",10944,1630,0.902,-894.0,-0.14,0.302,-973.7,2/8,2.72,False
15min,4,0.786,0.1,3R,1,"(1,)",2959,441,0.953,-114.7,-0.06,0.315,-288.6,4/8,2.72,False
15min,4,0.786,0.1,3R,1,"(-1,)",2499,372,0.822,-380.7,-0.14,0.281,-399.9,0/8,2.72,False
15min,4,0.786,0.1,3R,1,"(1, -1)",5458,813,0.892,-495.3,-0.13,0.3,-572.0,3/8,2.72,False
15min,4,0.786,0.25,2R,0,"(1,)",5474,816,0.884,-454.9,-0.13,0.39,-512.7,3/8,1.81,False
15min,4,0.786,0.25,2R,0,"(-1,)",5694,848,0.769,-991.9,-0.14,0.358,-1037.6,1/8,1.81,False
15min,4,0.786,0.25,2R,0,"(1, -1)",11168,1663,0.824,-1446.7,-0.14,0.374,-1502.7,1/8,1.81,False
15min,4,0.786,0.25,2R,1,"(1,)",3015,449,0.889,-240.8,-0.12,0.393,-301.9,3/8,1.81,False
15min,4,0.786,0.25,2R,1,"(-1,)",2548,380,0.749,-486.9,-0.14,0.349,-509.3,1/8,1.81,False
15min,4,0.786,0.25,2R,1,"(1, -1)",5563,829,0.823,-727.6,-0.14,0.372,-748.5,1/8,1.81,False
