rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,0.5,0.1,2R,10,4,0,0,all,"(-1,)",6302,939,0.825,-802.5,-0.14,0.362,-840.5,0/8,1.84,False
15min,3,0.5,0.1,2R,10,4,0,0,all,"(1, -1)",12203,1818,0.865,-1179.6,-0.14,0.371,-1237.7,0/8,1.84,False
15min,3,0.5,0.1,2R,10,4,0,0,kz,"(1,)",3061,456,0.936,-137.3,-0.08,0.388,-247.5,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,0,0,kz,"(-1,)",3283,489,0.842,-376.1,-0.13,0.365,-421.3,1/8,1.84,False
15min,3,0.5,0.1,2R,10,4,0,0,kz,"(1, -1)",6344,945,0.886,-513.4,-0.13,0.376,-585.1,2/8,1.84,False
15min,3,0.5,0.1,2R,10,4,0,1,all,"(1,)",2970,443,0.939,-125.0,-0.08,0.389,-230.3,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,0,1,all,"(-1,)",2203,329,0.852,-235.0,-0.13,0.366,-264.5,1/8,1.85,False
15min,3,0.5,0.1,2R,10,4,0,1,all,"(1, -1)",5173,771,0.901,-360.0,-0.11,0.379,-481.5,2/8,1.85,False
15min,3,0.5,0.1,2R,10,4,0,1,kz,"(1,)",1604,239,0.977,-24.9,-0.04,0.399,-105.3,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,0,1,kz,"(-1,)",1148,172,0.943,-45.3,-0.06,0.389,-111.1,4/8,1.85,False
15min,3,0.5,0.1,2R,10,4,0,1,kz,"(1, -1)",2752,410,0.963,-70.2,-0.05,0.395,-195.5,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,0,all,"(1,)",5901,879,0.909,-377.1,-0.11,0.382,-506.2,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,0,all,"(-1,)",6302,939,0.825,-802.5,-0.14,0.362,-840.5,0/8,1.84,False
15min,3,0.5,0.1,2R,10,4,1,0,all,"(1, -1)",12203,1818,0.865,-1179.6,-0.14,0.371,-1237.7,0/8,1.84,False
15min,3,0.5,0.1,2R,10,4,1,0,kz,"(1,)",3061,456,0.936,-137.3,-0.08,0.388,-247.5,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,0,kz,"(-1,)",3283,489,0.842,-376.1,-0.13,0.365,-421.3,1/8,1.84,False
15min,3,0.5,0.1,2R,10,4,1,0,kz,"(1, -1)",6344,945,0.886,-513.4,-0.13,0.376,-585.1,2/8,1.84,False
15min,3,0.5,0.1,2R,10,4,1,1,all,"(1,)",2970,443,0.939,-125.0,-0.08,0.389,-230.3,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,1,all,"(-1,)",2203,329,0.852,-235.0,-0.13,0.366,-264.5,1/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,1,all,"(1, -1)",5173,771,0.901,-360.0,-0.11,0.379,-481.5,2/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,1,kz,"(1,)",1604,239,0.977,-24.9,-0.04,0.399,-105.3,3/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,1,kz,"(-1,)",1148,172,0.943,-45.3,-0.06,0.389,-111.1,4/8,1.85,False
15min,3,0.5,0.1,2R,10,4,1,1,kz,"(1, -1)",2752,410,0.963,-70.2,-0.05,0.395,-195.5,3/8,1.85,False
15min,3,0.5,0.1,2R,10,5,0,0,all,"(1,)",4334,646,0.937,-190.1,-0.1,0.379,-283.9,3/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,0,all,"(-1,)",4502,671,0.838,-525.5,-0.14,0.355,-549.5,0/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,0,all,"(1, -1)",8836,1317,0.886,-715.7,-0.14,0.367,-766.9,0/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,0,kz,"(1,)",2254,336,0.953,-73.4,-0.08,0.384,-131.2,3/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,0,kz,"(-1,)",2337,349,0.853,-245.9,-0.13,0.358,-276.1,1/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,0,kz,"(1, -1)",4591,684,0.901,-319.3,-0.13,0.371,-364.1,2/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,1,all,"(1,)",2199,328,0.954,-69.0,-0.08,0.382,-134.6,4/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,1,all,"(-1,)",1596,239,0.881,-135.3,-0.11,0.366,-179.5,3/8,1.88,False
15min,3,0.5,0.1,2R,10,5,0,1,all,"(1, -1)",3795,566,0.923,-204.3,-0.1,0.375,-293.5,3/8,1.88,False
15min,3,0.5,0.1,2R,10,5,0,1,kz,"(1,)",1204,180,0.991,-7.0,-0.02,0.393,-52.7,4/8,1.87,False
15min,3,0.5,0.1,2R,10,5,0,1,kz,"(-1,)",822,123,0.979,-12.0,-0.03,0.388,-70.1,4/8,1.88,False
15min,3,0.5,0.1,2R,10,5,0,1,kz,"(1, -1)",2026,303,0.986,-19.0,-0.03,0.391,-108.5,4/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,0,all,"(1,)",4334,646,0.937,-190.1,-0.1,0.379,-283.9,3/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,0,all,"(-1,)",4502,671,0.838,-525.5,-0.14,0.355,-549.5,0/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,0,all,"(1, -1)",8836,1317,0.886,-715.7,-0.14,0.367,-766.9,0/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,0,kz,"(1,)",2254,336,0.953,-73.4,-0.08,0.384,-131.2,3/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,0,kz,"(-1,)",2337,349,0.853,-245.9,-0.13,0.358,-276.1,1/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,0,kz,"(1, -1)",4591,684,0.901,-319.3,-0.13,0.371,-364.1,2/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,1,all,"(1,)",2199,328,0.954,-69.0,-0.08,0.382,-134.6,4/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,1,all,"(-1,)",1596,239,0.881,-135.3,-0.11,0.366,-179.5,3/8,1.88,False
15min,3,0.5,0.1,2R,10,5,1,1,all,"(1, -1)",3795,566,0.923,-204.3,-0.1,0.375,-293.5,3/8,1.88,False
15min,3,0.5,0.1,2R,10,5,1,1,kz,"(1,)",1204,180,0.991,-7.0,-0.02,0.393,-52.7,4/8,1.87,False
15min,3,0.5,0.1,2R,10,5,1,1,kz,"(-1,)",822,123,0.979,-12.0,-0.03,0.388,-70.1,4/8,1.88,False
15min,3,0.5,0.1,2R,10,5,1,1,kz,"(1, -1)",2026,303,0.986,-19.0,-0.03,0.391,-108.5,4/8,1.87,False
15min,3,0.5,0.1,3R,3,3,0,0,all,"(1,)",5056,753,1.013,50.5,0.03,0.315,-252.9,3/8,2.79,False
15min,3,0.5,0.1,3R,3,3,0,0,all,"(-1,)",5424,809,0.907,-409.2,-0.14,0.294,-447.9,2/8,2.78,False
15min,3,0.5,0.1,3R,3,3,0,0,all,"(1, -1)",10480,1562,0.957,-358.8,-0.1,0.304,-530.1,3/8,2.78,False
15min,3,0.5,0.1,3R,3,3,0,0,kz,"(1,)",2651,395,0.996,-8.6,-0.01,0.31,-172.3,4/8,2.79,False
15min,3,0.5,0.1,3R,3,3,0,0,kz,"(-1,)",2830,422,0.939,-137.2,-0.11,0.299,-184.2,3/8,2.78,False
15min,3,0.5,0.1,3R,3,3,0,0,kz,"(1, -1)",5481,817,0.967,-145.8,-0.08,0.304,-274.2,4/8,2.78,False
15min,3,0.5,0.1,3R,3,3,0,1,all,"(1,)",2621,391,1.018,37.1,0.03,0.316,-186.7,5/8,2.8,False
15min,3,0.5,0.1,3R,3,3,0,1,all,"(-1,)",1883,282,0.917,-125.2,-0.09,0.294,-199.6,2/8,2.8,False
15min,3,0.5,0.1,3R,3,3,0,1,all,"(1, -1)",4504,672,0.975,-88.2,-0.04,0.306,-365.9,5/8,2.8,False
15min,3,0.5,0.1,3R,3,3,0,1,kz,"(1,)",1439,215,1.042,47.1,0.05,0.319,-128.6,5/8,2.79,False
15min,3,0.5,0.1,3R,3,3,0,1,kz,"(-1,)",1017,152,1.008,6.2,0.01,0.311,-72.3,5/8,2.79,False
15min,3,0.5,0.1,3R,3,3,0,1,kz,"(1, -1)",2456,367,1.028,53.3,0.05,0.316,-169.1,5/8,2.79,False
15min,3,0.5,0.1,3R,3,3,1,0,all,"(1,)",5056,753,1.013,50.5,0.03,0.315,-252.9,3/8,2.79,False
15min,3,0.5,0.1,3R,3,3,1,0,all,"(-1,)",5424,809,0.907,-409.2,-0.14,0.294,-447.9,2/8,2.78,False
15min,3,0.5,0.1,3R,3,3,1,0,all,"(1, -1)",10480,1562,0.957,-358.8,-0.1,0.304,-530.1,3/8,2.78,False
15min,3,0.5,0.1,3R,3,3,1,0,kz,"(1,)",2651,395,0.996,-8.6,-0.01,0.31,-172.3,4/8,2.79,False
15min,3,0.5,0.1,3R,3,3,1,0,kz,"(-1,)",2830,422,0.939,-137.2,-0.11,0.299,-184.2,3/8,2.78,False
15min,3,0.5,0.1,3R,3,3,1,0,kz,"(1, -1)",5481,817,0.967,-145.8,-0.08,0.304,-274.2,4/8,2.78,False
15min,3,0.5,0.1,3R,3,3,1,1,all,"(1,)",2621,391,1.018,37.1,0.03,0.316,-186.7,5/8,2.8,False
15min,3,0.5,0.1,3R,3,3,1,1,all,"(-1,)",1883,282,0.917,-125.2,-0.09,0.294,-199.6,2/8,2.8,False
15min,3,0.5,0.1,3R,3,3,1,1,all,"(1, -1)",4504,672,0.975,-88.2,-0.04,0.306,-365.9,5/8,2.8,False
15min,3,0.5,0.1,3R,3,3,1,1,kz,"(1,)",1439,215,1.042,47.1,0.05,0.319,-128.6,5/8,2.79,False
15min,3,0.5,0.1,3R,3,3,1,1,kz,"(-1,)",1017,152,1.008,6.2,0.01,0.311,-72.3,5/8,2.79,False
15min,3,0.5,0.1,3R,3,3,1,1,kz,"(1, -1)",2456,367,1.028,53.3,0.05,0.316,-169.1,5/8,2.79,False
15min,3,0.5,0.1,3R,3,4,0,0,all,"(1,)",4824,719,1.019,73.0,0.05,0.315,-226.7,3/8,2.79,False
15min,3,0.5,0.1,3R,3,4,0,0,all,"(-1,)",5149,768,0.911,-367.7,-0.13,0.294,-408.1,1/8,2.79,False
15min,3,0.5,0.1,3R,3,4,0,0,all,"(1, -1)",9973,1486,0.963,-294.7,-0.09,0.304,-473.7,4/8,2.79,False
15min,3,0.5,0.1,3R,3,4,0,0,kz,"(1,)",2507,374,1.007,13.2,0.01,0.31,-151.9,4/8,2.8,False
15min,3,0.5,0.1,3R,3,4,0,0,kz,"(-1,)",2699,403,0.934,-143.4,-0.11,0.296,-186.0,1/8,2.79,False
15min,3,0.5,0.1,3R,3,4,0,0,kz,"(1, -1)",5206,776,0.969,-130.2,-0.08,0.303,-258.1,4/8,2.79,False
15min,3,0.5,0.1,3R,3,4,0,1,all,"(1,)",2487,371,1.009,16.8,0.01,0.312,-198.8,5/8,2.8,False
15min,3,0.5,0.1,3R,3,4,0,1,all,"(-1,)",1790,268,0.926,-106.5,-0.08,0.294,-187.9,3/8,2.8,False
15min,3,0.5,0.1,3R,3,4,0,1,all,"(1, -1)",4277,638,0.973,-89.7,-0.04,0.305,-370.6,5/8,2.8,False
15min,3,0.5,0.1,3R,3,4,0,1,kz,"(1,)",1361,203,1.032,34.3,0.04,0.316,-124.6,4/8,2.8,False
15min,3,0.5,0.1,3R,3,4,0,1,kz,"(-1,)",968,145,1.015,11.2,0.03,0.311,-66.1,4/8,2.8,False
15min,3,0.5,0.1,3R,3,4,0,1,kz,"(1, -1)",2329,348,1.025,45.5,0.04,0.314,-159.7,5/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,0,all,"(1,)",4824,719,1.019,73.0,0.05,0.315,-226.7,3/8,2.79,False
15min,3,0.5,0.1,3R,3,4,1,0,all,"(-1,)",5149,768,0.911,-367.7,-0.13,0.294,-408.1,1/8,2.79,False
15min,3,0.5,0.1,3R,3,4,1,0,all,"(1, -1)",9973,1486,0.963,-294.7,-0.09,0.304,-473.7,4/8,2.79,False
15min,3,0.5,0.1,3R,3,4,1,0,kz,"(1,)",2507,374,1.007,13.2,0.01,0.31,-151.9,4/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,0,kz,"(-1,)",2699,403,0.934,-143.4,-0.11,0.296,-186.0,1/8,2.79,False
15min,3,0.5,0.1,3R,3,4,1,0,kz,"(1, -1)",5206,776,0.969,-130.2,-0.08,0.303,-258.1,4/8,2.79,False
15min,3,0.5,0.1,3R,3,4,1,1,all,"(1,)",2487,371,1.009,16.8,0.01,0.312,-198.8,5/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,1,all,"(-1,)",1790,268,0.926,-106.5,-0.08,0.294,-187.9,3/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,1,all,"(1, -1)",4277,638,0.973,-89.7,-0.04,0.305,-370.6,5/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,1,kz,"(1,)",1361,203,1.032,34.3,0.04,0.316,-124.6,4/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,1,kz,"(-1,)",968,145,1.015,11.2,0.03,0.311,-66.1,4/8,2.8,False
15min,3,0.5,0.1,3R,3,4,1,1,kz,"(1, -1)",2329,348,1.025,45.5,0.04,0.314,-159.7,5/8,2.8,False
15min,3,0.5,0.1,3R,3,5,0,0,all,"(1,)",3592,535,1.051,140.7,0.12,0.313,-178.0,5/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,0,all,"(-1,)",3707,553,0.893,-318.1,-0.14,0.282,-349.9,1/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,0,all,"(1, -1)",7299,1088,0.969,-177.3,-0.08,0.297,-336.8,4/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,0,kz,"(1,)",1857,277,1.028,40.1,0.05,0.307,-111.3,5/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,0,kz,"(-1,)",1945,291,0.888,-176.0,-0.13,0.278,-206.1,1/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,0,kz,"(1, -1)",3802,568,0.955,-135.9,-0.1,0.292,-196.3,2/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,1,all,"(1,)",1864,278,1.012,17.6,0.02,0.306,-157.1,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,0,1,all,"(-1,)",1307,196,0.932,-70.1,-0.07,0.288,-154.5,3/8,2.84,False
15min,3,0.5,0.1,3R,3,5,0,1,all,"(1, -1)",3171,473,0.979,-52.5,-0.03,0.299,-280.4,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,0,1,kz,"(1,)",1025,155,1.031,24.4,0.04,0.308,-87.1,4/8,2.83,False
15min,3,0.5,0.1,3R,3,5,0,1,kz,"(-1,)",705,106,1.021,11.6,0.03,0.304,-66.0,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,0,1,kz,"(1, -1)",1730,259,1.027,36.0,0.05,0.306,-117.3,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,1,0,all,"(1,)",3592,535,1.051,140.7,0.12,0.313,-178.0,5/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,0,all,"(-1,)",3707,553,0.893,-318.1,-0.14,0.282,-349.9,1/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,0,all,"(1, -1)",7299,1088,0.969,-177.3,-0.08,0.297,-336.8,4/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,0,kz,"(1,)",1857,277,1.028,40.1,0.05,0.307,-111.3,5/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,0,kz,"(-1,)",1945,291,0.888,-176.0,-0.13,0.278,-206.1,1/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,0,kz,"(1, -1)",3802,568,0.955,-135.9,-0.1,0.292,-196.3,2/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,1,all,"(1,)",1864,278,1.012,17.6,0.02,0.306,-157.1,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,1,1,all,"(-1,)",1307,196,0.932,-70.1,-0.07,0.288,-154.5,3/8,2.84,False
15min,3,0.5,0.1,3R,3,5,1,1,all,"(1, -1)",3171,473,0.979,-52.5,-0.03,0.299,-280.4,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,1,1,kz,"(1,)",1025,155,1.031,24.4,0.04,0.308,-87.1,4/8,2.83,False
15min,3,0.5,0.1,3R,3,5,1,1,kz,"(-1,)",705,106,1.021,11.6,0.03,0.304,-66.0,5/8,2.84,False
15min,3,0.5,0.1,3R,3,5,1,1,kz,"(1, -1)",1730,259,1.027,36.0,0.05,0.306,-117.3,5/8,2.84,False
15min,3,0.5,0.1,3R,6,3,0,0,all,"(1,)",5803,865,1.009,39.4,0.02,0.314,-293.9,4/8,2.79,False
15min,3,0.5,0.1,3R,6,3,0,0,all,"(-1,)",6232,929,0.903,-489.2,-0.13,0.293,-540.1,2/8,2.78,False
15min,3,0.5,0.1,3R,6,3,0,0,all,"(1, -1)",12035,1793,0.953,-449.8,-0.1,0.303,-641.9,2/8,2.78,False
15min,3,0.5,0.1,3R,6,3,0,0,kz,"(1,)",3039,453,1.01,25.0,0.02,0.312,-169.0,4/8,2.79,False
15min,3,0.5,0.1,3R,6,3,0,0,kz,"(-1,)",3236,482,0.926,-193.2,-0.11,0.295,-258.3,1/8,2.78,False
15min,3,0.5,0.1,3R,6,3,0,0,kz,"(1, -1)",6275,935,0.966,-168.2,-0.08,0.304,-322.8,4/8,2.78,False
15min,3,0.5,0.1,3R,6,3,0,1,all,"(1,)",2959,441,1.033,76.4,0.05,0.318,-207.2,5/8,2.8,False
15min,3,0.5,0.1,3R,6,3,0,1,all,"(-1,)",2149,321,0.907,-161.3,-0.1,0.291,-248.2,2/8,2.8,False
15min,3,0.5,0.1,3R,6,3,0,1,all,"(1, -1)",5108,762,0.979,-84.9,-0.03,0.307,-422.1,5/8,2.8,False
15min,3,0.5,0.1,3R,6,3,0,1,kz,"(1,)",1619,242,1.074,92.5,0.1,0.325,-135.5,4/8,2.8,False
15min,3,0.5,0.1,3R,6,3,0,1,kz,"(-1,)",1135,170,0.987,-11.3,-0.02,0.307,-98.9,4/8,2.79,False
15min,3,0.5,0.1,3R,6,3,0,1,kz,"(1, -1)",2754,411,1.038,81.3,0.06,0.317,-192.5,5/8,2.79,False
15min,3,0.5,0.1,3R,6,3,1,0,all,"(1,)",5803,865,1.009,39.4,0.02,0.314,-293.9,4/8,2.79,False
15min,3,0.5,0.1,3R,6,3,1,0,all,"(-1,)",6232,929,0.903,-489.2,-0.13,0.293,-540.1,2/8,2.78,False
15min,3,0.5,0.1,3R,6,3,1,0,all,"(1, -1)",12035,1793,0.953,-449.8,-0.1,0.303,-641.9,2/8,2.78,False
15min,3,0.5,0.1,3R,6,3,1,0,kz,"(1,)",3039,453,1.01,25.0,0.02,0.312,-169.0,4/8,2.79,False
15min,3,0.5,0.1,3R,6,3,1,0,kz,"(-1,)",3236,482,0.926,-193.2,-0.11,0.295,-258.3,1/8,2.78,False
15min,3,0.5,0.1,3R,6,3,1,0,kz,"(1, -1)",6275,935,0.966,-168.2,-0.08,0.304,-322.8,4/8,2.78,False
15min,3,0.5,0.1,3R,6,3,1,1,all,"(1,)",2959,441,1.033,76.4,0.05,0.318,-207.2,5/8,2.8,False
15min,3,0.5,0.1,3R,6,3,1,1,all,"(-1,)",2149,321,0.907,-161.3,-0.1,0.291,-248.2,2/8,2.8,False
15min,3,0.5,0.1,3R,6,3,1,1,all,"(1, -1)",5108,762,0.979,-84.9,-0.03,0.307,-422.1,5/8,2.8,False
15min,3,0.5,0.1,3R,6,3,1,1,kz,"(1,)",1619,242,1.074,92.5,0.1,0.325,-135.5,4/8,2.8,False
15min,3,0.5,0.1,3R,6,3,1,1,kz,"(-1,)",1135,170,0.987,-11.3,-0.02,0.307,-98.9,4/8,2.79,False
15min,3,0.5,0.1,3R,6,3,1,1,kz,"(1, -1)",2754,411,1.038,81.3,0.06,0.317,-192.5,5/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,0,all,"(1,)",5515,822,1.016,69.5,0.04,0.314,-261.0,3/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,0,all,"(-1,)",5896,879,0.901,-470.9,-0.14,0.291,-519.4,0/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,0,all,"(1, -1)",11411,1700,0.956,-401.3,-0.1,0.302,-596.2,3/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,0,kz,"(1,)",2860,426,1.018,39.9,0.04,0.312,-150.6,5/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,0,kz,"(-1,)",3081,459,0.916,-210.0,-0.12,0.292,-268.2,1/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,0,kz,"(1, -1)",5941,885,0.964,-170.1,-0.08,0.302,-304.4,3/8,2.79,False
15min,3,0.5,0.1,3R,6,4,0,1,all,"(1,)",2795,417,1.026,56.5,0.04,0.316,-214.4,5/8,2.8,False
15min,3,0.5,0.1,3R,6,4,0,1,all,"(-1,)",2037,305,0.913,-143.4,-0.09,0.292,-236.4,2/8,2.8,False
15min,3,0.5,0.1,3R,6,4,0,1,all,"(1, -1)",4832,721,0.977,-87.0,-0.03,0.305,-423.8,5/8,2.8,False
15min,3,0.5,0.1,3R,6,4,0,1,kz,"(1,)",1521,227,1.065,76.3,0.09,0.322,-127.4,4/8,2.8,False
15min,3,0.5,0.1,3R,6,4,0,1,kz,"(-1,)",1077,161,0.991,-7.3,-0.01,0.306,-92.3,4/8,2.8,False
15min,3,0.5,0.1,3R,6,4,0,1,kz,"(1, -1)",2598,387,1.034,69.0,0.06,0.316,-172.4,5/8,2.8,False
15min,3,0.5,0.1,3R,6,4,1,0,all,"(1,)",5515,822,1.016,69.5,0.04,0.314,-261.0,3/8,2.79,False
15min,3,0.5,0.1,3R,6,4,1,0,all,"(-1,)",5896,879,0.901,-470.9,-0.14,0.291,-519.4,0/8,2.79,False
15min,3,0.5,0.1,3R,6,4,1,0,all,"(1, -1)",11411,1700,0.956,-401.3,-0.1,0.302,-596.2,3/8,2.79,False
15min,3,0.5,0.1,3R,6,4,1,0,kz,"(1,)",2860,426,1.018,39.9,0.04,0.312,-150.6,5/8,2.79,False
15min,3,0.5,0.1,3R,6,4,1,0,kz,"(-1,)",3081,459,0.916,-210.0,-0.12,0.292,-268.2,1/8,2.79,False
15min,3,0.5,0.1,3R,6,4,1,0,kz,"(1, -1)",5941,885,0.964,-170.1,-0.08,0.302,-304.4,3/8,2.79,False
15min,3,0.5,0.1,3R,6,4,1,1,all,"(1,)",2795,417,1.026,56.5,0.04,0.316,-214.4,5/8,2.8,False
15min,3,0.5,0.1,3R,6,4,1,1,all,"(-1,)",2037,305,0.913,-143.4,-0.09,0.292,-236.4,2/8,2.8,False
15min,3,0.5,0.1,3R,6,4,1,1,all,"(1, -1)",4832,721,0.977,-87.0,-0.03,0.305,-423.8,5/8,2.8,False
15min,3,0.5,0.1,3R,6,4,1,1,kz,"(1,)",1521,227,1.065,76.3,0.09,0.322,-127.4,4/8,2.8,False
15min,3,0.5,0.1,3R,6,4,1,1,kz,"(-1,)",1077,161,0.991,-7.3,-0.01,0.306,-92.3,4/8,2.8,False
15min,3,0.5,0.1,3R,6,4,1,1,kz,"(1, -1)",2598,387,1.034,69.0,0.06,0.316,-172.4,5/8,2.8,False
15min,3,0.5,0.1,3R,6,5,0,0,all,"(1,)",4067,606,1.037,117.5,0.08,0.311,-211.3,5/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,0,all,"(-1,)",4211,628,0.889,-375.3,-0.14,0.281,-411.3,1/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,0,all,"(1, -1)",8278,1233,0.961,-257.8,-0.1,0.295,-397.7,3/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,0,kz,"(1,)",2119,316,1.02,33.0,0.04,0.306,-117.0,4/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,0,kz,"(-1,)",2200,328,0.887,-200.5,-0.13,0.278,-236.2,1/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,0,kz,"(1, -1)",4319,644,0.951,-167.5,-0.13,0.292,-199.7,2/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,1,all,"(1,)",2080,310,1.032,51.5,0.05,0.31,-165.0,5/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,1,all,"(-1,)",1474,221,0.908,-108.0,-0.08,0.284,-197.6,3/8,2.84,False
15min,3,0.5,0.1,3R,6,5,0,1,all,"(1, -1)",3554,530,0.98,-56.5,-0.03,0.299,-327.7,5/8,2.84,False
15min,3,0.5,0.1,3R,6,5,0,1,kz,"(1,)",1145,171,1.059,51.7,0.09,0.314,-86.9,4/8,2.83,False
15min,3,0.5,0.1,3R,6,5,0,1,kz,"(-1,)",776,116,0.978,-13.4,-0.02,0.295,-86.4,5/8,2.84,False
15min,3,0.5,0.1,3R,6,5,0,1,kz,"(1, -1)",1921,287,1.026,38.3,0.04,0.307,-134.0,5/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,0,all,"(1,)",4067,606,1.037,117.5,0.08,0.311,-211.3,5/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,0,all,"(-1,)",4211,628,0.889,-375.3,-0.14,0.281,-411.3,1/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,0,all,"(1, -1)",8278,1233,0.961,-257.8,-0.1,0.295,-397.7,3/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,0,kz,"(1,)",2119,316,1.02,33.0,0.04,0.306,-117.0,4/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,0,kz,"(-1,)",2200,328,0.887,-200.5,-0.13,0.278,-236.2,1/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,0,kz,"(1, -1)",4319,644,0.951,-167.5,-0.13,0.292,-199.7,2/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,1,all,"(1,)",2080,310,1.032,51.5,0.05,0.31,-165.0,5/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,1,all,"(-1,)",1474,221,0.908,-108.0,-0.08,0.284,-197.6,3/8,2.84,False
15min,3,0.5,0.1,3R,6,5,1,1,all,"(1, -1)",3554,530,0.98,-56.5,-0.03,0.299,-327.7,5/8,2.84,False
15min,3,0.5,0.1,3R,6,5,1,1,kz,"(1,)",1145,171,1.059,51.7,0.09,0.314,-86.9,4/8,2.83,False
15min,3,0.5,0.1,3R,6,5,1,1,kz,"(-1,)",776,116,0.978,-13.4,-0.02,0.295,-86.4,5/8,2.84,False
15min,3,0.5,0.1,3R,6,5,1,1,kz,"(1, -1)",1921,287,1.026,38.3,0.04,0.307,-134.0,5/8,2.83,False
15min,3,0.5,0.1,3R,10,3,0,0,all,"(1,)",6215,926,1.005,26.4,0.01,0.313,-320.9,3/8,2.79,False
15min,3,0.5,0.1,3R,10,3,0,0,all,"(-1,)",6680,995,0.901,-537.3,-0.13,0.293,-594.8,1/8,2.78,False
15min,3,0.5,0.1,3R,10,3,0,0,all,"(1, -1)",12895,1921,0.95,-510.9,-0.11,0.303,-704.8,2/8,2.78,False
15min,3,0.5,0.1,3R,10,3,0,0,kz,"(1,)",3258,486,1.015,39.1,0.03,0.313,-180.6,4/8,2.78,False
15min,3,0.5,0.1,3R,10,3,0,0,kz,"(-1,)",3462,516,0.924,-212.7,-0.11,0.296,-282.7,1/8,2.78,False
