k,confirm_bars,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,pos_years,gate_pass
3,4,0.1,3R,"(-1,)",1921,286,0.862,-203.4,-0.11,0.288,1/8,False
3,4,0.1,3R,"(1, -1)",3889,579,0.977,-66.8,-0.03,0.313,3/8,False
3,4,0.25,2R,"(1,)",1968,293,1.021,26.4,0.04,0.4,4/8,False
3,4,0.25,2R,"(-1,)",1921,286,0.844,-207.9,-0.12,0.349,1/8,False
3,4,0.25,2R,"(1, -1)",3889,579,0.93,-181.5,-0.09,0.375,2/8,False
3,4,0.25,3R,"(1,)",1968,293,1.101,138.4,0.28,0.348,5/8,False
3,4,0.25,3R,"(-1,)",1921,286,0.87,-187.5,-0.11,0.296,1/8,False
3,4,0.25,3R,"(1, -1)",3889,579,0.983,-49.1,-0.03,0.322,4/8,False
3,4,0.5,2R,"(1,)",1968,293,1.042,50.0,0.09,0.405,6/8,False
3,4,0.5,2R,"(-1,)",1921,286,0.821,-232.6,-0.12,0.349,1/8,False
3,4,0.5,2R,"(1, -1)",3889,579,0.927,-182.6,-0.09,0.377,2/8,False
3,4,0.5,3R,"(1,)",1968,293,1.129,165.0,0.33,0.365,5/8,False
3,4,0.5,3R,"(-1,)",1921,286,0.859,-195.1,-0.11,0.305,1/8,False
3,4,0.5,3R,"(1, -1)",3889,579,0.989,-30.1,-0.02,0.335,4/8,False
3,8,0.1,2R,"(1,)",2068,308,1.038,50.6,0.08,0.397,3/8,False
3,8,0.1,2R,"(-1,)",2030,302,0.814,-268.9,-0.12,0.342,1/8,False
3,8,0.1,2R,"(1, -1)",4098,611,0.922,-218.2,-0.09,0.37,2/8,False
3,8,0.1,3R,"(1,)",2068,308,1.115,169.2,0.29,0.34,5/8,False
3,8,0.1,3R,"(-1,)",2030,302,0.86,-219.3,-0.11,0.288,1/8,False
3,8,0.1,3R,"(1, -1)",4098,611,0.983,-50.1,-0.03,0.314,3/8,False
3,8,0.25,2R,"(1,)",2068,308,1.033,43.6,0.08,0.402,6/8,False
3,8,0.25,2R,"(-1,)",2030,302,0.841,-223.7,-0.12,0.349,1/8,False
3,8,0.25,2R,"(1, -1)",4098,611,0.934,-180.2,-0.09,0.376,2/8,False
3,8,0.25,3R,"(1,)",2068,308,1.12,172.5,0.43,0.351,5/8,False
3,8,0.25,3R,"(-1,)",2030,302,0.867,-201.8,-0.11,0.295,1/8,False
3,8,0.25,3R,"(1, -1)",4098,611,0.99,-29.2,-0.02,0.323,4/8,False
3,8,0.5,2R,"(1,)",2068,308,1.063,79.2,0.17,0.41,6/8,False
3,8,0.5,2R,"(-1,)",2030,302,0.824,-240.7,-0.12,0.35,1/8,False
3,8,0.5,2R,"(1, -1)",4098,611,0.938,-161.5,-0.08,0.38,2/8,False
3,8,0.5,3R,"(1,)",2068,308,1.161,214.4,0.5,0.37,5/8,False
3,8,0.5,3R,"(-1,)",2030,302,0.858,-206.3,-0.11,0.305,1/8,False
3,8,0.5,3R,"(1, -1)",4098,611,1.003,8.1,0.0,0.338,4/8,False
3,12,0.1,2R,"(1,)",2125,317,1.027,37.0,0.05,0.396,3/8,False
3,12,0.1,2R,"(-1,)",2089,311,0.823,-262.1,-0.12,0.344,1/8,False
3,12,0.1,2R,"(1, -1)",4214,628,0.921,-225.1,-0.09,0.37,2/8,False
3,12,0.1,3R,"(1,)",2125,317,1.107,161.0,0.27,0.34,4/8,False
3,12,0.1,3R,"(-1,)",2089,311,0.865,-216.2,-0.11,0.289,1/8,False
3,12,0.1,3R,"(1, -1)",4214,628,0.982,-55.2,-0.03,0.314,3/8,False
3,12,0.25,2R,"(1,)",2125,317,1.021,28.2,0.05,0.4,4/8,False
3,12,0.25,2R,"(-1,)",2089,311,0.846,-221.9,-0.12,0.349,1/8,False
