rule,k,vol_mult,use_rsi,h4_trend,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,2.0,1,1,0.5,3R,"(1,)",357,53,1.165,43.4,0.33,0.378,-19.5,6/8,2.68,False
15min,2,2.0,1,1,0.5,3R,"(-1,)",242,36,0.669,-67.9,-0.13,0.26,-81.4,2/8,2.74,False
15min,2,2.0,1,1,0.5,3R,"(1, -1)",599,89,0.948,-24.6,-0.05,0.331,-73.4,3/8,2.71,False
15min,3,1.2,0,0,0.1,2R,"(1,)",2299,343,0.782,-364.9,-0.13,0.411,-423.7,2/8,1.65,False
15min,3,1.2,0,0,0.1,2R,"(-1,)",2237,333,0.755,-403.5,-0.14,0.403,-440.0,1/8,1.67,False
15min,3,1.2,0,0,0.1,2R,"(1, -1)",4536,676,0.769,-768.5,-0.13,0.407,-853.8,2/8,1.66,False
15min,3,1.2,0,0,0.1,3R,"(1,)",2299,343,0.957,-77.6,-0.05,0.366,-234.9,3/8,2.53,False
15min,3,1.2,0,0,0.1,3R,"(-1,)",2237,333,0.902,-177.4,-0.1,0.345,-259.1,3/8,2.55,False
15min,3,1.2,0,0,0.1,3R,"(1, -1)",4536,676,0.93,-254.9,-0.08,0.356,-448.2,3/8,2.54,False
15min,3,1.2,0,0,0.25,2R,"(1,)",2348,350,0.837,-268.9,-0.12,0.418,-345.8,2/8,1.68,False
15min,3,1.2,0,0,0.25,2R,"(-1,)",2296,342,0.758,-408.7,-0.14,0.393,-443.8,1/8,1.69,False
15min,3,1.2,0,0,0.25,2R,"(1, -1)",4644,692,0.797,-677.6,-0.13,0.406,-772.8,2/8,1.69,False
15min,3,1.2,0,0,0.25,3R,"(1,)",2348,350,0.983,-31.0,-0.02,0.361,-191.1,3/8,2.57,False
15min,3,1.2,0,0,0.25,3R,"(-1,)",2296,342,0.875,-233.4,-0.11,0.335,-308.8,3/8,2.58,False
15min,3,1.2,0,0,0.25,3R,"(1, -1)",4644,692,0.928,-264.5,-0.09,0.348,-429.0,3/8,2.58,False
15min,3,1.2,0,0,0.5,2R,"(1,)",2414,360,0.88,-199.5,-0.11,0.423,-278.7,2/8,1.72,False
15min,3,1.2,0,0,0.5,2R,"(-1,)",2359,351,0.792,-352.8,-0.14,0.391,-386.2,1/8,1.73,False
15min,3,1.2,0,0,0.5,2R,"(1, -1)",4773,711,0.835,-552.3,-0.13,0.407,-638.7,2/8,1.72,False
15min,3,1.2,0,0,0.5,3R,"(1,)",2414,360,1.052,93.8,0.18,0.369,-78.7,4/8,2.62,False
15min,3,1.2,0,0,0.5,3R,"(-1,)",2359,351,0.844,-297.2,-0.12,0.321,-360.2,3/8,2.63,False
15min,3,1.2,0,0,0.5,3R,"(1, -1)",4773,711,0.945,-203.4,-0.08,0.345,-385.9,3/8,2.63,False
15min,3,1.2,0,1,0.1,2R,"(1,)",1380,206,0.779,-223.5,-0.13,0.407,-261.6,2/8,1.64,False
15min,3,1.2,0,1,0.1,2R,"(-1,)",970,145,0.704,-217.9,-0.14,0.384,-233.0,1/8,1.67,False
15min,3,1.2,0,1,0.1,2R,"(1, -1)",2350,350,0.747,-441.4,-0.14,0.397,-477.2,2/8,1.66,False
15min,3,1.2,0,1,0.1,3R,"(1,)",1380,206,0.946,-59.8,-0.06,0.363,-161.1,3/8,2.52,False
15min,3,1.2,0,1,0.1,3R,"(-1,)",970,145,0.864,-109.0,-0.12,0.332,-140.0,3/8,2.55,False
15min,3,1.2,0,1,0.1,3R,"(1, -1)",2350,350,0.911,-168.8,-0.09,0.35,-279.8,3/8,2.53,False
15min,3,1.2,0,1,0.25,2R,"(1,)",1410,210,0.842,-156.7,-0.11,0.418,-212.7,2/8,1.67,False
15min,3,1.2,0,1,0.25,2R,"(-1,)",997,149,0.712,-217.9,-0.14,0.375,-237.1,1/8,1.7,False
15min,3,1.2,0,1,0.25,2R,"(1, -1)",2407,359,0.786,-374.6,-0.13,0.4,-423.9,2/8,1.68,False
15min,3,1.2,0,1,0.25,3R,"(1,)",1410,210,0.97,-33.2,-0.03,0.358,-152.3,3/8,2.56,False
15min,3,1.2,0,1,0.25,3R,"(-1,)",997,149,0.822,-148.7,-0.12,0.321,-182.0,1/8,2.59,False
15min,3,1.2,0,1,0.25,3R,"(1, -1)",2407,359,0.906,-181.9,-0.09,0.343,-294.6,2/8,2.57,False
15min,3,1.2,0,1,0.5,2R,"(1,)",1449,216,0.875,-124.8,-0.1,0.421,-185.2,2/8,1.71,False
15min,3,1.2,0,1,0.5,2R,"(-1,)",1017,152,0.784,-159.1,-0.13,0.385,-176.5,1/8,1.73,False
15min,3,1.2,0,1,0.5,2R,"(1, -1)",2466,368,0.836,-283.9,-0.13,0.406,-337.0,2/8,1.72,False
15min,3,1.2,0,1,0.5,3R,"(1,)",1449,216,1.043,47.1,0.08,0.366,-92.7,3/8,2.61,False
15min,3,1.2,0,1,0.5,3R,"(-1,)",1017,152,0.815,-154.1,-0.12,0.31,-188.0,1/8,2.64,False
15min,3,1.2,0,1,0.5,3R,"(1, -1)",2466,368,0.945,-106.9,-0.07,0.343,-243.8,2/8,2.62,False
15min,3,1.2,1,0,0.1,2R,"(1,)",2181,325,0.774,-361.2,-0.13,0.411,-407.9,2/8,1.64,False
15min,3,1.2,1,0,0.1,2R,"(-1,)",2107,314,0.739,-410.3,-0.14,0.4,-450.8,1/8,1.65,False
15min,3,1.2,1,0,0.1,2R,"(1, -1)",4288,639,0.757,-771.5,-0.13,0.406,-852.3,2/8,1.65,False
15min,3,1.2,1,0,0.1,3R,"(1,)",2181,325,0.95,-87.2,-0.06,0.365,-233.4,3/8,2.51,False
15min,3,1.2,1,0,0.1,3R,"(-1,)",2107,314,0.889,-192.5,-0.1,0.341,-279.7,3/8,2.53,False
15min,3,1.2,1,0,0.1,3R,"(1, -1)",4288,639,0.92,-279.7,-0.09,0.353,-467.2,3/8,2.52,False
15min,3,1.2,1,0,0.25,2R,"(1,)",2229,332,0.829,-271.2,-0.12,0.418,-329.8,2/8,1.67,False
15min,3,1.2,1,0,0.25,2R,"(-1,)",2166,323,0.743,-416.4,-0.14,0.39,-451.3,1/8,1.68,False
15min,3,1.2,1,0,0.25,2R,"(1, -1)",4395,655,0.785,-687.5,-0.13,0.404,-771.6,2/8,1.68,False
15min,3,1.2,1,0,0.25,3R,"(1,)",2229,332,0.972,-49.1,-0.04,0.358,-190.1,4/8,2.55,False
15min,3,1.2,1,0,0.25,3R,"(-1,)",2166,323,0.856,-258.0,-0.12,0.33,-334.0,3/8,2.57,False
15min,3,1.2,1,0,0.25,3R,"(1, -1)",4395,655,0.913,-307.1,-0.1,0.344,-456.3,3/8,2.56,False
15min,3,1.2,1,0,0.5,2R,"(1,)",2291,341,0.871,-205.2,-0.11,0.421,-270.9,2/8,1.71,False
15min,3,1.2,1,0,0.5,2R,"(-1,)",2227,332,0.775,-366.2,-0.14,0.386,-400.2,2/8,1.72,False
15min,3,1.2,1,0,0.5,2R,"(1, -1)",4518,673,0.822,-571.4,-0.13,0.404,-649.2,2/8,1.71,False
15min,3,1.2,1,0,0.5,3R,"(1,)",2291,341,1.041,71.2,0.12,0.365,-90.3,4/8,2.61,False
15min,3,1.2,1,0,0.5,3R,"(-1,)",2227,332,0.826,-318.6,-0.12,0.315,-381.9,3/8,2.62,False
15min,3,1.2,1,0,0.5,3R,"(1, -1)",4518,673,0.931,-247.4,-0.09,0.34,-407.6,3/8,2.61,False
15min,3,1.2,1,1,0.1,2R,"(1,)",1287,192,0.775,-213.5,-0.13,0.409,-244.2,2/8,1.63,False
15min,3,1.2,1,1,0.1,2R,"(-1,)",896,135,0.689,-214.2,-0.14,0.382,-234.7,1/8,1.66,False
15min,3,1.2,1,1,0.1,2R,"(1, -1)",2183,325,0.739,-427.6,-0.14,0.398,-464.3,2/8,1.64,False
15min,3,1.2,1,1,0.1,3R,"(1,)",1287,192,0.946,-56.5,-0.05,0.364,-153.3,3/8,2.5,False
15min,3,1.2,1,1,0.1,3R,"(-1,)",896,135,0.852,-110.9,-0.11,0.329,-149.6,3/8,2.53,False
15min,3,1.2,1,1,0.1,3R,"(1, -1)",2183,325,0.906,-167.4,-0.09,0.35,-281.1,3/8,2.51,False
15min,3,1.2,1,1,0.25,2R,"(1,)",1317,196,0.835,-154.8,-0.12,0.418,-197.7,2/8,1.66,False
15min,3,1.2,1,1,0.25,2R,"(-1,)",923,139,0.696,-215.8,-0.14,0.373,-239.7,1/8,1.68,False
15min,3,1.2,1,1,0.25,2R,"(1, -1)",2240,334,0.775,-370.6,-0.13,0.4,-418.3,2/8,1.67,False
15min,3,1.2,1,1,0.25,3R,"(1,)",1317,196,0.962,-40.1,-0.04,0.356,-147.0,3/8,2.54,False
15min,3,1.2,1,1,0.25,3R,"(-1,)",923,139,0.801,-155.8,-0.12,0.316,-192.8,1/8,2.57,False
15min,3,1.2,1,1,0.25,3R,"(1, -1)",2240,334,0.893,-195.9,-0.1,0.34,-299.7,2/8,2.55,False
15min,3,1.2,1,1,0.5,2R,"(1,)",1354,202,0.869,-123.3,-0.11,0.42,-174.6,3/8,1.7,False
15min,3,1.2,1,1,0.5,2R,"(-1,)",941,141,0.771,-158.6,-0.13,0.383,-180.6,1/8,1.72,False
15min,3,1.2,1,1,0.5,2R,"(1, -1)",2295,342,0.828,-281.9,-0.13,0.405,-334.8,2/8,1.71,False
15min,3,1.2,1,1,0.5,3R,"(1,)",1354,202,1.038,39.9,0.07,0.364,-87.5,4/8,2.59,False
15min,3,1.2,1,1,0.5,3R,"(-1,)",941,141,0.789,-166.4,-0.12,0.302,-203.9,1/8,2.63,False
15min,3,1.2,1,1,0.5,3R,"(1, -1)",2295,342,0.931,-126.5,-0.07,0.339,-257.4,3/8,2.61,False
15min,3,1.5,0,0,0.1,2R,"(1,)",1423,212,0.836,-164.8,-0.12,0.417,-206.6,2/8,1.68,False
15min,3,1.5,0,0,0.1,2R,"(-1,)",1463,218,0.758,-260.7,-0.13,0.396,-288.8,1/8,1.7,False
15min,3,1.5,0,0,0.1,2R,"(1, -1)",2886,430,0.796,-425.5,-0.13,0.407,-477.0,2/8,1.69,False
15min,3,1.5,0,0,0.1,3R,"(1,)",1423,212,1.026,28.1,0.06,0.376,-64.7,5/8,2.57,False
15min,3,1.5,0,0,0.1,3R,"(-1,)",1463,218,0.917,-97.7,-0.09,0.34,-160.8,3/8,2.6,False
15min,3,1.5,0,0,0.1,3R,"(1, -1)",2886,430,0.969,-69.6,-0.05,0.358,-195.2,3/8,2.58,False
15min,3,1.5,0,0,0.25,2R,"(1,)",1450,216,0.897,-102.8,-0.09,0.426,-167.2,2/8,1.71,False
15min,3,1.5,0,0,0.25,2R,"(-1,)",1495,223,0.768,-254.3,-0.13,0.387,-281.1,2/8,1.73,False
15min,3,1.5,0,0,0.25,2R,"(1, -1)",2945,439,0.829,-357.1,-0.12,0.406,-427.1,2/8,1.72,False
15min,3,1.5,0,0,0.25,3R,"(1,)",1450,216,1.04,44.2,0.09,0.37,-75.4,5/8,2.6,False
15min,3,1.5,0,0,0.25,3R,"(-1,)",1495,223,0.89,-131.7,-0.11,0.333,-186.6,2/8,2.63,False
15min,3,1.5,0,0,0.25,3R,"(1, -1)",2945,439,0.962,-87.5,-0.06,0.351,-211.0,3/8,2.62,False
15min,3,1.5,0,0,0.5,2R,"(1,)",1492,222,0.919,-81.4,-0.09,0.427,-141.2,2/8,1.74,False
15min,3,1.5,0,0,0.5,2R,"(-1,)",1533,228,0.81,-206.1,-0.13,0.389,-231.6,2/8,1.76,False
15min,3,1.5,0,0,0.5,2R,"(1, -1)",3025,451,0.862,-287.6,-0.12,0.408,-348.0,2/8,1.75,False
15min,3,1.5,0,0,0.5,3R,"(1,)",1492,222,1.096,105.7,0.24,0.376,-65.8,6/8,2.65,False
15min,3,1.5,0,0,0.5,3R,"(-1,)",1533,228,0.861,-168.7,-0.12,0.323,-210.4,2/8,2.68,False
15min,3,1.5,0,0,0.5,3R,"(1, -1)",3025,451,0.973,-62.9,-0.05,0.349,-188.2,3/8,2.66,False
15min,3,1.5,0,1,0.1,2R,"(1,)",860,128,0.812,-116.9,-0.12,0.406,-148.9,1/8,1.68,False
15min,3,1.5,0,1,0.1,2R,"(-1,)",638,95,0.664,-167.6,-0.14,0.357,-177.3,1/8,1.71,False
15min,3,1.5,0,1,0.1,2R,"(1, -1)",1498,223,0.746,-284.4,-0.13,0.385,-314.4,2/8,1.69,False
15min,3,1.5,0,1,0.1,3R,"(1,)",860,128,0.97,-20.4,-0.03,0.364,-94.8,3/8,2.57,False
15min,3,1.5,0,1,0.1,3R,"(-1,)",638,95,0.84,-85.0,-0.11,0.318,-112.5,3/8,2.6,False
15min,3,1.5,0,1,0.1,3R,"(1, -1)",1498,223,0.913,-105.4,-0.08,0.344,-191.5,2/8,2.58,False
15min,3,1.5,0,1,0.25,2R,"(1,)",876,131,0.884,-70.8,-0.09,0.42,-121.3,1/8,1.71,False
15min,3,1.5,0,1,0.25,2R,"(-1,)",652,97,0.688,-156.4,-0.14,0.356,-170.9,1/8,1.73,False
15min,3,1.5,0,1,0.25,2R,"(1, -1)",1528,228,0.796,-227.1,-0.12,0.393,-278.1,2/8,1.72,False
15min,3,1.5,0,1,0.25,3R,"(1,)",876,131,0.991,-6.4,-0.01,0.358,-109.7,3/8,2.6,False
15min,3,1.5,0,1,0.25,3R,"(-1,)",652,97,0.822,-96.5,-0.12,0.316,-125.0,1/8,2.64,False
15min,3,1.5,0,1,0.25,3R,"(1, -1)",1528,228,0.916,-102.9,-0.07,0.34,-208.7,2/8,2.62,False
15min,3,1.5,0,1,0.5,2R,"(1,)",902,134,0.884,-72.0,-0.08,0.417,-126.8,1/8,1.74,False
15min,3,1.5,0,1,0.5,2R,"(-1,)",666,100,0.779,-106.9,-0.13,0.374,-121.3,1/8,1.76,False
15min,3,1.5,0,1,0.5,2R,"(1, -1)",1568,234,0.838,-178.9,-0.11,0.399,-236.5,2/8,1.75,False
15min,3,1.5,0,1,0.5,3R,"(1,)",902,134,1.057,38.9,0.07,0.367,-83.6,3/8,2.65,False
15min,3,1.5,0,1,0.5,3R,"(-1,)",666,100,0.816,-99.4,-0.12,0.308,-122.9,2/8,2.68,False
15min,3,1.5,0,1,0.5,3R,"(1, -1)",1568,234,0.95,-60.5,-0.05,0.342,-182.0,2/8,2.66,False
15min,3,1.5,1,0,0.1,2R,"(1,)",1338,199,0.827,-165.5,-0.12,0.418,-200.1,2/8,1.67,False
15min,3,1.5,1,0,0.1,2R,"(-1,)",1366,204,0.738,-267.0,-0.13,0.393,-300.3,1/8,1.69,False
15min,3,1.5,1,0,0.1,2R,"(1, -1)",2704,403,0.781,-432.5,-0.13,0.405,-485.1,2/8,1.68,False
15min,3,1.5,1,0,0.1,3R,"(1,)",1338,199,1.013,14.0,0.03,0.374,-67.7,5/8,2.55,False
15min,3,1.5,1,0,0.1,3R,"(-1,)",1366,204,0.896,-116.7,-0.09,0.334,-185.6,3/8,2.58,False
15min,3,1.5,1,0,0.1,3R,"(1, -1)",2704,403,0.952,-102.6,-0.07,0.354,-223.8,3/8,2.56,False
15min,3,1.5,1,0,0.25,2R,"(1,)",1365,204,0.887,-107.6,-0.1,0.426,-161.3,2/8,1.69,False
15min,3,1.5,1,0,0.25,2R,"(-1,)",1398,208,0.75,-259.8,-0.13,0.383,-291.0,2/8,1.72,False
15min,3,1.5,1,0,0.25,2R,"(1, -1)",2763,412,0.815,-367.4,-0.13,0.404,-433.1,2/8,1.71,False
15min,3,1.5,1,0,0.25,3R,"(1,)",1365,204,1.023,24.4,0.05,0.366,-80.6,4/8,2.59,False
15min,3,1.5,1,0,0.25,3R,"(-1,)",1398,208,0.864,-155.6,-0.11,0.326,-215.3,2/8,2.62,False
15min,3,1.5,1,0,0.25,3R,"(1, -1)",2763,412,0.94,-131.3,-0.08,0.346,-245.6,3/8,2.6,False
15min,3,1.5,1,0,0.5,2R,"(1,)",1403,209,0.906,-90.4,-0.1,0.424,-139.4,2/8,1.73,False
15min,3,1.5,1,0,0.5,2R,"(-1,)",1435,214,0.793,-214.3,-0.13,0.384,-244.3,2/8,1.75,False
15min,3,1.5,1,0,0.5,2R,"(1, -1)",2838,423,0.847,-304.8,-0.13,0.404,-363.2,2/8,1.74,False
15min,3,1.5,1,0,0.5,3R,"(1,)",1403,209,1.077,81.5,0.19,0.371,-62.5,5/8,2.64,False
15min,3,1.5,1,0,0.5,3R,"(-1,)",1435,214,0.841,-185.2,-0.12,0.316,-231.5,2/8,2.66,False
15min,3,1.5,1,0,0.5,3R,"(1, -1)",2838,423,0.953,-103.7,-0.07,0.343,-217.9,3/8,2.65,False
15min,3,1.5,1,1,0.1,2R,"(1,)",795,119,0.811,-109.9,-0.12,0.409,-138.5,1/8,1.66,False
15min,3,1.5,1,1,0.1,2R,"(-1,)",581,87,0.632,-170.0,-0.14,0.351,-181.7,1/8,1.69,False
15min,3,1.5,1,1,0.1,2R,"(1, -1)",1376,205,0.732,-279.9,-0.13,0.384,-314.5,2/8,1.68,False
15min,3,1.5,1,1,0.1,3R,"(1,)",795,119,0.967,-21.0,-0.03,0.364,-91.4,2/8,2.54,False
15min,3,1.5,1,1,0.1,3R,"(-1,)",581,87,0.812,-92.9,-0.11,0.312,-125.2,2/8,2.58,False
15min,3,1.5,1,1,0.1,3R,"(1, -1)",1376,205,0.899,-114.0,-0.08,0.342,-204.8,2/8,2.56,False
15min,3,1.5,1,1,0.25,2R,"(1,)",811,121,0.88,-68.7,-0.09,0.422,-114.0,1/8,1.69,False
15min,3,1.5,1,1,0.25,2R,"(-1,)",595,89,0.657,-159.9,-0.14,0.35,-175.7,1/8,1.72,False
15min,3,1.5,1,1,0.25,2R,"(1, -1)",1406,210,0.78,-228.6,-0.12,0.391,-282.8,2/8,1.7,False
15min,3,1.5,1,1,0.25,3R,"(1,)",811,121,0.979,-13.2,-0.02,0.355,-108.6,3/8,2.58,False
15min,3,1.5,1,1,0.25,3R,"(-1,)",595,89,0.784,-109.1,-0.12,0.308,-138.9,2/8,2.62,False
15min,3,1.5,1,1,0.25,3R,"(1, -1)",1406,210,0.893,-122.3,-0.08,0.335,-227.3,2/8,2.6,False
15min,3,1.5,1,1,0.5,2R,"(1,)",835,124,0.874,-73.6,-0.09,0.414,-122.3,2/8,1.73,False
15min,3,1.5,1,1,0.5,2R,"(-1,)",608,91,0.757,-108.8,-0.13,0.37,-124.6,2/8,1.75,False
15min,3,1.5,1,1,0.5,2R,"(1, -1)",1443,215,0.823,-182.4,-0.11,0.396,-243.1,2/8,1.74,False
15min,3,1.5,1,1,0.5,3R,"(1,)",835,124,1.044,28.3,0.05,0.362,-81.3,4/8,2.63,False
15min,3,1.5,1,1,0.5,3R,"(-1,)",608,91,0.783,-109.7,-0.12,0.299,-133.5,2/8,2.66,False
15min,3,1.5,1,1,0.5,3R,"(1, -1)",1443,215,0.929,-81.4,-0.06,0.335,-197.3,3/8,2.65,False
15min,3,2.0,0,0,0.1,2R,"(1,)",533,79,0.915,-30.5,-0.07,0.433,-69.0,4/8,1.72,False
15min,3,2.0,0,0,0.1,2R,"(-1,)",525,79,0.885,-41.6,-0.12,0.417,-51.4,2/8,1.77,False
15min,3,2.0,0,0,0.1,2R,"(1, -1)",1058,158,0.9,-72.1,-0.11,0.425,-96.5,4/8,1.74,False
15min,3,2.0,0,0,0.1,3R,"(1,)",533,79,1.13,50.3,0.24,0.396,-31.6,5/8,2.62,False
15min,3,2.0,0,0,0.1,3R,"(-1,)",525,79,1.06,23.7,0.11,0.356,-32.8,5/8,2.69,False
15min,3,2.0,0,0,0.1,3R,"(1, -1)",1058,158,1.095,73.9,0.21,0.376,-53.7,6/8,2.65,False
15min,3,2.0,0,0,0.25,2R,"(1,)",542,81,0.947,-19.0,-0.04,0.432,-72.8,3/8,1.74,False
15min,3,2.0,0,0,0.25,2R,"(-1,)",537,80,0.883,-42.7,-0.13,0.408,-49.1,1/8,1.79,False
15min,3,2.0,0,0,0.25,2R,"(1, -1)",1079,161,0.915,-61.8,-0.1,0.42,-94.4,4/8,1.76,False
15min,3,2.0,0,0,0.25,3R,"(1,)",542,81,1.163,63.5,0.26,0.395,-36.1,5/8,2.65,False
15min,3,2.0,0,0,0.25,3R,"(-1,)",537,80,1.07,27.7,0.13,0.359,-32.7,4/8,2.71,False
15min,3,2.0,0,0,0.25,3R,"(1, -1)",1079,161,1.116,91.2,0.25,0.377,-54.5,6/8,2.68,False
15min,3,2.0,0,0,0.5,2R,"(1,)",550,82,0.999,-0.3,-0.0,0.442,-43.8,4/8,1.77,False
15min,3,2.0,0,0,0.5,2R,"(-1,)",550,82,0.925,-27.2,-0.12,0.404,-34.5,3/8,1.81,False
15min,3,2.0,0,0,0.5,2R,"(1, -1)",1100,164,0.961,-27.5,-0.06,0.423,-63.7,4/8,1.79,False
15min,3,2.0,0,0,0.5,3R,"(1,)",550,82,1.203,78.3,0.39,0.398,-30.0,6/8,2.7,False
15min,3,2.0,0,0,0.5,3R,"(-1,)",550,82,0.962,-15.3,-0.05,0.345,-47.0,5/8,2.75,False
15min,3,2.0,0,0,0.5,3R,"(1, -1)",1100,164,1.08,63.0,0.18,0.372,-53.0,6/8,2.72,False
15min,3,2.0,0,1,0.1,2R,"(1,)",326,49,0.94,-13.0,-0.05,0.439,-38.0,4/8,1.73,False
15min,3,2.0,0,1,0.1,2R,"(-1,)",218,33,0.621,-66.0,-0.15,0.335,-66.7,0/8,1.77,False
15min,3,2.0,0,1,0.1,2R,"(1, -1)",544,81,0.797,-79.0,-0.13,0.397,-91.4,3/8,1.75,False
15min,3,2.0,0,1,0.1,3R,"(1,)",326,49,1.154,36.0,0.26,0.402,-20.4,5/8,2.63,False
15min,3,2.0,0,1,0.1,3R,"(-1,)",218,33,0.769,-42.7,-0.14,0.289,-45.1,3/8,2.7,False
15min,3,2.0,0,1,0.1,3R,"(1, -1)",544,81,0.984,-6.7,-0.02,0.357,-41.3,5/8,2.66,False
15min,3,2.0,0,1,0.25,2R,"(1,)",330,49,0.994,-1.2,-0.0,0.442,-39.6,4/8,1.75,False
15min,3,2.0,0,1,0.25,2R,"(-1,)",223,34,0.641,-62.6,-0.15,0.336,-63.3,0/8,1.79,False
15min,3,2.0,0,1,0.25,2R,"(1, -1)",553,82,0.836,-63.8,-0.11,0.4,-86.6,2/8,1.77,False
15min,3,2.0,0,1,0.25,3R,"(1,)",330,49,1.193,45.4,0.32,0.4,-21.1,4/8,2.66,False
15min,3,2.0,0,1,0.25,3R,"(-1,)",223,34,0.797,-37.5,-0.13,0.3,-43.5,2/8,2.72,False
15min,3,2.0,0,1,0.25,3R,"(1, -1)",553,82,1.019,7.9,0.03,0.36,-41.6,4/8,2.69,False
15min,3,2.0,0,1,0.5,2R,"(1,)",334,50,1.022,4.5,0.02,0.449,-28.1,4/8,1.78,False
15min,3,2.0,0,1,0.5,2R,"(-1,)",226,34,0.72,-47.2,-0.15,0.345,-48.4,1/8,1.82,False
15min,3,2.0,0,1,0.5,2R,"(1, -1)",560,83,0.887,-42.6,-0.09,0.407,-67.7,3/8,1.79,False
15min,3,2.0,0,1,0.5,3R,"(1,)",334,50,1.234,54.1,0.45,0.404,-18.0,5/8,2.7,False
15min,3,2.0,0,1,0.5,3R,"(-1,)",226,34,0.724,-50.8,-0.14,0.288,-54.0,2/8,2.76,False
15min,3,2.0,0,1,0.5,3R,"(1, -1)",560,83,1.008,3.3,0.01,0.357,-41.1,3/8,2.72,False
15min,3,2.0,1,0,0.1,2R,"(1,)",482,72,0.886,-37.8,-0.09,0.432,-65.1,4/8,1.7,False
15min,3,2.0,1,0,0.1,2R,"(-1,)",474,71,0.845,-51.9,-0.13,0.409,-60.6,2/8,1.75,False
15min,3,2.0,1,0,0.1,2R,"(1, -1)",956,143,0.865,-89.7,-0.12,0.421,-110.0,3/8,1.72,False
15min,3,2.0,1,0,0.1,3R,"(1,)",482,72,1.103,37.2,0.16,0.39,-34.2,5/8,2.59,False
15min,3,2.0,1,0,0.1,3R,"(-1,)",474,71,1.016,5.8,0.02,0.344,-46.5,5/8,2.66,False
15min,3,2.0,1,0,0.1,3R,"(1, -1)",956,143,1.059,43.0,0.09,0.367,-69.1,5/8,2.63,False
15min,3,2.0,1,0,0.25,2R,"(1,)",491,73,0.916,-28.0,-0.06,0.428,-68.3,4/8,1.72,False
15min,3,2.0,1,0,0.25,2R,"(-1,)",486,73,0.843,-53.5,-0.13,0.397,-59.9,1/8,1.77,False
15min,3,2.0,1,0,0.25,2R,"(1, -1)",977,146,0.879,-81.5,-0.11,0.412,-110.3,3/8,1.75,False
15min,3,2.0,1,0,0.25,3R,"(1,)",491,73,1.131,47.8,0.19,0.387,-38.1,5/8,2.63,False
15min,3,2.0,1,0,0.25,3R,"(-1,)",486,73,1.017,6.1,0.02,0.346,-45.2,5/8,2.69,False
15min,3,2.0,1,0,0.25,3R,"(1, -1)",977,146,1.074,53.9,0.11,0.366,-70.1,5/8,2.66,False
15min,3,2.0,1,0,0.5,2R,"(1,)",498,74,0.976,-7.7,-0.03,0.436,-40.1,3/8,1.75,False
15min,3,2.0,1,0,0.5,2R,"(-1,)",499,75,0.873,-43.3,-0.12,0.389,-53.1,3/8,1.8,False
15min,3,2.0,1,0,0.5,2R,"(1, -1)",997,149,0.924,-51.0,-0.09,0.412,-85.0,3/8,1.78,False
15min,3,2.0,1,0,0.5,3R,"(1,)",498,74,1.174,62.9,0.28,0.388,-33.3,6/8,2.67,False
15min,3,2.0,1,0,0.5,3R,"(-1,)",499,75,0.921,-30.2,-0.07,0.331,-62.2,4/8,2.73,False
15min,3,2.0,1,0,0.5,3R,"(1, -1)",997,149,1.044,32.6,0.07,0.359,-65.9,4/8,2.7,False
15min,3,2.0,1,1,0.1,2R,"(1,)",286,43,0.904,-18.8,-0.08,0.437,-34.6,3/8,1.7,False
15min,3,2.0,1,1,0.1,2R,"(-1,)",192,29,0.57,-68.4,-0.15,0.318,-69.4,0/8,1.75,False
15min,3,2.0,1,1,0.1,2R,"(1, -1)",478,71,0.754,-87.3,-0.14,0.389,-95.9,2/8,1.72,False
15min,3,2.0,1,1,0.1,3R,"(1,)",286,43,1.118,25.3,0.17,0.395,-22.3,4/8,2.6,False
15min,3,2.0,1,1,0.1,3R,"(-1,)",192,29,0.715,-48.1,-0.14,0.271,-51.8,3/8,2.67,False
15min,3,2.0,1,1,0.1,3R,"(1, -1)",478,71,0.94,-22.8,-0.06,0.345,-53.9,5/8,2.62,False
15min,3,2.0,1,1,0.25,2R,"(1,)",290,43,0.951,-9.5,-0.04,0.438,-36.3,4/8,1.72,False
15min,3,2.0,1,1,0.25,2R,"(-1,)",197,30,0.579,-67.7,-0.15,0.315,-69.0,0/8,1.77,False
15min,3,2.0,1,1,0.25,2R,"(1, -1)",487,73,0.784,-77.2,-0.12,0.388,-96.3,3/8,1.74,False
15min,3,2.0,1,1,0.25,3R,"(1,)",290,43,1.146,31.6,0.24,0.39,-19.7,5/8,2.63,False
15min,3,2.0,1,1,0.25,3R,"(-1,)",197,30,0.725,-46.5,-0.13,0.279,-53.2,3/8,2.69,False
15min,3,2.0,1,1,0.25,3R,"(1, -1)",487,73,0.961,-14.9,-0.04,0.345,-58.6,3/8,2.65,False
15min,3,2.0,1,1,0.5,2R,"(1,)",293,44,0.986,-2.7,-0.02,0.44,-25.8,3/8,1.75,False
15min,3,2.0,1,1,0.5,2R,"(-1,)",200,30,0.659,-53.3,-0.14,0.325,-55.5,1/8,1.8,False
15min,3,2.0,1,1,0.5,2R,"(1, -1)",493,74,0.84,-56.0,-0.11,0.394,-79.0,3/8,1.77,False
