rule,k,ote,sl_buf,tp_r,sweep_lb,need_conf,trend_mode,session,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,0.618,0.05,3.0,10,5,down,all,1409,211,0.949,-58.3,-0.07,0.303,-128.3,4/8,2.78,False
15min,3,0.618,0.05,3.0,10,5,down,kz,742,111,1.106,60.4,0.18,0.334,-51.2,4/8,2.78,False
15min,3,0.618,0.05,3.0,10,5,off,all,4039,602,0.914,-283.1,-0.13,0.296,-320.0,1/8,2.77,False
15min,3,0.618,0.05,3.0,10,5,off,kz,2133,318,0.968,-55.2,-0.09,0.307,-96.2,4/8,2.77,False
15min,3,0.618,0.05,3.0,10,5,fade,all,2630,392,0.896,-224.8,-0.14,0.293,-244.0,1/8,2.76,False
15min,3,0.618,0.05,3.0,10,5,fade,kz,1391,207,0.899,-115.6,-0.13,0.293,-131.7,1/8,2.76,False
15min,3,0.618,0.1,1.0,3,3,down,all,1686,253,0.596,-400.6,-0.14,0.494,-419.5,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,3,down,kz,926,139,0.599,-217.5,-0.14,0.498,-235.7,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,3,off,all,4917,733,0.601,-1140.6,-0.15,0.5,-1156.8,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,3,off,kz,2609,389,0.629,-550.8,-0.14,0.509,-577.8,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,3,fade,all,3231,482,0.603,-740.0,-0.15,0.503,-746.6,1/8,0.86,False
15min,3,0.618,0.1,1.0,3,3,fade,kz,1683,251,0.646,-333.2,-0.14,0.516,-343.9,1/8,0.86,False
15min,3,0.618,0.1,1.0,3,4,down,all,1602,240,0.599,-376.2,-0.14,0.494,-396.2,1/8,0.88,False
15min,3,0.618,0.1,1.0,3,4,down,kz,882,132,0.592,-211.1,-0.14,0.492,-229.2,1/8,0.88,False
15min,3,0.618,0.1,1.0,3,4,off,all,4663,695,0.605,-1067.0,-0.15,0.499,-1086.1,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,4,off,kz,2487,371,0.624,-533.8,-0.14,0.506,-560.2,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,4,fade,all,3061,456,0.608,-690.8,-0.15,0.502,-699.5,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,4,fade,kz,1605,239,0.642,-322.6,-0.14,0.513,-332.7,1/8,0.87,False
15min,3,0.618,0.1,1.0,3,5,down,all,1156,173,0.643,-236.3,-0.14,0.502,-246.3,0/8,0.9,False
15min,3,0.618,0.1,1.0,3,5,down,kz,637,95,0.643,-129.6,-0.14,0.499,-143.4,2/8,0.9,False
15min,3,0.618,0.1,1.0,3,5,off,all,3335,497,0.644,-673.5,-0.15,0.504,-689.1,1/8,0.89,False
15min,3,0.618,0.1,1.0,3,5,off,kz,1783,266,0.655,-344.9,-0.14,0.505,-364.7,1/8,0.89,False
15min,3,0.618,0.1,1.0,3,5,fade,all,2179,325,0.644,-437.2,-0.14,0.505,-451.3,1/8,0.89,False
15min,3,0.618,0.1,1.0,3,5,fade,kz,1146,173,0.662,-215.3,-0.15,0.509,-223.0,1/8,0.89,False
15min,3,0.618,0.1,1.0,6,3,down,all,1929,288,0.619,-423.8,-0.14,0.505,-451.0,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,3,down,kz,1038,155,0.629,-220.2,-0.14,0.511,-242.9,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,3,off,all,5652,842,0.605,-1289.2,-0.15,0.503,-1310.4,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,3,off,kz,2985,445,0.64,-604.6,-0.14,0.514,-635.5,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,3,fade,all,3723,555,0.598,-865.4,-0.15,0.502,-871.3,0/8,0.86,False
15min,3,0.618,0.1,1.0,6,3,fade,kz,1947,290,0.646,-384.4,-0.15,0.516,-395.1,1/8,0.86,False
15min,3,0.618,0.1,1.0,6,4,down,all,1826,273,0.622,-397.1,-0.14,0.504,-426.7,1/8,0.88,False
15min,3,0.618,0.1,1.0,6,4,down,kz,985,147,0.621,-214.3,-0.14,0.505,-237.0,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,4,off,all,5345,796,0.607,-1213.0,-0.15,0.502,-1237.9,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,4,off,kz,2843,424,0.635,-586.5,-0.14,0.511,-615.2,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,4,fade,all,3519,525,0.599,-815.9,-0.15,0.5,-822.0,0/8,0.87,False
15min,3,0.618,0.1,1.0,6,4,fade,kz,1858,277,0.642,-372.2,-0.15,0.514,-380.3,1/8,0.87,False
15min,3,0.618,0.1,1.0,6,5,down,all,1305,196,0.654,-256.5,-0.14,0.507,-270.5,1/8,0.9,False
15min,3,0.618,0.1,1.0,6,5,down,kz,703,105,0.657,-135.8,-0.14,0.506,-150.4,2/8,0.89,False
15min,3,0.618,0.1,1.0,6,5,off,all,3792,565,0.646,-759.4,-0.15,0.506,-772.7,1/8,0.89,False
15min,3,0.618,0.1,1.0,6,5,off,kz,2017,301,0.662,-379.7,-0.14,0.509,-399.9,1/8,0.89,False
15min,3,0.618,0.1,1.0,6,5,fade,all,2487,371,0.642,-502.8,-0.15,0.505,-512.0,1/8,0.89,False
15min,3,0.618,0.1,1.0,6,5,fade,kz,1314,196,0.665,-243.9,-0.14,0.511,-252.2,1/8,0.89,False
15min,3,0.618,0.1,1.0,10,3,down,all,2094,313,0.605,-481.5,-0.14,0.5,-506.8,1/8,0.87,False
15min,3,0.618,0.1,1.0,10,3,down,kz,1110,166,0.625,-238.4,-0.14,0.509,-259.8,1/8,0.87,False
15min,3,0.618,0.1,1.0,10,3,off,all,6062,903,0.595,-1428.8,-0.15,0.501,-1448.5,1/8,0.87,False
15min,3,0.618,0.1,1.0,10,3,off,kz,3191,475,0.629,-671.3,-0.14,0.512,-698.6,1/8,0.87,False
15min,3,0.618,0.1,1.0,10,3,fade,all,3968,592,0.59,-947.3,-0.15,0.501,-954.0,0/8,0.86,False
15min,3,0.618,0.1,1.0,10,3,fade,kz,2081,310,0.632,-432.9,-0.15,0.514,-441.3,1/8,0.86,False
15min,3,0.618,0.1,1.0,10,4,down,all,1978,296,0.608,-450.3,-0.14,0.5,-480.1,1/8,0.88,False
15min,3,0.618,0.1,1.0,10,4,down,kz,1050,157,0.619,-229.7,-0.14,0.504,-251.1,2/8,0.87,False
15min,3,0.618,0.1,1.0,10,4,off,all,5717,852,0.599,-1331.4,-0.15,0.5,-1357.0,1/8,0.87,False
15min,3,0.618,0.1,1.0,10,4,off,kz,3029,452,0.628,-640.6,-0.14,0.509,-665.7,1/8,0.87,False
15min,3,0.618,0.1,1.0,10,4,fade,all,3739,557,0.594,-881.1,-0.15,0.5,-888.2,0/8,0.86,False
15min,3,0.618,0.1,1.0,10,4,fade,kz,1979,295,0.633,-410.9,-0.15,0.512,-417.0,1/8,0.86,False
15min,3,0.618,0.1,1.0,10,5,down,all,1416,212,0.636,-297.0,-0.14,0.502,-311.3,1/8,0.9,False
15min,3,0.618,0.1,1.0,10,5,down,kz,746,112,0.655,-145.1,-0.14,0.507,-159.4,2/8,0.89,False
15min,3,0.618,0.1,1.0,10,5,off,all,4056,605,0.636,-841.9,-0.15,0.504,-856.8,1/8,0.89,False
15min,3,0.618,0.1,1.0,10,5,off,kz,2143,320,0.651,-419.5,-0.14,0.507,-437.8,1/8,0.89,False
15min,3,0.618,0.1,1.0,10,5,fade,all,2640,394,0.636,-545.0,-0.15,0.505,-553.0,1/8,0.89,False
15min,3,0.618,0.1,1.0,10,5,fade,kz,1397,208,0.649,-274.3,-0.15,0.507,-281.2,1/8,0.89,False
15min,3,0.618,0.1,1.5,3,3,down,all,1686,253,0.736,-299.6,-0.14,0.428,-327.5,1/8,1.34,False
15min,3,0.618,0.1,1.5,3,3,down,kz,926,139,0.759,-148.0,-0.13,0.437,-175.7,1/8,1.34,False
15min,3,0.618,0.1,1.5,3,3,off,all,4917,733,0.74,-853.3,-0.14,0.433,-893.8,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,3,off,kz,2609,389,0.763,-407.7,-0.14,0.439,-450.3,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,3,fade,all,3231,482,0.742,-553.7,-0.14,0.435,-577.1,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,3,fade,kz,1683,251,0.765,-259.8,-0.14,0.44,-276.3,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,4,down,all,1602,240,0.739,-280.4,-0.14,0.427,-308.3,1/8,1.34,False
15min,3,0.618,0.1,1.5,3,4,down,kz,882,132,0.754,-143.6,-0.13,0.433,-171.3,1/8,1.34,False
15min,3,0.618,0.1,1.5,3,4,off,all,4663,695,0.742,-799.3,-0.14,0.431,-841.5,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,4,off,kz,2487,371,0.758,-398.5,-0.14,0.435,-437.9,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,4,fade,all,3061,456,0.744,-518.9,-0.14,0.434,-543.5,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,4,fade,kz,1605,239,0.76,-254.9,-0.14,0.437,-268.3,1/8,1.33,False
15min,3,0.618,0.1,1.5,3,5,down,all,1156,173,0.785,-163.5,-0.14,0.43,-179.1,1/8,1.37,False
15min,3,0.618,0.1,1.5,3,5,down,kz,637,95,0.822,-72.8,-0.11,0.441,-98.2,3/8,1.37,False
15min,3,0.618,0.1,1.5,3,5,off,all,3335,497,0.773,-495.6,-0.14,0.43,-533.3,1/8,1.36,False
15min,3,0.618,0.1,1.5,3,5,off,kz,1783,266,0.787,-246.7,-0.13,0.433,-278.5,1/8,1.36,False
15min,3,0.618,0.1,1.5,3,5,fade,all,2179,325,0.768,-332.1,-0.14,0.43,-362.8,1/8,1.36,False
15min,3,0.618,0.1,1.5,3,5,fade,kz,1146,173,0.769,-173.9,-0.14,0.428,-186.0,1/8,1.36,False
15min,3,0.618,0.1,1.5,6,3,down,all,1929,288,0.752,-318.5,-0.13,0.434,-355.1,1/8,1.34,False
15min,3,0.618,0.1,1.5,6,3,down,kz,1038,155,0.786,-145.3,-0.12,0.447,-181.2,1/8,1.34,False
15min,3,0.618,0.1,1.5,6,3,off,all,5652,842,0.732,-1012.8,-0.14,0.431,-1050.5,1/8,1.33,False
15min,3,0.618,0.1,1.5,6,3,off,kz,2985,445,0.762,-468.3,-0.14,0.44,-513.0,1/8,1.33,False
15min,3,0.618,0.1,1.5,6,3,fade,all,3723,555,0.722,-694.3,-0.15,0.43,-708.2,0/8,1.32,False
15min,3,0.618,0.1,1.5,6,3,fade,kz,1947,290,0.749,-323.0,-0.14,0.436,-337.2,0/8,1.33,False
15min,3,0.618,0.1,1.5,6,4,down,all,1826,273,0.755,-297.5,-0.13,0.433,-334.9,1/8,1.34,False
15min,3,0.618,0.1,1.5,6,4,down,kz,985,147,0.78,-141.9,-0.12,0.443,-177.8,2/8,1.34,False
15min,3,0.618,0.1,1.5,6,4,off,all,5345,796,0.731,-960.6,-0.14,0.429,-999.5,1/8,1.33,False
15min,3,0.618,0.1,1.5,6,4,off,kz,2843,424,0.756,-459.6,-0.14,0.437,-500.2,1/8,1.33,False
15min,3,0.618,0.1,1.5,6,4,fade,all,3519,525,0.72,-663.0,-0.15,0.427,-676.3,0/8,1.33,False
15min,3,0.618,0.1,1.5,6,4,fade,kz,1858,277,0.743,-317.7,-0.14,0.433,-328.7,0/8,1.33,False
15min,3,0.618,0.1,1.5,6,5,down,all,1305,196,0.789,-180.4,-0.13,0.433,-200.7,1/8,1.37,False
15min,3,0.618,0.1,1.5,6,5,down,kz,703,105,0.827,-77.5,-0.11,0.445,-103.2,3/8,1.37,False
15min,3,0.618,0.1,1.5,6,5,off,all,3792,565,0.764,-590.4,-0.14,0.428,-622.8,1/8,1.36,False
15min,3,0.618,0.1,1.5,6,5,off,kz,2017,301,0.785,-282.6,-0.13,0.434,-313.1,1/8,1.36,False
15min,3,0.618,0.1,1.5,6,5,fade,all,2487,371,0.751,-410.0,-0.14,0.425,-431.1,1/8,1.36,False
15min,3,0.618,0.1,1.5,6,5,fade,kz,1314,196,0.763,-205.0,-0.14,0.428,-215.6,1/8,1.36,False
15min,3,0.618,0.1,1.5,10,3,down,all,2094,313,0.735,-372.1,-0.14,0.43,-408.7,1/8,1.34,False
15min,3,0.618,0.1,1.5,10,3,down,kz,1110,166,0.768,-170.0,-0.12,0.442,-205.1,1/8,1.34,False
15min,3,0.618,0.1,1.5,10,3,off,all,6062,903,0.723,-1128.1,-0.14,0.43,-1164.6,1/8,1.33,False
15min,3,0.618,0.1,1.5,10,3,off,kz,3191,475,0.75,-529.3,-0.14,0.437,-568.6,1/8,1.33,False
15min,3,0.618,0.1,1.5,10,3,fade,all,3968,592,0.717,-756.0,-0.15,0.429,-769.5,0/8,1.32,False
15min,3,0.618,0.1,1.5,10,3,fade,kz,2081,310,0.741,-359.3,-0.14,0.435,-373.1,0/8,1.32,False
15min,3,0.618,0.1,1.5,10,4,down,all,1978,296,0.74,-344.6,-0.13,0.43,-384.1,1/8,1.34,False
15min,3,0.618,0.1,1.5,10,4,down,kz,1050,157,0.768,-160.6,-0.12,0.44,-195.6,2/8,1.34,False
15min,3,0.618,0.1,1.5,10,4,off,all,5717,852,0.724,-1058.3,-0.14,0.428,-1098.1,1/8,1.33,False
15min,3,0.618,0.1,1.5,10,4,off,kz,3029,452,0.748,-507.8,-0.14,0.435,-542.6,1/8,1.33,False
15min,3,0.618,0.1,1.5,10,4,fade,all,3739,557,0.716,-713.7,-0.15,0.427,-726.5,0/8,1.33,False
15min,3,0.618,0.1,1.5,10,4,fade,kz,1979,295,0.737,-347.2,-0.14,0.432,-357.7,0/8,1.33,False
15min,3,0.618,0.1,1.5,10,5,down,all,1416,212,0.77,-215.3,-0.14,0.429,-237.4,1/8,1.37,False
15min,3,0.618,0.1,1.5,10,5,down,kz,746,112,0.815,-88.8,-0.12,0.442,-111.6,3/8,1.37,False
15min,3,0.618,0.1,1.5,10,5,off,all,4056,605,0.755,-659.9,-0.14,0.426,-692.0,1/8,1.36,False
15min,3,0.618,0.1,1.5,10,5,off,kz,2143,320,0.773,-318.3,-0.14,0.431,-346.3,1/8,1.36,False
15min,3,0.618,0.1,1.5,10,5,fade,all,2640,394,0.746,-444.6,-0.14,0.425,-463.7,1/8,1.36,False
15min,3,0.618,0.1,1.5,10,5,fade,kz,1397,208,0.752,-229.6,-0.14,0.425,-237.4,0/8,1.36,False
15min,3,0.618,0.1,2.0,3,3,down,all,1686,253,0.793,-258.9,-0.14,0.367,-286.9,2/8,1.81,False
15min,3,0.618,0.1,2.0,3,3,down,kz,926,139,0.865,-89.9,-0.1,0.389,-137.2,2/8,1.8,False
15min,3,0.618,0.1,2.0,3,3,off,all,4917,733,0.815,-667.1,-0.14,0.377,-694.0,1/8,1.79,False
15min,3,0.618,0.1,2.0,3,3,off,kz,2609,389,0.859,-265.1,-0.13,0.389,-300.5,2/8,1.8,False
15min,3,0.618,0.1,2.0,3,3,fade,all,3231,482,0.826,-408.2,-0.14,0.383,-420.2,1/8,1.79,False
15min,3,0.618,0.1,2.0,3,3,fade,kz,1683,251,0.855,-175.3,-0.14,0.389,-190.2,1/8,1.79,False
15min,3,0.618,0.1,2.0,3,4,down,all,1602,240,0.79,-249.4,-0.14,0.365,-276.4,2/8,1.81,False
15min,3,0.618,0.1,2.0,3,4,down,kz,882,132,0.856,-91.1,-0.1,0.384,-132.9,2/8,1.81,False
15min,3,0.618,0.1,2.0,3,4,off,all,4663,695,0.815,-631.1,-0.14,0.376,-663.0,0/8,1.8,False
15min,3,0.618,0.1,2.0,3,4,off,kz,2487,371,0.855,-260.5,-0.13,0.386,-294.2,2/8,1.8,False
15min,3,0.618,0.1,2.0,3,4,fade,all,3061,456,0.828,-381.7,-0.14,0.382,-397.4,0/8,1.79,False
15min,3,0.618,0.1,2.0,3,4,fade,kz,1605,239,0.854,-169.5,-0.14,0.388,-184.4,1/8,1.79,False
15min,3,0.618,0.1,2.0,3,5,down,all,1156,173,0.833,-140.3,-0.13,0.366,-160.8,1/8,1.85,False
15min,3,0.618,0.1,2.0,3,5,down,kz,637,95,0.917,-37.0,-0.07,0.388,-81.4,4/8,1.85,False
15min,3,0.618,0.1,2.0,3,5,off,all,3335,497,0.84,-386.1,-0.14,0.371,-408.3,0/8,1.84,False
15min,3,0.618,0.1,2.0,3,5,off,kz,1783,266,0.876,-157.5,-0.13,0.38,-183.4,2/8,1.84,False
15min,3,0.618,0.1,2.0,3,5,fade,all,2179,325,0.843,-245.8,-0.14,0.373,-256.9,0/8,1.83,False
15min,3,0.618,0.1,2.0,3,5,fade,kz,1146,173,0.853,-120.5,-0.14,0.375,-128.6,2/8,1.83,False
15min,3,0.618,0.1,2.0,6,3,down,all,1929,288,0.799,-287.8,-0.13,0.37,-324.8,1/8,1.81,False
15min,3,0.618,0.1,2.0,6,3,down,kz,1038,155,0.871,-95.8,-0.1,0.392,-148.6,2/8,1.8,False
15min,3,0.618,0.1,2.0,6,3,off,all,5652,842,0.799,-840.2,-0.14,0.374,-876.6,0/8,1.79,False
15min,3,0.618,0.1,2.0,6,3,off,kz,2985,445,0.844,-337.6,-0.13,0.386,-378.3,1/8,1.79,False
15min,3,0.618,0.1,2.0,6,3,fade,all,3723,555,0.799,-552.4,-0.14,0.376,-568.2,0/8,1.79,False
15min,3,0.618,0.1,2.0,6,3,fade,kz,1947,290,0.829,-241.7,-0.14,0.383,-260.0,1/8,1.79,False
15min,3,0.618,0.1,2.0,6,4,down,all,1826,273,0.796,-275.1,-0.13,0.368,-311.9,1/8,1.81,False
15min,3,0.618,0.1,2.0,6,4,down,kz,985,147,0.862,-97.5,-0.1,0.388,-143.6,2/8,1.81,False
15min,3,0.618,0.1,2.0,6,4,off,all,5345,796,0.795,-809.1,-0.14,0.372,-847.7,0/8,1.8,False
15min,3,0.618,0.1,2.0,6,4,off,kz,2843,424,0.838,-333.7,-0.13,0.383,-373.1,1/8,1.8,False
15min,3,0.618,0.1,2.0,6,4,fade,all,3519,525,0.794,-534.0,-0.14,0.373,-550.6,0/8,1.79,False
15min,3,0.618,0.1,2.0,6,4,fade,kz,1858,277,0.826,-236.2,-0.14,0.381,-253.1,1/8,1.79,False
15min,3,0.618,0.1,2.0,6,5,down,all,1305,196,0.822,-170.6,-0.13,0.364,-196.3,1/8,1.84,False
15min,3,0.618,0.1,2.0,6,5,down,kz,703,105,0.901,-49.2,-0.08,0.385,-91.3,4/8,1.84,False
15min,3,0.618,0.1,2.0,6,5,off,all,3792,565,0.822,-490.7,-0.14,0.367,-513.3,0/8,1.84,False
15min,3,0.618,0.1,2.0,6,5,off,kz,2017,301,0.868,-189.9,-0.13,0.379,-215.0,2/8,1.83,False
15min,3,0.618,0.1,2.0,6,5,fade,all,2487,371,0.823,-320.2,-0.14,0.368,-334.9,0/8,1.83,False
15min,3,0.618,0.1,2.0,6,5,fade,kz,1314,196,0.851,-140.8,-0.14,0.375,-149.5,1/8,1.83,False
15min,3,0.618,0.1,2.0,10,3,down,all,2094,313,0.788,-329.4,-0.13,0.369,-365.5,1/8,1.81,False
15min,3,0.618,0.1,2.0,10,3,down,kz,1110,166,0.864,-108.4,-0.11,0.391,-153.6,2/8,1.8,False
15min,3,0.618,0.1,2.0,10,3,off,all,6062,903,0.795,-919.0,-0.14,0.374,-951.3,0/8,1.79,False
15min,3,0.618,0.1,2.0,10,3,off,kz,3191,475,0.838,-375.8,-0.14,0.386,-414.5,1/8,1.79,False
15min,3,0.618,0.1,2.0,10,3,fade,all,3968,592,0.799,-589.5,-0.15,0.377,-605.4,0/8,1.79,False
15min,3,0.618,0.1,2.0,10,3,fade,kz,2081,310,0.824,-267.4,-0.14,0.383,-285.7,1/8,1.79,False
15min,3,0.618,0.1,2.0,10,4,down,all,1978,296,0.791,-306.6,-0.13,0.368,-344.1,1/8,1.81,False
15min,3,0.618,0.1,2.0,10,4,down,kz,1050,157,0.862,-104.5,-0.11,0.389,-144.2,2/8,1.81,False
15min,3,0.618,0.1,2.0,10,4,off,all,5717,852,0.794,-869.4,-0.14,0.372,-904.9,0/8,1.8,False
15min,3,0.618,0.1,2.0,10,4,off,kz,3029,452,0.837,-359.9,-0.14,0.384,-397.2,1/8,1.8,False
15min,3,0.618,0.1,2.0,10,4,fade,all,3739,557,0.796,-562.9,-0.14,0.374,-579.5,0/8,1.79,False
15min,3,0.618,0.1,2.0,10,4,fade,kz,1979,295,0.824,-255.4,-0.14,0.381,-272.3,1/8,1.79,False
15min,3,0.618,0.1,2.0,10,5,down,all,1416,212,0.813,-194.8,-0.13,0.364,-223.0,1/8,1.84,False
15min,3,0.618,0.1,2.0,10,5,down,kz,746,112,0.9,-52.8,-0.09,0.386,-91.0,4/8,1.84,False
15min,3,0.618,0.1,2.0,10,5,off,all,4056,605,0.818,-539.5,-0.14,0.367,-561.0,0/8,1.83,False
15min,3,0.618,0.1,2.0,10,5,off,kz,2143,320,0.861,-214.0,-0.13,0.378,-238.0,2/8,1.83,False
15min,3,0.618,0.1,2.0,10,5,fade,all,2640,394,0.821,-344.7,-0.14,0.368,-356.2,0/8,1.83,False
15min,3,0.618,0.1,2.0,10,5,fade,kz,1397,208,0.84,-161.2,-0.14,0.373,-169.9,1/8,1.83,False
15min,3,0.618,0.1,3.0,3,3,down,all,1686,253,0.91,-124.9,-0.11,0.3,-170.5,2/8,2.74,False
15min,3,0.618,0.1,3.0,3,3,down,kz,926,139,1.031,22.6,0.04,0.325,-79.4,4/8,2.73,False
15min,3,0.618,0.1,3.0,3,3,off,all,4917,733,0.931,-277.9,-0.13,0.309,-314.6,2/8,2.72,False
15min,3,0.618,0.1,3.0,3,3,off,kz,2609,389,0.997,-6.8,-0.01,0.322,-113.7,5/8,2.72,False
15min,3,0.618,0.1,3.0,3,3,fade,all,3231,482,0.942,-152.9,-0.13,0.314,-179.0,2/8,2.72,False
15min,3,0.618,0.1,3.0,3,3,fade,kz,1683,251,0.978,-29.4,-0.05,0.32,-87.4,3/8,2.72,False
15min,3,0.618,0.1,3.0,3,4,down,all,1602,240,0.923,-100.6,-0.09,0.301,-167.3,3/8,2.75,False
15min,3,0.618,0.1,3.0,3,4,down,kz,882,132,1.05,34.4,0.06,0.328,-79.5,4/8,2.75,False
15min,3,0.618,0.1,3.0,3,4,off,all,4663,695,0.933,-254.1,-0.13,0.307,-297.3,2/8,2.73,False
15min,3,0.618,0.1,3.0,3,4,off,kz,2487,371,0.998,-4.2,-0.01,0.32,-114.9,4/8,2.73,False
15min,3,0.618,0.1,3.0,3,4,fade,all,3061,456,0.938,-153.5,-0.13,0.31,-181.4,2/8,2.72,False
15min,3,0.618,0.1,3.0,3,4,fade,kz,1605,239,0.97,-38.6,-0.08,0.317,-76.0,3/8,2.72,False
15min,3,0.618,0.1,3.0,3,5,down,all,1156,173,0.982,-16.5,-0.03,0.305,-87.6,4/8,2.79,False
15min,3,0.618,0.1,3.0,3,5,down,kz,637,95,1.14,67.5,0.24,0.336,-41.6,4/8,2.79,False
15min,3,0.618,0.1,3.0,3,5,off,all,3335,497,0.936,-174.0,-0.12,0.297,-208.7,2/8,2.78,False
15min,3,0.618,0.1,3.0,3,5,off,kz,1783,266,0.987,-17.9,-0.03,0.308,-84.8,4/8,2.78,False
15min,3,0.618,0.1,3.0,3,5,fade,all,2179,325,0.911,-157.5,-0.13,0.293,-174.0,1/8,2.77,False
15min,3,0.618,0.1,3.0,3,5,fade,kz,1146,173,0.909,-85.4,-0.14,0.292,-95.3,1/8,2.77,False
15min,3,0.618,0.1,3.0,6,3,down,all,1929,288,0.909,-143.7,-0.1,0.301,-211.9,2/8,2.74,False
15min,3,0.618,0.1,3.0,6,3,down,kz,1038,155,1.019,15.3,0.02,0.324,-100.9,4/8,2.73,False
15min,3,0.618,0.1,3.0,6,3,off,all,5652,842,0.917,-387.8,-0.13,0.307,-433.7,1/8,2.72,False
15min,3,0.618,0.1,3.0,6,3,off,kz,2985,445,0.974,-62.4,-0.06,0.318,-153.1,3/8,2.72,False
15min,3,0.618,0.1,3.0,6,3,fade,all,3723,555,0.92,-244.1,-0.13,0.31,-277.7,2/8,2.71,False
15min,3,0.618,0.1,3.0,6,3,fade,kz,1947,290,0.951,-77.7,-0.1,0.314,-118.8,2/8,2.72,False
15min,3,0.618,0.1,3.0,6,4,down,all,1826,273,0.923,-115.3,-0.09,0.302,-201.4,3/8,2.75,False
15min,3,0.618,0.1,3.0,6,4,down,kz,985,147,1.034,26.7,0.04,0.326,-98.4,4/8,2.74,False
15min,3,0.618,0.1,3.0,6,4,off,all,5345,796,0.914,-377.9,-0.13,0.304,-430.5,1/8,2.73,False
15min,3,0.618,0.1,3.0,6,4,off,kz,2843,424,0.971,-65.7,-0.07,0.316,-148.1,2/8,2.73,False
15min,3,0.618,0.1,3.0,6,4,fade,all,3519,525,0.909,-262.6,-0.13,0.305,-293.3,1/8,2.72,False
15min,3,0.618,0.1,3.0,6,4,fade,kz,1858,277,0.939,-92.4,-0.11,0.31,-120.5,1/8,2.72,False
15min,3,0.618,0.1,3.0,6,5,down,all,1305,196,0.966,-35.4,-0.04,0.303,-121.1,4/8,2.79,False
15min,3,0.618,0.1,3.0,6,5,down,kz,703,105,1.109,58.9,0.17,0.331,-50.8,4/8,2.79,False
15min,3,0.618,0.1,3.0,6,5,off,all,3792,565,0.924,-234.7,-0.13,0.295,-265.7,1/8,2.78,False
15min,3,0.618,0.1,3.0,6,5,off,kz,2017,301,0.982,-29.2,-0.05,0.307,-80.2,4/8,2.78,False
15min,3,0.618,0.1,3.0,6,5,fade,all,2487,371,0.902,-199.3,-0.13,0.292,-220.6,0/8,2.77,False
15min,3,0.618,0.1,3.0,6,5,fade,kz,1314,196,0.918,-88.1,-0.13,0.295,-103.0,1/8,2.77,False
15min,3,0.618,0.1,3.0,10,3,down,all,2094,313,0.895,-182.4,-0.11,0.298,-238.7,2/8,2.74,False
15min,3,0.618,0.1,3.0,10,3,down,kz,1110,166,1.013,11.8,0.02,0.323,-99.2,4/8,2.73,False
15min,3,0.618,0.1,3.0,10,3,off,all,6062,903,0.908,-457.8,-0.13,0.305,-505.6,1/8,2.72,False
15min,3,0.618,0.1,3.0,10,3,off,kz,3191,475,0.963,-94.8,-0.08,0.316,-167.5,3/8,2.72,False
15min,3,0.618,0.1,3.0,10,3,fade,all,3968,592,0.916,-275.4,-0.13,0.309,-315.8,1/8,2.71,False
15min,3,0.618,0.1,3.0,10,3,fade,kz,2081,310,0.937,-106.6,-0.11,0.312,-141.0,2/8,2.71,False
15min,3,0.618,0.1,3.0,10,4,down,all,1978,296,0.91,-145.7,-0.1,0.301,-226.0,2/8,2.75,False
15min,3,0.618,0.1,3.0,10,4,down,kz,1050,157,1.034,27.9,0.04,0.327,-94.5,4/8,2.74,False
15min,3,0.618,0.1,3.0,10,4,off,all,5717,852,0.907,-437.8,-0.13,0.303,-494.2,2/8,2.73,False
15min,3,0.618,0.1,3.0,10,4,off,kz,3029,452,0.962,-92.0,-0.09,0.314,-159.1,2/8,2.73,False
15min,3,0.618,0.1,3.0,10,4,fade,all,3739,557,0.905,-292.1,-0.13,0.304,-323.7,1/8,2.72,False
15min,3,0.618,0.1,3.0,10,4,fade,kz,1979,295,0.926,-119.9,-0.12,0.307,-148.9,1/8,2.72,False
15min,3,0.618,0.1,3.0,10,5,down,all,1416,212,0.946,-61.9,-0.07,0.3,-142.5,4/8,2.79,False
15min,3,0.618,0.1,3.0,10,5,down,kz,746,112,1.103,58.9,0.16,0.331,-53.7,4/8,2.79,False
