rule,k,ote,sl_buf,tp_r,sweep_lb,need_conf,trend_mode,session,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,1.0,10,4,down,all,3143,470,0.617,-706.8,-0.15,0.498,-710.1,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,down,kz,1611,241,0.633,-340.3,-0.15,0.507,-340.6,1/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,off,all,8613,1283,0.631,-1827.3,-0.15,0.506,-1851.7,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,off,kz,4417,658,0.64,-905.5,-0.15,0.508,-913.7,0/8,0.88,False
15min,2,0.5,0.05,1.0,10,4,fade,all,5470,815,0.64,-1120.5,-0.15,0.51,-1140.3,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,4,fade,kz,2806,418,0.645,-565.3,-0.15,0.51,-575.1,0/8,0.87,False
15min,2,0.5,0.05,1.0,10,5,down,all,1887,283,0.631,-409.6,-0.15,0.488,-408.9,0/8,0.91,False
15min,2,0.5,0.05,1.0,10,5,down,kz,951,143,0.675,-174.9,-0.15,0.503,-174.5,1/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,off,all,5169,771,0.675,-948.0,-0.15,0.507,-957.3,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,off,kz,2599,388,0.679,-469.3,-0.15,0.507,-471.4,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,fade,all,3282,489,0.702,-538.4,-0.15,0.517,-547.1,0/8,0.9,False
15min,2,0.5,0.05,1.0,10,5,fade,kz,1648,246,0.681,-294.4,-0.15,0.51,-299.4,0/8,0.9,False
15min,2,0.5,0.05,1.5,3,3,down,all,2845,426,0.725,-535.0,-0.15,0.417,-541.0,0/8,1.35,False
15min,2,0.5,0.05,1.5,3,3,down,kz,1508,226,0.75,-254.0,-0.15,0.426,-254.0,0/8,1.34,False
15min,2,0.5,0.05,1.5,3,3,off,all,7816,1165,0.766,-1214.7,-0.15,0.436,-1240.8,0/8,1.34,False
15min,2,0.5,0.05,1.5,3,3,off,kz,4043,603,0.779,-590.1,-0.14,0.438,-610.9,1/8,1.34,False
15min,2,0.5,0.05,1.5,3,3,fade,all,4971,741,0.791,-679.7,-0.14,0.446,-704.1,1/8,1.33,False
15min,2,0.5,0.05,1.5,3,3,fade,kz,2535,378,0.796,-336.1,-0.14,0.445,-364.3,1/8,1.34,False
15min,2,0.5,0.05,1.5,3,4,down,all,2565,384,0.731,-469.5,-0.15,0.419,-479.6,0/8,1.35,False
15min,2,0.5,0.05,1.5,3,4,down,kz,1353,203,0.748,-229.3,-0.15,0.425,-233.4,1/8,1.35,False
15min,2,0.5,0.05,1.5,3,4,off,all,7058,1052,0.767,-1089.8,-0.14,0.434,-1122.1,0/8,1.34,False
15min,2,0.5,0.05,1.5,3,4,off,kz,3656,545,0.771,-555.8,-0.14,0.434,-580.8,1/8,1.34,False
15min,2,0.5,0.05,1.5,3,4,fade,all,4493,670,0.789,-620.3,-0.14,0.443,-644.5,1/8,1.34,False
15min,2,0.5,0.05,1.5,3,4,fade,kz,2303,343,0.784,-326.5,-0.14,0.439,-350.6,1/8,1.34,False
15min,2,0.5,0.05,1.5,3,5,down,all,1561,234,0.763,-248.0,-0.15,0.415,-253.5,1/8,1.38,False
15min,2,0.5,0.05,1.5,3,5,down,kz,810,121,0.827,-90.8,-0.13,0.432,-107.6,3/8,1.38,False
15min,2,0.5,0.05,1.5,3,5,off,all,4277,638,0.809,-531.2,-0.15,0.431,-545.2,1/8,1.38,False
15min,2,0.5,0.05,1.5,3,5,off,kz,2180,325,0.801,-284.6,-0.14,0.428,-299.8,3/8,1.38,False
15min,2,0.5,0.05,1.5,3,5,fade,all,2716,405,0.837,-283.3,-0.14,0.44,-312.1,1/8,1.37,False
15min,2,0.5,0.05,1.5,3,5,fade,kz,1370,204,0.786,-193.8,-0.14,0.425,-210.4,1/8,1.37,False
15min,2,0.5,0.05,1.5,6,3,down,all,3235,485,0.726,-605.3,-0.15,0.418,-611.3,0/8,1.35,False
15min,2,0.5,0.05,1.5,6,3,down,kz,1674,251,0.751,-279.7,-0.15,0.427,-280.7,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,3,off,all,8923,1330,0.763,-1403.4,-0.15,0.435,-1433.5,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,3,off,kz,4551,678,0.77,-692.4,-0.15,0.436,-711.1,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,3,fade,all,5688,848,0.786,-798.2,-0.14,0.445,-825.8,0/8,1.33,False
15min,2,0.5,0.05,1.5,6,3,fade,kz,2877,429,0.781,-412.7,-0.14,0.441,-435.5,1/8,1.34,False
15min,2,0.5,0.05,1.5,6,4,down,all,2902,435,0.731,-531.5,-0.15,0.419,-541.6,1/8,1.35,False
15min,2,0.5,0.05,1.5,6,4,down,kz,1490,223,0.75,-249.7,-0.15,0.426,-252.9,0/8,1.35,False
15min,2,0.5,0.05,1.5,6,4,off,all,8017,1195,0.761,-1276.1,-0.15,0.433,-1307.9,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,4,off,kz,4096,611,0.763,-644.5,-0.14,0.432,-666.8,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,4,fade,all,5115,763,0.778,-744.6,-0.14,0.44,-768.6,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,4,fade,kz,2606,389,0.771,-394.7,-0.14,0.436,-415.7,0/8,1.34,False
15min,2,0.5,0.05,1.5,6,5,down,all,1752,263,0.744,-304.5,-0.15,0.409,-307.5,1/8,1.38,False
15min,2,0.5,0.05,1.5,6,5,down,kz,887,133,0.817,-105.5,-0.13,0.43,-120.3,1/8,1.38,False
15min,2,0.5,0.05,1.5,6,5,off,all,4811,717,0.796,-645.2,-0.15,0.428,-658.7,0/8,1.38,False
15min,2,0.5,0.05,1.5,6,5,off,kz,2416,360,0.801,-315.7,-0.14,0.428,-328.6,1/8,1.37,False
15min,2,0.5,0.05,1.5,6,5,fade,all,3059,456,0.827,-340.7,-0.14,0.438,-360.0,1/8,1.37,False
15min,2,0.5,0.05,1.5,6,5,fade,kz,1529,228,0.791,-210.2,-0.14,0.427,-223.1,0/8,1.37,False
15min,2,0.5,0.05,1.5,10,3,down,all,3497,523,0.727,-650.5,-0.15,0.42,-654.9,0/8,1.35,False
15min,2,0.5,0.05,1.5,10,3,down,kz,1803,270,0.762,-286.0,-0.15,0.432,-287.3,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,3,off,all,9590,1429,0.766,-1486.8,-0.15,0.437,-1522.5,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,3,off,kz,4909,731,0.774,-731.5,-0.14,0.438,-751.8,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,3,fade,all,6093,908,0.79,-836.3,-0.14,0.447,-870.4,0/8,1.33,False
15min,2,0.5,0.05,1.5,10,3,fade,kz,3106,463,0.781,-445.5,-0.14,0.442,-470.2,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,4,down,all,3143,470,0.729,-579.7,-0.15,0.42,-586.1,0/8,1.35,False
15min,2,0.5,0.05,1.5,10,4,down,kz,1611,241,0.759,-258.1,-0.15,0.43,-261.1,1/8,1.35,False
15min,2,0.5,0.05,1.5,10,4,off,all,8613,1283,0.764,-1347.0,-0.15,0.434,-1381.6,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,4,off,kz,4417,658,0.77,-670.2,-0.14,0.435,-694.2,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,4,fade,all,5470,815,0.786,-767.3,-0.14,0.443,-797.7,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,4,fade,kz,2806,418,0.777,-412.1,-0.14,0.438,-434.5,0/8,1.34,False
15min,2,0.5,0.05,1.5,10,5,down,all,1887,283,0.74,-333.6,-0.15,0.409,-338.7,0/8,1.38,False
15min,2,0.5,0.05,1.5,10,5,down,kz,951,143,0.817,-113.0,-0.14,0.431,-123.7,2/8,1.38,False
15min,2,0.5,0.05,1.5,10,5,off,all,5169,771,0.801,-673.6,-0.15,0.43,-686.1,0/8,1.38,False
15min,2,0.5,0.05,1.5,10,5,off,kz,2599,388,0.809,-323.4,-0.14,0.432,-335.9,0/8,1.37,False
15min,2,0.5,0.05,1.5,10,5,fade,all,3282,489,0.838,-340.0,-0.14,0.442,-370.0,1/8,1.37,False
15min,2,0.5,0.05,1.5,10,5,fade,kz,1648,246,0.804,-210.5,-0.14,0.432,-223.6,0/8,1.37,False
15min,2,0.5,0.05,2.0,3,3,down,all,2845,426,0.804,-414.0,-0.15,0.365,-413.5,1/8,1.82,False
15min,2,0.5,0.05,2.0,3,3,down,kz,1508,226,0.856,-157.9,-0.13,0.379,-176.9,1/8,1.81,False
15min,2,0.5,0.05,2.0,3,3,off,all,7816,1165,0.829,-979.8,-0.14,0.377,-1009.5,0/8,1.8,False
15min,2,0.5,0.05,2.0,3,3,off,kz,4043,603,0.847,-449.3,-0.14,0.381,-474.8,0/8,1.8,False
15min,2,0.5,0.05,2.0,3,3,fade,all,4971,741,0.844,-565.8,-0.14,0.384,-604.1,1/8,1.8,False
15min,2,0.5,0.05,2.0,3,3,fade,kz,2535,378,0.842,-291.4,-0.14,0.381,-318.2,0/8,1.8,False
15min,2,0.5,0.05,2.0,3,4,down,all,2565,384,0.813,-354.5,-0.14,0.366,-366.6,1/8,1.82,False
15min,2,0.5,0.05,2.0,3,4,down,kz,1353,203,0.852,-145.3,-0.13,0.377,-171.2,3/8,1.81,False
15min,2,0.5,0.05,2.0,3,4,off,all,7058,1052,0.828,-889.3,-0.14,0.374,-923.1,0/8,1.81,False
15min,2,0.5,0.05,2.0,3,4,off,kz,3656,545,0.833,-445.5,-0.14,0.375,-474.7,0/8,1.81,False
15min,2,0.5,0.05,2.0,3,4,fade,all,4493,670,0.837,-534.8,-0.14,0.379,-569.0,1/8,1.81,False
15min,2,0.5,0.05,2.0,3,4,fade,kz,2303,343,0.822,-300.3,-0.14,0.374,-323.0,0/8,1.81,False
15min,2,0.5,0.05,2.0,3,5,down,all,1561,234,0.83,-194.9,-0.13,0.359,-220.1,1/8,1.86,False
15min,2,0.5,0.05,2.0,3,5,down,kz,810,121,0.91,-51.3,-0.08,0.378,-102.5,3/8,1.86,False
15min,2,0.5,0.05,2.0,3,5,off,all,4277,638,0.837,-510.2,-0.15,0.362,-523.4,0/8,1.85,False
15min,2,0.5,0.05,2.0,3,5,off,kz,2180,325,0.819,-290.4,-0.14,0.356,-306.3,1/8,1.85,False
15min,2,0.5,0.05,2.0,3,5,fade,all,2716,405,0.84,-315.3,-0.14,0.364,-338.5,1/8,1.85,False
15min,2,0.5,0.05,2.0,3,5,fade,kz,1370,204,0.768,-239.1,-0.14,0.343,-251.1,1/8,1.85,False
15min,2,0.5,0.05,2.0,6,3,down,all,3235,485,0.791,-504.8,-0.15,0.362,-511.9,1/8,1.82,False
15min,2,0.5,0.05,2.0,6,3,down,kz,1674,251,0.845,-189.4,-0.13,0.376,-212.7,3/8,1.81,False
15min,2,0.5,0.05,2.0,6,3,off,all,8923,1330,0.823,-1159.3,-0.15,0.376,-1189.3,0/8,1.8,False
15min,2,0.5,0.05,2.0,6,3,off,kz,4551,678,0.836,-544.4,-0.14,0.378,-576.6,0/8,1.8,False
15min,2,0.5,0.05,2.0,6,3,fade,all,5688,848,0.842,-654.5,-0.14,0.384,-692.0,0/8,1.8,False
15min,2,0.5,0.05,2.0,6,3,fade,kz,2877,429,0.831,-355.0,-0.14,0.379,-385.5,0/8,1.8,False
15min,2,0.5,0.05,2.0,6,4,down,all,2902,435,0.798,-436.5,-0.14,0.363,-456.6,1/8,1.82,False
15min,2,0.5,0.05,2.0,6,4,down,kz,1490,223,0.842,-171.5,-0.13,0.374,-200.9,2/8,1.81,False
15min,2,0.5,0.05,2.0,6,4,off,all,8017,1195,0.819,-1069.6,-0.14,0.372,-1104.5,0/8,1.81,False
15min,2,0.5,0.05,2.0,6,4,off,kz,4096,611,0.822,-535.3,-0.14,0.372,-569.9,0/8,1.81,False
15min,2,0.5,0.05,2.0,6,4,fade,all,5115,763,0.831,-633.1,-0.14,0.378,-670.1,0/8,1.81,False
15min,2,0.5,0.05,2.0,6,4,fade,kz,2606,389,0.81,-363.8,-0.14,0.371,-391.5,0/8,1.81,False
15min,2,0.5,0.05,2.0,6,5,down,all,1752,263,0.796,-267.3,-0.14,0.35,-277.0,1/8,1.86,False
15min,2,0.5,0.05,2.0,6,5,down,kz,887,133,0.883,-74.3,-0.1,0.371,-113.7,2/8,1.85,False
15min,2,0.5,0.05,2.0,6,5,off,all,4811,717,0.821,-634.3,-0.15,0.359,-648.0,0/8,1.85,False
15min,2,0.5,0.05,2.0,6,5,off,kz,2416,360,0.818,-324.1,-0.14,0.356,-342.5,1/8,1.85,False
15min,2,0.5,0.05,2.0,6,5,fade,all,3059,456,0.835,-367.0,-0.14,0.364,-384.9,1/8,1.85,False
15min,2,0.5,0.05,2.0,6,5,fade,kz,1529,228,0.782,-249.8,-0.14,0.348,-265.4,0/8,1.85,False
15min,2,0.5,0.05,2.0,10,3,down,all,3497,523,0.797,-529.3,-0.15,0.364,-534.9,1/8,1.82,False
15min,2,0.5,0.05,2.0,10,3,down,kz,1803,270,0.864,-177.2,-0.14,0.383,-190.3,2/8,1.81,False
15min,2,0.5,0.05,2.0,10,3,off,all,9590,1429,0.83,-1197.4,-0.14,0.379,-1230.9,0/8,1.8,False
15min,2,0.5,0.05,2.0,10,3,off,kz,4909,731,0.846,-549.3,-0.14,0.382,-579.7,0/8,1.8,False
15min,2,0.5,0.05,2.0,10,3,fade,all,6093,908,0.849,-668.1,-0.14,0.387,-708.4,0/8,1.8,False
15min,2,0.5,0.05,2.0,10,3,fade,kz,3106,463,0.836,-372.1,-0.14,0.381,-401.2,0/8,1.8,False
15min,2,0.5,0.05,2.0,10,4,down,all,3143,470,0.803,-461.1,-0.14,0.365,-476.6,1/8,1.82,False
15min,2,0.5,0.05,2.0,10,4,down,kz,1611,241,0.862,-160.9,-0.13,0.381,-182.5,1/8,1.81,False
15min,2,0.5,0.05,2.0,10,4,off,all,8613,1283,0.826,-1102.2,-0.14,0.375,-1138.5,0/8,1.81,False
15min,2,0.5,0.05,2.0,10,4,off,kz,4417,658,0.835,-531.1,-0.14,0.376,-562.8,0/8,1.81,False
15min,2,0.5,0.05,2.0,10,4,fade,all,5470,815,0.839,-641.1,-0.14,0.381,-680.8,0/8,1.8,False
15min,2,0.5,0.05,2.0,10,4,fade,kz,2806,418,0.82,-370.1,-0.14,0.374,-396.5,0/8,1.81,False
15min,2,0.5,0.05,2.0,10,5,down,all,1887,283,0.8,-281.5,-0.14,0.352,-297.7,1/8,1.86,False
15min,2,0.5,0.05,2.0,10,5,down,kz,951,143,0.896,-70.7,-0.11,0.375,-99.0,3/8,1.85,False
15min,2,0.5,0.05,2.0,10,5,off,all,5169,771,0.832,-634.8,-0.15,0.362,-648.0,0/8,1.85,False
15min,2,0.5,0.05,2.0,10,5,off,kz,2599,388,0.837,-309.8,-0.14,0.362,-327.1,1/8,1.85,False
15min,2,0.5,0.05,2.0,10,5,fade,all,3282,489,0.851,-353.2,-0.14,0.368,-371.7,1/8,1.85,False
15min,2,0.5,0.05,2.0,10,5,fade,kz,1648,246,0.804,-239.2,-0.14,0.355,-254.7,0/8,1.85,False
