rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,breaker,0.5,3R,0,"(-1,)",1148,171,0.8,-182.2,-0.14,0.261,-190.6,0/8,2.88,False
15min,2,breaker,0.5,3R,0,"(1, -1)",2370,353,0.897,-186.3,-0.12,0.283,-237.1,2/8,2.88,False
15min,2,breaker,0.5,3R,1,"(1,)",753,112,1.018,10.2,0.03,0.307,-61.0,4/8,2.88,False
15min,2,breaker,0.5,3R,1,"(-1,)",517,77,0.796,-83.5,-0.15,0.261,-85.2,1/8,2.88,False
15min,2,breaker,0.5,3R,1,"(1, -1)",1270,189,0.924,-73.3,-0.09,0.288,-127.2,2/8,2.88,False
15min,2,mitigation,0.05,2R,0,"(1,)",2258,336,1.007,10.6,0.01,0.389,-166.7,5/8,1.89,False
15min,2,mitigation,0.05,2R,0,"(-1,)",2107,314,0.869,-197.5,-0.13,0.359,-218.5,1/8,1.88,False
15min,2,mitigation,0.05,2R,0,"(1, -1)",4365,650,0.938,-186.9,-0.09,0.375,-293.9,2/8,1.88,False
15min,2,mitigation,0.05,2R,1,"(1,)",1375,205,1.013,11.7,0.01,0.39,-146.3,4/8,1.89,False
15min,2,mitigation,0.05,2R,1,"(-1,)",904,135,0.839,-104.8,-0.12,0.352,-135.6,3/8,1.88,False
15min,2,mitigation,0.05,2R,1,"(1, -1)",2279,340,0.941,-93.2,-0.06,0.375,-227.5,2/8,1.88,False
15min,2,mitigation,0.05,3R,0,"(1,)",2258,336,1.131,221.0,0.36,0.324,-92.3,5/8,2.85,False
15min,2,mitigation,0.05,3R,0,"(-1,)",2107,314,0.886,-192.6,-0.13,0.277,-223.6,2/8,2.84,False
15min,2,mitigation,0.05,3R,0,"(1, -1)",4365,650,1.008,28.4,0.02,0.301,-223.4,3/8,2.84,False
15min,2,mitigation,0.05,3R,1,"(1,)",1375,205,1.163,166.1,0.26,0.33,-94.7,5/8,2.85,False
15min,2,mitigation,0.05,3R,1,"(-1,)",904,135,0.894,-76.7,-0.09,0.278,-129.2,3/8,2.84,False
15min,2,mitigation,0.05,3R,1,"(1, -1)",2279,340,1.051,89.4,0.07,0.309,-183.0,3/8,2.84,False
15min,2,mitigation,0.15,2R,0,"(1,)",2278,339,0.994,-8.7,-0.01,0.383,-176.4,3/8,1.89,False
15min,2,mitigation,0.15,2R,0,"(-1,)",2120,316,0.864,-205.8,-0.13,0.354,-227.6,1/8,1.89,False
15min,2,mitigation,0.15,2R,0,"(1, -1)",4398,655,0.93,-214.5,-0.1,0.369,-307.0,2/8,1.89,False
15min,2,mitigation,0.15,2R,1,"(1,)",1390,207,1.0,0.1,0.0,0.383,-140.0,4/8,1.89,False
15min,2,mitigation,0.15,2R,1,"(-1,)",908,136,0.832,-109.8,-0.12,0.346,-138.7,2/8,1.89,False
15min,2,mitigation,0.15,2R,1,"(1, -1)",2298,342,0.931,-109.7,-0.07,0.369,-222.1,2/8,1.89,False
15min,2,mitigation,0.15,3R,0,"(1,)",2278,339,1.128,215.6,0.38,0.324,-84.5,6/8,2.86,False
15min,2,mitigation,0.15,3R,0,"(-1,)",2120,316,0.892,-182.4,-0.14,0.277,-197.0,1/8,2.85,False
15min,2,mitigation,0.15,3R,0,"(1, -1)",4398,655,1.01,33.2,0.02,0.301,-211.1,2/8,2.86,False
15min,2,mitigation,0.15,3R,1,"(1,)",1390,207,1.154,157.9,0.26,0.328,-89.6,3/8,2.86,False
15min,2,mitigation,0.15,3R,1,"(-1,)",908,136,0.882,-85.9,-0.1,0.273,-129.7,3/8,2.85,False
15min,2,mitigation,0.15,3R,1,"(1, -1)",2298,342,1.041,72.1,0.06,0.306,-169.3,3/8,2.86,False
15min,2,mitigation,0.3,2R,0,"(1,)",2302,343,1.007,11.1,0.01,0.384,-163.2,4/8,1.91,False
15min,2,mitigation,0.3,2R,0,"(-1,)",2137,318,0.828,-263.7,-0.14,0.34,-289.3,1/8,1.9,False
15min,2,mitigation,0.3,2R,0,"(1, -1)",4439,661,0.918,-252.6,-0.11,0.363,-332.2,2/8,1.9,False
15min,2,mitigation,0.3,2R,1,"(1,)",1403,209,1.017,16.0,0.02,0.386,-129.3,4/8,1.91,False
15min,2,mitigation,0.3,2R,1,"(-1,)",913,136,0.854,-94.7,-0.1,0.347,-142.0,2/8,1.9,False
15min,2,mitigation,0.3,2R,1,"(1, -1)",2316,345,0.95,-78.7,-0.05,0.37,-217.2,2/8,1.9,False
15min,2,mitigation,0.3,3R,0,"(1,)",2302,343,1.112,189.9,0.37,0.321,-76.4,5/8,2.87,False
15min,2,mitigation,0.3,3R,0,"(-1,)",2137,318,0.869,-220.4,-0.14,0.275,-229.4,0/8,2.87,False
15min,2,mitigation,0.3,3R,0,"(1, -1)",4439,661,0.991,-30.5,-0.02,0.298,-187.9,2/8,2.87,False
15min,2,mitigation,0.3,3R,1,"(1,)",1403,209,1.151,154.7,0.31,0.327,-73.3,5/8,2.87,False
15min,2,mitigation,0.3,3R,1,"(-1,)",913,136,0.896,-74.5,-0.09,0.278,-122.7,3/8,2.87,False
15min,2,mitigation,0.3,3R,1,"(1, -1)",2316,345,1.046,80.2,0.08,0.308,-149.4,3/8,2.87,False
15min,2,mitigation,0.5,2R,0,"(1,)",2326,347,1.02,31.1,0.03,0.385,-155.4,4/8,1.92,False
15min,2,mitigation,0.5,2R,0,"(-1,)",2159,322,0.833,-255.7,-0.13,0.339,-282.3,1/8,1.91,False
15min,2,mitigation,0.5,2R,0,"(1, -1)",4485,668,0.927,-224.6,-0.11,0.363,-314.3,2/8,1.92,False
15min,2,mitigation,0.5,2R,1,"(1,)",1419,211,1.049,44.9,0.05,0.391,-126.3,3/8,1.92,False
15min,2,mitigation,0.5,2R,1,"(-1,)",923,138,0.855,-94.0,-0.1,0.345,-136.9,2/8,1.92,False
15min,2,mitigation,0.5,2R,1,"(1, -1)",2342,349,0.969,-49.1,-0.03,0.373,-212.6,2/8,1.92,False
15min,2,mitigation,0.5,3R,0,"(1,)",2326,347,1.141,232.7,0.64,0.33,-54.5,4/8,2.89,False
15min,2,mitigation,0.5,3R,0,"(-1,)",2159,322,0.868,-220.5,-0.14,0.278,-238.2,1/8,2.89,False
15min,2,mitigation,0.5,3R,0,"(1, -1)",4485,668,1.004,12.2,0.01,0.305,-182.0,3/8,2.89,False
15min,2,mitigation,0.5,3R,1,"(1,)",1419,211,1.186,185.1,0.38,0.338,-73.2,5/8,2.89,False
15min,2,mitigation,0.5,3R,1,"(-1,)",923,138,0.855,-104.3,-0.11,0.273,-142.6,2/8,2.89,False
15min,2,mitigation,0.5,3R,1,"(1, -1)",2342,349,1.047,80.8,0.08,0.313,-149.5,4/8,2.89,False
15min,3,breaker,0.05,2R,0,"(1,)",780,116,0.943,-30.2,-0.08,0.373,-53.8,3/8,1.89,False
15min,3,breaker,0.05,2R,0,"(-1,)",758,113,0.838,-87.9,-0.12,0.347,-113.7,1/8,1.89,False
15min,3,breaker,0.05,2R,0,"(1, -1)",1538,229,0.89,-118.1,-0.13,0.36,-133.4,2/8,1.89,False
