rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,4,breaker,0.15,2R,1,"(1, -1)",617,92,1.13,50.1,0.25,0.415,-29.7,5/8,1.91,False
15min,4,breaker,0.15,3R,0,"(1,)",576,86,1.168,67.7,0.22,0.342,-45.2,5/8,2.88,False
15min,4,breaker,0.15,3R,0,"(-1,)",593,88,0.905,-42.5,-0.09,0.29,-69.8,3/8,2.88,False
15min,4,breaker,0.15,3R,0,"(1, -1)",1169,174,1.03,25.2,0.06,0.316,-67.8,4/8,2.88,False
15min,4,breaker,0.15,3R,1,"(1,)",361,54,1.361,86.6,0.92,0.377,-14.1,7/8,2.88,False
15min,4,breaker,0.15,3R,1,"(-1,)",256,38,0.98,-3.8,-0.02,0.309,-30.7,4/8,2.88,False
15min,4,breaker,0.15,3R,1,"(1, -1)",617,92,1.193,82.8,0.4,0.348,-30.6,5/8,2.88,False
15min,4,breaker,0.3,2R,0,"(1,)",587,88,0.991,-3.4,-0.01,0.378,-36.8,2/8,1.92,False
15min,4,breaker,0.3,2R,0,"(-1,)",609,91,0.836,-68.7,-0.12,0.348,-84.2,3/8,1.92,False
15min,4,breaker,0.3,2R,0,"(1, -1)",1196,178,0.91,-72.0,-0.12,0.363,-88.3,4/8,1.92,False
15min,4,breaker,0.3,2R,1,"(1,)",367,55,1.148,33.6,0.33,0.414,-15.3,6/8,1.92,False
15min,4,breaker,0.3,2R,1,"(-1,)",265,40,1.026,4.3,0.04,0.396,-16.4,5/8,1.92,False
15min,4,breaker,0.3,2R,1,"(1, -1)",632,94,1.096,37.9,0.24,0.407,-23.6,5/8,1.92,False
15min,4,breaker,0.3,3R,0,"(1,)",587,88,1.066,27.3,0.07,0.325,-62.5,3/8,2.89,False
15min,4,breaker,0.3,3R,0,"(-1,)",609,91,0.855,-66.8,-0.11,0.286,-93.0,2/8,2.89,False
15min,4,breaker,0.3,3R,0,"(1, -1)",1196,178,0.955,-39.5,-0.06,0.305,-93.0,3/8,2.89,False
15min,4,breaker,0.3,3R,1,"(1,)",367,55,1.214,53.2,0.34,0.354,-23.5,5/8,2.89,False
15min,4,breaker,0.3,3R,1,"(-1,)",265,40,1.0,-0.0,-0.0,0.317,-29.1,4/8,2.89,False
15min,4,breaker,0.3,3R,1,"(1, -1)",632,94,1.121,53.1,0.19,0.339,-41.2,4/8,2.89,False
15min,4,breaker,0.5,2R,0,"(1,)",602,90,1.01,3.7,0.01,0.384,-41.7,4/8,1.93,False
15min,4,breaker,0.5,2R,0,"(-1,)",623,93,0.811,-81.0,-0.12,0.34,-98.3,1/8,1.93,False
15min,4,breaker,0.5,2R,0,"(1, -1)",1225,182,0.905,-77.3,-0.13,0.362,-89.4,3/8,1.93,False
15min,4,breaker,0.5,2R,1,"(1,)",378,56,1.146,33.5,0.28,0.415,-17.9,5/8,1.93,False
15min,4,breaker,0.5,2R,1,"(-1,)",268,40,0.926,-13.1,-0.08,0.369,-25.6,3/8,1.93,False
15min,4,breaker,0.5,2R,1,"(1, -1)",646,96,1.05,20.4,0.11,0.396,-28.7,4/8,1.93,False
15min,4,breaker,0.5,3R,0,"(1,)",602,90,0.986,-5.8,-0.01,0.321,-65.6,3/8,2.91,False
15min,4,breaker,0.5,3R,0,"(-1,)",623,93,0.812,-87.4,-0.12,0.284,-109.4,2/8,2.9,False
15min,4,breaker,0.5,3R,0,"(1, -1)",1225,182,0.895,-93.1,-0.12,0.302,-113.9,3/8,2.9,False
15min,4,breaker,0.5,3R,1,"(1,)",378,56,1.114,29.2,0.11,0.347,-39.4,5/8,2.91,False
15min,4,breaker,0.5,3R,1,"(-1,)",268,40,0.973,-5.2,-0.02,0.317,-32.0,4/8,2.91,False
15min,4,breaker,0.5,3R,1,"(1, -1)",646,96,1.054,24.0,0.07,0.334,-53.5,3/8,2.91,False
15min,4,mitigation,0.05,2R,0,"(1,)",1020,152,1.007,4.6,0.01,0.379,-70.5,3/8,1.91,False
15min,4,mitigation,0.05,2R,0,"(-1,)",989,147,0.778,-159.7,-0.15,0.326,-162.7,2/8,1.9,False
15min,4,mitigation,0.05,2R,0,"(1, -1)",2009,299,0.889,-155.1,-0.13,0.353,-177.5,1/8,1.91,False
15min,4,mitigation,0.05,2R,1,"(1,)",644,96,1.048,20.3,0.07,0.39,-43.5,5/8,1.91,False
15min,4,mitigation,0.05,2R,1,"(-1,)",455,68,0.743,-86.3,-0.14,0.314,-91.4,1/8,1.91,False
15min,4,mitigation,0.05,2R,1,"(1, -1)",1099,164,0.913,-66.0,-0.11,0.359,-88.9,3/8,1.91,False
15min,4,mitigation,0.05,3R,0,"(1,)",1020,152,1.109,81.1,0.27,0.323,-45.3,6/8,2.88,False
15min,4,mitigation,0.05,3R,0,"(-1,)",989,147,0.847,-119.2,-0.14,0.271,-129.4,1/8,2.87,False
15min,4,mitigation,0.05,3R,0,"(1, -1)",2009,299,0.975,-38.1,-0.05,0.297,-107.4,2/8,2.88,False
15min,4,mitigation,0.05,3R,1,"(1,)",644,96,1.148,67.7,0.26,0.334,-38.8,5/8,2.88,False
15min,4,mitigation,0.05,3R,1,"(-1,)",455,68,0.86,-49.9,-0.13,0.27,-59.2,1/8,2.88,False
15min,4,mitigation,0.05,3R,1,"(1, -1)",1099,164,1.022,17.9,0.04,0.308,-64.5,5/8,2.88,False
15min,4,mitigation,0.15,2R,0,"(1,)",1032,154,0.964,-24.7,-0.04,0.37,-82.1,2/8,1.92,False
15min,4,mitigation,0.15,2R,0,"(-1,)",994,148,0.768,-167.1,-0.15,0.323,-170.2,1/8,1.91,False
15min,4,mitigation,0.15,2R,0,"(1, -1)",2026,302,0.864,-191.8,-0.14,0.347,-198.0,0/8,1.92,False
15min,4,mitigation,0.15,2R,1,"(1,)",654,97,1.019,7.9,0.03,0.384,-42.4,5/8,1.92,False
15min,4,mitigation,0.15,2R,1,"(-1,)",457,68,0.737,-88.0,-0.14,0.313,-93.2,1/8,1.91,False
15min,4,mitigation,0.15,2R,1,"(1, -1)",1111,166,0.895,-80.0,-0.12,0.355,-99.1,1/8,1.92,False
15min,4,mitigation,0.15,3R,0,"(1,)",1032,154,1.076,57.0,0.19,0.321,-43.9,6/8,2.89,False
15min,4,mitigation,0.15,3R,0,"(-1,)",994,148,0.851,-115.5,-0.14,0.273,-123.5,1/8,2.88,False
15min,4,mitigation,0.15,3R,0,"(1, -1)",2026,302,0.962,-58.4,-0.08,0.297,-102.9,2/8,2.89,False
15min,4,mitigation,0.15,3R,1,"(1,)",654,97,1.121,55.9,0.2,0.333,-42.0,6/8,2.89,False
15min,4,mitigation,0.15,3R,1,"(-1,)",457,68,0.863,-48.5,-0.14,0.271,-51.7,1/8,2.89,False
15min,4,mitigation,0.15,3R,1,"(1, -1)",1111,166,1.009,7.4,0.02,0.308,-61.0,3/8,2.89,False
15min,4,mitigation,0.3,2R,0,"(1,)",1042,155,1.056,37.3,0.09,0.392,-62.2,4/8,1.93,False
15min,4,mitigation,0.3,2R,0,"(-1,)",1007,150,0.73,-198.7,-0.15,0.312,-202.0,0/8,1.92,False
15min,4,mitigation,0.3,2R,0,"(1, -1)",2049,305,0.885,-161.4,-0.15,0.352,-165.5,0/8,1.92,False
15min,4,mitigation,0.3,2R,1,"(1,)",660,98,1.124,50.4,0.18,0.409,-41.0,4/8,1.93,False
15min,4,mitigation,0.3,2R,1,"(-1,)",462,69,0.73,-90.9,-0.14,0.31,-96.2,1/8,1.92,False
15min,4,mitigation,0.3,2R,1,"(1, -1)",1122,167,0.945,-40.5,-0.07,0.368,-85.3,4/8,1.93,False
15min,4,mitigation,0.3,3R,0,"(1,)",1042,155,1.151,108.4,0.4,0.345,-40.1,7/8,2.9,False
15min,4,mitigation,0.3,3R,0,"(-1,)",1007,150,0.827,-133.9,-0.15,0.273,-137.4,1/8,2.9,False
15min,4,mitigation,0.3,3R,0,"(1, -1)",2049,305,0.983,-25.5,-0.04,0.309,-89.9,4/8,2.9,False
15min,4,mitigation,0.3,3R,1,"(1,)",660,98,1.204,89.8,0.38,0.359,-34.9,7/8,2.9,False
15min,4,mitigation,0.3,3R,1,"(-1,)",462,69,0.814,-66.6,-0.14,0.266,-70.2,1/8,2.9,False
15min,4,mitigation,0.3,3R,1,"(1, -1)",1122,167,1.029,23.3,0.05,0.321,-65.9,5/8,2.9,False
15min,4,mitigation,0.5,2R,0,"(1,)",1054,157,1.036,23.9,0.08,0.392,-42.5,5/8,1.94,False
15min,4,mitigation,0.5,2R,0,"(-1,)",1018,152,0.778,-158.9,-0.15,0.328,-161.1,0/8,1.93,False
15min,4,mitigation,0.5,2R,0,"(1, -1)",2072,309,0.902,-135.1,-0.14,0.361,-143.2,1/8,1.93,False
15min,4,mitigation,0.5,2R,1,"(1,)",669,100,1.102,40.9,0.14,0.41,-42.5,5/8,1.94,False
15min,4,mitigation,0.5,2R,1,"(-1,)",464,69,0.793,-67.0,-0.13,0.332,-77.0,1/8,1.93,False
15min,4,mitigation,0.5,2R,1,"(1, -1)",1133,169,0.964,-26.1,-0.06,0.378,-66.6,3/8,1.93,False
15min,4,mitigation,0.5,3R,0,"(1,)",1054,157,1.176,122.8,0.51,0.357,-35.6,7/8,2.91,False
15min,4,mitigation,0.5,3R,0,"(-1,)",1018,152,0.831,-129.3,-0.15,0.284,-130.7,1/8,2.91,False
15min,4,mitigation,0.5,3R,0,"(1, -1)",2072,309,0.996,-6.5,-0.02,0.321,-56.2,5/8,2.91,False
15min,4,mitigation,0.5,3R,1,"(1,)",669,100,1.259,109.8,0.55,0.375,-30.0,7/8,2.91,False
15min,4,mitigation,0.5,3R,1,"(-1,)",464,69,0.81,-66.6,-0.15,0.276,-68.0,2/8,2.91,False
15min,4,mitigation,0.5,3R,1,"(1, -1)",1133,169,1.056,43.2,0.13,0.335,-49.3,6/8,2.91,False
1h,2,breaker,0.05,2R,0,"(1,)",226,34,1.059,8.0,0.06,0.389,-20.7,3/8,1.93,False
1h,2,breaker,0.05,2R,0,"(-1,)",236,35,0.711,-47.5,-0.13,0.314,-53.0,2/8,1.93,False
1h,2,breaker,0.05,2R,0,"(1, -1)",462,69,0.869,-39.5,-0.12,0.351,-51.0,2/8,1.93,False
1h,2,breaker,0.05,2R,1,"(1,)",136,21,0.964,-3.0,-0.04,0.375,-12.4,4/8,1.93,False
1h,2,breaker,0.05,2R,1,"(-1,)",106,16,0.715,-20.0,-0.15,0.33,-20.1,2/8,1.94,False
1h,2,breaker,0.05,2R,1,"(1, -1)",242,36,0.851,-23.0,-0.12,0.355,-29.8,3/8,1.93,False
1h,2,breaker,0.05,3R,0,"(1,)",226,34,1.13,18.8,0.13,0.358,-22.7,3/8,2.9,False
1h,2,breaker,0.05,3R,0,"(-1,)",236,35,0.787,-37.2,-0.13,0.271,-43.5,1/8,2.91,False
1h,2,breaker,0.05,3R,0,"(1, -1)",462,69,0.942,-18.4,-0.08,0.314,-35.1,2/8,2.91,False
1h,2,breaker,0.05,3R,1,"(1,)",136,21,1.043,3.8,0.04,0.346,-13.9,4/8,2.9,False
1h,2,breaker,0.05,3R,1,"(-1,)",106,16,0.699,-22.9,-0.14,0.274,-24.9,1/8,2.92,False
1h,2,breaker,0.05,3R,1,"(1, -1)",242,36,0.884,-19.1,-0.1,0.314,-29.5,4/8,2.91,False
1h,2,breaker,0.15,2R,0,"(1,)",227,34,1.089,11.8,0.07,0.401,-25.1,4/8,1.93,False
1h,2,breaker,0.15,2R,0,"(-1,)",240,36,0.769,-37.2,-0.13,0.329,-43.6,1/8,1.94,False
1h,2,breaker,0.15,2R,0,"(1, -1)",467,70,0.913,-25.4,-0.09,0.364,-42.6,2/8,1.94,False
1h,2,breaker,0.15,2R,1,"(1,)",137,21,1.068,5.4,0.06,0.401,-13.0,5/8,1.93,False
1h,2,breaker,0.15,2R,1,"(-1,)",107,16,0.723,-19.3,-0.14,0.336,-21.0,1/8,1.94,False
1h,2,breaker,0.15,2R,1,"(1, -1)",244,37,0.907,-13.9,-0.08,0.373,-25.7,4/8,1.94,False
1h,2,breaker,0.15,3R,0,"(1,)",227,34,1.211,29.2,0.16,0.379,-27.0,5/8,2.91,False
1h,2,breaker,0.15,3R,0,"(-1,)",240,36,0.787,-36.7,-0.13,0.283,-43.3,2/8,2.92,False
1h,2,breaker,0.15,3R,0,"(1, -1)",467,70,0.976,-7.5,-0.03,0.33,-36.2,4/8,2.91,False
1h,2,breaker,0.15,3R,1,"(1,)",137,21,1.134,11.4,0.11,0.365,-15.5,4/8,2.91,False
1h,2,breaker,0.15,3R,1,"(-1,)",107,16,0.69,-22.9,-0.13,0.29,-27.1,1/8,2.92,False
1h,2,breaker,0.15,3R,1,"(1, -1)",244,37,0.928,-11.5,-0.05,0.332,-32.3,4/8,2.92,False
1h,2,breaker,0.3,2R,0,"(1,)",232,35,1.061,8.2,0.04,0.405,-29.2,5/8,1.94,False
1h,2,breaker,0.3,2R,0,"(-1,)",241,36,0.829,-26.5,-0.11,0.349,-36.4,3/8,1.95,False
1h,2,breaker,0.3,2R,0,"(1, -1)",473,71,0.937,-18.3,-0.07,0.376,-40.5,2/8,1.94,False
1h,2,breaker,0.3,2R,1,"(1,)",138,21,1.04,3.2,0.03,0.406,-16.9,4/8,1.94,False
1h,2,breaker,0.3,2R,1,"(-1,)",107,16,0.751,-17.0,-0.12,0.346,-21.2,1/8,1.95,False
1h,2,breaker,0.3,2R,1,"(1, -1)",245,37,0.906,-13.8,-0.07,0.38,-29.4,5/8,1.94,False
1h,2,breaker,0.3,3R,0,"(1,)",232,35,1.173,24.0,0.12,0.384,-29.7,5/8,2.92,False
1h,2,breaker,0.3,3R,0,"(-1,)",241,36,0.886,-18.3,-0.08,0.315,-33.1,3/8,2.93,False
1h,2,breaker,0.3,3R,0,"(1, -1)",473,71,1.019,5.8,0.03,0.349,-32.0,5/8,2.92,False
1h,2,breaker,0.3,3R,1,"(1,)",138,21,1.133,11.3,0.1,0.37,-16.6,4/8,2.92,False
1h,2,breaker,0.3,3R,1,"(-1,)",107,16,0.86,-9.6,-0.08,0.327,-17.5,3/8,2.93,False
1h,2,breaker,0.3,3R,1,"(1, -1)",245,37,1.01,1.6,0.01,0.351,-26.4,5/8,2.93,False
1h,2,breaker,0.5,2R,0,"(1,)",243,37,1.054,7.3,0.04,0.412,-25.0,4/8,1.95,False
1h,2,breaker,0.5,2R,0,"(-1,)",244,37,0.858,-20.9,-0.12,0.369,-27.2,3/8,1.95,False
1h,2,breaker,0.5,2R,0,"(1, -1)",487,73,0.952,-13.6,-0.07,0.39,-27.9,2/8,1.95,False
1h,2,breaker,0.5,2R,1,"(1,)",143,22,1.146,11.3,0.21,0.427,-8.2,5/8,1.95,False
1h,2,breaker,0.5,2R,1,"(-1,)",108,16,0.847,-9.6,-0.11,0.38,-12.6,2/8,1.96,False
1h,2,breaker,0.5,2R,1,"(1, -1)",251,38,1.012,1.7,0.02,0.406,-14.4,5/8,1.95,False
1h,2,breaker,0.5,3R,0,"(1,)",243,37,1.039,5.7,0.03,0.383,-33.7,5/8,2.93,False
1h,2,breaker,0.5,3R,0,"(-1,)",244,37,0.938,-9.5,-0.06,0.344,-23.0,3/8,2.94,False
1h,2,breaker,0.5,3R,0,"(1, -1)",487,73,0.987,-3.8,-0.02,0.363,-29.2,3/8,2.93,False
1h,2,breaker,0.5,3R,1,"(1,)",143,22,1.114,9.5,0.13,0.385,-11.6,4/8,2.93,False
1h,2,breaker,0.5,3R,1,"(-1,)",108,16,0.981,-1.2,-0.02,0.37,-9.6,2/8,2.94,False
1h,2,breaker,0.5,3R,1,"(1, -1)",251,38,1.056,8.3,0.1,0.378,-12.6,5/8,2.94,False
1h,2,mitigation,0.05,2R,0,"(1,)",339,51,0.88,-27.1,-0.13,0.357,-31.2,3/8,1.93,False
1h,2,mitigation,0.05,2R,0,"(-1,)",333,50,0.893,-23.4,-0.12,0.363,-30.2,1/8,1.93,False
1h,2,mitigation,0.05,2R,0,"(1, -1)",672,100,0.886,-50.5,-0.13,0.36,-56.5,1/8,1.93,False
1h,2,mitigation,0.05,2R,1,"(1,)",222,33,0.908,-13.3,-0.15,0.365,-13.6,1/8,1.93,False
1h,2,mitigation,0.05,2R,1,"(-1,)",168,25,0.984,-1.6,-0.02,0.381,-14.9,4/8,1.93,False
1h,2,mitigation,0.05,2R,1,"(1, -1)",390,58,0.94,-14.9,-0.1,0.372,-23.2,2/8,1.93,False
1h,2,mitigation,0.05,3R,0,"(1,)",339,51,0.955,-10.6,-0.07,0.327,-21.3,3/8,2.91,False
1h,2,mitigation,0.05,3R,0,"(-1,)",333,50,0.882,-27.8,-0.09,0.309,-45.9,2/8,2.9,False
1h,2,mitigation,0.05,3R,0,"(1, -1)",672,100,0.919,-38.5,-0.12,0.318,-47.3,1/8,2.9,False
1h,2,mitigation,0.05,3R,1,"(1,)",222,33,1.027,4.0,0.05,0.338,-13.2,4/8,2.91,False
1h,2,mitigation,0.05,3R,1,"(-1,)",168,25,0.935,-7.5,-0.05,0.315,-23.9,4/8,2.91,False
1h,2,mitigation,0.05,3R,1,"(1, -1)",390,58,0.987,-3.5,-0.02,0.328,-25.8,3/8,2.91,False
1h,2,mitigation,0.15,2R,0,"(1,)",342,51,0.878,-27.6,-0.12,0.36,-34.4,2/8,1.93,False
1h,2,mitigation,0.15,2R,0,"(-1,)",334,50,0.799,-44.6,-0.14,0.347,-49.1,1/8,1.93,False
1h,2,mitigation,0.15,2R,0,"(1, -1)",676,101,0.839,-72.2,-0.14,0.354,-79.0,2/8,1.93,False
1h,2,mitigation,0.15,2R,1,"(1,)",225,34,0.904,-13.9,-0.11,0.369,-18.1,2/8,1.94,False
1h,2,mitigation,0.15,2R,1,"(-1,)",169,25,0.868,-14.2,-0.1,0.361,-21.3,3/8,1.94,False
1h,2,mitigation,0.15,2R,1,"(1, -1)",394,59,0.889,-28.0,-0.12,0.365,-35.2,2/8,1.94,False
1h,2,mitigation,0.15,3R,0,"(1,)",342,51,0.909,-21.7,-0.11,0.325,-29.8,4/8,2.91,False
1h,2,mitigation,0.15,3R,0,"(-1,)",334,50,0.809,-45.2,-0.13,0.305,-52.7,2/8,2.91,False
1h,2,mitigation,0.15,3R,0,"(1, -1)",676,101,0.859,-66.9,-0.13,0.315,-75.3,2/8,2.91,False
1h,2,mitigation,0.15,3R,1,"(1,)",225,34,0.972,-4.3,-0.04,0.333,-15.4,3/8,2.91,False
1h,2,mitigation,0.15,3R,1,"(-1,)",169,25,0.86,-16.0,-0.08,0.32,-30.6,4/8,2.92,False
1h,2,mitigation,0.15,3R,1,"(1, -1)",394,59,0.924,-20.3,-0.08,0.327,-38.4,2/8,2.91,False
1h,2,mitigation,0.3,2R,0,"(1,)",346,52,0.901,-21.7,-0.1,0.37,-32.3,2/8,1.94,False
1h,2,mitigation,0.3,2R,0,"(-1,)",339,51,0.772,-50.9,-0.14,0.348,-54.3,1/8,1.94,False
1h,2,mitigation,0.3,2R,0,"(1, -1)",685,102,0.836,-72.6,-0.13,0.359,-81.5,2/8,1.94,False
1h,2,mitigation,0.3,2R,1,"(1,)",228,34,0.962,-5.3,-0.05,0.386,-15.9,3/8,1.94,False
1h,2,mitigation,0.3,2R,1,"(-1,)",170,26,0.849,-15.9,-0.1,0.365,-23.1,3/8,1.94,False
1h,2,mitigation,0.3,2R,1,"(1, -1)",398,59,0.913,-21.2,-0.1,0.377,-31.9,2/8,1.94,False
1h,2,mitigation,0.3,3R,0,"(1,)",346,52,0.923,-17.7,-0.1,0.338,-27.3,2/8,2.92,False
1h,2,mitigation,0.3,3R,0,"(-1,)",339,51,0.789,-49.3,-0.14,0.316,-54.1,1/8,2.92,False
1h,2,mitigation,0.3,3R,0,"(1, -1)",685,102,0.856,-67.0,-0.13,0.327,-78.7,2/8,2.92,False
1h,2,mitigation,0.3,3R,1,"(1,)",228,34,1.002,0.4,0.0,0.351,-16.8,3/8,2.92,False
1h,2,mitigation,0.3,3R,1,"(-1,)",170,26,0.875,-13.9,-0.07,0.335,-31.0,4/8,2.92,False
1h,2,mitigation,0.3,3R,1,"(1, -1)",398,59,0.948,-13.5,-0.05,0.344,-42.5,2/8,2.92,False
1h,2,mitigation,0.5,2R,0,"(1,)",349,52,0.836,-35.4,-0.14,0.372,-36.6,3/8,1.95,False
1h,2,mitigation,0.5,2R,0,"(-1,)",345,52,0.73,-59.9,-0.14,0.351,-65.4,1/8,1.95,False
1h,2,mitigation,0.5,2R,0,"(1, -1)",694,104,0.782,-95.3,-0.15,0.362,-97.8,2/8,1.95,False
1h,2,mitigation,0.5,2R,1,"(1,)",231,34,0.906,-12.9,-0.12,0.39,-16.6,3/8,1.95,False
1h,2,mitigation,0.5,2R,1,"(-1,)",174,26,0.826,-18.4,-0.1,0.368,-27.2,2/8,1.95,False
1h,2,mitigation,0.5,2R,1,"(1, -1)",405,60,0.871,-31.3,-0.11,0.38,-42.0,3/8,1.95,False
1h,2,mitigation,0.5,3R,0,"(1,)",349,52,0.902,-21.9,-0.1,0.352,-31.7,3/8,2.93,False
1h,2,mitigation,0.5,3R,0,"(-1,)",345,52,0.739,-60.1,-0.13,0.322,-69.2,2/8,2.93,False
1h,2,mitigation,0.5,3R,0,"(1, -1)",694,104,0.819,-82.0,-0.13,0.337,-96.0,3/8,2.93,False
1h,2,mitigation,0.5,3R,1,"(1,)",231,34,1.051,7.2,0.08,0.377,-14.2,3/8,2.93,False
1h,2,mitigation,0.5,3R,1,"(-1,)",174,26,0.828,-18.7,-0.09,0.339,-32.1,3/8,2.93,False
1h,2,mitigation,0.5,3R,1,"(1, -1)",405,60,0.954,-11.5,-0.04,0.36,-40.7,3/8,2.93,False
1h,3,breaker,0.05,2R,0,"(1,)",156,24,0.867,-12.4,-0.08,0.372,-22.6,4/8,1.94,False
1h,3,breaker,0.05,2R,0,"(-1,)",138,21,0.766,-20.7,-0.1,0.37,-30.3,4/8,1.95,False
1h,3,breaker,0.05,2R,0,"(1, -1)",294,44,0.818,-33.1,-0.11,0.371,-44.9,2/8,1.95,False
1h,3,breaker,0.05,2R,1,"(1,)",103,16,0.729,-18.2,-0.14,0.33,-20.1,2/8,1.94,False
1h,3,breaker,0.05,2R,1,"(-1,)",59,9,0.798,-6.9,-0.12,0.424,-8.6,3/8,1.95,False
1h,3,breaker,0.05,2R,1,"(1, -1)",162,24,0.752,-25.1,-0.15,0.364,-24.8,1/8,1.94,False
1h,3,breaker,0.05,3R,0,"(1,)",156,24,0.986,-1.3,-0.01,0.359,-16.1,4/8,2.92,False
1h,3,breaker,0.05,3R,0,"(-1,)",138,21,0.826,-15.7,-0.08,0.355,-28.8,4/8,2.93,False
1h,3,breaker,0.05,3R,0,"(1, -1)",294,44,0.908,-17.0,-0.07,0.357,-34.7,4/8,2.93,False
1h,3,breaker,0.05,3R,1,"(1,)",103,16,0.797,-14.1,-0.11,0.311,-19.9,3/8,2.92,False
1h,3,breaker,0.05,3R,1,"(-1,)",59,9,0.86,-4.9,-0.07,0.407,-10.7,4/8,2.94,False
1h,3,breaker,0.05,3R,1,"(1, -1)",162,24,0.818,-19.0,-0.12,0.346,-24.1,2/8,2.93,False
1h,3,breaker,0.15,2R,0,"(1,)",159,24,0.828,-16.3,-0.1,0.365,-25.8,4/8,1.95,False
1h,3,breaker,0.15,2R,0,"(-1,)",142,21,0.75,-22.5,-0.11,0.373,-30.3,4/8,1.95,False
1h,3,breaker,0.15,2R,0,"(1, -1)",301,45,0.79,-38.7,-0.12,0.369,-49.6,2/8,1.95,False
1h,3,breaker,0.15,2R,1,"(1,)",103,16,0.716,-18.6,-0.14,0.33,-20.4,1/8,1.95,False
1h,3,breaker,0.15,2R,1,"(-1,)",61,9,0.741,-9.0,-0.14,0.426,-10.0,1/8,1.96,False
1h,3,breaker,0.15,2R,1,"(1, -1)",164,25,0.725,-27.6,-0.15,0.366,-27.0,0/8,1.95,False
1h,3,breaker,0.15,3R,0,"(1,)",159,24,0.921,-7.6,-0.05,0.352,-21.6,3/8,2.93,False
1h,3,breaker,0.15,3R,0,"(-1,)",142,21,0.771,-20.9,-0.11,0.352,-29.5,3/8,2.94,False
1h,3,breaker,0.15,3R,0,"(1, -1)",301,45,0.848,-28.5,-0.1,0.352,-42.5,4/8,2.93,False
1h,3,breaker,0.15,3R,1,"(1,)",103,16,0.762,-16.1,-0.11,0.311,-22.3,2/8,2.93,False
1h,3,breaker,0.15,3R,1,"(-1,)",61,9,0.806,-7.0,-0.09,0.41,-11.1,4/8,2.94,False
1h,3,breaker,0.15,3R,1,"(1, -1)",164,25,0.777,-23.1,-0.12,0.348,-28.7,3/8,2.93,False
1h,3,breaker,0.3,2R,0,"(1,)",168,25,0.75,-25.2,-0.14,0.357,-27.4,2/8,1.95,False
1h,3,breaker,0.3,2R,0,"(-1,)",146,22,0.705,-27.1,-0.12,0.363,-34.4,4/8,1.96,False
1h,3,breaker,0.3,2R,0,"(1, -1)",314,47,0.729,-52.2,-0.13,0.36,-60.7,1/8,1.95,False
1h,3,breaker,0.3,2R,1,"(1,)",109,17,0.663,-23.2,-0.15,0.33,-23.1,1/8,1.95,False
1h,3,breaker,0.3,2R,1,"(-1,)",63,9,0.679,-11.6,-0.15,0.413,-11.8,2/8,1.96,False
1h,3,breaker,0.3,2R,1,"(1, -1)",172,26,0.668,-34.8,-0.15,0.36,-33.8,0/8,1.95,False
1h,3,breaker,0.3,3R,0,"(1,)",168,25,0.829,-17.6,-0.11,0.345,-24.8,3/8,2.94,False
1h,3,breaker,0.3,3R,0,"(-1,)",146,22,0.731,-24.8,-0.12,0.349,-30.3,3/8,2.94,False
1h,3,breaker,0.3,3R,0,"(1, -1)",314,47,0.783,-42.3,-0.13,0.347,-50.2,1/8,2.94,False
1h,3,breaker,0.3,3R,1,"(1,)",109,17,0.695,-21.7,-0.13,0.312,-24.6,2/8,2.93,False
1h,3,breaker,0.3,3R,1,"(-1,)",63,9,0.823,-6.4,-0.08,0.413,-11.5,4/8,2.95,False
1h,3,breaker,0.3,3R,1,"(1, -1)",172,26,0.738,-28.0,-0.14,0.349,-30.2,1/8,2.94,False
1h,3,breaker,0.5,2R,0,"(1,)",172,26,0.759,-23.4,-0.15,0.384,-23.2,1/8,1.96,False
1h,3,breaker,0.5,2R,0,"(-1,)",152,23,0.7,-25.7,-0.13,0.388,-29.7,3/8,1.96,False
1h,3,breaker,0.5,2R,0,"(1, -1)",324,48,0.732,-49.2,-0.14,0.386,-51.2,0/8,1.96,False
1h,3,breaker,0.5,2R,1,"(1,)",111,17,0.719,-17.9,-0.15,0.378,-18.1,1/8,1.96,False
1h,3,breaker,0.5,2R,1,"(-1,)",65,10,0.753,-8.4,-0.11,0.431,-11.2,1/8,1.96,False
1h,3,breaker,0.5,2R,1,"(1, -1)",176,26,0.731,-26.3,-0.16,0.398,-25.3,0/8,1.96,False
1h,3,breaker,0.5,3R,0,"(1,)",172,26,0.785,-21.6,-0.13,0.366,-24.5,2/8,2.94,False
1h,3,breaker,0.5,3R,0,"(-1,)",152,23,0.797,-17.5,-0.11,0.382,-24.3,3/8,2.95,False
1h,3,breaker,0.5,3R,0,"(1, -1)",324,48,0.791,-39.0,-0.14,0.373,-42.6,4/8,2.95,False
1h,3,breaker,0.5,3R,1,"(1,)",111,17,0.686,-21.0,-0.14,0.351,-22.2,3/8,2.94,False
1h,3,breaker,0.5,3R,1,"(-1,)",65,10,0.811,-6.4,-0.08,0.431,-12.4,2/8,2.95,False
1h,3,breaker,0.5,3R,1,"(1, -1)",176,26,0.728,-27.5,-0.16,0.381,-26.5,1/8,2.95,False
1h,3,mitigation,0.05,2R,0,"(1,)",196,29,0.984,-1.9,-0.02,0.383,-16.6,3/8,1.94,False
